Country,Date,<OPEN>,<CLOSE>,<VOL>,GDP,GNI (USD),Population,Exchange Rate (AMA)
"China, Hong Kong SAR",2016-02-21,906.7,910.2075,10966385730.5,321000000000.0,329000000000.0,7435927.0,7.76225
"China, Hong Kong SAR",2016-02-28,922.902,922.74,11539073476.2,321000000000.0,329000000000.0,7435927.0,7.76225
"China, Hong Kong SAR",2016-03-06,926.802,929.914,14633761748.8,321000000000.0,329000000000.0,7435927.0,7.76225
"China, Hong Kong SAR",2016-03-13,945.9639999999999,946.414,12977517283.2,321000000000.0,329000000000.0,7435927.0,7.76225
"China, Hong Kong SAR",2016-03-20,949.0200000000001,950.262,14230079455.4,321000000000.0,329000000000.0,7435927.0,7.76225
"China, Hong Kong SAR",2016-03-27,960.8925,961.245,12200965149.75,321000000000.0,329000000000.0,7435927.0,7.76225
"China, Hong Kong SAR",2016-04-03,956.3425,956.48,11788128705.5,321000000000.0,329000000000.0,7435927.0,7.76225
"China, Hong Kong SAR",2016-04-10,949.875,952.625,12501937477.25,321000000000.0,329000000000.0,7435927.0,7.76225
"China, Hong Kong SAR",2016-04-17,967.802,972.512,12830325636.2,321000000000.0,329000000000.0,7435927.0,7.76225
"China, Hong Kong SAR",2016-04-24,981.094,982.6139999999999,13847914998.4,321000000000.0,329000000000.0,7435927.0,7.76225
"China, Hong Kong SAR",2016-05-01,979.86,979.576,11809888870.8,321000000000.0,329000000000.0,7435927.0,7.76225
"China, Hong Kong SAR",2016-05-08,969.2425000000001,967.6375,12481951540.25,321000000000.0,329000000000.0,7435927.0,7.76225
"China, Hong Kong SAR",2016-05-15,950.7760000000001,948.7520000000001,9404089422.4,321000000000.0,329000000000.0,7435927.0,7.76225
"China, Hong Kong SAR",2016-05-22,936.5200000000001,938.844,9071527971.4,321000000000.0,329000000000.0,7435927.0,7.76225
"China, Hong Kong SAR",2016-05-29,935.0719999999999,935.2520000000001,12263143527.4,321000000000.0,329000000000.0,7435927.0,7.76225
"China, Hong Kong SAR",2016-06-05,942.442,945.586,11058604408.0,321000000000.0,329000000000.0,7435927.0,7.76225
"China, Hong Kong SAR",2016-06-12,949.3025,948.63,9855878841.25,321000000000.0,329000000000.0,7435927.0,7.76225
"China, Hong Kong SAR",2016-06-19,923.842,923.72,9908252616.6,321000000000.0,329000000000.0,7435927.0,7.76225
"China, Hong Kong SAR",2016-06-26,927.318,927.116,10767759047.8,321000000000.0,329000000000.0,7435927.0,7.76225
"China, Hong Kong SAR",2016-07-03,914.355,919.81,10331537846.25,321000000000.0,329000000000.0,7435927.0,7.76225
"China, Hong Kong SAR",2016-07-10,926.9799999999999,928.576,9526115631.4,321000000000.0,329000000000.0,7435927.0,7.76225
"China, Hong Kong SAR",2016-07-17,934.05,935.7239999999999,10931567619.0,321000000000.0,329000000000.0,7435927.0,7.76225
"China, Hong Kong SAR",2016-07-24,939.7,941.992,9893921316.8,321000000000.0,329000000000.0,7435927.0,7.76225
"China, Hong Kong SAR",2016-07-31,941.75,940.0319999999999,12227329237.6,321000000000.0,329000000000.0,7435927.0,7.76225
"China, Hong Kong SAR",2016-08-07,926.485,929.2524999999999,14817207802.25,321000000000.0,329000000000.0,7435927.0,7.76225
"China, Hong Kong SAR",2016-08-14,942.2139999999999,944.7520000000001,12350379350.4,321000000000.0,329000000000.0,7435927.0,7.76225
"China, Hong Kong SAR",2016-08-21,952.8120000000001,953.4680000000001,12993538389.4,321000000000.0,329000000000.0,7435927.0,7.76225
