<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
10YBEY.B,D,19931206,000000,6.778,6.778,6.778,6.778,0,0
10YBEY.B,D,19931207,000000,6.87,6.87,6.87,6.87,0,0
10YBEY.B,D,19931208,000000,6.669,6.669,6.669,6.669,0,0
10YBEY.B,D,19931209,000000,6.615,6.615,6.615,6.615,0,0
10YBEY.B,D,19931210,000000,6.615,6.615,6.615,6.615,0,0
10YBEY.B,D,19931213,000000,6.596,6.596,6.596,6.596,0,0
10YBEY.B,D,19931214,000000,6.623,6.623,6.623,6.623,0,0
10YBEY.B,D,19931215,000000,6.619,6.619,6.619,6.619,0,0
10YBEY.B,D,19931216,000000,6.646,6.646,6.646,6.646,0,0
10YBEY.B,D,19931217,000000,6.619,6.619,6.619,6.619,0,0
10YBEY.B,D,19931220,000000,6.548,6.548,6.548,6.548,0,0
10YBEY.B,D,19931221,000000,6.525,6.525,6.525,6.525,0,0
10YBEY.B,D,19931222,000000,6.497,6.497,6.497,6.497,0,0
10YBEY.B,D,19931223,000000,6.443,6.443,6.443,6.443,0,0
10YBEY.B,D,19931224,000000,6.424,6.424,6.424,6.424,0,0
10YBEY.B,D,19931227,000000,6.41,6.41,6.41,6.41,0,0
10YBEY.B,D,19931228,000000,6.406,6.406,6.406,6.406,0,0
10YBEY.B,D,19931229,000000,6.355,6.355,6.355,6.355,0,0
10YBEY.B,D,19931230,000000,6.351,6.351,6.351,6.351,0,0
10YBEY.B,D,19931231,000000,6.361,6.361,6.361,6.361,0,0
10YBEY.B,D,19940103,000000,6.36,6.36,6.36,6.36,0,0
10YBEY.B,D,19940104,000000,6.458,6.458,6.458,6.458,0,0
10YBEY.B,D,19940105,000000,6.497,6.497,6.497,6.497,0,0
10YBEY.B,D,19940106,000000,6.484,6.484,6.484,6.484,0,0
10YBEY.B,D,19940107,000000,6.457,6.457,6.457,6.457,0,0
10YBEY.B,D,19940110,000000,6.482,6.482,6.482,6.482,0,0
10YBEY.B,D,19940111,000000,6.508,6.508,6.508,6.508,0,0
10YBEY.B,D,19940112,000000,6.474,6.474,6.474,6.474,0,0
10YBEY.B,D,19940113,000000,6.541,6.541,6.541,6.541,0,0
10YBEY.B,D,19940114,000000,6.548,6.548,6.548,6.548,0,0
10YBEY.B,D,19940117,000000,6.566,6.566,6.566,6.566,0,0
10YBEY.B,D,19940118,000000,6.525,6.525,6.525,6.525,0,0
10YBEY.B,D,19940119,000000,6.505,6.505,6.505,6.505,0,0
10YBEY.B,D,19940120,000000,6.531,6.531,6.531,6.531,0,0
