<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
10YCHP.B,D,20240321,000000,124.31,124.31,124.31,124.31,0,0
10YCHP.B,D,20240322,000000,124.93,124.93,124.93,124.93,0,0
10YCHP.B,D,20240325,000000,124.93,125.04,124.93,125.04,0,0
10YCHP.B,D,20240326,000000,125.04,125.04,125.04,125.04,0,0
10YCHP.B,D,20240327,000000,125.04,125.04,125.04,125.04,0,0
10YCHP.B,D,20240328,000000,125.04,125.04,125.04,125.04,0,0
10YCHP.B,D,20240402,000000,125.04,125.04,125.04,125.04,0,0
10YCHP.B,D,20240403,000000,124.78,124.78,124.45,124.45,0,0
10YCHP.B,D,20240404,000000,124.45,124.45,124.45,124.45,0,0
10YCHP.B,D,20240405,000000,124.45,124.45,124.45,124.45,0,0
10YCHP.B,D,20240408,000000,124.45,124.45,124.15,124.15,0,0
10YCHP.B,D,20240409,000000,124.15,124.15,124.15,124.15,0,0
10YCHP.B,D,20240410,000000,124.2,124.2,124.2,124.2,0,0
10YCHP.B,D,20240411,000000,124.2,124.44,124.2,124.44,0,0
10YCHP.B,D,20240412,000000,124.44,124.85,124.44,124.85,0,0
10YCHP.B,D,20240415,000000,124.85,124.85,124.85,124.85,0,0
10YCHP.B,D,20240416,000000,124.67,124.67,124.67,124.67,0,0
10YCHP.B,D,20240417,000000,124.43,124.43,124.43,124.43,0,0
10YCHP.B,D,20240418,000000,124.43,124.43,124.43,124.43,0,0
10YCHP.B,D,20240419,000000,124.43,124.43,124.43,124.43,0,0
10YCHP.B,D,20240422,000000,124.43,124.43,124.3,124.3,0,0
10YCHP.B,D,20240423,000000,124.3,124.3,124.3,124.3,0,0
10YCHP.B,D,20240424,000000,124.3,124.3,124.3,124.3,0,0
10YCHP.B,D,20240425,000000,124.3,124.3,124.3,124.3,0,0
10YCHP.B,D,20240426,000000,124.09,124.32,124.09,124.32,0,0
10YCHP.B,D,20240429,000000,124.32,124.32,124.32,124.32,0,0
10YCHP.B,D,20240430,000000,124.32,124.32,124.1,124.1,0,0
10YCHP.B,D,20240502,000000,124.1,124.1,123.7,123.88,0,0
10YCHP.B,D,20240503,000000,123.75,123.98,123.75,123.98,0,0
10YCHP.B,D,20240506,000000,123.98,123.98,123.98,123.98,0,0
10YCHP.B,D,20240507,000000,124.04,124.04,124.04,124.04,0,0
10YCHP.B,D,20240508,000000,124.26,124.26,124.26,124.26,0,0
