<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
10YCOY.B,D,19700101,000000,10.17,10.17,10.17,10.17,0,0
10YCOY.B,D,20120709,000000,6.99,6.99,6.99,6.99,0,0
10YCOY.B,D,20120710,000000,6.95,6.95,6.95,6.95,0,0
10YCOY.B,D,20120711,000000,6.919,6.919,6.919,6.919,0,0
10YCOY.B,D,20120712,000000,6.9,6.9,6.9,6.9,0,0
10YCOY.B,D,20120713,000000,6.842,6.842,6.842,6.842,0,0
10YCOY.B,D,20120716,000000,6.804,6.804,6.804,6.804,0,0
10YCOY.B,D,20120717,000000,6.85,6.85,6.85,6.85,0,0
10YCOY.B,D,20120718,000000,6.84,6.84,6.84,6.84,0,0
10YCOY.B,D,20120719,000000,6.814,6.814,6.814,6.814,0,0
10YCOY.B,D,20120723,000000,6.798,6.798,6.798,6.798,0,0
10YCOY.B,D,20120724,000000,6.825,6.825,6.825,6.825,0,0
10YCOY.B,D,20120725,000000,6.77,6.77,6.77,6.77,0,0
10YCOY.B,D,20120726,000000,6.731,6.731,6.731,6.731,0,0
10YCOY.B,D,20120727,000000,6.752,6.752,6.752,6.752,0,0
10YCOY.B,D,20120730,000000,6.658,6.658,6.658,6.658,0,0
10YCOY.B,D,20120731,000000,6.63,6.63,6.63,6.63,0,0
10YCOY.B,D,20120801,000000,6.603,6.603,6.603,6.603,0,0
10YCOY.B,D,20120802,000000,6.575,6.575,6.575,6.575,0,0
10YCOY.B,D,20120803,000000,6.572,6.572,6.572,6.572,0,0
10YCOY.B,D,20120806,000000,6.583,6.583,6.583,6.583,0,0
10YCOY.B,D,20120808,000000,6.64,6.64,6.64,6.64,0,0
10YCOY.B,D,20120809,000000,6.655,6.655,6.655,6.655,0,0
10YCOY.B,D,20120810,000000,6.619,6.619,6.619,6.619,0,0
10YCOY.B,D,20120813,000000,6.607,6.607,6.607,6.607,0,0
10YCOY.B,D,20120814,000000,6.597,6.597,6.597,6.597,0,0
10YCOY.B,D,20120815,000000,6.555,6.555,6.555,6.555,0,0
10YCOY.B,D,20120816,000000,6.657,6.657,6.657,6.657,0,0
10YCOY.B,D,20120817,000000,6.535,6.535,6.535,6.535,0,0
10YCOY.B,D,20120821,000000,6.582,6.582,6.582,6.582,0,0
10YCOY.B,D,20120822,000000,6.593,6.593,6.593,6.593,0,0
10YCOY.B,D,20120823,000000,6.627,6.627,6.627,6.627,0,0
10YCOY.B,D,20120824,000000,6.592,6.592,6.592,6.592,0,0
10YCOY.B,D,20120827,000000,6.575,6.575,6.575,6.575,0,0
10YCOY.B,D,20120828,000000,6.574,6.574,6.574,6.574,0,0
10YCOY.B,D,20120829,000000,6.615,6.615,6.615,6.615,0,0
10YCOY.B,D,20120830,000000,6.59,6.59,6.59,6.59,0,0
10YCOY.B,D,20120831,000000,6.576,6.576,6.576,6.576,0,0
10YCOY.B,D,20120903,000000,6.572,6.572,6.572,6.572,0,0
10YCOY.B,D,20120904,000000,6.581,6.581,6.581,6.581,0,0
10YCOY.B,D,20120905,000000,6.595,6.595,6.595,6.595,0,0
10YCOY.B,D,20120906,000000,6.569,6.569,6.569,6.569,0,0
10YCOY.B,D,20120907,000000,6.481,6.481,6.481,6.481,0,0
10YCOY.B,D,20120910,000000,6.47,6.47,6.47,6.47,0,0
10YCOY.B,D,20120911,000000,6.472,6.472,6.472,6.472,0,0
10YCOY.B,D,20120912,000000,6.476,6.476,6.476,6.476,0,0
10YCOY.B,D,20120913,000000,6.49,6.49,6.49,6.49,0,0
10YCOY.B,D,20120914,000000,6.588,6.588,6.588,6.588,0,0
10YCOY.B,D,20120917,000000,6.492,6.492,6.492,6.492,0,0
10YCOY.B,D,20120918,000000,6.478,6.478,6.478,6.478,0,0
10YCOY.B,D,20120919,000000,6.59,6.59,6.59,6.59,0,0
10YCOY.B,D,20120920,000000,6.466,6.466,6.466,6.466,0,0
10YCOY.B,D,20120921,000000,6.399,6.399,6.399,6.399,0,0
10YCOY.B,D,20120924,000000,6.4,6.4,6.4,6.4,0,0
10YCOY.B,D,20120925,000000,6.341,6.341,6.341,6.341,0,0
10YCOY.B,D,20120926,000000,6.34,6.34,6.34,6.34,0,0
10YCOY.B,D,20120927,000000,6.246,6.246,6.246,6.246,0,0
10YCOY.B,D,20120928,000000,6.267,6.267,6.267,6.267,0,0
10YCOY.B,D,20121001,000000,6.253,6.253,6.253,6.253,0,0
10YCOY.B,D,20121002,000000,6.2,6.2,6.2,6.2,0,0
10YCOY.B,D,20121003,000000,6.204,6.204,6.204,6.204,0,0
10YCOY.B,D,20121004,000000,6.185,6.185,6.185,6.185,0,0
10YCOY.B,D,20121005,000000,6.09,6.09,6.09,6.09,0,0
10YCOY.B,D,20121008,000000,6.053,6.053,6.053,6.053,0,0
10YCOY.B,D,20121009,000000,6.051,6.051,6.051,6.051,0,0
10YCOY.B,D,20121010,000000,6.07,6.07,6.07,6.07,0,0
10YCOY.B,D,20121011,000000,5.995,5.995,5.995,5.995,0,0
10YCOY.B,D,20121012,000000,5.96,5.96,5.96,5.96,0,0
10YCOY.B,D,20121016,000000,5.985,5.985,5.985,5.985,0,0
10YCOY.B,D,20121017,000000,6.017,6.017,6.017,6.017,0,0
10YCOY.B,D,20121018,000000,6.09,6.09,6.09,6.09,0,0
10YCOY.B,D,20121019,000000,5.97,5.97,5.97,5.97,0,0
10YCOY.B,D,20121022,000000,6.004,6.004,6.004,6.004,0,0
10YCOY.B,D,20121023,000000,6.003,6.003,6.003,6.003,0,0
10YCOY.B,D,20121024,000000,5.994,5.994,5.994,5.994,0,0
10YCOY.B,D,20121025,000000,6.004,6.004,6.004,6.004,0,0
10YCOY.B,D,20121026,000000,5.965,5.965,5.965,5.965,0,0
10YCOY.B,D,20121029,000000,6.004,6.004,6.004,6.004,0,0
10YCOY.B,D,20121030,000000,6.07,6.07,6.07,6.07,0,0
10YCOY.B,D,20121031,000000,6.08,6.08,6.08,6.08,0,0
10YCOY.B,D,20121101,000000,6.275,6.275,6.275,6.275,0,0
10YCOY.B,D,20121102,000000,6.332,6.332,6.332,6.332,0,0
10YCOY.B,D,20121106,000000,6.223,6.223,6.223,6.223,0,0
10YCOY.B,D,20121107,000000,6.069,6.069,6.069,6.069,0,0
10YCOY.B,D,20121108,000000,6.024,6.024,6.024,6.024,0,0
10YCOY.B,D,20121109,000000,6.057,6.057,6.057,6.057,0,0
10YCOY.B,D,20121113,000000,6.291,6.291,6.291,6.291,0,0
10YCOY.B,D,20121114,000000,6.34,6.34,6.34,6.34,0,0
10YCOY.B,D,20121115,000000,6.112,6.112,6.112,6.112,0,0
