<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
10YNAY.B,D,20160617,000000,10.175,10.175,10.175,10.175,0,0
10YNAY.B,D,20160623,000000,9.92,9.92,9.92,9.92,0,0
10YNAY.B,D,20160627,000000,9.99,9.99,9.99,9.99,0,0
10YNAY.B,D,20160628,000000,9.96,9.96,9.96,9.96,0,0
10YNAY.B,D,20160629,000000,9.96,9.96,9.96,9.96,0,0
10YNAY.B,D,20160630,000000,10.05,10.05,10.05,10.05,0,0
10YNAY.B,D,20160701,000000,9.9,9.9,9.9,9.9,0,0
10YNAY.B,D,20160704,000000,9.895,9.895,9.895,9.895,0,0
10YNAY.B,D,20160705,000000,10.035,10.035,10.035,10.035,0,0
10YNAY.B,D,20160706,000000,10.02,10.02,10.02,10.02,0,0
10YNAY.B,D,20160707,000000,9.98,9.98,9.98,9.98,0,0
10YNAY.B,D,20160708,000000,9.915,9.915,9.915,9.915,0,0
10YNAY.B,D,20160711,000000,9.84,9.84,9.84,9.84,0,0
10YNAY.B,D,20160712,000000,9.87,9.87,9.87,9.87,0,0
10YNAY.B,D,20160713,000000,9.93,9.93,9.93,9.93,0,0
10YNAY.B,D,20160714,000000,9.885,9.885,9.885,9.885,0,0
10YNAY.B,D,20160715,000000,9.94,9.94,9.94,9.94,0,0
10YNAY.B,D,20160718,000000,10.05,10.05,10.05,10.05,0,0
10YNAY.B,D,20160719,000000,10.03,10.03,10.03,10.03,0,0
10YNAY.B,D,20160720,000000,10,10,10,10,0,0
10YNAY.B,D,20160721,000000,9.96,9.96,9.96,9.96,0,0
10YNAY.B,D,20160722,000000,10.01,10.01,10.01,10.01,0,0
10YNAY.B,D,20160725,000000,9.65,9.65,9.65,9.65,0,0
10YNAY.B,D,20160726,000000,9.63,9.63,9.63,9.63,0,0
10YNAY.B,D,20160727,000000,9.625,9.625,9.625,9.625,0,0
10YNAY.B,D,20160728,000000,9.605,9.605,9.605,9.605,0,0
10YNAY.B,D,20160801,000000,9.845,9.845,9.845,9.845,0,0
10YNAY.B,D,20160802,000000,9.865,9.865,9.865,9.865,0,0
10YNAY.B,D,20160803,000000,9.865,9.865,9.865,9.865,0,0
10YNAY.B,D,20160804,000000,9.77,9.77,9.77,9.77,0,0
10YNAY.B,D,20160805,000000,9.8,9.8,9.8,9.8,0,0
10YNAY.B,D,20160808,000000,9.405,9.405,9.405,9.405,0,0
10YNAY.B,D,20160810,000000,9.315,9.315,9.315,9.315,0,0
10YNAY.B,D,20160811,000000,9.3,9.3,9.3,9.3,0,0
10YNAY.B,D,20160812,000000,9.29,9.29,9.29,9.29,0,0
10YNAY.B,D,20160815,000000,9.29,9.29,9.29,9.29,0,0
10YNAY.B,D,20160816,000000,9.295,9.295,9.295,9.295,0,0
10YNAY.B,D,20160817,000000,9.31,9.31,9.31,9.31,0,0
10YNAY.B,D,20160818,000000,9.24,9.24,9.24,9.24,0,0
10YNAY.B,D,20160819,000000,9.345,9.345,9.345,9.345,0,0
10YNAY.B,D,20160822,000000,9.38,9.38,9.38,9.38,0,0
10YNAY.B,D,20160823,000000,9.679,9.679,9.679,9.679,0,0
10YNAY.B,D,20160824,000000,10.24,10.24,10.24,10.24,0,0
10YNAY.B,D,20160825,000000,10.27,10.27,10.27,10.27,0,0
