<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
10YNGY.B,D,19700101,000000,21.037,21.037,20.647,20.647,0,0
10YNGY.B,D,20170509,000000,16.13,16.13,16.13,16.13,0,0
10YNGY.B,D,20170510,000000,16.162,16.174,16.162,16.174,0,0
10YNGY.B,D,20170511,000000,16.13,16.13,16.13,16.13,0,0
10YNGY.B,D,20170512,000000,16.132,16.132,16.132,16.132,0,0
10YNGY.B,D,20170515,000000,16.133,16.133,16.088,16.088,0,0
10YNGY.B,D,20170516,000000,16.178,16.178,16.089,16.129,0,0
10YNGY.B,D,20170517,000000,16.129,16.129,16.129,16.129,0,0
10YNGY.B,D,20170518,000000,16.132,16.132,16.132,16.132,0,0
10YNGY.B,D,20170519,000000,16.132,16.174,16.132,16.174,0,0
10YNGY.B,D,20170522,000000,16.175,16.175,16.175,16.175,0,0
10YNGY.B,D,20170523,000000,16.176,16.176,16.176,16.176,0,0
10YNGY.B,D,20170524,000000,16.177,16.177,16.135,16.177,0,0
10YNGY.B,D,20170525,000000,16.18,16.18,16.165,16.165,0,0
10YNGY.B,D,20170526,000000,16.201,16.201,16.161,16.161,0,0
10YNGY.B,D,20170530,000000,16.161,16.161,16.149,16.149,0,0
10YNGY.B,D,20170531,000000,16.15,16.155,16.15,16.155,0,0
10YNGY.B,D,20170601,000000,16.157,16.157,16.157,16.157,0,0
10YNGY.B,D,20170602,000000,16.158,16.158,16.158,16.158,0,0
10YNGY.B,D,20170605,000000,16.159,16.159,16.156,16.156,0,0
10YNGY.B,D,20170606,000000,16.207,16.207,16.157,16.157,0,0
10YNGY.B,D,20170607,000000,16.158,16.158,16.158,16.158,0,0
10YNGY.B,D,20170608,000000,16.16,16.16,16.076,16.076,0,0
10YNGY.B,D,20170609,000000,16.076,16.076,16.052,16.052,0,0
10YNGY.B,D,20170612,000000,16.052,16.072,16.052,16.072,0,0
10YNGY.B,D,20170613,000000,16.073,16.153,16.073,16.153,0,0
10YNGY.B,D,20170614,000000,16.076,16.154,16.059,16.059,0,0
10YNGY.B,D,20170615,000000,16.062,16.066,16.062,16.066,0,0
10YNGY.B,D,20170616,000000,16.067,16.067,16.013,16.013,0,0
10YNGY.B,D,20170619,000000,16.014,16.014,16.014,16.014,0,0
10YNGY.B,D,20170620,000000,16.014,16.014,16.014,16.014,0,0
10YNGY.B,D,20170621,000000,16.015,16.015,16.015,16.015,0,0
10YNGY.B,D,20170622,000000,16.018,16.018,16.018,16.018,0,0
10YNGY.B,D,20170623,000000,16.111,16.111,16.019,16.081,0,0
10YNGY.B,D,20170628,000000,16.083,16.083,16.083,16.083,0,0
10YNGY.B,D,20170629,000000,16.086,16.086,16.056,16.056,0,0
10YNGY.B,D,20170630,000000,16.057,16.057,16.055,16.055,0,0
10YNGY.B,D,20170703,000000,16.056,16.056,16.056,16.056,0,0
10YNGY.B,D,20170704,000000,16.056,16.121,16.056,16.121,0,0
10YNGY.B,D,20170705,000000,16.122,16.122,16.122,16.122,0,0
10YNGY.B,D,20170706,000000,16.125,16.125,16.125,16.125,0,0
10YNGY.B,D,20170707,000000,16.126,16.126,16.126,16.126,0,0
10YNGY.B,D,20170710,000000,16.313,16.313,16.313,16.313,0,0
10YNGY.B,D,20170711,000000,16.314,16.314,16.314,16.314,0,0
10YNGY.B,D,20170712,000000,16.129,16.129,16.129,16.129,0,0
10YNGY.B,D,20170713,000000,16.132,16.132,16.132,16.132,0,0
10YNGY.B,D,20170714,000000,16.132,16.132,16.132,16.132,0,0
10YNGY.B,D,20170717,000000,16.333,16.333,16.333,16.333,0,0
10YNGY.B,D,20170718,000000,16.334,16.334,16.334,16.334,0,0
10YNGY.B,D,20170719,000000,16.135,16.135,16.135,16.135,0,0
10YNGY.B,D,20170720,000000,16.324,16.324,16.324,16.324,0,0
10YNGY.B,D,20170721,000000,16.324,16.324,16.324,16.324,0,0
10YNGY.B,D,20170724,000000,16.299,16.299,16.299,16.299,0,0
10YNGY.B,D,20170725,000000,16.337,16.337,16.337,16.337,0,0
10YNGY.B,D,20170726,000000,16.161,16.161,16.161,16.161,0,0
10YNGY.B,D,20170727,000000,16.139,16.139,16.139,16.139,0,0
10YNGY.B,D,20170728,000000,16.137,16.137,16.137,16.137,0,0
10YNGY.B,D,20170731,000000,16.251,16.251,16.251,16.251,0,0
10YNGY.B,D,20170801,000000,16.251,16.251,16.251,16.251,0,0
10YNGY.B,D,20170802,000000,16.252,16.252,16.252,16.252,0,0
10YNGY.B,D,20170803,000000,16.303,16.303,16.253,16.253,0,0
10YNGY.B,D,20170804,000000,16.253,16.253,16.253,16.253,0,0
10YNGY.B,D,20170807,000000,16.254,16.254,16.254,16.254,0,0
10YNGY.B,D,20170809,000000,16.254,16.254,16.254,16.254,0,0
10YNGY.B,D,20170810,000000,16.256,16.256,16.256,16.256,0,0
10YNGY.B,D,20170811,000000,16.256,16.256,16.256,16.256,0,0
10YNGY.B,D,20170814,000000,16.257,16.257,16.257,16.257,0,0
10YNGY.B,D,20170815,000000,16.257,16.257,16.257,16.257,0,0
10YNGY.B,D,20170816,000000,16.426,16.426,16.426,16.426,0,0
10YNGY.B,D,20170817,000000,16.427,16.427,16.427,16.427,0,0
10YNGY.B,D,20170821,000000,16.515,16.515,16.515,16.515,0,0
10YNGY.B,D,20170822,000000,16.529,16.529,16.529,16.529,0,0
10YNGY.B,D,20170823,000000,16.475,16.475,16.475,16.475,0,0
10YNGY.B,D,20170824,000000,16.755,16.755,16.755,16.755,0,0
10YNGY.B,D,20170825,000000,16.755,16.755,16.755,16.755,0,0
10YNGY.B,D,20170829,000000,16.756,16.756,16.756,16.756,0,0
10YNGY.B,D,20170830,000000,16.757,16.757,16.757,16.757,0,0
10YNGY.B,D,20170831,000000,16.677,16.677,16.677,16.677,0,0
10YNGY.B,D,20170906,000000,16.511,16.511,16.511,16.511,0,0
10YNGY.B,D,20170907,000000,16.512,16.512,16.512,16.512,0,0
10YNGY.B,D,20170908,000000,16.526,16.526,16.526,16.526,0,0
10YNGY.B,D,20170911,000000,16.578,16.578,16.526,16.526,0,0
10YNGY.B,D,20170912,000000,16.514,16.514,16.514,16.514,0,0
10YNGY.B,D,20170913,000000,16.553,16.553,16.499,16.499,0,0
10YNGY.B,D,20170914,000000,16.377,16.377,16.377,16.377,0,0
10YNGY.B,D,20170915,000000,16.357,16.357,16.357,16.357,0,0
10YNGY.B,D,20170918,000000,16.358,16.358,16.358,16.358,0,0
10YNGY.B,D,20170919,000000,16.358,16.358,16.358,16.358,0,0
10YNGY.B,D,20170920,000000,16.416,16.416,16.359,16.359,0,0
10YNGY.B,D,20170921,000000,16.17,16.17,16.17,16.17,0,0
10YNGY.B,D,20170922,000000,16.17,16.17,16.17,16.17,0,0
10YNGY.B,D,20170925,000000,16.151,16.151,16.143,16.143,0,0
10YNGY.B,D,20170926,000000,16.063,16.144,16.063,16.144,0,0
10YNGY.B,D,20170927,000000,16.076,16.076,16.064,16.064,0,0
10YNGY.B,D,20170928,000000,15.75,15.75,15.75,15.75,0,0
10YNGY.B,D,20170929,000000,15.792,15.792,15.792,15.792,0,0
10YNGY.B,D,20171003,000000,15.131,15.131,15.131,15.131,0,0
10YNGY.B,D,20171004,000000,15.308,15.308,15.308,15.308,0,0
10YNGY.B,D,20171005,000000,14.957,14.957,14.957,14.957,0,0
10YNGY.B,D,20171006,000000,15.255,15.255,15.255,15.255,0,0
10YNGY.B,D,20171009,000000,15.298,15.298,15.255,15.255,0,0
10YNGY.B,D,20171010,000000,15.255,15.255,15.255,15.255,0,0
10YNGY.B,D,20171011,000000,15.417,15.417,15.083,15.083,0,0
10YNGY.B,D,20171012,000000,15.063,15.063,14.892,14.892,0,0
10YNGY.B,D,20171013,000000,15.064,15.064,14.893,14.893,0,0
10YNGY.B,D,20171016,000000,15.005,15.005,14.942,14.942,0,0
10YNGY.B,D,20171017,000000,15.029,15.029,14.996,14.996,0,0
10YNGY.B,D,20171018,000000,14.924,14.997,14.924,14.997,0,0
10YNGY.B,D,20171019,000000,14.937,14.937,14.914,14.914,0,0
10YNGY.B,D,20171020,000000,14.926,14.926,14.915,14.915,0,0
10YNGY.B,D,20171023,000000,14.903,14.903,14.903,14.903,0,0
10YNGY.B,D,20171024,000000,15.083,15.083,15.083,15.083,0,0
10YNGY.B,D,20171025,000000,14.979,14.979,14.979,14.979,0,0
10YNGY.B,D,20171026,000000,14.949,14.949,14.949,14.949,0,0
10YNGY.B,D,20171027,000000,15.022,15.022,15.022,15.022,0,0
10YNGY.B,D,20171030,000000,15.021,15.021,15.021,15.021,0,0
