<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
10YROY.B,D,20120207,000000,7.38,7.38,7.38,7.38,0,0
10YROY.B,D,20120208,000000,7.4,7.4,7.4,7.4,0,0
10YROY.B,D,20120209,000000,7.401,7.401,7.401,7.401,0,0
10YROY.B,D,20120210,000000,7.401,7.401,7.401,7.401,0,0
10YROY.B,D,20120211,000000,7.38,7.38,7.38,7.38,0,0
10YROY.B,D,20120212,000000,7.4,7.4,7.4,7.4,0,0
10YROY.B,D,20120213,000000,7.35,7.35,7.35,7.35,0,0
10YROY.B,D,20120214,000000,7.4,7.4,7.4,7.4,0,0
10YROY.B,D,20120215,000000,7.205,7.205,7.205,7.205,0,0
10YROY.B,D,20120216,000000,7.281,7.281,7.281,7.281,0,0
10YROY.B,D,20120217,000000,7.281,7.281,7.281,7.281,0,0
10YROY.B,D,20120218,000000,7.3,7.3,7.3,7.3,0,0
10YROY.B,D,20120219,000000,7.3,7.3,7.3,7.3,0,0
10YROY.B,D,20120220,000000,7.3,7.3,7.3,7.3,0,0
10YROY.B,D,20120221,000000,7.2,7.2,7.2,7.2,0,0
10YROY.B,D,20120222,000000,7.21,7.21,7.21,7.21,0,0
10YROY.B,D,20120223,000000,7.281,7.281,7.281,7.281,0,0
10YROY.B,D,20120224,000000,7.031,7.031,7.031,7.031,0,0
10YROY.B,D,20120225,000000,7.068,7.068,7.068,7.068,0,0
10YROY.B,D,20120226,000000,7.068,7.068,7.068,7.068,0,0
10YROY.B,D,20120227,000000,7.069,7.069,7.069,7.069,0,0
10YROY.B,D,20120228,000000,7.3,7.3,7.3,7.3,0,0
10YROY.B,D,20120229,000000,7.28,7.28,7.28,7.28,0,0
10YROY.B,D,20120301,000000,6.958,6.958,6.958,6.958,0,0
10YROY.B,D,20120302,000000,6.969,6.969,6.969,6.969,0,0
10YROY.B,D,20120303,000000,6.958,6.958,6.958,6.958,0,0
10YROY.B,D,20120304,000000,6.958,6.958,6.958,6.958,0,0
10YROY.B,D,20120305,000000,6.951,6.951,6.951,6.951,0,0
10YROY.B,D,20120306,000000,6.96,6.96,6.96,6.96,0,0
10YROY.B,D,20120307,000000,6.75,6.75,6.75,6.75,0,0
