<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
10YSIY.B,D,20111130,000000,7.208,7.208,7.041,7.041,0,0
10YSIY.B,D,20111201,000000,7.095,7.21,6.728,6.736,0,0
10YSIY.B,D,20111202,000000,6.65,6.866,6.633,6.664,0,0
10YSIY.B,D,20111205,000000,6.815,6.84,6.529,6.553,0,0
10YSIY.B,D,20111206,000000,6.764,6.869,6.7,6.716,0,0
10YSIY.B,D,20111207,000000,6.563,6.73,6.561,6.667,0,0
10YSIY.B,D,20111208,000000,6.632,6.742,6.606,6.611,0,0
10YSIY.B,D,20111209,000000,6.728,6.792,6.664,6.741,0,0
10YSIY.B,D,20111212,000000,6.773,6.788,6.552,6.56,0,0
10YSIY.B,D,20111213,000000,6.649,6.831,6.553,6.831,0,0
10YSIY.B,D,20111214,000000,6.63,6.874,6.571,6.573,0,0
10YSIY.B,D,20111215,000000,6.75,6.918,6.674,6.695,0,0
10YSIY.B,D,20111216,000000,6.644,6.919,6.644,6.841,0,0
10YSIY.B,D,20111219,000000,6.786,6.92,6.695,6.698,0,0
10YSIY.B,D,20111220,000000,6.71,6.92,6.685,6.688,0,0
10YSIY.B,D,20111221,000000,6.741,6.748,6.526,6.698,0,0
10YSIY.B,D,20111222,000000,6.839,6.839,6.66,6.722,0,0
10YSIY.B,D,20111223,000000,6.742,6.753,6.489,6.496,0,0
10YSIY.B,D,20111227,000000,6.513,6.709,6.506,6.704,0,0
10YSIY.B,D,20111228,000000,6.678,6.731,6.678,6.702,0,0
10YSIY.B,D,20111229,000000,6.665,6.885,6.531,6.673,0,0
10YSIY.B,D,20111230,000000,6.878,6.886,6.565,6.565,0,0
10YSIY.B,D,20120103,000000,6.754,6.887,6.646,6.686,0,0
10YSIY.B,D,20120104,000000,6.739,6.845,6.625,6.834,0,0
10YSIY.B,D,20120105,000000,6.73,6.933,6.685,6.704,0,0
10YSIY.B,D,20120106,000000,6.779,7.096,6.779,7.072,0,0
10YSIY.B,D,20120109,000000,6.856,7.02,6.69,7.02,0,0
10YSIY.B,D,20120110,000000,7.013,7.152,6.922,7.024,0,0
10YSIY.B,D,20120111,000000,7.012,7.24,6.937,7.14,0,0
10YSIY.B,D,20120112,000000,7.098,7.42,7.02,7.114,0,0
10YSIY.B,D,20120113,000000,7.099,7.307,7.067,7.151,0,0
10YSIY.B,D,20120116,000000,7.145,7.333,7.09,7.147,0,0
10YSIY.B,D,20120117,000000,6.987,7.064,6.949,7.007,0,0
10YSIY.B,D,20120118,000000,6.986,7.175,6.924,6.933,0,0
10YSIY.B,D,20120119,000000,6.941,7.141,6.937,6.949,0,0
10YSIY.B,D,20120120,000000,6.9,7.07,6.733,6.816,0,0
10YSIY.B,D,20120123,000000,6.582,6.77,6.573,6.705,0,0
10YSIY.B,D,20120124,000000,6.567,6.721,6.534,6.592,0,0
10YSIY.B,D,20120125,000000,6.657,6.667,6.51,6.598,0,0
10YSIY.B,D,20120126,000000,6.503,6.699,6.466,6.64,0,0
10YSIY.B,D,20120127,000000,6.591,6.624,6.463,6.556,0,0
10YSIY.B,D,20120130,000000,6.536,6.546,6.417,6.492,0,0
10YSIY.B,D,20120131,000000,6.478,6.543,6.3,6.488,0,0
10YSIY.B,D,20120201,000000,6.457,6.463,6.212,6.323,0,0
10YSIY.B,D,20120202,000000,6.343,6.343,6.231,6.28,0,0
10YSIY.B,D,20120203,000000,6.31,6.317,5.917,6.018,0,0
10YSIY.B,D,20120206,000000,5.956,6.039,5.9,5.943,0,0
10YSIY.B,D,20120207,000000,5.902,6.039,5.873,5.885,0,0
10YSIY.B,D,20120209,000000,5.845,5.922,5.787,5.802,0,0
10YSIY.B,D,20120210,000000,5.795,5.922,5.711,5.827,0,0
10YSIY.B,D,20120213,000000,5.847,5.922,5.695,5.8,0,0
10YSIY.B,D,20120214,000000,5.923,5.923,5.713,5.809,0,0
10YSIY.B,D,20120215,000000,5.807,5.923,5.762,5.773,0,0
10YSIY.B,D,20120216,000000,5.706,6.003,5.697,5.813,0,0
10YSIY.B,D,20120217,000000,5.815,5.964,5.802,5.823,0,0
10YSIY.B,D,20120220,000000,5.856,5.964,5.816,5.842,0,0
10YSIY.B,D,20120221,000000,5.82,5.965,5.78,5.787,0,0
10YSIY.B,D,20120222,000000,5.809,5.886,5.731,5.761,0,0
10YSIY.B,D,20120223,000000,5.721,5.887,5.698,5.788,0,0
10YSIY.B,D,20120224,000000,5.775,5.887,5.582,5.677,0,0
10YSIY.B,D,20120227,000000,5.671,5.734,5.568,5.64,0,0
10YSIY.B,D,20120228,000000,5.619,5.712,5.365,5.56,0,0
10YSIY.B,D,20120229,000000,5.553,5.587,5.317,5.533,0,0
10YSIY.B,D,20120301,000000,5.564,5.585,5.173,5.391,0,0
10YSIY.B,D,20120302,000000,5.385,5.397,5.13,5.368,0,0
10YSIY.B,D,20120305,000000,5.342,5.539,5.123,5.347,0,0
10YSIY.B,D,20120306,000000,5.348,5.348,5.117,5.117,0,0
10YSIY.B,D,20120307,000000,5.323,5.333,5.116,5.323,0,0
10YSIY.B,D,20120308,000000,5.328,5.345,5.019,5.178,0,0
10YSIY.B,D,20120309,000000,5.342,5.347,4.973,4.994,0,0
10YSIY.B,D,20120312,000000,5.319,5.32,5.008,5.008,0,0
10YSIY.B,D,20120313,000000,5.096,5.126,4.979,5.057,0,0
10YSIY.B,D,20120314,000000,5.101,5.238,4.995,5.021,0,0
10YSIY.B,D,20120315,000000,5.093,5.139,5.032,5.079,0,0
10YSIY.B,D,20120316,000000,5.071,5.239,5.064,5.136,0,0
10YSIY.B,D,20120319,000000,5.115,5.239,5.043,5.105,0,0
10YSIY.B,D,20120320,000000,5.127,5.239,5.02,5.112,0,0
10YSIY.B,D,20120321,000000,5.128,5.217,5.054,5.156,0,0
10YSIY.B,D,20120322,000000,5.353,5.353,5.084,5.108,0,0
10YSIY.B,D,20120323,000000,5.099,5.424,5.041,5.422,0,0
10YSIY.B,D,20120326,000000,5.131,5.346,5.127,5.225,0,0
10YSIY.B,D,20120327,000000,5.217,5.399,5.206,5.212,0,0
10YSIY.B,D,20120328,000000,5.225,5.377,5.218,5.287,0,0
10YSIY.B,D,20120329,000000,5.233,5.423,5.215,5.34,0,0
10YSIY.B,D,20120330,000000,5.298,5.31,5.263,5.302,0,0
10YSIY.B,D,20120402,000000,5.405,5.47,5.162,5.261,0,0
10YSIY.B,D,20120403,000000,5.293,5.439,5.195,5.278,0,0
10YSIY.B,D,20120404,000000,5.367,5.44,5.235,5.305,0,0
10YSIY.B,D,20120405,000000,5.312,5.595,5.233,5.278,0,0
10YSIY.B,D,20120410,000000,5.281,5.441,5.279,5.341,0,0
10YSIY.B,D,20120411,000000,5.463,5.596,5.316,5.4,0,0
10YSIY.B,D,20120412,000000,5.483,5.662,5.465,5.496,0,0
