<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
10YSKY.B,D,20140515,000000,2.27,2.31,2.23,2.25,0,0
10YSKY.B,D,20140516,000000,2.25,2.31,2.24,2.29,0,0
10YSKY.B,D,20140519,000000,2.29,2.32,2.25,2.29,0,0
10YSKY.B,D,20140520,000000,2.3,2.34,2.28,2.32,0,0
10YSKY.B,D,20140521,000000,2.29,2.35,2.29,2.32,0,0
10YSKY.B,D,20140522,000000,2.3,2.33,2.29,2.31,0,0
10YSKY.B,D,20140523,000000,2.32,2.33,2.29,2.32,0,0
10YSKY.B,D,20140526,000000,2.28,2.31,2.28,2.29,0,0
10YSKY.B,D,20140527,000000,2.31,2.32,2.27,2.29,0,0
10YSKY.B,D,20140528,000000,2.28,2.29,2.22,2.24,0,0
10YSKY.B,D,20140529,000000,2.22,2.25,2.22,2.25,0,0
10YSKY.B,D,20140530,000000,2.27,2.28,2.23,2.27,0,0
10YSKY.B,D,20140602,000000,2.23,2.27,2.23,2.27,0,0
10YSKY.B,D,20140603,000000,2.25,2.31,2.23,2.25,0,0
10YSKY.B,D,20140604,000000,2.3,2.32,2.23,2.32,0,0
10YSKY.B,D,20140605,000000,2.26,2.31,2.22,2.22,0,0
10YSKY.B,D,20140606,000000,2.2,2.25,2.17,2.19,0,0
10YSKY.B,D,20140609,000000,2.21,2.23,2.18,2.21,0,0
10YSKY.B,D,20140610,000000,2.19,2.24,2.17,2.21,0,0
10YSKY.B,D,20140611,000000,2.22,2.29,2.19,2.21,0,0
10YSKY.B,D,20140612,000000,2.23,2.23,2.15,2.17,0,0
10YSKY.B,D,20140613,000000,2.17,2.2,2.16,2.17,0,0
10YSKY.B,D,20140616,000000,2.17,2.23,2.15,2.16,0,0
10YSKY.B,D,20140617,000000,2.08,2.16,2.07,2.15,0,0
10YSKY.B,D,20140618,000000,2.15,2.15,2.1,2.11,0,0
10YSKY.B,D,20140619,000000,2.21,2.22,2.06,2.08,0,0
10YSKY.B,D,20140620,000000,2.13,2.15,2.08,2.1,0,0
10YSKY.B,D,20140623,000000,2.13,2.13,2.08,2.13,0,0
10YSKY.B,D,20140624,000000,2.12,2.13,2.08,2.11,0,0
10YSKY.B,D,20140625,000000,2.1,2.12,2.05,2.11,0,0
10YSKY.B,D,20140626,000000,2.07,2.12,2.03,2.05,0,0
10YSKY.B,D,20140627,000000,2.1,2.12,2.04,2.11,0,0
10YSKY.B,D,20140630,000000,2.05,2.06,2.05,2.06,0,0
10YSKY.B,D,20140701,000000,2.07,2.07,2.04,2.05,0,0
10YSKY.B,D,20140702,000000,2.06,2.11,2.04,2.09,0,0
10YSKY.B,D,20140703,000000,2.1,2.15,2.09,2.1,0,0
10YSKY.B,D,20140704,000000,2.09,2.11,2.06,2.08,0,0
10YSKY.B,D,20140707,000000,2.1,2.12,2.06,2.08,0,0
10YSKY.B,D,20140708,000000,2.08,2.08,2.03,2.04,0,0
10YSKY.B,D,20140709,000000,2.03,2.05,2.02,2.04,0,0
10YSKY.B,D,20140710,000000,2.02,2.06,2.02,2.06,0,0
10YSKY.B,D,20140711,000000,2.02,2.03,2.01,2.02,0,0
10YSKY.B,D,20140714,000000,2.06,2.06,1.99,2,0,0
10YSKY.B,D,20140715,000000,2.02,2.04,1.97,2.01,0,0
10YSKY.B,D,20140716,000000,2.01,2.03,1.98,2,0,0
10YSKY.B,D,20140717,000000,1.98,2.04,1.95,1.96,0,0
10YSKY.B,D,20140718,000000,1.96,1.99,1.92,1.97,0,0
10YSKY.B,D,20140721,000000,1.96,2.01,1.94,1.96,0,0
10YSKY.B,D,20140722,000000,1.95,2.01,1.94,1.96,0,0
10YSKY.B,D,20140723,000000,1.95,1.99,1.93,1.93,0,0
10YSKY.B,D,20140724,000000,1.93,2,1.93,1.94,0,0
10YSKY.B,D,20140725,000000,1.94,1.98,1.9,1.91,0,0
10YSKY.B,D,20140728,000000,1.92,1.96,1.92,1.94,0,0
10YSKY.B,D,20140729,000000,1.93,1.96,1.9,1.93,0,0
10YSKY.B,D,20140730,000000,1.95,1.98,1.92,1.97,0,0
10YSKY.B,D,20140731,000000,1.97,2.04,1.95,1.98,0,0
10YSKY.B,D,20140801,000000,1.99,2.03,1.94,1.94,0,0
10YSKY.B,D,20140804,000000,1.99,2,1.93,1.94,0,0
10YSKY.B,D,20140805,000000,2,2.02,1.94,1.98,0,0
10YSKY.B,D,20140806,000000,2,2.02,1.91,1.96,0,0
10YSKY.B,D,20140807,000000,1.95,2,1.93,1.94,0,0
10YSKY.B,D,20140808,000000,1.92,2,1.91,1.95,0,0
10YSKY.B,D,20140811,000000,1.94,1.99,1.92,1.94,0,0
10YSKY.B,D,20140812,000000,1.95,1.98,1.91,1.92,0,0
10YSKY.B,D,20140813,000000,1.95,1.98,1.91,1.91,0,0
10YSKY.B,D,20140814,000000,1.89,1.97,1.87,1.89,0,0
10YSKY.B,D,20140815,000000,1.89,1.96,1.84,1.84,0,0
10YSKY.B,D,20140818,000000,1.88,1.94,1.87,1.89,0,0
10YSKY.B,D,20140819,000000,1.88,1.9,1.86,1.87,0,0
10YSKY.B,D,20140820,000000,1.85,1.87,1.85,1.86,0,0
10YSKY.B,D,20140821,000000,1.86,1.92,1.84,1.84,0,0
10YSKY.B,D,20140822,000000,1.83,1.89,1.83,1.89,0,0
10YSKY.B,D,20140825,000000,1.86,1.86,1.81,1.83,0,0
10YSKY.B,D,20140826,000000,1.82,1.83,1.81,1.82,0,0
10YSKY.B,D,20140827,000000,1.81,1.81,1.7,1.78,0,0
10YSKY.B,D,20140828,000000,1.69,1.78,1.68,1.76,0,0
10YSKY.B,D,20140902,000000,1.69,1.7,1.67,1.68,0,0
10YSKY.B,D,20140903,000000,1.68,1.71,1.67,1.69,0,0
10YSKY.B,D,20140904,000000,1.7,1.73,1.66,1.72,0,0
10YSKY.B,D,20140905,000000,1.71,1.71,1.71,1.71,0,0
10YSKY.B,D,20140908,000000,1.69,1.69,1.64,1.67,0,0
10YSKY.B,D,20140909,000000,1.72,1.72,1.66,1.67,0,0
10YSKY.B,D,20140910,000000,1.68,1.73,1.66,1.66,0,0
10YSKY.B,D,20140911,000000,1.65,1.66,1.63,1.66,0,0
10YSKY.B,D,20140912,000000,1.68,1.72,1.67,1.72,0,0
10YSKY.B,D,20140916,000000,1.67,1.67,1.6,1.64,0,0
10YSKY.B,D,20140917,000000,1.65,1.66,1.61,1.63,0,0
10YSKY.B,D,20140918,000000,1.65,1.68,1.63,1.66,0,0
10YSKY.B,D,20140919,000000,1.67,1.68,1.61,1.61,0,0
10YSKY.B,D,20140922,000000,1.58,1.62,1.58,1.59,0,0
10YSKY.B,D,20140923,000000,1.57,1.6,1.55,1.57,0,0
10YSKY.B,D,20140924,000000,1.54,1.56,1.51,1.53,0,0
10YSKY.B,D,20140925,000000,1.52,1.56,1.5,1.52,0,0
10YSKY.B,D,20140926,000000,1.52,1.59,1.48,1.49,0,0
10YSKY.B,D,20140929,000000,1.5,1.54,1.47,1.53,0,0
10YSKY.B,D,20140930,000000,1.53,1.55,1.49,1.49,0,0
