<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
10YTRY.B,D,20120207,000000,9.74,9.74,9.74,9.74,0,0
10YTRY.B,D,20120208,000000,9.63,9.63,9.63,9.63,0,0
10YTRY.B,D,20120209,000000,9.62,9.62,9.62,9.62,0,0
10YTRY.B,D,20120210,000000,9.7,9.7,9.7,9.7,0,0
10YTRY.B,D,20120213,000000,9.63,9.63,9.63,9.63,0,0
10YTRY.B,D,20120214,000000,9.63,9.63,9.63,9.63,0,0
10YTRY.B,D,20120215,000000,9.65,9.65,9.65,9.65,0,0
10YTRY.B,D,20120216,000000,9.6,9.6,9.6,9.6,0,0
10YTRY.B,D,20120217,000000,9.52,9.52,9.52,9.52,0,0
10YTRY.B,D,20120219,000000,9.52,9.52,9.52,9.52,0,0
10YTRY.B,D,20120220,000000,9.46,9.46,9.46,9.46,0,0
10YTRY.B,D,20120221,000000,9.46,9.46,9.46,9.46,0,0
10YTRY.B,D,20120222,000000,9.43,9.43,9.43,9.43,0,0
10YTRY.B,D,20120223,000000,9.45,9.45,9.45,9.45,0,0
10YTRY.B,D,20120224,000000,9.58,9.58,9.58,9.58,0,0
10YTRY.B,D,20120227,000000,9.67,9.67,9.67,9.67,0,0
10YTRY.B,D,20120228,000000,9.56,9.56,9.56,9.56,0,0
10YTRY.B,D,20120229,000000,9.49,9.49,9.49,9.49,0,0
10YTRY.B,D,20120301,000000,9.57,9.57,9.57,9.57,0,0
10YTRY.B,D,20120302,000000,9.6,9.6,9.6,9.6,0,0
10YTRY.B,D,20120305,000000,9.68,9.68,9.68,9.68,0,0
10YTRY.B,D,20120306,000000,9.73,9.73,9.73,9.73,0,0
10YTRY.B,D,20120307,000000,9.72,9.72,9.72,9.72,0,0
10YTRY.B,D,20120308,000000,9.6,9.6,9.6,9.6,0,0
10YTRY.B,D,20120309,000000,9.61,9.61,9.61,9.61,0,0
10YTRY.B,D,20120312,000000,9.7,9.7,9.7,9.7,0,0
10YTRY.B,D,20120313,000000,9.69,9.69,9.69,9.69,0,0
10YTRY.B,D,20120314,000000,9.8,9.8,9.8,9.8,0,0
10YTRY.B,D,20120315,000000,9.75,9.75,9.75,9.75,0,0
10YTRY.B,D,20120316,000000,9.74,9.74,9.74,9.74,0,0
10YTRY.B,D,20120319,000000,9.78,9.78,9.78,9.78,0,0
10YTRY.B,D,20120320,000000,9.85,9.85,9.85,9.85,0,0
10YTRY.B,D,20120321,000000,9.82,9.82,9.82,9.82,0,0
10YTRY.B,D,20120322,000000,9.81,9.81,9.81,9.81,0,0
10YTRY.B,D,20120323,000000,9.75,9.75,9.75,9.75,0,0
10YTRY.B,D,20120326,000000,9.69,9.69,9.69,9.69,0,0
10YTRY.B,D,20120327,000000,9.67,9.67,9.67,9.67,0,0
10YTRY.B,D,20120328,000000,9.68,9.68,9.68,9.68,0,0
10YTRY.B,D,20120329,000000,9.72,9.72,9.72,9.72,0,0
10YTRY.B,D,20120330,000000,9.64,9.64,9.64,9.64,0,0
10YTRY.B,D,20120402,000000,9.69,9.69,9.69,9.69,0,0
10YTRY.B,D,20120403,000000,9.65,9.65,9.65,9.65,0,0
10YTRY.B,D,20120404,000000,9.71,9.71,9.71,9.71,0,0
10YTRY.B,D,20120405,000000,9.76,9.76,9.76,9.76,0,0
10YTRY.B,D,20120406,000000,9.73,9.73,9.73,9.73,0,0
10YTRY.B,D,20120408,000000,9.73,9.73,9.73,9.73,0,0
10YTRY.B,D,20120409,000000,9.76,9.76,9.76,9.76,0,0
10YTRY.B,D,20120410,000000,9.82,9.82,9.82,9.82,0,0
10YTRY.B,D,20120411,000000,9.76,9.76,9.76,9.76,0,0
10YTRY.B,D,20120412,000000,9.67,9.67,9.67,9.67,0,0
10YTRY.B,D,20120413,000000,9.71,9.71,9.71,9.71,0,0
10YTRY.B,D,20120416,000000,9.71,9.71,9.71,9.71,0,0
10YTRY.B,D,20120417,000000,9.7,9.7,9.7,9.7,0,0
10YTRY.B,D,20120418,000000,9.7,9.7,9.7,9.7,0,0
10YTRY.B,D,20120419,000000,9.71,9.71,9.71,9.71,0,0
10YTRY.B,D,20120420,000000,9.72,9.72,9.72,9.72,0,0
10YTRY.B,D,20120424,000000,9.67,9.67,9.67,9.67,0,0
10YTRY.B,D,20120425,000000,9.53,9.53,9.53,9.53,0,0
10YTRY.B,D,20120426,000000,9.48,9.48,9.48,9.48,0,0
10YTRY.B,D,20120427,000000,9.38,9.38,9.38,9.38,0,0
10YTRY.B,D,20120430,000000,9.26,9.26,9.26,9.26,0,0
10YTRY.B,D,20120502,000000,9.26,9.26,9.26,9.26,0,0
10YTRY.B,D,20120503,000000,9.15,9.15,9.15,9.15,0,0
10YTRY.B,D,20120504,000000,9.17,9.17,9.17,9.17,0,0
10YTRY.B,D,20120506,000000,9.17,9.17,9.17,9.17,0,0
10YTRY.B,D,20120507,000000,9.19,9.19,9.19,9.19,0,0
10YTRY.B,D,20120508,000000,9.34,9.34,9.34,9.34,0,0
10YTRY.B,D,20120509,000000,9.33,9.33,9.33,9.33,0,0
10YTRY.B,D,20120510,000000,9.19,9.19,9.19,9.19,0,0
10YTRY.B,D,20120511,000000,9.16,9.16,9.16,9.16,0,0
10YTRY.B,D,20120514,000000,9.28,9.28,9.28,9.28,0,0
10YTRY.B,D,20120515,000000,9.29,9.29,9.29,9.29,0,0
10YTRY.B,D,20120516,000000,9.31,9.31,9.31,9.31,0,0
10YTRY.B,D,20120517,000000,9.46,9.46,9.46,9.46,0,0
10YTRY.B,D,20120518,000000,9.4,9.4,9.4,9.4,0,0
10YTRY.B,D,20120521,000000,9.4,9.4,9.4,9.4,0,0
10YTRY.B,D,20120522,000000,9.36,9.36,9.36,9.36,0,0
10YTRY.B,D,20120523,000000,9.43,9.43,9.43,9.43,0,0
10YTRY.B,D,20120524,000000,9.38,9.38,9.38,9.38,0,0
10YTRY.B,D,20120525,000000,9.37,9.37,9.37,9.37,0,0
10YTRY.B,D,20120528,000000,9.29,9.29,9.29,9.29,0,0
10YTRY.B,D,20120529,000000,9.2,9.2,9.2,9.2,0,0
10YTRY.B,D,20120530,000000,9.25,9.25,9.25,9.25,0,0
10YTRY.B,D,20120531,000000,9.26,9.26,9.26,9.26,0,0
10YTRY.B,D,20120601,000000,9.18,9.18,9.18,9.18,0,0
10YTRY.B,D,20120604,000000,9.11,9.11,9.11,9.11,0,0
10YTRY.B,D,20120605,000000,9,9,9,9,0,0
10YTRY.B,D,20120606,000000,9,9,9,9,0,0
10YTRY.B,D,20120607,000000,8.98,8.98,8.98,8.98,0,0
10YTRY.B,D,20120608,000000,8.96,8.96,8.96,8.96,0,0
10YTRY.B,D,20120611,000000,8.97,8.97,8.97,8.97,0,0
10YTRY.B,D,20120612,000000,9.03,9.03,9.03,9.03,0,0
10YTRY.B,D,20120613,000000,9.08,9.08,9.08,9.08,0,0
10YTRY.B,D,20120614,000000,9.06,9.06,9.06,9.06,0,0
10YTRY.B,D,20120615,000000,9.03,9.03,9.03,9.03,0,0
10YTRY.B,D,20120618,000000,8.99,8.99,8.99,8.99,0,0
10YTRY.B,D,20120619,000000,8.85,8.85,8.85,8.85,0,0
10YTRY.B,D,20120620,000000,8.8,8.8,8.8,8.8,0,0
10YTRY.B,D,20120621,000000,8.73,8.73,8.73,8.73,0,0
10YTRY.B,D,20120622,000000,8.72,8.72,8.72,8.72,0,0
10YTRY.B,D,20120625,000000,8.79,8.79,8.79,8.79,0,0
10YTRY.B,D,20120626,000000,8.7,8.7,8.7,8.7,0,0
10YTRY.B,D,20120627,000000,8.73,8.73,8.73,8.73,0,0
10YTRY.B,D,20120628,000000,8.81,8.81,8.81,8.81,0,0
10YTRY.B,D,20120629,000000,8.77,8.77,8.77,8.77,0,0
10YTRY.B,D,20120701,000000,8.77,8.77,8.77,8.77,0,0
10YTRY.B,D,20120702,000000,8.78,8.78,8.78,8.78,0,0
10YTRY.B,D,20120703,000000,8.73,8.73,8.73,8.73,0,0
10YTRY.B,D,20120704,000000,8.69,8.69,8.69,8.69,0,0
10YTRY.B,D,20120705,000000,8.69,8.69,8.69,8.69,0,0
10YTRY.B,D,20120706,000000,8.62,8.62,8.62,8.62,0,0
10YTRY.B,D,20120707,000000,8.62,8.62,8.62,8.62,0,0
10YTRY.B,D,20120708,000000,8.62,8.62,8.62,8.62,0,0
10YTRY.B,D,20120709,000000,8.58,8.58,8.58,8.58,0,0
10YTRY.B,D,20120710,000000,8.45,8.45,8.45,8.45,0,0
10YTRY.B,D,20120711,000000,8.25,8.25,8.25,8.25,0,0
10YTRY.B,D,20120712,000000,8.22,8.22,8.22,8.22,0,0
10YTRY.B,D,20120713,000000,8.17,8.17,8.17,8.17,0,0
10YTRY.B,D,20120716,000000,8.2,8.2,8.2,8.2,0,0
10YTRY.B,D,20120717,000000,8.13,8.13,8.13,8.13,0,0
10YTRY.B,D,20120718,000000,8.12,8.12,8.12,8.12,0,0
10YTRY.B,D,20120719,000000,8.11,8.11,8.11,8.11,0,0
10YTRY.B,D,20120720,000000,8.23,8.23,8.23,8.23,0,0
10YTRY.B,D,20120723,000000,8.34,8.34,8.34,8.34,0,0
10YTRY.B,D,20120724,000000,8.35,8.35,8.35,8.35,0,0
10YTRY.B,D,20120725,000000,8.25,8.25,8.25,8.25,0,0
10YTRY.B,D,20120726,000000,8.16,8.16,8.16,8.16,0,0
10YTRY.B,D,20120727,000000,8.21,8.21,8.21,8.21,0,0
10YTRY.B,D,20120730,000000,8.2,8.2,8.2,8.2,0,0
10YTRY.B,D,20120731,000000,8.16,8.16,8.16,8.16,0,0
10YTRY.B,D,20120801,000000,8.18,8.18,8.18,8.18,0,0
10YTRY.B,D,20120802,000000,8.24,8.24,8.24,8.24,0,0
10YTRY.B,D,20120803,000000,8.1,8.1,8.1,8.1,0,0
10YTRY.B,D,20120805,000000,8.1,8.1,8.1,8.1,0,0
10YTRY.B,D,20120806,000000,8.18,8.18,8.18,8.18,0,0
10YTRY.B,D,20120807,000000,8.31,8.31,8.31,8.31,0,0
10YTRY.B,D,20120808,000000,8.34,8.34,8.34,8.34,0,0
10YTRY.B,D,20120809,000000,8.4,8.4,8.4,8.4,0,0
10YTRY.B,D,20120810,000000,8.46,8.46,8.46,8.46,0,0
10YTRY.B,D,20120813,000000,8.53,8.53,8.53,8.53,0,0
10YTRY.B,D,20120814,000000,8.55,8.55,8.55,8.55,0,0
10YTRY.B,D,20120815,000000,8.55,8.55,8.55,8.55,0,0
10YTRY.B,D,20120816,000000,8.53,8.53,8.53,8.53,0,0
10YTRY.B,D,20120817,000000,8.51,8.51,8.51,8.51,0,0
10YTRY.B,D,20120821,000000,8.51,8.51,8.51,8.51,0,0
10YTRY.B,D,20120822,000000,8.37,8.37,8.37,8.37,0,0
10YTRY.B,D,20120823,000000,8.22,8.22,8.22,8.22,0,0
10YTRY.B,D,20120824,000000,8.3,8.3,8.3,8.3,0,0
10YTRY.B,D,20120827,000000,8.2,8.2,8.2,8.2,0,0
10YTRY.B,D,20120828,000000,8.21,8.21,8.21,8.21,0,0
10YTRY.B,D,20120829,000000,8.21,8.21,8.21,8.21,0,0
10YTRY.B,D,20120831,000000,8.17,8.17,8.17,8.17,0,0
10YTRY.B,D,20120903,000000,8.22,8.22,8.22,8.22,0,0
10YTRY.B,D,20120904,000000,8.13,8.13,8.13,8.13,0,0
10YTRY.B,D,20120905,000000,8.13,8.13,8.13,8.13,0,0
10YTRY.B,D,20120906,000000,8.12,8.12,8.12,8.12,0,0
10YTRY.B,D,20120907,000000,8.06,8.06,7.99,7.99,0,0
10YTRY.B,D,20120910,000000,8,8.11,8,8.06,0,0
10YTRY.B,D,20120911,000000,8.09,8.09,8.05,8.05,0,0
10YTRY.B,D,20120912,000000,8.05,8.25,8.05,8.18,0,0
10YTRY.B,D,20120913,000000,8.21,8.3,8.21,8.22,0,0
10YTRY.B,D,20120914,000000,8.11,8.31,8.07,8.22,0,0
10YTRY.B,D,20120917,000000,8.24,8.36,8.24,8.28,0,0
10YTRY.B,D,20120918,000000,8.35,8.35,8.2,8.22,0,0
10YTRY.B,D,20120919,000000,8.2,8.32,8.18,8.32,0,0
10YTRY.B,D,20120920,000000,8.32,8.38,8.3,8.32,0,0
10YTRY.B,D,20120921,000000,8.3,8.32,8.26,8.32,0,0
10YTRY.B,D,20120924,000000,8.33,8.36,8.25,8.27,0,0
10YTRY.B,D,20120925,000000,8.28,8.28,8.2,8.2,0,0
10YTRY.B,D,20120926,000000,8.09,8.16,8.06,8.13,0,0
10YTRY.B,D,20120927,000000,8.1,8.16,8.06,8.09,0,0
10YTRY.B,D,20120928,000000,8.09,8.17,8.08,8.11,0,0
10YTRY.B,D,20121001,000000,8.14,8.14,8.11,8.11,0,0
10YTRY.B,D,20121002,000000,8.13,8.13,8.08,8.11,0,0
10YTRY.B,D,20121003,000000,8.1,8.3,8.1,8.28,0,0
10YTRY.B,D,20121004,000000,8.29,8.29,8.16,8.16,0,0
10YTRY.B,D,20121005,000000,8.14,8.18,8.1,8.1,0,0
10YTRY.B,D,20121008,000000,8.16,8.24,8.14,8.21,0,0
10YTRY.B,D,20121009,000000,8.16,8.25,8.16,8.24,0,0
10YTRY.B,D,20121010,000000,8.24,8.27,8.22,8.22,0,0
10YTRY.B,D,20121011,000000,8.23,8.23,8.19,8.19,0,0
10YTRY.B,D,20121012,000000,8.2,8.22,8.17,8.17,0,0
10YTRY.B,D,20121015,000000,8.2,8.2,8.16,8.17,0,0
10YTRY.B,D,20121016,000000,8.16,8.16,8.12,8.14,0,0
10YTRY.B,D,20121017,000000,8.11,8.12,8.08,8.09,0,0
10YTRY.B,D,20121018,000000,8.09,8.15,8.09,8.14,0,0
10YTRY.B,D,20121019,000000,8.14,8.15,8.07,8.07,0,0
10YTRY.B,D,20121022,000000,8.07,8.07,8.02,8.04,0,0
10YTRY.B,D,20121023,000000,8.03,8.1,8.01,8.07,0,0
10YTRY.B,D,20121030,000000,8.07,8.09,8.05,8.06,0,0
10YTRY.B,D,20121031,000000,8.01,8.02,7.95,7.95,0,0
10YTRY.B,D,20121101,000000,7.89,7.99,7.89,7.92,0,0
10YTRY.B,D,20121102,000000,7.94,7.94,7.91,7.93,0,0
10YTRY.B,D,20121105,000000,7.95,7.95,7.68,7.68,0,0
10YTRY.B,D,20121106,000000,7.62,7.66,7.59,7.6,0,0
10YTRY.B,D,20121107,000000,7.6,7.6,7.52,7.52,0,0
10YTRY.B,D,20121108,000000,7.52,7.52,7.41,7.44,0,0
10YTRY.B,D,20121109,000000,7.43,7.43,7.31,7.33,0,0
10YTRY.B,D,20121112,000000,7.34,7.34,7.29,7.34,0,0
10YTRY.B,D,20121113,000000,7.34,7.47,7.34,7.45,0,0
10YTRY.B,D,20121114,000000,7.43,7.51,7.4,7.48,0,0
10YTRY.B,D,20121115,000000,7.47,7.52,7.47,7.49,0,0
10YTRY.B,D,20121116,000000,7.51,7.6,7.47,7.53,0,0
10YTRY.B,D,20121119,000000,7.51,7.51,7.34,7.34,0,0
10YTRY.B,D,20121120,000000,7.35,7.35,7.27,7.27,0,0
10YTRY.B,D,20121121,000000,7.3,7.3,7.28,7.29,0,0
10YTRY.B,D,20121122,000000,7.31,7.31,7.16,7.18,0,0
10YTRY.B,D,20121123,000000,7.24,7.24,7.16,7.17,0,0
10YTRY.B,D,20121126,000000,7.17,7.17,7.1,7.1,0,0
10YTRY.B,D,20121127,000000,7.05,7.13,7.05,7.05,0,0
10YTRY.B,D,20121128,000000,7.07,7.07,7.07,7.07,0,0
10YTRY.B,D,20121129,000000,7.07,7.07,6.91,6.95,0,0
10YTRY.B,D,20121130,000000,6.96,6.96,6.87,6.87,0,0
10YTRY.B,D,20121203,000000,6.88,6.88,6.67,6.71,0,0
10YTRY.B,D,20121204,000000,6.7,6.7,6.52,6.52,0,0
10YTRY.B,D,20121205,000000,6.44,6.63,6.44,6.61,0,0
10YTRY.B,D,20121206,000000,6.67,6.71,6.61,6.61,0,0
10YTRY.B,D,20121207,000000,6.67,6.67,6.61,6.67,0,0
10YTRY.B,D,20121210,000000,6.67,6.72,6.63,6.67,0,0
10YTRY.B,D,20121211,000000,6.67,6.69,6.59,6.62,0,0
10YTRY.B,D,20121212,000000,6.61,6.61,6.51,6.52,0,0
10YTRY.B,D,20121213,000000,6.52,6.57,6.49,6.51,0,0
10YTRY.B,D,20121214,000000,6.51,6.53,6.47,6.48,0,0
10YTRY.B,D,20121217,000000,6.48,6.49,6.48,6.48,0,0
10YTRY.B,D,20121218,000000,6.48,6.48,6.41,6.42,0,0
10YTRY.B,D,20121219,000000,6.44,6.52,6.44,6.49,0,0
10YTRY.B,D,20121220,000000,6.5,6.55,6.48,6.54,0,0
