<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1MGRY.B,D,20220309,000000,-0.073,-0.073,-0.22,-0.22,0,0
1MGRY.B,D,20220310,000000,-0.078,-0.078,-0.235,-0.156,0,0
1MGRY.B,D,20220311,000000,-0.08,-0.08,-0.24,-0.08,0,0
1MGRY.B,D,20220314,000000,-0.082,-0.082,-0.082,-0.082,0,0
1MGRY.B,D,20220315,000000,0.084,0.084,-0.084,-0.084,0,0
1MGRY.B,D,20220316,000000,-0.086,-0.086,-0.086,-0.086,0,0
1MGRY.B,D,20220317,000000,0.185,0.185,-0.092,-0.092,0,0
1MGRY.B,D,20220318,000000,0.19,0.19,-0.095,-0.095,0,0
1MGRY.B,D,20220321,000000,-0.097,-0.097,-0.097,-0.097,0,0
1MGRY.B,D,20220322,000000,-0.1,-0.1,-0.1,-0.1,0,0
1MGRY.B,D,20220323,000000,-0.103,-0.103,-0.103,-0.103,0,0
1MGRY.B,D,20220324,000000,-0.112,-0.112,-0.112,-0.112,0,0
1MGRY.B,D,20220328,000000,-0.299,-0.12,-0.299,-0.12,0,0
1MGRY.B,D,20220329,000000,-0.31,-0.31,-0.31,-0.31,0,0
1MGRY.B,D,20220330,000000,-0.32,-0.129,-0.32,-0.129,0,0
1MGRY.B,D,20220331,000000,-0.112,-0.112,-0.225,-0.225,0,0
1MGRY.B,D,20220401,000000,-0.116,-0.116,-0.232,-0.116,0,0
1MGRY.B,D,20220404,000000,-0.12,-0.12,-0.12,-0.12,0,0
1MGRY.B,D,20220405,000000,-0.124,-0.124,-0.124,-0.124,0,0
1MGRY.B,D,20220406,000000,-0.32,-0.32,-0.32,-0.32,0,0
1MGRY.B,D,20220407,000000,-0.32,-0.32,-0.32,-0.32,0,0
1MGRY.B,D,20220411,000000,-0.234,-0.078,-0.235,-0.078,0,0
1MGRY.B,D,20220412,000000,0.164,0.164,0.164,0.164,0,0
1MGRY.B,D,20220413,000000,0.212,0.212,0.212,0.212,0,0
