<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1MUSY.B,D,20011226,000000,1.761,1.761,1.761,1.761,0,0
1MUSY.B,D,20011227,000000,1.751,1.751,1.751,1.751,0,0
1MUSY.B,D,20011228,000000,1.72,1.72,1.72,1.72,0,0
1MUSY.B,D,20011231,000000,1.72,1.72,1.72,1.72,0,0
1MUSY.B,D,20020102,000000,1.74,1.74,1.74,1.74,0,0
1MUSY.B,D,20020103,000000,1.72,1.72,1.72,1.72,0,0
1MUSY.B,D,20020104,000000,1.725,1.725,1.725,1.725,0,0
1MUSY.B,D,20020107,000000,1.7,1.7,1.7,1.7,0,0
1MUSY.B,D,20020108,000000,1.68,1.68,1.68,1.68,0,0
1MUSY.B,D,20020109,000000,1.669,1.669,1.669,1.669,0,0
1MUSY.B,D,20020110,000000,1.68,1.68,1.68,1.68,0,0
1MUSY.B,D,20020111,000000,1.669,1.669,1.669,1.669,0,0
1MUSY.B,D,20020114,000000,1.628,1.628,1.628,1.628,0,0
1MUSY.B,D,20020115,000000,1.644,1.644,1.644,1.644,0,0
1MUSY.B,D,20020116,000000,1.629,1.629,1.629,1.629,0,0
1MUSY.B,D,20020117,000000,1.613,1.613,1.613,1.613,0,0
1MUSY.B,D,20020118,000000,1.593,1.593,1.593,1.593,0,0
1MUSY.B,D,20020122,000000,1.669,1.669,1.669,1.669,0,0
1MUSY.B,D,20020123,000000,1.69,1.69,1.69,1.69,0,0
1MUSY.B,D,20020124,000000,1.69,1.69,1.69,1.69,0,0
1MUSY.B,D,20020125,000000,1.7,1.7,1.7,1.7,0,0
1MUSY.B,D,20020128,000000,1.71,1.71,1.71,1.71,0,0
1MUSY.B,D,20020129,000000,1.71,1.71,1.71,1.71,0,0
1MUSY.B,D,20020130,000000,1.7,1.7,1.7,1.7,0,0
1MUSY.B,D,20020131,000000,1.69,1.69,1.69,1.69,0,0
1MUSY.B,D,20020201,000000,1.68,1.68,1.68,1.68,0,0
1MUSY.B,D,20020204,000000,1.69,1.69,1.69,1.69,0,0
1MUSY.B,D,20020205,000000,1.736,1.736,1.736,1.736,0,0
1MUSY.B,D,20020206,000000,1.731,1.731,1.731,1.731,0,0
1MUSY.B,D,20020207,000000,1.72,1.72,1.72,1.72,0,0
1MUSY.B,D,20020208,000000,1.69,1.69,1.69,1.69,0,0
1MUSY.B,D,20020211,000000,1.746,1.746,1.746,1.746,0,0
1MUSY.B,D,20020212,000000,1.74,1.74,1.74,1.74,0,0
1MUSY.B,D,20020213,000000,1.756,1.756,1.756,1.756,0,0
1MUSY.B,D,20020214,000000,1.746,1.746,1.746,1.746,0,0
1MUSY.B,D,20020215,000000,1.715,1.715,1.715,1.715,0,0
1MUSY.B,D,20020219,000000,1.73,1.73,1.73,1.73,0,0
1MUSY.B,D,20020220,000000,1.72,1.72,1.72,1.72,0,0
1MUSY.B,D,20020221,000000,1.756,1.756,1.756,1.756,0,0
1MUSY.B,D,20020222,000000,1.751,1.751,1.751,1.751,0,0
1MUSY.B,D,20020225,000000,1.761,1.761,1.761,1.761,0,0
1MUSY.B,D,20020226,000000,1.782,1.782,1.782,1.782,0,0
1MUSY.B,D,20020227,000000,1.792,1.792,1.792,1.792,0,0
1MUSY.B,D,20020228,000000,1.766,1.766,1.766,1.766,0,0
1MUSY.B,D,20020301,000000,1.776,1.776,1.776,1.776,0,0
1MUSY.B,D,20020304,000000,1.776,1.776,1.776,1.776,0,0
1MUSY.B,D,20020305,000000,1.756,1.756,1.756,1.756,0,0
1MUSY.B,D,20020306,000000,1.741,1.741,1.741,1.741,0,0
1MUSY.B,D,20020307,000000,1.776,1.776,1.776,1.776,0,0
1MUSY.B,D,20020308,000000,1.776,1.776,1.776,1.776,0,0
1MUSY.B,D,20020311,000000,1.802,1.802,1.802,1.802,0,0
1MUSY.B,D,20020312,000000,1.812,1.812,1.812,1.812,0,0
1MUSY.B,D,20020313,000000,1.812,1.812,1.812,1.812,0,0
1MUSY.B,D,20020314,000000,1.797,1.797,1.797,1.797,0,0
1MUSY.B,D,20020315,000000,1.781,1.781,1.781,1.781,0,0
1MUSY.B,D,20020318,000000,1.776,1.776,1.776,1.776,0,0
1MUSY.B,D,20020319,000000,1.772,1.772,1.772,1.772,0,0
1MUSY.B,D,20020320,000000,1.7,1.7,1.7,1.7,0,0
1MUSY.B,D,20020321,000000,1.782,1.782,1.782,1.782,0,0
1MUSY.B,D,20020322,000000,1.781,1.781,1.781,1.781,0,0
1MUSY.B,D,20020325,000000,1.781,1.781,1.781,1.781,0,0
1MUSY.B,D,20020326,000000,1.791,1.791,1.791,1.791,0,0
1MUSY.B,D,20020327,000000,1.751,1.751,1.751,1.751,0,0
1MUSY.B,D,20020328,000000,1.761,1.761,1.761,1.761,0,0
1MUSY.B,D,20020401,000000,1.791,1.791,1.791,1.791,0,0
1MUSY.B,D,20020402,000000,1.629,1.629,1.629,1.629,0,0
1MUSY.B,D,20020403,000000,1.771,1.771,1.771,1.771,0,0
1MUSY.B,D,20020404,000000,1.771,1.771,1.771,1.771,0,0
1MUSY.B,D,20020405,000000,1.761,1.761,1.761,1.761,0,0
1MUSY.B,D,20020408,000000,1.761,1.761,1.761,1.761,0,0
