<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1YIEY.B,D,20160825,000000,-0.367,-0.302,-0.367,-0.302,0,0
1YIEY.B,D,20160826,000000,-0.361,-0.351,-0.361,-0.351,0,0
1YIEY.B,D,20160829,000000,-0.336,-0.336,-0.341,-0.341,0,0
1YIEY.B,D,20160830,000000,-0.367,-0.362,-0.367,-0.362,0,0
1YIEY.B,D,20160831,000000,-0.371,-0.361,-0.371,-0.361,0,0
1YIEY.B,D,20160901,000000,-0.336,-0.287,-0.336,-0.287,0,0
1YIEY.B,D,20160902,000000,-0.369,-0.369,-0.377,-0.377,0,0
1YIEY.B,D,20160905,000000,-0.299,-0.299,-0.387,-0.387,0,0
1YIEY.B,D,20160906,000000,-0.393,-0.385,-0.393,-0.385,0,0
1YIEY.B,D,20160907,000000,-0.314,-0.314,-0.405,-0.405,0,0
1YIEY.B,D,20160908,000000,-0.41,-0.394,-0.41,-0.394,0,0
1YIEY.B,D,20160909,000000,-0.359,-0.359,-0.384,-0.384,0,0
1YIEY.B,D,20160912,000000,-0.372,-0.372,-0.378,-0.378,0,0
1YIEY.B,D,20160913,000000,-0.377,-0.373,-0.377,-0.373,0,0
1YIEY.B,D,20160914,000000,-0.343,-0.289,-0.343,-0.289,0,0
1YIEY.B,D,20160915,000000,-0.331,-0.305,-0.331,-0.305,0,0
1YIEY.B,D,20160916,000000,-0.386,-0.386,-0.409,-0.409,0,0
1YIEY.B,D,20160919,000000,-0.312,-0.312,-0.421,-0.421,0,0
1YIEY.B,D,20160920,000000,-0.385,-0.385,-0.429,-0.429,0,0
1YIEY.B,D,20160921,000000,-0.398,-0.398,-0.414,-0.414,0,0
1YIEY.B,D,20160922,000000,-0.39,-0.39,-0.423,-0.423,0,0
1YIEY.B,D,20160923,000000,-0.425,-0.421,-0.425,-0.421,0,0
1YIEY.B,D,20160926,000000,-0.424,-0.424,-0.428,-0.428,0,0
1YIEY.B,D,20160927,000000,-0.434,-0.434,-0.434,-0.434,0,0
1YIEY.B,D,20160928,000000,-0.448,-0.434,-0.448,-0.434,0,0
1YIEY.B,D,20160929,000000,-0.421,-0.421,-0.422,-0.422,0,0
1YIEY.B,D,20160930,000000,-0.439,-0.425,-0.439,-0.425,0,0
1YIEY.B,D,20161003,000000,-0.436,-0.412,-0.436,-0.412,0,0
1YIEY.B,D,20161004,000000,-0.434,-0.434,-0.436,-0.436,0,0
1YIEY.B,D,20161005,000000,-0.435,-0.435,-0.443,-0.443,0,0
1YIEY.B,D,20161006,000000,-0.47,-0.448,-0.47,-0.448,0,0
1YIEY.B,D,20161007,000000,-0.452,-0.452,-0.459,-0.459,0,0
1YIEY.B,D,20161010,000000,-0.477,-0.464,-0.477,-0.464,0,0
1YIEY.B,D,20161011,000000,-0.475,-0.468,-0.475,-0.468,0,0
1YIEY.B,D,20161012,000000,-0.472,-0.464,-0.472,-0.464,0,0
1YIEY.B,D,20161013,000000,-0.506,-0.468,-0.506,-0.468,0,0
1YIEY.B,D,20161014,000000,-0.455,-0.455,-0.46,-0.46,0,0
1YIEY.B,D,20161017,000000,-0.46,-0.46,-0.463,-0.463,0,0
1YIEY.B,D,20161018,000000,-0.465,-0.465,-0.471,-0.471,0,0
1YIEY.B,D,20161019,000000,-0.478,-0.466,-0.478,-0.466,0,0
1YIEY.B,D,20161020,000000,-0.466,-0.456,-0.466,-0.456,0,0
1YIEY.B,D,20161021,000000,-0.465,-0.465,-0.468,-0.468,0,0
1YIEY.B,D,20161024,000000,-0.473,-0.461,-0.473,-0.461,0,0
1YIEY.B,D,20161025,000000,-0.462,-0.462,-0.466,-0.466,0,0
1YIEY.B,D,20161026,000000,-0.458,-0.438,-0.458,-0.438,0,0
1YIEY.B,D,20161027,000000,-0.451,-0.451,-0.456,-0.456,0,0
1YIEY.B,D,20161028,000000,-0.418,-0.414,-0.418,-0.414,0,0
1YIEY.B,D,20161031,000000,-0.447,-0.438,-0.447,-0.438,0,0
1YIEY.B,D,20161101,000000,-0.447,-0.447,-0.455,-0.455,0,0
1YIEY.B,D,20161102,000000,-0.456,-0.454,-0.456,-0.454,0,0
1YIEY.B,D,20161103,000000,-0.461,-0.454,-0.461,-0.454,0,0
1YIEY.B,D,20161104,000000,-0.453,-0.453,-0.457,-0.457,0,0
1YIEY.B,D,20161107,000000,-0.447,-0.445,-0.447,-0.445,0,0
1YIEY.B,D,20161108,000000,-0.443,-0.443,-0.472,-0.472,0,0
1YIEY.B,D,20161109,000000,-0.479,-0.47,-0.479,-0.47,0,0
1YIEY.B,D,20161110,000000,-0.465,-0.465,-0.465,-0.465,0,0
1YIEY.B,D,20161111,000000,-0.441,-0.441,-0.446,-0.446,0,0
1YIEY.B,D,20161114,000000,-0.437,-0.437,-0.449,-0.449,0,0
1YIEY.B,D,20161115,000000,-0.449,-0.424,-0.449,-0.424,0,0
1YIEY.B,D,20161116,000000,-0.463,-0.435,-0.463,-0.435,0,0
1YIEY.B,D,20161117,000000,-0.455,-0.455,-0.465,-0.465,0,0
1YIEY.B,D,20161118,000000,-0.45,-0.45,-0.455,-0.455,0,0
1YIEY.B,D,20161121,000000,-0.482,-0.426,-0.482,-0.426,0,0
