<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1YNOY.B,D,20071220,000000,5.037,5.037,5.037,5.037,0,0
1YNOY.B,D,20071221,000000,5.052,5.052,5.052,5.052,0,0
1YNOY.B,D,20071227,000000,5.153,5.153,5.153,5.153,0,0
1YNOY.B,D,20071228,000000,5.16,5.16,5.16,5.16,0,0
1YNOY.B,D,20080102,000000,5.179,5.179,5.179,5.179,0,0
1YNOY.B,D,20080103,000000,5.194,5.194,5.194,5.194,0,0
1YNOY.B,D,20080104,000000,5.198,5.198,5.198,5.198,0,0
1YNOY.B,D,20080107,000000,5.207,5.207,5.207,5.207,0,0
1YNOY.B,D,20080108,000000,5.195,5.195,5.195,5.195,0,0
1YNOY.B,D,20080109,000000,5.227,5.227,5.227,5.227,0,0
1YNOY.B,D,20080110,000000,5.197,5.197,5.197,5.197,0,0
1YNOY.B,D,20080111,000000,5.248,5.248,5.248,5.248,0,0
1YNOY.B,D,20080114,000000,5.253,5.253,5.253,5.253,0,0
1YNOY.B,D,20080115,000000,5.251,5.251,5.251,5.251,0,0
1YNOY.B,D,20080116,000000,5.281,5.281,5.281,5.281,0,0
1YNOY.B,D,20080117,000000,5.249,5.249,5.249,5.249,0,0
1YNOY.B,D,20080118,000000,5.2,5.2,5.2,5.2,0,0
1YNOY.B,D,20080121,000000,5.196,5.196,5.196,5.196,0,0
1YNOY.B,D,20080122,000000,5.149,5.149,5.149,5.149,0,0
1YNOY.B,D,20080123,000000,5.16,5.16,5.16,5.16,0,0
1YNOY.B,D,20080124,000000,5.117,5.117,5.117,5.117,0,0
1YNOY.B,D,20080125,000000,5.133,5.133,5.133,5.133,0,0
1YNOY.B,D,20080128,000000,5.134,5.134,5.134,5.134,0,0
1YNOY.B,D,20080129,000000,5.135,5.135,5.135,5.135,0,0
1YNOY.B,D,20080130,000000,5.169,5.169,5.169,5.169,0,0
1YNOY.B,D,20080131,000000,5.154,5.154,5.154,5.154,0,0
1YNOY.B,D,20080201,000000,5.136,5.136,5.136,5.136,0,0
1YNOY.B,D,20080204,000000,5.14,5.14,5.14,5.14,0,0
1YNOY.B,D,20080205,000000,5.144,5.144,5.144,5.144,0,0
1YNOY.B,D,20080206,000000,5.19,5.19,5.19,5.19,0,0
1YNOY.B,D,20080207,000000,5.157,5.157,5.157,5.157,0,0
1YNOY.B,D,20080208,000000,5.157,5.157,5.157,5.157,0,0
1YNOY.B,D,20080211,000000,5.209,5.209,5.209,5.209,0,0
1YNOY.B,D,20080212,000000,5.26,5.26,5.26,5.26,0,0
1YNOY.B,D,20080213,000000,5.291,5.291,5.291,5.291,0,0
1YNOY.B,D,20080214,000000,5.283,5.283,5.283,5.283,0,0
1YNOY.B,D,20080215,000000,5.321,5.321,5.321,5.321,0,0
1YNOY.B,D,20080218,000000,5.366,5.366,5.366,5.366,0,0
1YNOY.B,D,20080219,000000,5.364,5.364,5.364,5.364,0,0
1YNOY.B,D,20080220,000000,5.406,5.406,5.406,5.406,0,0
1YNOY.B,D,20080221,000000,5.371,5.371,5.371,5.371,0,0
1YNOY.B,D,20080222,000000,5.376,5.376,5.376,5.376,0,0
1YNOY.B,D,20080225,000000,5.378,5.378,5.378,5.378,0,0
1YNOY.B,D,20080226,000000,5.372,5.372,5.372,5.372,0,0
1YNOY.B,D,20080227,000000,5.409,5.409,5.409,5.409,0,0
1YNOY.B,D,20080228,000000,5.379,5.379,5.379,5.379,0,0
1YNOY.B,D,20080229,000000,5.385,5.385,5.385,5.385,0,0
1YNOY.B,D,20080303,000000,5.393,5.393,5.393,5.393,0,0
