<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
20YUSY.B,D,20200521,000000,1.177,1.18,1.141,1.164,0,0
20YUSY.B,D,20200522,000000,1.155,1.155,1.097,1.127,0,0
20YUSY.B,D,20200526,000000,1.124,1.204,1.12,1.2,0,0
20YUSY.B,D,20200527,000000,1.192,1.234,1.172,1.213,0,0
20YUSY.B,D,20200528,000000,1.213,1.238,1.188,1.216,0,0
20YUSY.B,D,20200529,000000,1.203,1.215,1.166,1.179,0,0
20YUSY.B,D,20200601,000000,1.169,1.239,1.166,1.225,0,0
20YUSY.B,D,20200602,000000,1.201,1.253,1.197,1.246,0,0
20YUSY.B,D,20200603,000000,1.254,1.331,1.244,1.3,0,0
20YUSY.B,D,20200604,000000,1.307,1.405,1.278,1.401,0,0
20YUSY.B,D,20200605,000000,1.394,1.541,1.371,1.45,0,0
20YUSY.B,D,20200608,000000,1.457,1.504,1.412,1.426,0,0
20YUSY.B,D,20200609,000000,1.421,1.421,1.33,1.358,0,0
20YUSY.B,D,20200610,000000,1.36,1.371,1.285,1.293,0,0
20YUSY.B,D,20200611,000000,1.277,1.287,1.177,1.185,0,0
20YUSY.B,D,20200612,000000,1.19,1.271,1.18,1.242,0,0
20YUSY.B,D,20200615,000000,1.194,1.25,1.171,1.248,0,0
20YUSY.B,D,20200616,000000,1.293,1.353,1.266,1.301,0,0
20YUSY.B,D,20200617,000000,1.324,1.33,1.278,1.288,0,0
20YUSY.B,D,20200618,000000,1.288,1.289,1.224,1.244,0,0
20YUSY.B,D,20200619,000000,1.25,1.289,1.219,1.224,0,0
20YUSY.B,D,20200622,000000,1.229,1.237,1.193,1.233,0,0
20YUSY.B,D,20200623,000000,1.237,1.267,1.198,1.252,0,0
20YUSY.B,D,20200624,000000,1.257,1.275,1.193,1.195,0,0
20YUSY.B,D,20200625,000000,1.192,1.207,1.168,1.199,0,0
20YUSY.B,D,20200626,000000,1.196,1.201,1.139,1.143,0,0
20YUSY.B,D,20200629,000000,1.134,1.166,1.128,1.147,0,0
20YUSY.B,D,20200630,000000,1.146,1.192,1.131,1.178,0,0
20YUSY.B,D,20200701,000000,1.179,1.226,1.178,1.187,0,0
20YUSY.B,D,20200702,000000,1.192,1.237,1.179,1.191,0,0
20YUSY.B,D,20200706,000000,1.2,1.241,1.199,1.202,0,0
20YUSY.B,D,20200707,000000,1.203,1.217,1.137,1.143,0,0
20YUSY.B,D,20200708,000000,1.15,1.181,1.141,1.167,0,0
20YUSY.B,D,20200709,000000,1.166,1.171,1.074,1.089,0,0
20YUSY.B,D,20200710,000000,1.096,1.118,1.028,1.112,0,0
20YUSY.B,D,20200713,000000,1.1,1.142,1.085,1.086,0,0
20YUSY.B,D,20200714,000000,1.091,1.104,1.058,1.09,0,0
20YUSY.B,D,20200715,000000,1.108,1.135,1.085,1.109,0,0
20YUSY.B,D,20200716,000000,1.106,1.112,1.069,1.089,0,0
20YUSY.B,D,20200717,000000,1.088,1.11,1.066,1.102,0,0
20YUSY.B,D,20200720,000000,1.109,1.109,1.074,1.086,0,0
20YUSY.B,D,20200721,000000,1.087,1.1,1.069,1.082,0,0
20YUSY.B,D,20200722,000000,1.084,1.085,1.046,1.071,0,0
20YUSY.B,D,20200723,000000,1.064,1.069,1.012,1.014,0,0
20YUSY.B,D,20200724,000000,1.012,1.045,0.986,1.014,0,0
20YUSY.B,D,20200727,000000,1.02,1.051,0.993,1.047,0,0
20YUSY.B,D,20200728,000000,1.05,1.074,1,1.002,0,0
20YUSY.B,D,20200729,000000,1.005,1.039,1,1.018,0,0
20YUSY.B,D,20200730,000000,1.017,1.021,0.967,0.98,0,0
20YUSY.B,D,20200731,000000,0.978,1.005,0.953,0.971,0,0
20YUSY.B,D,20200803,000000,0.974,1.026,0.974,1.003,0,0
20YUSY.B,D,20200804,000000,1.006,1.015,0.95,0.959,0,0
20YUSY.B,D,20200805,000000,0.958,1.009,0.955,0.994,0,0
20YUSY.B,D,20200806,000000,0.992,1.004,0.935,0.973,0,0
20YUSY.B,D,20200807,000000,0.969,1.02,0.946,1.007,0,0
20YUSY.B,D,20200810,000000,1.005,1.031,0.989,1.03,0,0
20YUSY.B,D,20200811,000000,1.023,1.125,1.019,1.102,0,0
20YUSY.B,D,20200812,000000,1.091,1.157,1.082,1.138,0,0
20YUSY.B,D,20200813,000000,1.132,1.209,1.099,1.191,0,0
20YUSY.B,D,20200814,000000,1.194,1.205,1.161,1.2,0,0
20YUSY.B,D,20200817,000000,1.205,1.207,1.16,1.186,0,0
20YUSY.B,D,20200818,000000,1.177,1.183,1.143,1.153,0,0
20YUSY.B,D,20200819,000000,1.145,1.188,1.119,1.173,0,0
20YUSY.B,D,20200820,000000,1.192,1.196,1.142,1.163,0,0
20YUSY.B,D,20200821,000000,1.157,1.173,1.123,1.129,0,0
