<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
2YBRY.B,D,20090105,000000,12.1,12.1,12.08,12.08,0,0
2YBRY.B,D,20090106,000000,12.08,12.1,11.98,12.075,0,0
2YBRY.B,D,20090107,000000,12.055,12.275,12.04,12.22,0,0
2YBRY.B,D,20090108,000000,12.23,12.275,11.975,12.06,0,0
2YBRY.B,D,20090109,000000,12.05,12.05,11.71,11.765,0,0
2YBRY.B,D,20090112,000000,11.72,11.91,11.71,11.71,0,0
2YBRY.B,D,20090113,000000,11.75,11.795,11.53,11.61,0,0
2YBRY.B,D,20090114,000000,11.57,11.795,11.55,11.795,0,0
2YBRY.B,D,20090115,000000,11.76,11.9,11.6,11.61,0,0
2YBRY.B,D,20090116,000000,12.31,12.31,11.59,11.59,0,0
2YBRY.B,D,20090119,000000,11.67,11.67,11.49,11.52,0,0
2YBRY.B,D,20090120,000000,11.55,11.58,11.36,11.42,0,0
2YBRY.B,D,20090121,000000,11.42,11.485,11.24,11.25,0,0
2YBRY.B,D,20090122,000000,11.38,11.38,11.2,11.23,0,0
2YBRY.B,D,20090123,000000,11.425,11.5,11.22,11.5,0,0
2YBRY.B,D,20090126,000000,11.48,11.71,11.43,11.645,0,0
2YBRY.B,D,20090127,000000,11.71,11.875,11.53,11.57,0,0
2YBRY.B,D,20090128,000000,11.56,11.58,11.43,11.49,0,0
2YBRY.B,D,20090129,000000,11.52,11.71,11.45,11.69,0,0
2YBRY.B,D,20090130,000000,11.72,11.785,11.57,11.63,0,0
2YBRY.B,D,20090202,000000,11.6,11.725,11.49,11.55,0,0
2YBRY.B,D,20090203,000000,11.52,11.6,11.4,11.41,0,0
2YBRY.B,D,20090204,000000,11.41,11.625,11.4,11.54,0,0
2YBRY.B,D,20090205,000000,11.56,12.2,11.54,11.565,0,0
2YBRY.B,D,20090206,000000,11.58,11.6,11.48,11.495,0,0
2YBRY.B,D,20090209,000000,11.495,11.72,11.425,11.595,0,0
2YBRY.B,D,20090210,000000,11.64,11.785,11.61,11.68,0,0
2YBRY.B,D,20090211,000000,11.71,12.11,11.57,11.65,0,0
2YBRY.B,D,20090212,000000,11.67,11.785,11.64,11.755,0,0
2YBRY.B,D,20090213,000000,11.71,11.755,11.53,11.57,0,0
2YBRY.B,D,20090216,000000,11.54,11.57,11.46,11.57,0,0
2YBRY.B,D,20090217,000000,11.56,11.59,11.5,11.555,0,0
2YBRY.B,D,20090218,000000,11.57,11.625,11.55,11.57,0,0
2YBRY.B,D,20090219,000000,11.585,11.595,11.38,11.405,0,0
2YBRY.B,D,20090220,000000,11.395,11.525,11.325,11.505,0,0
2YBRY.B,D,20090225,000000,11.48,11.515,11.395,11.44,0,0
2YBRY.B,D,20090226,000000,11.445,11.465,11.18,11.18,0,0
2YBRY.B,D,20090227,000000,11.19,11.25,11.02,11.03,0,0
2YBRY.B,D,20090302,000000,11.03,11.78,10.915,11.025,0,0
2YBRY.B,D,20090303,000000,11,11.78,10.88,11.09,0,0
2YBRY.B,D,20090304,000000,11.1,11.17,10.855,11.16,0,0
2YBRY.B,D,20090305,000000,11.17,11.2,11.045,11.085,0,0
2YBRY.B,D,20090306,000000,11.065,11.085,10.72,11.085,0,0
2YBRY.B,D,20090309,000000,10.735,11.085,10.455,10.735,0,0
2YBRY.B,D,20090310,000000,10.49,10.735,10.41,10.43,0,0
2YBRY.B,D,20090311,000000,10.42,10.43,10.27,10.315,0,0
2YBRY.B,D,20090312,000000,10.35,10.47,10.33,10.34,0,0
2YBRY.B,D,20090313,000000,10.35,10.515,10.34,10.505,0,0
2YBRY.B,D,20090316,000000,10.52,10.58,10.315,10.501,0,0
2YBRY.B,D,20090317,000000,10.475,10.51,10.41,10.44,0,0
2YBRY.B,D,20090318,000000,10.42,11.45,10.18,10.18,0,0
2YBRY.B,D,20090319,000000,10.21,10.215,10.065,10.155,0,0
2YBRY.B,D,20090320,000000,10.175,11.34,10.125,10.17,0,0
2YBRY.B,D,20090323,000000,10.145,11.495,10.025,10.28,0,0
2YBRY.B,D,20090324,000000,10.265,10.54,10.24,10.475,0,0
2YBRY.B,D,20090325,000000,10.455,10.495,10.225,10.44,0,0
2YBRY.B,D,20090326,000000,10.455,10.465,10.225,10.355,0,0
2YBRY.B,D,20090327,000000,10.385,10.5,10.355,10.46,0,0
2YBRY.B,D,20090330,000000,10.46,10.5,10.35,10.43,0,0
2YBRY.B,D,20090331,000000,10.44,10.48,10.365,10.4,0,0
2YBRY.B,D,20090401,000000,10.41,10.425,10.35,10.38,0,0
2YBRY.B,D,20090402,000000,10.4,10.53,10.38,10.5,0,0
2YBRY.B,D,20090403,000000,10.515,10.6,10.48,10.59,0,0
2YBRY.B,D,20090406,000000,10.61,10.62,10.49,10.51,0,0
2YBRY.B,D,20090407,000000,10.51,10.52,10.43,10.5,0,0
2YBRY.B,D,20090408,000000,10.5,10.55,10.43,10.55,0,0
2YBRY.B,D,20090409,000000,10.56,10.58,10.485,10.51,0,0
2YBRY.B,D,20090413,000000,10.5,10.62,10.49,10.595,0,0
2YBRY.B,D,20090414,000000,10.6,10.61,10.405,10.44,0,0
2YBRY.B,D,20090415,000000,10.44,10.44,10.34,10.37,0,0
2YBRY.B,D,20090416,000000,10.38,10.48,10.36,10.43,0,0
2YBRY.B,D,20090417,000000,10.46,10.68,10.345,10.68,0,0
2YBRY.B,D,20090420,000000,10.675,10.845,10.65,10.73,0,0
2YBRY.B,D,20090422,000000,10.755,10.755,10.58,10.58,0,0
2YBRY.B,D,20090423,000000,10.6,10.67,10.51,10.58,0,0
2YBRY.B,D,20090424,000000,10.58,10.66,10.49,10.65,0,0
2YBRY.B,D,20090427,000000,10.64,10.705,9.25,10.705,0,0
2YBRY.B,D,20090428,000000,10.685,10.715,10.505,10.545,0,0
2YBRY.B,D,20090429,000000,10.555,10.65,10.54,10.54,0,0
2YBRY.B,D,20090430,000000,10.53,10.6,10.425,10.51,0,0
2YBRY.B,D,20090504,000000,10.54,10.69,10.54,10.595,0,0
2YBRY.B,D,20090505,000000,10.58,10.595,10.53,10.55,0,0
2YBRY.B,D,20090506,000000,10.57,10.615,10.55,10.58,0,0
2YBRY.B,D,20090507,000000,10.595,10.595,10.325,10.36,0,0
2YBRY.B,D,20090508,000000,10.38,10.38,10.295,10.305,0,0
2YBRY.B,D,20090511,000000,10.325,10.325,10.175,10.185,0,0
2YBRY.B,D,20090512,000000,10.18,10.205,10.12,10.155,0,0
2YBRY.B,D,20090513,000000,10.14,10.16,10.025,10.04,0,0
2YBRY.B,D,20090514,000000,10.04,10.13,9.885,9.925,0,0
2YBRY.B,D,20090515,000000,9.955,9.955,9.89,9.9,0,0
2YBRY.B,D,20090518,000000,9.88,9.91,9.77,9.86,0,0
2YBRY.B,D,20090519,000000,9.83,9.925,9.82,9.845,0,0
2YBRY.B,D,20090520,000000,9.87,9.87,9.775,9.79,0,0
2YBRY.B,D,20090521,000000,9.815,9.98,9.79,9.965,0,0
2YBRY.B,D,20090522,000000,9.985,10.075,9.93,9.965,0,0
2YBRY.B,D,20090525,000000,9.965,9.965,9.895,9.905,0,0
2YBRY.B,D,20090526,000000,9.91,9.965,9.8,9.965,0,0
2YBRY.B,D,20090527,000000,9.825,9.93,9.73,9.91,0,0
2YBRY.B,D,20090528,000000,9.91,10.17,9.885,9.905,0,0
2YBRY.B,D,20090529,000000,9.91,9.93,9.82,9.825,0,0
2YBRY.B,D,20090601,000000,9.825,9.84,9.7,9.705,0,0
2YBRY.B,D,20090602,000000,9.73,9.97,9.64,9.705,0,0
2YBRY.B,D,20090603,000000,9.7,9.775,9.69,9.74,0,0
2YBRY.B,D,20090604,000000,9.74,9.765,9.72,9.73,0,0
2YBRY.B,D,20090605,000000,9.72,9.92,9.72,9.91,0,0
2YBRY.B,D,20090608,000000,9.91,10.055,9.9,10.05,0,0
2YBRY.B,D,20090609,000000,10.03,10.46,9.905,10.425,0,0
2YBRY.B,D,20090610,000000,10.46,10.5,10.405,10.45,0,0
2YBRY.B,D,20090612,000000,10.56,11.13,10.19,10.28,0,0
2YBRY.B,D,20090615,000000,10.28,10.28,9.91,10.21,0,0
2YBRY.B,D,20090616,000000,10.21,10.21,9.51,10.025,0,0
2YBRY.B,D,20090617,000000,10.02,10.03,9.51,9.99,0,0
2YBRY.B,D,20090618,000000,10.03,10.245,9.95,10.195,0,0
2YBRY.B,D,20090619,000000,10.245,10.41,10.195,10.25,0,0
2YBRY.B,D,20090622,000000,10.25,10.66,10.2,10.2,0,0
2YBRY.B,D,20090623,000000,10.215,10.235,10.09,10.105,0,0
2YBRY.B,D,20090624,000000,10.09,10.205,10.085,10.11,0,0
2YBRY.B,D,20090625,000000,10.125,10.155,10.085,10.095,0,0
2YBRY.B,D,20090626,000000,10.13,10.13,10.01,10.04,0,0
2YBRY.B,D,20090629,000000,10.04,10.16,10.02,10.14,0,0
2YBRY.B,D,20090630,000000,10.18,10.235,10.13,10.15,0,0
2YBRY.B,D,20090701,000000,10.13,10.47,10.04,10.066,0,0
2YBRY.B,D,20090702,000000,10.066,10.14,9.985,9.995,0,0
2YBRY.B,D,20090703,000000,9.97,10.025,9.97,9.97,0,0
2YBRY.B,D,20090706,000000,9.97,10.035,9.695,9.965,0,0
2YBRY.B,D,20090707,000000,9.955,9.965,9.87,9.885,0,0
2YBRY.B,D,20090708,000000,9.885,9.975,9.86,9.86,0,0
2YBRY.B,D,20090710,000000,9.875,9.885,9.825,9.825,0,0
2YBRY.B,D,20090713,000000,9.88,9.965,9.825,9.955,0,0
2YBRY.B,D,20090714,000000,9.975,10.035,9.83,9.955,0,0
