<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
2YCAY.B,D,19940315,000000,5.734,5.734,5.734,5.734,0,0
2YCAY.B,D,19940316,000000,5.67,5.67,5.67,5.67,0,0
2YCAY.B,D,19940317,000000,5.64,5.64,5.64,5.64,0,0
2YCAY.B,D,19940318,000000,5.894,5.894,5.894,5.894,0,0
2YCAY.B,D,19940321,000000,6.082,6.082,6.082,6.082,0,0
2YCAY.B,D,19940322,000000,5.973,5.973,5.973,5.973,0,0
2YCAY.B,D,19940323,000000,5.947,5.947,5.947,5.947,0,0
2YCAY.B,D,19940324,000000,6.063,6.063,6.063,6.063,0,0
2YCAY.B,D,19940325,000000,6.187,6.187,6.187,6.187,0,0
2YCAY.B,D,19940328,000000,6.245,6.245,6.245,6.245,0,0
2YCAY.B,D,19940329,000000,6.534,6.534,6.534,6.534,0,0
2YCAY.B,D,19940330,000000,6.708,6.708,6.708,6.708,0,0
2YCAY.B,D,19940331,000000,6.807,6.807,6.807,6.807,0,0
2YCAY.B,D,19940404,000000,7.392,7.392,7.392,7.392,0,0
2YCAY.B,D,19940405,000000,6.974,6.974,6.974,6.974,0,0
2YCAY.B,D,19940406,000000,7.034,7.034,7.034,7.034,0,0
2YCAY.B,D,19940407,000000,6.858,6.858,6.858,6.858,0,0
2YCAY.B,D,19940408,000000,6.844,6.844,6.844,6.844,0,0
2YCAY.B,D,19940411,000000,6.852,6.852,6.852,6.852,0,0
2YCAY.B,D,19940412,000000,6.676,6.676,6.676,6.676,0,0
2YCAY.B,D,19940413,000000,6.725,6.725,6.725,6.725,0,0
2YCAY.B,D,19940414,000000,6.761,6.761,6.761,6.761,0,0
2YCAY.B,D,19940415,000000,6.841,6.841,6.841,6.841,0,0
2YCAY.B,D,19940418,000000,7.165,7.165,7.165,7.165,0,0
2YCAY.B,D,19940419,000000,7.138,7.138,7.138,7.138,0,0
2YCAY.B,D,19940420,000000,7.131,7.131,7.131,7.131,0,0
2YCAY.B,D,19940421,000000,6.974,6.974,6.974,6.974,0,0
2YCAY.B,D,19940422,000000,6.996,6.996,6.996,6.996,0,0
2YCAY.B,D,19940425,000000,6.963,6.963,6.963,6.963,0,0
2YCAY.B,D,19940426,000000,6.853,6.853,6.853,6.853,0,0
2YCAY.B,D,19940427,000000,6.857,6.857,6.857,6.857,0,0
2YCAY.B,D,19940428,000000,7.049,7.049,7.049,7.049,0,0
2YCAY.B,D,19940429,000000,7.172,7.172,7.172,7.172,0,0
2YCAY.B,D,19940502,000000,7.242,7.242,7.242,7.242,0,0
2YCAY.B,D,19940503,000000,7.274,7.274,7.274,7.274,0,0
2YCAY.B,D,19940504,000000,7.368,7.368,7.368,7.368,0,0
2YCAY.B,D,19940505,000000,7.47,7.47,7.47,7.47,0,0
2YCAY.B,D,19940506,000000,7.683,7.683,7.683,7.683,0,0
2YCAY.B,D,19940509,000000,7.844,7.844,7.844,7.844,0,0
2YCAY.B,D,19940510,000000,7.603,7.603,7.603,7.603,0,0
2YCAY.B,D,19940511,000000,7.73,7.73,7.73,7.73,0,0
2YCAY.B,D,19940512,000000,7.718,7.718,7.718,7.718,0,0
2YCAY.B,D,19940513,000000,7.482,7.482,7.482,7.482,0,0
2YCAY.B,D,19940516,000000,7.345,7.345,7.345,7.345,0,0
2YCAY.B,D,19940517,000000,7.171,7.171,7.171,7.171,0,0
2YCAY.B,D,19940518,000000,7.114,7.114,7.114,7.114,0,0
2YCAY.B,D,19940519,000000,6.968,6.968,6.968,6.968,0,0
2YCAY.B,D,19940520,000000,7.183,7.183,7.183,7.183,0,0
2YCAY.B,D,19940524,000000,7.334,7.334,7.334,7.334,0,0
2YCAY.B,D,19940525,000000,7.41,7.41,7.41,7.41,0,0
2YCAY.B,D,19940526,000000,7.495,7.495,7.495,7.495,0,0
2YCAY.B,D,19940527,000000,7.581,7.581,7.581,7.581,0,0
2YCAY.B,D,19940530,000000,7.576,7.576,7.576,7.576,0,0
2YCAY.B,D,19940531,000000,7.659,7.659,7.659,7.659,0,0
2YCAY.B,D,19940601,000000,7.695,7.695,7.695,7.695,0,0
2YCAY.B,D,19940602,000000,7.733,7.733,7.733,7.733,0,0
2YCAY.B,D,19940603,000000,7.547,7.547,7.547,7.547,0,0
2YCAY.B,D,19940606,000000,7.4,7.4,7.4,7.4,0,0
2YCAY.B,D,19940607,000000,7.463,7.463,7.463,7.463,0,0
2YCAY.B,D,19940608,000000,7.471,7.471,7.471,7.471,0,0
2YCAY.B,D,19940609,000000,7.476,7.476,7.476,7.476,0,0
2YCAY.B,D,19940610,000000,7.516,7.516,7.516,7.516,0,0
2YCAY.B,D,19940613,000000,7.738,7.738,7.738,7.738,0,0
2YCAY.B,D,19940614,000000,7.845,7.845,7.845,7.845,0,0
2YCAY.B,D,19940615,000000,8.233,8.233,8.233,8.233,0,0
2YCAY.B,D,19940616,000000,8.08,8.08,8.08,8.08,0,0
2YCAY.B,D,19940617,000000,8.3,8.3,8.3,8.3,0,0
2YCAY.B,D,19940620,000000,8.483,8.483,8.483,8.483,0,0
2YCAY.B,D,19940621,000000,8.555,8.555,8.555,8.555,0,0
2YCAY.B,D,19940622,000000,8.404,8.404,8.404,8.404,0,0
2YCAY.B,D,19940623,000000,8.394,8.394,8.394,8.394,0,0
2YCAY.B,D,19940624,000000,8.659,8.659,8.659,8.659,0,0
2YCAY.B,D,19940627,000000,8.524,8.524,8.524,8.524,0,0
2YCAY.B,D,19940628,000000,8.51,8.51,8.51,8.51,0,0
2YCAY.B,D,19940629,000000,8.381,8.381,8.381,8.381,0,0
2YCAY.B,D,19940630,000000,8.453,8.453,8.453,8.453,0,0
2YCAY.B,D,19940704,000000,8.471,8.471,8.471,8.471,0,0
2YCAY.B,D,19940705,000000,8.377,8.377,8.377,8.377,0,0
2YCAY.B,D,19940706,000000,8.314,8.314,8.314,8.314,0,0
2YCAY.B,D,19940707,000000,8.316,8.316,8.316,8.316,0,0
2YCAY.B,D,19940708,000000,8.438,8.438,8.438,8.438,0,0
2YCAY.B,D,19940711,000000,8.481,8.481,8.481,8.481,0,0
2YCAY.B,D,19940712,000000,8.279,8.279,8.279,8.279,0,0
2YCAY.B,D,19940713,000000,8.125,8.125,8.125,8.125,0,0
2YCAY.B,D,19940714,000000,7.931,7.931,7.931,7.931,0,0
2YCAY.B,D,19940715,000000,7.973,7.973,7.973,7.973,0,0
2YCAY.B,D,19940718,000000,7.896,7.896,7.896,7.896,0,0
2YCAY.B,D,19940719,000000,7.824,7.824,7.824,7.824,0,0
2YCAY.B,D,19940720,000000,8.098,8.098,8.098,8.098,0,0
