<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
2YFRY.B,D,19940202,000000,5.035,5.035,5.035,5.035,0,0
2YFRY.B,D,19940203,000000,5.181,5.181,5.181,5.181,0,0
2YFRY.B,D,19940204,000000,5.187,5.187,5.187,5.187,0,0
2YFRY.B,D,19940207,000000,5.194,5.194,5.194,5.194,0,0
2YFRY.B,D,19940208,000000,5.214,5.214,5.214,5.214,0,0
2YFRY.B,D,19940209,000000,5.24,5.24,5.24,5.24,0,0
2YFRY.B,D,19940210,000000,5.231,5.231,5.231,5.231,0,0
2YFRY.B,D,19940211,000000,5.276,5.276,5.276,5.276,0,0
2YFRY.B,D,19940214,000000,5.313,5.313,5.313,5.313,0,0
2YFRY.B,D,19940215,000000,5.364,5.364,5.364,5.364,0,0
2YFRY.B,D,19940216,000000,5.429,5.429,5.429,5.429,0,0
2YFRY.B,D,19940217,000000,5.336,5.336,5.336,5.336,0,0
2YFRY.B,D,19940218,000000,5.377,5.377,5.377,5.377,0,0
2YFRY.B,D,19940221,000000,5.435,5.435,5.435,5.435,0,0
2YFRY.B,D,19940222,000000,5.401,5.401,5.401,5.401,0,0
2YFRY.B,D,19940223,000000,5.373,5.373,5.373,5.373,0,0
2YFRY.B,D,19940224,000000,5.519,5.519,5.519,5.519,0,0
2YFRY.B,D,19940225,000000,5.621,5.621,5.621,5.621,0,0
2YFRY.B,D,19940228,000000,5.549,5.549,5.549,5.549,0,0
2YFRY.B,D,19940301,000000,5.733,5.733,5.733,5.733,0,0
2YFRY.B,D,19940302,000000,5.694,5.694,5.694,5.694,0,0
2YFRY.B,D,19940303,000000,5.731,5.731,5.731,5.731,0,0
2YFRY.B,D,19940304,000000,5.636,5.636,5.636,5.636,0,0
2YFRY.B,D,19940307,000000,5.544,5.544,5.544,5.544,0,0
2YFRY.B,D,19940308,000000,5.581,5.581,5.581,5.581,0,0
2YFRY.B,D,19940309,000000,5.628,5.628,5.628,5.628,0,0
2YFRY.B,D,19940310,000000,5.66,5.66,5.66,5.66,0,0
2YFRY.B,D,19940311,000000,5.682,5.682,5.682,5.682,0,0
2YFRY.B,D,19940314,000000,5.615,5.615,5.615,5.615,0,0
2YFRY.B,D,19940315,000000,5.504,5.504,5.504,5.504,0,0
2YFRY.B,D,19940316,000000,5.536,5.536,5.536,5.536,0,0
2YFRY.B,D,19940317,000000,5.63,5.63,5.63,5.63,0,0
2YFRY.B,D,19940318,000000,5.698,5.698,5.698,5.698,0,0
2YFRY.B,D,19940321,000000,5.719,5.719,5.719,5.719,0,0
2YFRY.B,D,19940322,000000,5.752,5.752,5.752,5.752,0,0
2YFRY.B,D,19940323,000000,5.712,5.712,5.712,5.712,0,0
2YFRY.B,D,19940324,000000,5.875,5.875,5.875,5.875,0,0
2YFRY.B,D,19940325,000000,5.914,5.914,5.914,5.914,0,0
2YFRY.B,D,19940328,000000,5.846,5.846,5.846,5.846,0,0
2YFRY.B,D,19940329,000000,5.858,5.858,5.858,5.858,0,0
2YFRY.B,D,19940330,000000,5.865,5.865,5.865,5.865,0,0
2YFRY.B,D,19940331,000000,5.751,5.751,5.751,5.751,0,0
2YFRY.B,D,19940405,000000,5.66,5.66,5.66,5.66,0,0
2YFRY.B,D,19940406,000000,5.672,5.672,5.672,5.672,0,0
2YFRY.B,D,19940407,000000,5.705,5.705,5.705,5.705,0,0
2YFRY.B,D,19940408,000000,5.744,5.744,5.744,5.744,0,0
