<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
2YINY.B,D,20080101,000000,7.589,7.589,7.589,7.589,0,0
2YINY.B,D,20080102,000000,7.488,7.488,7.488,7.488,0,0
2YINY.B,D,20080103,000000,7.534,7.534,7.534,7.534,0,0
2YINY.B,D,20080104,000000,7.462,7.462,7.462,7.462,0,0
2YINY.B,D,20080107,000000,7.413,7.413,7.413,7.413,0,0
2YINY.B,D,20080108,000000,7.471,7.471,7.471,7.471,0,0
2YINY.B,D,20080109,000000,7.518,7.518,7.518,7.518,0,0
2YINY.B,D,20080110,000000,7.464,7.464,7.464,7.464,0,0
2YINY.B,D,20080111,000000,7.453,7.453,7.453,7.453,0,0
2YINY.B,D,20080114,000000,7.472,7.472,7.472,7.472,0,0
2YINY.B,D,20080115,000000,7.48,7.48,7.48,7.48,0,0
2YINY.B,D,20080116,000000,7.516,7.516,7.516,7.516,0,0
2YINY.B,D,20080117,000000,7.512,7.512,7.512,7.512,0,0
2YINY.B,D,20080118,000000,7.501,7.501,7.501,7.501,0,0
2YINY.B,D,20080121,000000,7.497,7.497,7.497,7.497,0,0
2YINY.B,D,20080122,000000,7.385,7.385,7.385,7.385,0,0
2YINY.B,D,20080123,000000,7.301,7.301,7.301,7.301,0,0
2YINY.B,D,20080124,000000,7.309,7.309,7.309,7.309,0,0
2YINY.B,D,20080125,000000,7.308,7.308,7.308,7.308,0,0
2YINY.B,D,20080128,000000,7.379,7.379,7.379,7.379,0,0
2YINY.B,D,20080129,000000,7.485,7.485,7.485,7.485,0,0
2YINY.B,D,20080130,000000,7.464,7.464,7.464,7.464,0,0
2YINY.B,D,20080131,000000,7.482,7.482,7.482,7.482,0,0
2YINY.B,D,20080201,000000,7.436,7.436,7.436,7.436,0,0
2YINY.B,D,20080204,000000,7.449,7.449,7.449,7.449,0,0
2YINY.B,D,20080205,000000,7.417,7.417,7.417,7.417,0,0
2YINY.B,D,20080206,000000,7.389,7.389,7.389,7.389,0,0
2YINY.B,D,20080207,000000,7.386,7.386,7.386,7.386,0,0
2YINY.B,D,20080208,000000,7.398,7.398,7.398,7.398,0,0
2YINY.B,D,20080211,000000,7.399,7.399,7.399,7.399,0,0
2YINY.B,D,20080212,000000,7.402,7.402,7.402,7.402,0,0
2YINY.B,D,20080213,000000,7.427,7.427,7.427,7.427,0,0
2YINY.B,D,20080214,000000,7.459,7.459,7.459,7.459,0,0
2YINY.B,D,20080215,000000,7.465,7.465,7.465,7.465,0,0
2YINY.B,D,20080218,000000,7.497,7.497,7.497,7.497,0,0
2YINY.B,D,20080219,000000,7.505,7.505,7.505,7.505,0,0
2YINY.B,D,20080220,000000,7.555,7.555,7.555,7.555,0,0
2YINY.B,D,20080221,000000,7.516,7.516,7.516,7.516,0,0
2YINY.B,D,20080222,000000,7.57,7.57,7.57,7.57,0,0
2YINY.B,D,20080225,000000,7.543,7.543,7.543,7.543,0,0
2YINY.B,D,20080226,000000,7.533,7.533,7.533,7.533,0,0
2YINY.B,D,20080227,000000,7.529,7.529,7.529,7.529,0,0
2YINY.B,D,20080228,000000,7.502,7.502,7.502,7.502,0,0
2YINY.B,D,20080229,000000,7.498,7.498,7.498,7.498,0,0
2YINY.B,D,20080303,000000,7.464,7.464,7.464,7.464,0,0
2YINY.B,D,20080304,000000,7.527,7.527,7.527,7.527,0,0
2YINY.B,D,20080305,000000,7.511,7.511,7.511,7.511,0,0
2YINY.B,D,20080307,000000,7.545,7.545,7.545,7.545,0,0
2YINY.B,D,20080310,000000,7.584,7.584,7.584,7.584,0,0
2YINY.B,D,20080311,000000,7.562,7.562,7.562,7.562,0,0
2YINY.B,D,20080312,000000,7.485,7.485,7.485,7.485,0,0
2YINY.B,D,20080313,000000,7.494,7.494,7.494,7.494,0,0
2YINY.B,D,20080314,000000,7.544,7.544,7.544,7.544,0,0
2YINY.B,D,20080317,000000,7.528,7.528,7.528,7.528,0,0
2YINY.B,D,20080318,000000,7.487,7.487,7.487,7.487,0,0
2YINY.B,D,20080319,000000,7.483,7.483,7.483,7.483,0,0
2YINY.B,D,20080324,000000,7.564,7.564,7.564,7.564,0,0
2YINY.B,D,20080325,000000,7.51,7.51,7.51,7.51,0,0
2YINY.B,D,20080326,000000,7.506,7.506,7.506,7.506,0,0
2YINY.B,D,20080327,000000,7.446,7.446,7.446,7.446,0,0
2YINY.B,D,20080328,000000,7.509,7.509,7.509,7.509,0,0
2YINY.B,D,20080331,000000,7.6,7.6,7.6,7.6,0,0
2YINY.B,D,20080402,000000,7.571,7.571,7.571,7.571,0,0
2YINY.B,D,20080403,000000,7.549,7.549,7.549,7.549,0,0
2YINY.B,D,20080404,000000,7.677,7.677,7.677,7.677,0,0
2YINY.B,D,20080407,000000,7.744,7.744,7.744,7.744,0,0
2YINY.B,D,20080408,000000,7.728,7.728,7.728,7.728,0,0
2YINY.B,D,20080409,000000,7.699,7.699,7.699,7.699,0,0
2YINY.B,D,20080410,000000,7.791,7.791,7.791,7.791,0,0
2YINY.B,D,20080411,000000,7.894,7.894,7.894,7.894,0,0
2YINY.B,D,20080415,000000,7.878,7.878,7.878,7.878,0,0
2YINY.B,D,20080416,000000,7.946,7.946,7.946,7.946,0,0
2YINY.B,D,20080417,000000,7.956,7.956,7.956,7.956,0,0
2YINY.B,D,20080421,000000,7.93,7.93,7.93,7.93,0,0
