<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
30YATY.B,D,20120712,000000,3.026,3.026,3.002,3.002,0,0
30YATY.B,D,20120713,000000,2.989,3.001,2.989,3.001,0,0
30YATY.B,D,20120716,000000,2.994,2.994,2.932,2.932,0,0
30YATY.B,D,20120717,000000,2.891,2.891,2.873,2.873,0,0
30YATY.B,D,20120718,000000,2.862,2.886,2.862,2.886,0,0
30YATY.B,D,20120719,000000,2.869,2.869,2.851,2.851,0,0
30YATY.B,D,20120720,000000,2.851,2.851,2.85,2.85,0,0
30YATY.B,D,20120723,000000,2.889,2.899,2.889,2.899,0,0
30YATY.B,D,20120724,000000,2.908,2.938,2.908,2.938,0,0
30YATY.B,D,20120725,000000,2.947,2.963,2.947,2.963,0,0
30YATY.B,D,20120726,000000,2.96,2.96,2.915,2.915,0,0
30YATY.B,D,20120727,000000,2.914,2.925,2.914,2.925,0,0
30YATY.B,D,20120730,000000,2.942,2.942,2.897,2.897,0,0
30YATY.B,D,20120731,000000,2.895,2.895,2.82,2.82,0,0
30YATY.B,D,20120801,000000,2.821,2.844,2.821,2.844,0,0
30YATY.B,D,20120802,000000,2.844,2.844,2.805,2.805,0,0
30YATY.B,D,20120803,000000,2.817,2.86,2.817,2.86,0,0
30YATY.B,D,20120806,000000,2.885,2.885,2.862,2.862,0,0
30YATY.B,D,20120807,000000,2.862,2.91,2.862,2.91,0,0
30YATY.B,D,20120808,000000,2.876,2.879,2.876,2.879,0,0
30YATY.B,D,20120809,000000,2.873,2.873,2.869,2.869,0,0
30YATY.B,D,20120810,000000,2.867,2.867,2.828,2.828,0,0
30YATY.B,D,20120813,000000,2.833,2.848,2.833,2.848,0,0
30YATY.B,D,20120814,000000,2.874,2.874,2.867,2.867,0,0
30YATY.B,D,20120816,000000,2.917,2.917,2.889,2.889,0,0
30YATY.B,D,20120817,000000,2.905,2.905,2.897,2.897,0,0
30YATY.B,D,20120820,000000,2.874,2.89,2.874,2.89,0,0
30YATY.B,D,20120821,000000,2.896,2.912,2.896,2.912,0,0
30YATY.B,D,20120822,000000,2.947,2.947,2.907,2.907,0,0
30YATY.B,D,20120823,000000,2.889,2.889,2.818,2.818,0,0
30YATY.B,D,20120824,000000,2.829,2.829,2.802,2.802,0,0
30YATY.B,D,20120827,000000,2.806,2.829,2.806,2.829,0,0
30YATY.B,D,20120828,000000,2.81,2.828,2.81,2.828,0,0
30YATY.B,D,20120829,000000,2.818,2.863,2.818,2.863,0,0
30YATY.B,D,20120830,000000,2.857,2.859,2.857,2.859,0,0
30YATY.B,D,20120831,000000,2.848,2.861,2.848,2.861,0,0
30YATY.B,D,20120903,000000,2.844,2.865,2.844,2.865,0,0
30YATY.B,D,20120904,000000,2.879,2.879,2.873,2.873,0,0
30YATY.B,D,20120905,000000,2.864,2.913,2.864,2.913,0,0
30YATY.B,D,20120906,000000,2.933,2.948,2.933,2.948,0,0
30YATY.B,D,20120907,000000,2.942,2.942,2.924,2.924,0,0
30YATY.B,D,20120910,000000,2.922,2.961,2.922,2.961,0,0
30YATY.B,D,20120911,000000,2.931,2.931,2.917,2.917,0,0
30YATY.B,D,20120912,000000,2.925,2.942,2.925,2.942,0,0
30YATY.B,D,20120913,000000,2.956,2.956,2.927,2.927,0,0
30YATY.B,D,20120914,000000,2.918,2.992,2.918,2.992,0,0
30YATY.B,D,20120917,000000,2.99,3.014,2.99,3.014,0,0
30YATY.B,D,20120918,000000,3.003,3.003,2.993,2.993,0,0
30YATY.B,D,20120919,000000,3.019,3.019,3.017,3.017,0,0
30YATY.B,D,20120920,000000,3.01,3.01,3.006,3.006,0,0
30YATY.B,D,20120921,000000,3,3,2.987,2.987,0,0
30YATY.B,D,20120924,000000,2.996,2.996,2.98,2.98,0,0
30YATY.B,D,20120925,000000,2.977,2.998,2.977,2.998,0,0
30YATY.B,D,20120926,000000,2.957,2.957,2.913,2.913,0,0
30YATY.B,D,20120927,000000,2.928,2.934,2.928,2.934,0,0
30YATY.B,D,20120928,000000,2.951,2.951,2.894,2.894,0,0
30YATY.B,D,20121001,000000,2.898,2.922,2.898,2.922,0,0
30YATY.B,D,20121002,000000,2.917,2.917,2.911,2.911,0,0
30YATY.B,D,20121003,000000,2.891,2.899,2.891,2.899,0,0
30YATY.B,D,20121004,000000,2.911,2.916,2.911,2.916,0,0
30YATY.B,D,20121005,000000,2.924,2.951,2.924,2.951,0,0
30YATY.B,D,20121008,000000,2.931,2.931,2.93,2.93,0,0
30YATY.B,D,20121009,000000,2.931,2.931,2.918,2.918,0,0
30YATY.B,D,20121010,000000,2.921,2.921,2.907,2.907,0,0
30YATY.B,D,20121011,000000,2.872,2.899,2.872,2.899,0,0
30YATY.B,D,20121012,000000,2.882,2.882,2.875,2.875,0,0
30YATY.B,D,20121015,000000,2.855,2.855,2.853,2.853,0,0
30YATY.B,D,20121016,000000,2.863,2.921,2.863,2.921,0,0
30YATY.B,D,20121017,000000,2.936,2.971,2.936,2.971,0,0
30YATY.B,D,20121018,000000,2.973,2.973,2.963,2.963,0,0
30YATY.B,D,20121019,000000,2.963,2.963,2.927,2.927,0,0
30YATY.B,D,20121022,000000,2.933,2.945,2.933,2.945,0,0
30YATY.B,D,20121023,000000,2.949,2.955,2.949,2.955,0,0
30YATY.B,D,20121024,000000,2.961,2.961,2.961,2.961,0,0
30YATY.B,D,20121025,000000,2.981,2.981,2.968,2.968,0,0
30YATY.B,D,20121029,000000,2.94,2.955,2.94,2.955,0,0
30YATY.B,D,20121030,000000,2.94,2.94,2.922,2.922,0,0
30YATY.B,D,20121031,000000,2.932,2.932,2.928,2.928,0,0
30YATY.B,D,20121102,000000,2.886,2.89,2.886,2.89,0,0
30YATY.B,D,20121105,000000,2.858,2.881,2.858,2.881,0,0
30YATY.B,D,20121106,000000,2.873,2.873,2.817,2.817,0,0
30YATY.B,D,20121107,000000,2.835,2.835,2.808,2.808,0,0
30YATY.B,D,20121108,000000,2.803,2.803,2.777,2.777,0,0
30YATY.B,D,20121109,000000,2.802,2.802,2.748,2.748,0,0
30YATY.B,D,20121112,000000,2.743,2.743,2.732,2.732,0,0
30YATY.B,D,20121113,000000,2.718,2.718,2.685,2.685,0,0
30YATY.B,D,20121114,000000,2.689,2.709,2.689,2.709,0,0
30YATY.B,D,20121115,000000,2.699,2.755,2.699,2.755,0,0
30YATY.B,D,20121116,000000,2.752,2.763,2.752,2.763,0,0
30YATY.B,D,20121119,000000,2.77,2.77,2.756,2.756,0,0
30YATY.B,D,20121120,000000,2.778,2.807,2.778,2.807,0,0
30YATY.B,D,20121121,000000,2.817,2.839,2.817,2.839,0,0
30YATY.B,D,20121122,000000,2.837,2.849,2.837,2.849,0,0
30YATY.B,D,20121123,000000,2.856,2.856,2.851,2.851,0,0
30YATY.B,D,20121126,000000,2.853,2.853,2.851,2.851,0,0
30YATY.B,D,20121127,000000,2.866,2.866,2.821,2.821,0,0
30YATY.B,D,20121128,000000,2.802,2.802,2.733,2.733,0,0
30YATY.B,D,20121129,000000,2.76,2.76,2.716,2.716,0,0
30YATY.B,D,20121130,000000,2.716,2.716,2.697,2.697,0,0
30YATY.B,D,20121203,000000,2.698,2.724,2.698,2.724,0,0
30YATY.B,D,20121204,000000,2.713,2.716,2.713,2.716,0,0
30YATY.B,D,20121205,000000,2.723,2.723,2.687,2.687,0,0
30YATY.B,D,20121206,000000,2.676,2.676,2.658,2.658,0,0
30YATY.B,D,20121207,000000,2.652,2.66,2.652,2.66,0,0
30YATY.B,D,20121210,000000,2.659,2.663,2.659,2.663,0,0
30YATY.B,D,20121211,000000,2.674,2.674,2.657,2.657,0,0
30YATY.B,D,20121212,000000,2.669,2.669,2.657,2.657,0,0
30YATY.B,D,20121213,000000,2.663,2.663,2.654,2.654,0,0
30YATY.B,D,20121214,000000,2.657,2.657,2.625,2.625,0,0
30YATY.B,D,20121217,000000,2.635,2.661,2.635,2.661,0,0
30YATY.B,D,20121218,000000,2.674,2.674,2.674,2.674,0,0
30YATY.B,D,20121219,000000,2.69,2.69,2.638,2.638,0,0
30YATY.B,D,20121220,000000,2.651,2.651,2.589,2.589,0,0
30YATY.B,D,20121221,000000,2.579,2.609,2.579,2.609,0,0
30YATY.B,D,20121227,000000,2.608,2.608,2.568,2.568,0,0
30YATY.B,D,20121228,000000,2.573,2.581,2.573,2.581,0,0
30YATY.B,D,20130102,000000,2.594,2.699,2.594,2.699,0,0
30YATY.B,D,20130103,000000,2.693,2.756,2.693,2.756,0,0
30YATY.B,D,20130104,000000,2.782,2.782,2.781,2.781,0,0
30YATY.B,D,20130107,000000,2.788,2.788,2.748,2.748,0,0
30YATY.B,D,20130108,000000,2.739,2.739,2.733,2.733,0,0
30YATY.B,D,20130109,000000,2.741,2.741,2.736,2.736,0,0
30YATY.B,D,20130110,000000,2.749,2.774,2.749,2.774,0,0
30YATY.B,D,20130111,000000,2.801,2.805,2.801,2.805,0,0
30YATY.B,D,20130114,000000,2.804,2.804,2.779,2.779,0,0
30YATY.B,D,20130115,000000,2.779,2.779,2.759,2.759,0,0
30YATY.B,D,20130116,000000,2.763,2.763,2.762,2.762,0,0
30YATY.B,D,20130117,000000,2.756,2.801,2.756,2.801,0,0
30YATY.B,D,20130118,000000,2.809,2.809,2.708,2.708,0,0
30YATY.B,D,20130121,000000,2.72,2.724,2.72,2.724,0,0
30YATY.B,D,20130122,000000,2.719,2.719,2.714,2.714,0,0
30YATY.B,D,20130123,000000,2.702,2.703,2.702,2.703,0,0
30YATY.B,D,20130124,000000,2.703,2.745,2.703,2.745,0,0
30YATY.B,D,20130125,000000,2.737,2.768,2.737,2.768,0,0
30YATY.B,D,20130128,000000,2.784,2.784,2.783,2.783,0,0
30YATY.B,D,20130129,000000,2.782,2.782,2.755,2.755,0,0
30YATY.B,D,20130130,000000,2.767,2.776,2.767,2.776,0,0
30YATY.B,D,20130131,000000,2.749,2.749,2.749,2.749,0,0
30YATY.B,D,20130201,000000,2.752,2.752,2.718,2.718,0,0
30YATY.B,D,20130204,000000,2.758,2.758,2.711,2.711,0,0
30YATY.B,D,20130205,000000,2.713,2.751,2.713,2.751,0,0
30YATY.B,D,20130206,000000,2.772,2.783,2.772,2.783,0,0
30YATY.B,D,20130207,000000,2.777,2.777,2.762,2.762,0,0
30YATY.B,D,20130208,000000,2.761,2.761,2.75,2.75,0,0
30YATY.B,D,20130211,000000,2.76,2.765,2.76,2.765,0,0
30YATY.B,D,20130212,000000,2.764,2.792,2.764,2.792,0,0
30YATY.B,D,20130213,000000,2.781,2.817,2.781,2.817,0,0
30YATY.B,D,20130214,000000,2.825,2.825,2.819,2.819,0,0
30YATY.B,D,20130215,000000,2.79,2.837,2.79,2.837,0,0
30YATY.B,D,20130218,000000,2.831,2.831,2.816,2.816,0,0
30YATY.B,D,20130219,000000,2.816,2.816,2.803,2.803,0,0
30YATY.B,D,20130220,000000,2.816,2.836,2.816,2.836,0,0
30YATY.B,D,20130221,000000,2.809,2.809,2.798,2.798,0,0
30YATY.B,D,20130222,000000,2.805,2.82,2.805,2.82,0,0
30YATY.B,D,20130225,000000,2.815,2.828,2.815,2.828,0,0
30YATY.B,D,20130226,000000,2.79,2.79,2.774,2.774,0,0
30YATY.B,D,20130227,000000,2.751,2.751,2.714,2.714,0,0
30YATY.B,D,20130228,000000,2.728,2.728,2.711,2.711,0,0
30YATY.B,D,20130301,000000,2.723,2.723,2.676,2.676,0,0
30YATY.B,D,20130304,000000,2.649,2.652,2.649,2.652,0,0
30YATY.B,D,20130305,000000,2.661,2.683,2.661,2.683,0,0
30YATY.B,D,20130306,000000,2.694,2.694,2.694,2.694,0,0
30YATY.B,D,20130307,000000,2.693,2.743,2.693,2.743,0,0
30YATY.B,D,20130308,000000,2.728,2.728,2.727,2.727,0,0
30YATY.B,D,20130311,000000,2.711,2.735,2.711,2.735,0,0
30YATY.B,D,20130312,000000,2.739,2.739,2.721,2.721,0,0
30YATY.B,D,20130313,000000,2.729,2.729,2.718,2.718,0,0
30YATY.B,D,20130314,000000,2.722,2.723,2.722,2.723,0,0
30YATY.B,D,20130315,000000,2.726,2.726,2.708,2.708,0,0
30YATY.B,D,20130318,000000,2.718,2.718,2.681,2.681,0,0
30YATY.B,D,20130319,000000,2.676,2.676,2.632,2.632,0,0
30YATY.B,D,20130320,000000,2.641,2.641,2.64,2.64,0,0
30YATY.B,D,20130321,000000,2.641,2.641,2.614,2.614,0,0
30YATY.B,D,20130322,000000,2.595,2.621,2.595,2.621,0,0
30YATY.B,D,20130325,000000,2.654,2.654,2.641,2.641,0,0
30YATY.B,D,20130326,000000,2.646,2.652,2.646,2.652,0,0
30YATY.B,D,20130327,000000,2.647,2.647,2.616,2.616,0,0
30YATY.B,D,20130328,000000,2.612,2.639,2.612,2.639,0,0
30YATY.B,D,20130402,000000,2.627,2.654,2.627,2.654,0,0
30YATY.B,D,20130403,000000,2.652,2.659,2.652,2.659,0,0
30YATY.B,D,20130404,000000,2.664,2.664,2.64,2.64,0,0
30YATY.B,D,20130405,000000,2.621,2.621,2.493,2.493,0,0
30YATY.B,D,20130408,000000,2.475,2.476,2.475,2.476,0,0
30YATY.B,D,20130409,000000,2.49,2.516,2.49,2.516,0,0
30YATY.B,D,20130410,000000,2.518,2.579,2.518,2.579,0,0
30YATY.B,D,20130411,000000,2.582,2.582,2.576,2.576,0,0
30YATY.B,D,20130412,000000,2.58,2.58,2.573,2.573,0,0
30YATY.B,D,20130415,000000,2.576,2.576,2.557,2.557,0,0
30YATY.B,D,20130416,000000,2.554,2.554,2.546,2.546,0,0
30YATY.B,D,20130417,000000,2.556,2.558,2.556,2.558,0,0
30YATY.B,D,20130418,000000,2.574,2.574,2.56,2.56,0,0
30YATY.B,D,20130419,000000,2.572,2.585,2.572,2.585,0,0
30YATY.B,D,20130422,000000,2.591,2.591,2.54,2.54,0,0
30YATY.B,D,20130423,000000,2.55,2.55,2.519,2.519,0,0
30YATY.B,D,20130424,000000,2.534,2.534,2.516,2.516,0,0
30YATY.B,D,20130425,000000,2.511,2.511,2.507,2.507,0,0
30YATY.B,D,20130426,000000,2.504,2.504,2.493,2.493,0,0
30YATY.B,D,20130429,000000,2.491,2.491,2.475,2.475,0,0
30YATY.B,D,20130430,000000,2.482,2.482,2.432,2.432,0,0
30YATY.B,D,20130502,000000,2.424,2.424,2.379,2.379,0,0
30YATY.B,D,20130503,000000,2.387,2.466,2.387,2.466,0,0
30YATY.B,D,20130506,000000,2.464,2.464,2.458,2.458,0,0
30YATY.B,D,20130507,000000,2.456,2.494,2.456,2.494,0,0
30YATY.B,D,20130508,000000,2.493,2.493,2.466,2.466,0,0
30YATY.B,D,20130510,000000,2.483,2.582,2.483,2.582,0,0
30YATY.B,D,20130513,000000,2.587,2.587,2.568,2.568,0,0
30YATY.B,D,20130514,000000,2.581,2.581,2.559,2.559,0,0
30YATY.B,D,20130515,000000,2.588,2.588,2.563,2.563,0,0
30YATY.B,D,20130516,000000,2.562,2.562,2.523,2.523,0,0
30YATY.B,D,20130517,000000,2.516,2.516,2.487,2.487,0,0
30YATY.B,D,20130521,000000,2.528,2.589,2.528,2.589,0,0
30YATY.B,D,20130522,000000,2.571,2.579,2.571,2.579,0,0
30YATY.B,D,20130523,000000,2.56,2.598,2.56,2.598,0,0
