<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
30YIDY.B,D,20240416,000000,6.894,6.94,6.894,6.939,0,0
30YIDY.B,D,20240417,000000,6.939,6.941,6.938,6.941,0,0
30YIDY.B,D,20240418,000000,6.938,6.939,6.938,6.939,0,0
30YIDY.B,D,20240419,000000,6.938,6.938,6.938,6.938,0,0
30YIDY.B,D,20240422,000000,6.934,6.978,6.934,6.977,0,0
30YIDY.B,D,20240423,000000,6.978,6.979,6.976,6.979,0,0
30YIDY.B,D,20240424,000000,6.978,6.98,6.977,6.977,0,0
30YIDY.B,D,20240425,000000,7.057,7.057,6.977,6.977,0,0
30YIDY.B,D,20240426,000000,6.977,6.977,6.977,6.977,0,0
30YIDY.B,D,20240429,000000,7.057,7.057,7.057,7.057,0,0
30YIDY.B,D,20240430,000000,7.255,7.255,7.255,7.255,0,0
30YIDY.B,D,20240502,000000,7.255,7.255,7.125,7.125,0,0
30YIDY.B,D,20240503,000000,7.125,7.125,7.023,7.023,0,0
30YIDY.B,D,20240507,000000,7.023,7.023,6.959,6.959,0,0
30YIDY.B,D,20240508,000000,7.075,7.075,7.065,7.065,0,0
30YIDY.B,D,20240513,000000,7.023,7.04,7.023,7.04,0,0
30YIDY.B,D,20240514,000000,7.04,7.04,6.969,6.974,0,0
30YIDY.B,D,20240515,000000,6.975,6.975,6.927,6.927,0,0
30YIDY.B,D,20240516,000000,6.927,6.928,6.916,6.917,0,0
30YIDY.B,D,20240517,000000,6.918,6.918,6.917,6.917,0,0
30YIDY.B,D,20240520,000000,6.894,6.918,6.894,6.918,0,0
30YIDY.B,D,20240521,000000,6.918,6.919,6.917,6.917,0,0
30YIDY.B,D,20240522,000000,6.918,6.939,6.918,6.937,0,0
30YIDY.B,D,20240527,000000,6.937,6.95,6.937,6.948,0,0
30YIDY.B,D,20240528,000000,6.948,6.949,6.948,6.949,0,0
30YIDY.B,D,20240529,000000,6.948,6.972,6.948,6.97,0,0
30YIDY.B,D,20240530,000000,6.969,6.972,6.969,6.969,0,0
30YIDY.B,D,20240531,000000,6.97,6.972,6.969,6.969,0,0
30YIDY.B,D,20240603,000000,6.965,6.973,6.965,6.968,0,0
30YIDY.B,D,20240604,000000,6.97,7.032,6.956,7.022,0,0
30YIDY.B,D,20240605,000000,7.019,7.025,7.019,7.023,0,0
30YIDY.B,D,20240606,000000,7.123,7.124,7.115,7.123,0,0
30YIDY.B,D,20240607,000000,7.129,7.129,7.127,7.127,0,0
30YIDY.B,D,20240610,000000,7.12,7.131,7.12,7.129,0,0
30YIDY.B,D,20240611,000000,7.133,7.133,7.13,7.13,0,0
30YIDY.B,D,20240612,000000,7.134,7.137,7.134,7.137,0,0
30YIDY.B,D,20240613,000000,7.136,7.137,7.136,7.137,0,0
30YIDY.B,D,20240614,000000,7.137,7.158,7.132,7.157,0,0
30YIDY.B,D,20240619,000000,7.158,7.18,7.157,7.178,0,0
30YIDY.B,D,20240620,000000,7.179,7.191,7.179,7.191,0,0
30YIDY.B,D,20240621,000000,7.191,7.191,7.19,7.19,0,0
30YIDY.B,D,20240624,000000,7.191,7.201,7.191,7.201,0,0
30YIDY.B,D,20240625,000000,7.228,7.228,7.209,7.209,0,0
30YIDY.B,D,20240626,000000,7.208,7.212,7.208,7.212,0,0
30YIDY.B,D,20240627,000000,7.212,7.212,7.212,7.212,0,0
30YIDY.B,D,20240628,000000,7.204,7.204,7.19,7.19,0,0
30YIDY.B,D,20240701,000000,7.17,7.186,7.17,7.186,0,0
30YIDY.B,D,20240702,000000,7.191,7.191,7.191,7.191,0,0
30YIDY.B,D,20240703,000000,7.214,7.214,7.19,7.19,0,0
30YIDY.B,D,20240704,000000,7.19,7.196,7.19,7.196,0,0
30YIDY.B,D,20240705,000000,7.197,7.197,7.196,7.197,0,0
30YIDY.B,D,20240708,000000,7.196,7.196,7.19,7.19,0,0
30YIDY.B,D,20240709,000000,7.197,7.197,7.197,7.197,0,0
30YIDY.B,D,20240710,000000,7.242,7.242,7.242,7.242,0,0
30YIDY.B,D,20240711,000000,7.242,7.242,7.242,7.242,0,0
30YIDY.B,D,20240712,000000,7.242,7.242,7.242,7.242,0,0
30YIDY.B,D,20240715,000000,7.242,7.242,7.242,7.242,0,0
30YIDY.B,D,20240716,000000,7.214,7.214,7.175,7.175,0,0
30YIDY.B,D,20240717,000000,7.143,7.143,7.143,7.143,0,0
30YIDY.B,D,20240718,000000,7.149,7.149,7.143,7.143,0,0
30YIDY.B,D,20240719,000000,7.143,7.143,7.143,7.143,0,0
30YIDY.B,D,20240722,000000,7.143,7.143,7.143,7.143,0,0
30YIDY.B,D,20240723,000000,7.143,7.143,7.143,7.143,0,0
30YIDY.B,D,20240724,000000,7.143,7.143,7.143,7.143,0,0
30YIDY.B,D,20240725,000000,7.143,7.143,7.143,7.143,0,0
30YIDY.B,D,20240726,000000,7.176,7.216,7.176,7.216,0,0
30YIDY.B,D,20240729,000000,7.216,7.216,7.216,7.216,0,0
30YIDY.B,D,20240730,000000,7.216,7.216,7.216,7.216,0,0
30YIDY.B,D,20240731,000000,7.216,7.216,7.216,7.216,0,0
30YIDY.B,D,20240801,000000,7.216,7.216,7.216,7.216,0,0
30YIDY.B,D,20240802,000000,7.216,7.216,7.216,7.216,0,0
30YIDY.B,D,20240805,000000,7.216,7.216,7.216,7.216,0,0
30YIDY.B,D,20240806,000000,7.105,7.105,7.105,7.105,0,0
30YIDY.B,D,20240807,000000,7.078,7.078,7.078,7.078,0,0
30YIDY.B,D,20240808,000000,7.078,7.078,7.078,7.078,0,0
30YIDY.B,D,20240809,000000,7.078,7.078,7.078,7.078,0,0
30YIDY.B,D,20240812,000000,7.085,7.1,7.085,7.1,0,0
30YIDY.B,D,20240813,000000,7.1,7.1,7.1,7.1,0,0
30YIDY.B,D,20240814,000000,7.1,7.1,7.1,7.1,0,0
30YIDY.B,D,20240815,000000,7.1,7.1,7.1,7.1,0,0
30YIDY.B,D,20240816,000000,7.078,7.1,7.025,7.025,0,0
30YIDY.B,D,20240819,000000,7.025,7.025,7.025,7.025,0,0
30YIDY.B,D,20240820,000000,7.025,7.025,7.025,7.025,0,0
30YIDY.B,D,20240821,000000,6.995,6.999,6.995,6.999,0,0
30YIDY.B,D,20240822,000000,6.999,6.999,6.999,6.999,0,0
30YIDY.B,D,20240823,000000,6.999,6.999,6.999,6.999,0,0
30YIDY.B,D,20240826,000000,6.999,6.999,6.999,6.999,0,0
30YIDY.B,D,20240827,000000,6.999,6.999,6.999,6.999,0,0
30YIDY.B,D,20240828,000000,6.999,6.999,6.999,6.999,0,0
30YIDY.B,D,20240829,000000,6.999,6.999,6.999,6.999,0,0
30YIDY.B,D,20240830,000000,6.999,6.999,6.999,6.999,0,0
30YIDY.B,D,20240902,000000,6.999,6.999,6.999,6.999,0,0
30YIDY.B,D,20240903,000000,6.999,6.999,6.999,6.999,0,0
30YIDY.B,D,20240904,000000,6.999,6.999,6.999,6.999,0,0
30YIDY.B,D,20240905,000000,6.999,6.999,6.999,6.999,0,0
30YIDY.B,D,20240906,000000,6.961,6.961,6.961,6.961,0,0
30YIDY.B,D,20240909,000000,6.961,6.961,6.961,6.961,0,0
30YIDY.B,D,20240910,000000,6.961,6.967,6.959,6.959,0,0
30YIDY.B,D,20240911,000000,6.959,6.959,6.952,6.952,0,0
30YIDY.B,D,20240912,000000,6.952,6.952,6.952,6.952,0,0
30YIDY.B,D,20240913,000000,6.952,6.952,6.952,6.952,0,0
30YIDY.B,D,20240917,000000,6.952,6.952,6.952,6.952,0,0
30YIDY.B,D,20240918,000000,6.952,6.952,6.952,6.952,0,0
30YIDY.B,D,20240919,000000,6.952,6.952,6.952,6.952,0,0
30YIDY.B,D,20240920,000000,6.952,6.952,6.952,6.952,0,0
30YIDY.B,D,20240923,000000,6.952,6.952,6.952,6.952,0,0
30YIDY.B,D,20240924,000000,6.952,6.952,6.952,6.952,0,0
30YIDY.B,D,20240925,000000,6.952,6.952,6.946,6.946,0,0
30YIDY.B,D,20240926,000000,6.946,6.946,6.946,6.946,0,0
30YIDY.B,D,20240927,000000,6.946,6.946,6.946,6.946,0,0
30YIDY.B,D,20240930,000000,6.952,6.952,6.952,6.952,0,0
30YIDY.B,D,20241001,000000,6.952,6.952,6.952,6.952,0,0
30YIDY.B,D,20241002,000000,6.982,6.982,6.982,6.982,0,0
30YIDY.B,D,20241003,000000,6.982,6.982,6.982,6.982,0,0
30YIDY.B,D,20241004,000000,6.982,6.982,6.982,6.982,0,0
30YIDY.B,D,20241007,000000,6.982,7.035,6.982,7.035,0,0
30YIDY.B,D,20241008,000000,7.035,7.035,7.035,7.035,0,0
30YIDY.B,D,20241009,000000,7.035,7.067,7.035,7.067,0,0
30YIDY.B,D,20241010,000000,7.037,7.037,7.001,7.001,0,0
30YIDY.B,D,20241011,000000,7.024,7.033,7.022,7.033,0,0
30YIDY.B,D,20241014,000000,7.033,7.033,7.033,7.033,0,0
30YIDY.B,D,20241015,000000,7.033,7.033,7.033,7.033,0,0
30YIDY.B,D,20241016,000000,7.033,7.033,7.033,7.033,0,0
30YIDY.B,D,20241017,000000,7.033,7.033,7.033,7.033,0,0
30YIDY.B,D,20241018,000000,7.033,7.033,7.033,7.033,0,0
30YIDY.B,D,20241021,000000,7.033,7.033,7.033,7.033,0,0
30YIDY.B,D,20241022,000000,7.033,7.033,7.033,7.033,0,0
30YIDY.B,D,20241023,000000,7.033,7.033,7.033,7.033,0,0
30YIDY.B,D,20241024,000000,7.033,7.033,7.033,7.033,0,0
30YIDY.B,D,20241025,000000,7.067,7.067,7.034,7.057,0,0
30YIDY.B,D,20241028,000000,7.057,7.057,7.057,7.057,0,0
30YIDY.B,D,20241029,000000,7.057,7.057,7.057,7.057,0,0
30YIDY.B,D,20241030,000000,7.057,7.057,7.034,7.034,0,0
30YIDY.B,D,20241031,000000,7.023,7.023,7.023,7.023,0,0
30YIDY.B,D,20241101,000000,7.023,7.023,7.023,7.023,0,0
30YIDY.B,D,20241104,000000,7.023,7.023,7.023,7.023,0,0
30YIDY.B,D,20241105,000000,7.027,7.027,7.027,7.027,0,0
30YIDY.B,D,20241106,000000,7.027,7.027,7.027,7.027,0,0
30YIDY.B,D,20241107,000000,7.027,7.027,7.027,7.027,0,0
30YIDY.B,D,20241108,000000,7.027,7.027,7.027,7.027,0,0
30YIDY.B,D,20241111,000000,7.027,7.027,7.027,7.027,0,0
30YIDY.B,D,20241112,000000,7.027,7.027,7.027,7.027,0,0
30YIDY.B,D,20241113,000000,7.027,7.027,7.027,7.027,0,0
30YIDY.B,D,20241114,000000,7.027,7.027,7.027,7.027,0,0
30YIDY.B,D,20241115,000000,7.027,7.027,7.027,7.027,0,0
30YIDY.B,D,20241118,000000,7.027,7.027,7.027,7.027,0,0
30YIDY.B,D,20241119,000000,7.027,7.027,7.027,7.027,0,0
30YIDY.B,D,20241120,000000,7.027,7.027,7.027,7.027,0,0
30YIDY.B,D,20241121,000000,7.027,7.027,7.027,7.027,0,0
30YIDY.B,D,20241122,000000,7.027,7.027,7.027,7.027,0,0
30YIDY.B,D,20241125,000000,7.027,7.027,7.027,7.027,0,0
30YIDY.B,D,20241126,000000,7.027,7.027,7.027,7.027,0,0
30YIDY.B,D,20241128,000000,7.027,7.027,7.027,7.027,0,0
30YIDY.B,D,20241129,000000,7.027,7.027,7.027,7.027,0,0
30YIDY.B,D,20241202,000000,7.027,7.027,7.027,7.027,0,0
30YIDY.B,D,20241203,000000,7.027,7.027,7.027,7.027,0,0
30YIDY.B,D,20241204,000000,7.027,7.027,7.027,7.027,0,0
30YIDY.B,D,20241205,000000,7.027,7.027,7.027,7.027,0,0
30YIDY.B,D,20241206,000000,7.027,7.027,7.027,7.027,0,0
30YIDY.B,D,20241209,000000,7.027,7.027,7.027,7.027,0,0
30YIDY.B,D,20241210,000000,7.027,7.027,7.027,7.027,0,0
30YIDY.B,D,20241211,000000,7.027,7.027,7.027,7.027,0,0
30YIDY.B,D,20241212,000000,7.027,7.027,7.027,7.027,0,0
30YIDY.B,D,20241213,000000,7.027,7.027,7.027,7.027,0,0
30YIDY.B,D,20241216,000000,7.027,7.027,7.027,7.027,0,0
30YIDY.B,D,20241217,000000,7.028,7.028,7.028,7.028,0,0
30YIDY.B,D,20241218,000000,7.028,7.028,7.028,7.028,0,0
30YIDY.B,D,20241219,000000,7.028,7.028,7.028,7.028,0,0
30YIDY.B,D,20241220,000000,7.028,7.028,7.028,7.028,0,0
30YIDY.B,D,20241223,000000,7.028,7.028,7.028,7.028,0,0
30YIDY.B,D,20241224,000000,7.028,7.028,7.028,7.028,0,0
30YIDY.B,D,20241227,000000,7.211,7.211,7.211,7.211,0,0
