<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
30YITY.B,D,19990104,000000,4.821,4.821,4.821,4.821,0,0
30YITY.B,D,19990105,000000,4.8,4.8,4.8,4.8,0,0
30YITY.B,D,19990107,000000,4.792,4.792,4.792,4.792,0,0
30YITY.B,D,19990108,000000,4.801,4.801,4.801,4.801,0,0
30YITY.B,D,19990111,000000,4.886,4.886,4.886,4.886,0,0
30YITY.B,D,19990112,000000,4.894,4.894,4.894,4.894,0,0
30YITY.B,D,19990113,000000,4.89,4.89,4.89,4.89,0,0
30YITY.B,D,19990114,000000,4.933,4.933,4.933,4.933,0,0
30YITY.B,D,19990115,000000,4.922,4.922,4.922,4.922,0,0
30YITY.B,D,19990118,000000,4.901,4.901,4.901,4.901,0,0
30YITY.B,D,19990119,000000,4.885,4.885,4.885,4.885,0,0
30YITY.B,D,19990120,000000,4.894,4.894,4.894,4.894,0,0
30YITY.B,D,19990121,000000,4.86,4.86,4.86,4.86,0,0
30YITY.B,D,19990122,000000,4.841,4.841,4.841,4.841,0,0
30YITY.B,D,19990125,000000,4.837,4.837,4.837,4.837,0,0
30YITY.B,D,19990126,000000,4.835,4.835,4.835,4.835,0,0
30YITY.B,D,19990127,000000,4.83,4.83,4.83,4.83,0,0
30YITY.B,D,19990128,000000,4.842,4.842,4.842,4.842,0,0
30YITY.B,D,19990129,000000,4.837,4.837,4.837,4.837,0,0
30YITY.B,D,19990201,000000,4.863,4.863,4.863,4.863,0,0
30YITY.B,D,19990202,000000,4.885,4.885,4.885,4.885,0,0
30YITY.B,D,19990203,000000,4.918,4.918,4.918,4.918,0,0
30YITY.B,D,19990204,000000,4.988,4.988,4.988,4.988,0,0
30YITY.B,D,19990205,000000,4.941,4.941,4.941,4.941,0,0
30YITY.B,D,19990208,000000,4.991,4.991,4.991,4.991,0,0
30YITY.B,D,19990209,000000,4.953,4.953,4.953,4.953,0,0
30YITY.B,D,19990210,000000,4.945,4.945,4.945,4.945,0,0
30YITY.B,D,19990211,000000,4.939,4.939,4.939,4.939,0,0
30YITY.B,D,19990212,000000,4.975,4.975,4.975,4.975,0,0
30YITY.B,D,19990215,000000,5.115,5.115,5.115,5.115,0,0
30YITY.B,D,19990216,000000,5.082,5.082,5.082,5.082,0,0
30YITY.B,D,19990217,000000,5.069,5.069,5.069,5.069,0,0
30YITY.B,D,19990218,000000,5.077,5.077,5.077,5.077,0,0
30YITY.B,D,19990219,000000,5.043,5.043,5.043,5.043,0,0
30YITY.B,D,19990222,000000,5.022,5.022,5.022,5.022,0,0
30YITY.B,D,19990223,000000,5.01,5.01,5.01,5.01,0,0
30YITY.B,D,19990224,000000,5.014,5.014,5.014,5.014,0,0
30YITY.B,D,19990225,000000,5.112,5.112,5.112,5.112,0,0
30YITY.B,D,19990226,000000,5.145,5.145,5.145,5.145,0,0
30YITY.B,D,19990301,000000,5.248,5.248,5.248,5.248,0,0
30YITY.B,D,19990302,000000,5.237,5.237,5.237,5.237,0,0
30YITY.B,D,19990303,000000,5.305,5.305,5.305,5.305,0,0
30YITY.B,D,19990304,000000,5.352,5.352,5.352,5.352,0,0
30YITY.B,D,19990305,000000,5.197,5.197,5.197,5.197,0,0
30YITY.B,D,19990308,000000,5.256,5.256,5.256,5.256,0,0
30YITY.B,D,19990309,000000,5.299,5.299,5.299,5.299,0,0
30YITY.B,D,19990310,000000,5.271,5.271,5.271,5.271,0,0
30YITY.B,D,19990311,000000,5.264,5.264,5.264,5.264,0,0
30YITY.B,D,19990312,000000,5.24,5.24,5.24,5.24,0,0
30YITY.B,D,19990315,000000,5.244,5.244,5.244,5.244,0,0
30YITY.B,D,19990316,000000,5.21,5.21,5.21,5.21,0,0
