<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
30YJPY.B,D,20060725,000000,2.58,2.6,2.544,2.544,0,0
30YJPY.B,D,20060726,000000,2.565,2.585,2.52,2.52,0,0
30YJPY.B,D,20060727,000000,2.535,2.56,2.528,2.528,0,0
30YJPY.B,D,20060728,000000,2.56,2.62,2.555,2.568,0,0
30YJPY.B,D,20060731,000000,2.61,2.625,2.588,2.588,0,0
30YJPY.B,D,20060801,000000,2.615,2.625,2.568,2.568,0,0
30YJPY.B,D,20060802,000000,2.595,2.595,2.525,2.528,0,0
30YJPY.B,D,20060803,000000,2.56,2.56,2.503,2.503,0,0
30YJPY.B,D,20060804,000000,2.535,2.54,2.475,2.499,0,0
30YJPY.B,D,20060807,000000,2.51,2.51,2.45,2.458,0,0
30YJPY.B,D,20060808,000000,2.46,2.47,2.445,2.454,0,0
30YJPY.B,D,20060809,000000,2.45,2.471,2.435,2.471,0,0
30YJPY.B,D,20060810,000000,2.47,2.565,2.46,2.507,0,0
30YJPY.B,D,20060811,000000,2.515,2.605,2.465,2.475,0,0
30YJPY.B,D,20060814,000000,2.515,2.535,2.5,2.503,0,0
30YJPY.B,D,20060815,000000,2.53,2.535,2.475,2.479,0,0
30YJPY.B,D,20060816,000000,2.47,2.48,2.455,2.475,0,0
30YJPY.B,D,20060817,000000,2.455,2.47,2.445,2.454,0,0
30YJPY.B,D,20060818,000000,2.46,2.505,2.46,2.499,0,0
30YJPY.B,D,20060821,000000,2.49,2.5,2.445,2.471,0,0
30YJPY.B,D,20060822,000000,2.46,2.485,2.44,2.467,0,0
30YJPY.B,D,20060823,000000,2.455,2.48,2.435,2.462,0,0
30YJPY.B,D,20060824,000000,2.465,2.475,2.4,2.434,0,0
30YJPY.B,D,20060825,000000,2.405,2.45,2.355,2.401,0,0
30YJPY.B,D,20060828,000000,2.375,2.405,2.34,2.405,0,0
30YJPY.B,D,20060829,000000,2.41,2.421,2.385,2.421,0,0
30YJPY.B,D,20060830,000000,2.43,2.43,2.375,2.417,0,0
30YJPY.B,D,20060831,000000,2.395,2.465,2.38,2.43,0,0
30YJPY.B,D,20060901,000000,2.395,2.43,2.39,2.43,0,0
30YJPY.B,D,20060904,000000,2.43,2.445,2.405,2.421,0,0
30YJPY.B,D,20060905,000000,2.445,2.46,2.395,2.43,0,0
30YJPY.B,D,20060906,000000,2.435,2.435,2.37,2.409,0,0
30YJPY.B,D,20060907,000000,2.405,2.413,2.375,2.413,0,0
30YJPY.B,D,20060908,000000,2.39,2.43,2.385,2.425,0,0
30YJPY.B,D,20060911,000000,2.405,2.405,2.36,2.384,0,0
30YJPY.B,D,20060912,000000,2.395,2.421,2.375,2.421,0,0
30YJPY.B,D,20060913,000000,2.42,2.435,2.37,2.392,0,0
30YJPY.B,D,20060914,000000,2.39,2.41,2.375,2.396,0,0
30YJPY.B,D,20060915,000000,2.4,2.409,2.37,2.409,0,0
30YJPY.B,D,20060919,000000,2.425,2.442,2.41,2.442,0,0
30YJPY.B,D,20060920,000000,2.405,2.43,2.395,2.417,0,0
30YJPY.B,D,20060921,000000,2.43,2.475,2.41,2.446,0,0
30YJPY.B,D,20060922,000000,2.46,2.465,2.355,2.388,0,0
30YJPY.B,D,20060925,000000,2.35,2.415,2.35,2.409,0,0
30YJPY.B,D,20060926,000000,2.38,2.43,2.38,2.417,0,0
30YJPY.B,D,20060927,000000,2.43,2.46,2.425,2.442,0,0
30YJPY.B,D,20060928,000000,2.445,2.465,2.405,2.429,0,0
30YJPY.B,D,20060929,000000,2.43,2.47,2.43,2.45,0,0
30YJPY.B,D,20061002,000000,2.5,2.525,2.485,2.507,0,0
30YJPY.B,D,20061003,000000,2.53,2.53,2.47,2.475,0,0
30YJPY.B,D,20061004,000000,2.48,2.53,2.48,2.499,0,0
30YJPY.B,D,20061005,000000,2.51,2.545,2.499,2.499,0,0
30YJPY.B,D,20061006,000000,2.525,2.525,2.495,2.499,0,0
30YJPY.B,D,20061010,000000,2.545,2.565,2.505,2.507,0,0
30YJPY.B,D,20061011,000000,2.535,2.575,2.5,2.507,0,0
30YJPY.B,D,20061012,000000,2.535,2.565,2.511,2.511,0,0
30YJPY.B,D,20061013,000000,2.53,2.54,2.511,2.511,0,0
30YJPY.B,D,20061016,000000,2.545,2.545,2.516,2.516,0,0
30YJPY.B,D,20061017,000000,2.535,2.56,2.49,2.52,0,0
30YJPY.B,D,20061020,000000,2.51,2.51,2.51,2.51,0,0
30YJPY.B,D,20061023,000000,2.54,2.565,2.533,2.533,0,0
30YJPY.B,D,20061024,000000,2.555,2.58,2.525,2.541,0,0
30YJPY.B,D,20061025,000000,2.54,2.555,2.505,2.508,0,0
30YJPY.B,D,20061026,000000,2.52,2.535,2.47,2.475,0,0
30YJPY.B,D,20061027,000000,2.51,2.51,2.44,2.463,0,0
30YJPY.B,D,20061030,000000,2.47,2.475,2.44,2.467,0,0
30YJPY.B,D,20061031,000000,2.455,2.475,2.455,2.471,0,0
30YJPY.B,D,20061101,000000,2.47,2.47,2.43,2.443,0,0
30YJPY.B,D,20061102,000000,2.435,2.45,2.415,2.43,0,0
30YJPY.B,D,20061106,000000,2.465,2.505,2.435,2.463,0,0
30YJPY.B,D,20061107,000000,2.475,2.48,2.455,2.463,0,0
30YJPY.B,D,20061108,000000,2.475,2.48,2.44,2.451,0,0
