<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
3MITY.B,D,20090706,000000,0.086,0.086,0.086,0.086,0,0
3MITY.B,D,20090707,000000,0.072,0.072,0.072,0.072,0,0
3MITY.B,D,20090708,000000,0.058,0.058,0.058,0.058,0,0
3MITY.B,D,20090710,000000,0.044,0.044,0.044,0.044,0,0
3MITY.B,D,20090713,000000,0.044,0.044,0.044,0.044,0,0
3MITY.B,D,20090714,000000,0.045,0.045,0.045,0.045,0,0
3MITY.B,D,20090715,000000,0.045,0.045,0.045,0.045,0,0
3MITY.B,D,20090716,000000,0.045,0.045,0.045,0.045,0,0
3MITY.B,D,20090717,000000,0.45,0.45,0.45,0.45,0,0
3MITY.B,D,20090720,000000,0.03,0.03,0.03,0.03,0,0
3MITY.B,D,20090721,000000,0.031,0.031,0.031,0.031,0,0
3MITY.B,D,20090722,000000,0.031,0.031,0.031,0.031,0,0
3MITY.B,D,20090723,000000,0.6,0.6,0.6,0.6,0,0
3MITY.B,D,20090724,000000,0.031,0.031,0.031,0.031,0,0
3MITY.B,D,20090727,000000,0.031,0.031,0.031,0.031,0,0
3MITY.B,D,20090728,000000,0.016,0.016,0.016,0.016,0,0
3MITY.B,D,20090729,000000,0.436,0.436,0.436,0.436,0,0
3MITY.B,D,20090730,000000,0.429,0.429,0.429,0.429,0,0
3MITY.B,D,20090731,000000,0.425,0.425,0.425,0.425,0,0
3MITY.B,D,20090803,000000,0.406,0.406,0.406,0.406,0,0
3MITY.B,D,20090804,000000,0.417,0.417,0.417,0.417,0,0
3MITY.B,D,20090805,000000,0.423,0.423,0.423,0.423,0,0
3MITY.B,D,20090806,000000,0.426,0.426,0.426,0.426,0,0
3MITY.B,D,20090807,000000,0.427,0.427,0.427,0.427,0,0
3MITY.B,D,20090810,000000,0.428,0.428,0.428,0.428,0,0
3MITY.B,D,20090811,000000,0.429,0.429,0.429,0.429,0,0
3MITY.B,D,20090812,000000,0.424,0.424,0.424,0.424,0,0
3MITY.B,D,20090813,000000,0.409,0.409,0.409,0.409,0,0
3MITY.B,D,20090814,000000,0.41,0.41,0.41,0.41,0,0
3MITY.B,D,20090818,000000,0.412,0.412,0.412,0.412,0,0
3MITY.B,D,20090819,000000,0.413,0.413,0.413,0.413,0,0
3MITY.B,D,20090820,000000,0.423,0.423,0.423,0.423,0,0
3MITY.B,D,20090821,000000,0.41,0.41,0.41,0.41,0,0
3MITY.B,D,20090824,000000,0.411,0.411,0.411,0.411,0,0
3MITY.B,D,20090825,000000,0.404,0.404,0.404,0.404,0,0
3MITY.B,D,20090826,000000,0.405,0.405,0.405,0.405,0,0
3MITY.B,D,20090827,000000,0.4,0.4,0.4,0.4,0,0
3MITY.B,D,20090828,000000,0.409,0.409,0.409,0.409,0,0
3MITY.B,D,20090831,000000,0.41,0.41,0.41,0.41,0,0
3MITY.B,D,20090901,000000,0.412,0.412,0.412,0.412,0,0
3MITY.B,D,20090902,000000,0.422,0.422,0.422,0.422,0,0
3MITY.B,D,20090903,000000,0.426,0.426,0.426,0.426,0,0
3MITY.B,D,20090904,000000,0.438,0.438,0.438,0.438,0,0
3MITY.B,D,20090907,000000,0.44,0.44,0.44,0.44,0,0
3MITY.B,D,20090908,000000,0.442,0.442,0.442,0.442,0,0
3MITY.B,D,20090909,000000,0.445,0.445,0.445,0.445,0,0
3MITY.B,D,20090910,000000,0.258,0.258,0.258,0.258,0,0
3MITY.B,D,20090911,000000,0.239,0.239,0.239,0.239,0,0
3MITY.B,D,20090914,000000,0.24,0.24,0.24,0.24,0,0
3MITY.B,D,20090915,000000,0.242,0.242,0.242,0.242,0,0
3MITY.B,D,20090916,000000,0.493,0.493,0.493,0.493,0,0
3MITY.B,D,20090917,000000,0.51,0.51,0.51,0.51,0,0
3MITY.B,D,20090918,000000,0.501,0.501,0.501,0.501,0,0
3MITY.B,D,20090921,000000,0.524,0.524,0.524,0.524,0,0
3MITY.B,D,20090922,000000,0.532,0.532,0.532,0.532,0,0
3MITY.B,D,20090923,000000,0.54,0.54,0.54,0.54,0,0
3MITY.B,D,20090924,000000,0.572,0.572,0.572,0.572,0,0
3MITY.B,D,20090925,000000,0.563,0.563,0.563,0.563,0,0
3MITY.B,D,20090928,000000,0.576,0.576,0.576,0.576,0,0
3MITY.B,D,20090929,000000,0.592,0.592,0.592,0.592,0,0
3MITY.B,D,20090930,000000,0.582,0.582,0.582,0.582,0,0
3MITY.B,D,20091001,000000,0.684,0.684,0.684,0.684,0,0
3MITY.B,D,20091002,000000,0.684,0.684,0.684,0.684,0,0
3MITY.B,D,20091005,000000,0.684,0.684,0.684,0.684,0,0
3MITY.B,D,20091006,000000,0.684,0.684,0.684,0.684,0,0
3MITY.B,D,20091007,000000,0.499,0.499,0.499,0.499,0,0
3MITY.B,D,20091008,000000,0.451,0.451,0.451,0.451,0,0
3MITY.B,D,20091009,000000,0.479,0.479,0.479,0.479,0,0
3MITY.B,D,20091012,000000,0.471,0.471,0.471,0.471,0,0
3MITY.B,D,20091013,000000,0.482,0.482,0.482,0.482,0,0
3MITY.B,D,20091014,000000,0.484,0.484,0.484,0.484,0,0
3MITY.B,D,20091015,000000,0.489,0.489,0.489,0.489,0,0
3MITY.B,D,20091016,000000,0.501,0.501,0.501,0.501,0,0
3MITY.B,D,20091019,000000,0.492,0.492,0.492,0.492,0,0
3MITY.B,D,20091020,000000,0.51,0.51,0.51,0.51,0,0
3MITY.B,D,20091021,000000,0.501,0.501,0.501,0.501,0,0
3MITY.B,D,20091022,000000,0.497,0.497,0.497,0.497,0,0
3MITY.B,D,20091023,000000,0.493,0.493,0.493,0.493,0,0
3MITY.B,D,20091026,000000,0.495,0.495,0.495,0.495,0,0
3MITY.B,D,20091027,000000,0.486,0.486,0.486,0.486,0,0
3MITY.B,D,20091028,000000,0.488,0.488,0.488,0.488,0,0
3MITY.B,D,20091029,000000,0.507,0.507,0.507,0.507,0,0
3MITY.B,D,20091030,000000,0.509,0.509,0.509,0.509,0,0
3MITY.B,D,20091102,000000,0.512,0.512,0.512,0.512,0,0
3MITY.B,D,20091103,000000,0.111,0.111,0.111,0.111,0,0
3MITY.B,D,20091104,000000,0.517,0.517,0.517,0.517,0,0
3MITY.B,D,20091105,000000,0.513,0.513,0.513,0.513,0,0
3MITY.B,D,20091106,000000,0.509,0.509,0.509,0.509,0,0
3MITY.B,D,20091109,000000,0.504,0.504,0.504,0.504,0,0
3MITY.B,D,20091110,000000,0.5,0.5,0.5,0.5,0,0
3MITY.B,D,20091111,000000,0.503,0.503,0.503,0.503,0,0
3MITY.B,D,20091112,000000,0.496,0.496,0.496,0.496,0,0
