<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
3MNLY.B,D,20100302,000000,0.287,0.287,0.287,0.287,0,0
3MNLY.B,D,20100303,000000,0.29,0.29,0.29,0.29,0,0
3MNLY.B,D,20100304,000000,0.3,0.3,0.3,0.3,0,0
3MNLY.B,D,20100305,000000,0.304,0.304,0.304,0.304,0,0
3MNLY.B,D,20100308,000000,0.308,0.308,0.308,0.308,0,0
3MNLY.B,D,20100309,000000,0.311,0.311,0.311,0.311,0,0
3MNLY.B,D,20100310,000000,0.27,0.27,0.27,0.27,0,0
3MNLY.B,D,20100311,000000,0.281,0.281,0.281,0.281,0,0
3MNLY.B,D,20100312,000000,0.284,0.284,0.284,0.284,0,0
3MNLY.B,D,20100315,000000,0.288,0.288,0.288,0.288,0,0
3MNLY.B,D,20100316,000000,0.292,0.292,0.292,0.292,0,0
3MNLY.B,D,20100317,000000,0.296,0.296,0.296,0.296,0,0
3MNLY.B,D,20100318,000000,0.309,0.309,0.309,0.309,0,0
3MNLY.B,D,20100319,000000,0.313,0.313,0.313,0.313,0,0
3MNLY.B,D,20100322,000000,0.318,0.318,0.318,0.318,0,0
3MNLY.B,D,20100324,000000,0.273,0.273,0.273,0.273,0,0
3MNLY.B,D,20100325,000000,0.286,0.286,0.286,0.286,0,0
3MNLY.B,D,20100326,000000,0.29,0.29,0.29,0.29,0,0
3MNLY.B,D,20100329,000000,0.295,0.295,0.295,0.295,0,0
3MNLY.B,D,20100330,000000,0.3,0.3,0.3,0.3,0,0
3MNLY.B,D,20100331,000000,0.262,0.262,0.262,0.262,0,0
3MNLY.B,D,20100401,000000,0.267,0.267,0.267,0.267,0,0
3MNLY.B,D,20100406,000000,0.304,0.304,0.304,0.304,0,0
3MNLY.B,D,20100407,000000,0.368,0.368,0.368,0.368,0,0
3MNLY.B,D,20100408,000000,0.274,0.274,0.274,0.274,0,0
3MNLY.B,D,20100409,000000,0.277,0.277,0.277,0.277,0,0
3MNLY.B,D,20100412,000000,0.281,0.281,0.281,0.281,0,0
3MNLY.B,D,20100413,000000,0.284,0.284,0.284,0.284,0,0
3MNLY.B,D,20100414,000000,0.26,0.26,0.26,0.26,0,0
3MNLY.B,D,20100416,000000,0.254,0.254,0.254,0.254,0,0
3MNLY.B,D,20100419,000000,0.257,0.257,0.257,0.257,0,0
3MNLY.B,D,20100420,000000,0.246,0.246,0.246,0.246,0,0
3MNLY.B,D,20100421,000000,0.212,0.212,0.212,0.212,0,0
3MNLY.B,D,20100422,000000,0.222,0.222,0.222,0.222,0,0
3MNLY.B,D,20100423,000000,0.225,0.225,0.225,0.225,0,0
3MNLY.B,D,20100427,000000,0.205,0.205,0.205,0.205,0,0
3MNLY.B,D,20100428,000000,0.177,0.177,0.177,0.177,0,0
3MNLY.B,D,20100429,000000,0.186,0.186,0.186,0.186,0,0
3MNLY.B,D,20100430,000000,0.316,0.316,0.316,0.316,0,0
3MNLY.B,D,20100503,000000,0.193,0.193,0.193,0.193,0,0
3MNLY.B,D,20100505,000000,0.133,0.133,0.133,0.133,0,0
3MNLY.B,D,20100506,000000,0.141,0.141,0.141,0.141,0,0
3MNLY.B,D,20100511,000000,0.231,0.231,0.231,0.231,0,0
3MNLY.B,D,20100512,000000,0.187,0.187,0.187,0.187,0,0
3MNLY.B,D,20100513,000000,0.195,0.195,0.195,0.195,0,0
3MNLY.B,D,20100514,000000,0.197,0.197,0.197,0.197,0,0
3MNLY.B,D,20100517,000000,0.2,0.2,0.2,0.2,0,0
3MNLY.B,D,20100518,000000,0.203,0.203,0.203,0.203,0,0
3MNLY.B,D,20100520,000000,0.215,0.215,0.215,0.215,0,0
3MNLY.B,D,20100524,000000,0.222,0.222,0.222,0.222,0,0
3MNLY.B,D,20100525,000000,0.169,0.169,0.169,0.169,0,0
3MNLY.B,D,20100526,000000,0.171,0.171,0.171,0.171,0,0
3MNLY.B,D,20100527,000000,0.18,0.18,0.18,0.18,0,0
3MNLY.B,D,20100528,000000,0.183,0.183,0.183,0.183,0,0
3MNLY.B,D,20100531,000000,0.186,0.186,0.186,0.186,0,0
3MNLY.B,D,20100601,000000,0.126,0.126,0.126,0.126,0,0
3MNLY.B,D,20100602,000000,0.129,0.129,0.129,0.129,0,0
3MNLY.B,D,20100603,000000,0.136,0.136,0.136,0.136,0,0
3MNLY.B,D,20100604,000000,0.138,0.138,0.138,0.138,0,0
3MNLY.B,D,20100607,000000,0.141,0.141,0.141,0.141,0,0
3MNLY.B,D,20100608,000000,0.144,0.144,0.144,0.144,0,0
3MNLY.B,D,20100609,000000,0.22,0.22,0.22,0.22,0,0
3MNLY.B,D,20100610,000000,0.235,0.235,0.235,0.235,0,0
