<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
3MPTY.B,D,20120809,000000,1.101,1.327,1,1.094,0,0
3MPTY.B,D,20120810,000000,0.989,1.324,0.983,1.08,0,0
3MPTY.B,D,20120813,000000,1.094,1.318,0.974,1.31,0,0
3MPTY.B,D,20120814,000000,0.967,1.321,0.93,0.957,0,0
3MPTY.B,D,20120815,000000,0.779,1.132,0.779,1.132,0,0
3MPTY.B,D,20120816,000000,1.058,1.525,0.529,0.53,0,0
3MPTY.B,D,20120817,000000,0.859,0.859,0.524,0.525,0,0
3MPTY.B,D,20120820,000000,0.657,1.02,0.657,0.799,0,0
3MPTY.B,D,20120821,000000,0.718,0.961,0.677,0.957,0,0
3MPTY.B,D,20120822,000000,0.89,1.04,0.642,1.04,0,0
3MPTY.B,D,20120823,000000,1.033,1.033,0.601,0.601,0,0
3MPTY.B,D,20120824,000000,0.813,0.846,0.589,0.738,0,0
3MPTY.B,D,20120827,000000,0.772,0.818,0.738,0.767,0,0
3MPTY.B,D,20120828,000000,0.743,0.811,0.535,0.535,0,0
3MPTY.B,D,20120829,000000,0.812,0.82,0.528,0.751,0,0
3MPTY.B,D,20120830,000000,0.81,0.824,0.703,0.743,0,0
3MPTY.B,D,20120831,000000,0.816,0.821,0.703,0.753,0,0
3MPTY.B,D,20120903,000000,0.743,0.822,0.639,0.642,0,0
3MPTY.B,D,20120904,000000,0.703,0.869,0.625,0.869,0,0
3MPTY.B,D,20120905,000000,0.641,0.87,0.575,0.87,0,0
3MPTY.B,D,20120906,000000,0.682,0.875,0.638,0.86,0,0
3MPTY.B,D,20120907,000000,0.85,0.85,0.657,0.662,0,0
3MPTY.B,D,20120910,000000,0.892,0.892,0.656,0.656,0,0
3MPTY.B,D,20120911,000000,0.941,1.2,0.656,1.197,0,0
3MPTY.B,D,20120912,000000,1.15,1.342,0.88,0.92,0,0
3MPTY.B,D,20120913,000000,1.27,1.342,0.712,1.137,0,0
3MPTY.B,D,20120914,000000,1.148,1.35,0.754,1.35,0,0
