<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
3YAUY.B,D,20000104,000000,6.63,6.63,6.63,6.63,0,0
3YAUY.B,D,20000105,000000,6.55,6.55,6.55,6.55,0,0
3YAUY.B,D,20000106,000000,6.66,6.66,6.66,6.66,0,0
3YAUY.B,D,20000107,000000,6.665,6.665,6.665,6.665,0,0
3YAUY.B,D,20000110,000000,6.705,6.705,6.705,6.705,0,0
3YAUY.B,D,20000111,000000,6.75,6.75,6.75,6.75,0,0
3YAUY.B,D,20000112,000000,6.79,6.79,6.79,6.79,0,0
3YAUY.B,D,20000113,000000,6.775,6.775,6.775,6.775,0,0
3YAUY.B,D,20000114,000000,6.78,6.78,6.78,6.78,0,0
3YAUY.B,D,20000117,000000,6.82,6.82,6.82,6.82,0,0
3YAUY.B,D,20000118,000000,6.77,6.77,6.77,6.77,0,0
3YAUY.B,D,20000119,000000,6.84,6.84,6.84,6.84,0,0
3YAUY.B,D,20000120,000000,6.8,6.8,6.8,6.8,0,0
3YAUY.B,D,20000121,000000,6.84,6.84,6.84,6.84,0,0
3YAUY.B,D,20000124,000000,6.86,6.86,6.86,6.86,0,0
3YAUY.B,D,20000125,000000,6.83,6.83,6.83,6.83,0,0
3YAUY.B,D,20000127,000000,6.8,6.8,6.8,6.8,0,0
3YAUY.B,D,20000128,000000,6.73,6.73,6.73,6.73,0,0
3YAUY.B,D,20000131,000000,6.78,6.78,6.78,6.78,0,0
3YAUY.B,D,20000201,000000,6.76,6.76,6.76,6.76,0,0
3YAUY.B,D,20000202,000000,6.92,6.92,6.92,6.92,0,0
3YAUY.B,D,20000203,000000,6.93,6.93,6.93,6.93,0,0
3YAUY.B,D,20000204,000000,6.83,6.83,6.83,6.83,0,0
3YAUY.B,D,20000207,000000,6.88,6.88,6.88,6.88,0,0
3YAUY.B,D,20000208,000000,6.866,6.866,6.866,6.866,0,0
3YAUY.B,D,20000209,000000,6.767,6.767,6.767,6.767,0,0
3YAUY.B,D,20000210,000000,6.7,6.7,6.7,6.7,0,0
