<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
3YPTY.B,D,20040416,000000,2.668,2.668,2.668,2.668,0,0
3YPTY.B,D,20040420,000000,2.948,2.948,2.948,2.948,0,0
3YPTY.B,D,20040421,000000,2.981,2.981,2.981,2.981,0,0
3YPTY.B,D,20040422,000000,2.964,2.964,2.964,2.964,0,0
3YPTY.B,D,20040423,000000,2.994,2.994,2.994,2.994,0,0
3YPTY.B,D,20040426,000000,3.011,3.011,3.011,3.011,0,0
3YPTY.B,D,20040427,000000,3.028,3.028,3.028,3.028,0,0
3YPTY.B,D,20040428,000000,3.017,3.017,3.017,3.017,0,0
3YPTY.B,D,20040429,000000,3.016,3.016,3.016,3.016,0,0
3YPTY.B,D,20040430,000000,2.99,2.99,2.99,2.99,0,0
3YPTY.B,D,20040503,000000,2.978,2.978,2.978,2.978,0,0
3YPTY.B,D,20040504,000000,2.993,2.993,2.993,2.993,0,0
3YPTY.B,D,20040505,000000,2.977,2.977,2.977,2.977,0,0
3YPTY.B,D,20040506,000000,3.06,3.06,3.06,3.06,0,0
3YPTY.B,D,20040507,000000,3.163,3.163,3.163,3.163,0,0
3YPTY.B,D,20040510,000000,3.142,3.142,3.142,3.142,0,0
3YPTY.B,D,20040511,000000,3.15,3.15,3.15,3.15,0,0
3YPTY.B,D,20040512,000000,3.168,3.168,3.168,3.168,0,0
3YPTY.B,D,20040513,000000,3.196,3.196,3.196,3.196,0,0
3YPTY.B,D,20040514,000000,3.166,3.166,3.166,3.166,0,0
3YPTY.B,D,20040517,000000,3.092,3.092,3.092,3.092,0,0
3YPTY.B,D,20040518,000000,3.122,3.122,3.122,3.122,0,0
3YPTY.B,D,20040519,000000,3.179,3.179,3.179,3.179,0,0
3YPTY.B,D,20040520,000000,3.171,3.171,3.171,3.171,0,0
3YPTY.B,D,20040521,000000,3.155,3.155,3.155,3.155,0,0
3YPTY.B,D,20040524,000000,3.156,3.156,3.156,3.156,0,0
3YPTY.B,D,20040525,000000,3.141,3.141,3.141,3.141,0,0
3YPTY.B,D,20040526,000000,3.118,3.118,3.118,3.118,0,0
3YPTY.B,D,20040527,000000,3.053,3.053,3.053,3.053,0,0
3YPTY.B,D,20040528,000000,3.138,3.138,3.138,3.138,0,0
3YPTY.B,D,20040531,000000,3.179,3.179,3.179,3.179,0,0
3YPTY.B,D,20040601,000000,3.164,3.164,3.164,3.164,0,0
3YPTY.B,D,20040602,000000,3.177,3.177,3.177,3.177,0,0
3YPTY.B,D,20040603,000000,3.179,3.179,3.179,3.179,0,0
3YPTY.B,D,20040604,000000,3.19,3.19,3.19,3.19,0,0
3YPTY.B,D,20040607,000000,3.193,3.193,3.193,3.193,0,0
3YPTY.B,D,20040608,000000,3.174,3.174,3.174,3.174,0,0
3YPTY.B,D,20040609,000000,3.215,3.215,3.215,3.215,0,0
3YPTY.B,D,20040610,000000,3.254,3.254,3.254,3.254,0,0
3YPTY.B,D,20040611,000000,3.299,3.299,3.299,3.299,0,0
3YPTY.B,D,20040614,000000,3.318,3.318,3.318,3.318,0,0
3YPTY.B,D,20040615,000000,3.214,3.214,3.214,3.214,0,0
3YPTY.B,D,20040616,000000,3.263,3.263,3.263,3.263,0,0
3YPTY.B,D,20040617,000000,3.298,3.298,3.298,3.298,0,0
3YPTY.B,D,20040618,000000,3.241,3.241,3.241,3.241,0,0
3YPTY.B,D,20040621,000000,3.23,3.23,3.23,3.23,0,0
3YPTY.B,D,20040622,000000,3.251,3.251,3.251,3.251,0,0
3YPTY.B,D,20040623,000000,3.238,3.238,3.238,3.238,0,0
3YPTY.B,D,20040624,000000,3.161,3.161,3.161,3.161,0,0
3YPTY.B,D,20040625,000000,3.175,3.175,3.175,3.175,0,0
3YPTY.B,D,20040628,000000,3.227,3.227,3.227,3.227,0,0
3YPTY.B,D,20040629,000000,3.233,3.233,3.233,3.233,0,0
3YPTY.B,D,20040630,000000,3.183,3.183,3.183,3.183,0,0
3YPTY.B,D,20040701,000000,3.165,3.165,3.165,3.165,0,0
3YPTY.B,D,20040702,000000,3.08,3.08,3.08,3.08,0,0
3YPTY.B,D,20040705,000000,3.083,3.083,3.083,3.083,0,0
3YPTY.B,D,20040706,000000,3.095,3.095,3.095,3.095,0,0
3YPTY.B,D,20040707,000000,3.057,3.057,3.057,3.057,0,0
3YPTY.B,D,20040708,000000,3.046,3.046,3.046,3.046,0,0
3YPTY.B,D,20040709,000000,3.051,3.051,3.051,3.051,0,0
3YPTY.B,D,20040712,000000,3.04,3.04,3.04,3.04,0,0
3YPTY.B,D,20040713,000000,3.102,3.102,3.102,3.102,0,0
3YPTY.B,D,20040714,000000,3.087,3.087,3.087,3.087,0,0
3YPTY.B,D,20040715,000000,3.093,3.093,3.093,3.093,0,0
3YPTY.B,D,20040716,000000,3.008,3.008,3.008,3.008,0,0
3YPTY.B,D,20040719,000000,2.992,2.992,2.992,2.992,0,0
3YPTY.B,D,20040720,000000,3.011,3.011,3.011,3.011,0,0
3YPTY.B,D,20040721,000000,3.104,3.104,3.104,3.104,0,0
3YPTY.B,D,20040722,000000,3.056,3.056,3.056,3.056,0,0
3YPTY.B,D,20040723,000000,3.085,3.085,3.085,3.085,0,0
3YPTY.B,D,20040726,000000,3.124,3.124,3.124,3.124,0,0
3YPTY.B,D,20040727,000000,3.159,3.159,3.159,3.159,0,0
3YPTY.B,D,20040728,000000,3.155,3.155,3.155,3.155,0,0
3YPTY.B,D,20040729,000000,3.134,3.134,3.134,3.134,0,0
3YPTY.B,D,20040730,000000,3.061,3.061,3.061,3.061,0,0
3YPTY.B,D,20040802,000000,3.05,3.05,3.05,3.05,0,0
3YPTY.B,D,20040803,000000,3.035,3.035,3.035,3.035,0,0
3YPTY.B,D,20040804,000000,3.01,3.01,3.01,3.01,0,0
3YPTY.B,D,20040805,000000,2.974,2.974,2.974,2.974,0,0
3YPTY.B,D,20040806,000000,2.892,2.892,2.892,2.892,0,0
3YPTY.B,D,20040809,000000,2.9,2.9,2.9,2.9,0,0
3YPTY.B,D,20040810,000000,2.902,2.902,2.902,2.902,0,0
3YPTY.B,D,20040811,000000,2.924,2.924,2.924,2.924,0,0
3YPTY.B,D,20040812,000000,2.909,2.909,2.909,2.909,0,0
3YPTY.B,D,20040813,000000,2.88,2.88,2.88,2.88,0,0
3YPTY.B,D,20040816,000000,2.916,2.916,2.916,2.916,0,0
3YPTY.B,D,20040817,000000,2.887,2.887,2.887,2.887,0,0
3YPTY.B,D,20040818,000000,2.913,2.913,2.913,2.913,0,0
3YPTY.B,D,20040819,000000,2.88,2.88,2.88,2.88,0,0
3YPTY.B,D,20040820,000000,2.868,2.868,2.868,2.868,0,0
3YPTY.B,D,20040823,000000,2.948,2.948,2.948,2.948,0,0
3YPTY.B,D,20040824,000000,2.937,2.937,2.937,2.937,0,0
3YPTY.B,D,20040825,000000,2.897,2.897,2.897,2.897,0,0
