<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
3YUKY.B,D,19940126,000000,5.435,5.435,5.435,5.435,0,0
3YUKY.B,D,19940127,000000,5.465,5.465,5.465,5.465,0,0
3YUKY.B,D,19940128,000000,5.439,5.439,5.439,5.439,0,0
3YUKY.B,D,19940131,000000,5.404,5.404,5.404,5.404,0,0
3YUKY.B,D,19940201,000000,5.412,5.412,5.412,5.412,0,0
3YUKY.B,D,19940202,000000,5.431,5.431,5.431,5.431,0,0
3YUKY.B,D,19940203,000000,5.473,5.473,5.473,5.473,0,0
3YUKY.B,D,19940204,000000,5.503,5.503,5.503,5.503,0,0
3YUKY.B,D,19940207,000000,5.642,5.642,5.642,5.642,0,0
3YUKY.B,D,19940208,000000,5.522,5.522,5.522,5.522,0,0
3YUKY.B,D,19940209,000000,5.588,5.588,5.588,5.588,0,0
3YUKY.B,D,19940210,000000,5.63,5.63,5.63,5.63,0,0
3YUKY.B,D,19940211,000000,5.627,5.627,5.627,5.627,0,0
3YUKY.B,D,19940214,000000,5.65,5.65,5.65,5.65,0,0
3YUKY.B,D,19940215,000000,5.635,5.635,5.635,5.635,0,0
3YUKY.B,D,19940216,000000,5.608,5.608,5.608,5.608,0,0
3YUKY.B,D,19940217,000000,5.569,5.569,5.569,5.569,0,0
3YUKY.B,D,19940218,000000,5.635,5.635,5.635,5.635,0,0
3YUKY.B,D,19940221,000000,5.659,5.659,5.659,5.659,0,0
3YUKY.B,D,19940222,000000,5.785,5.785,5.785,5.785,0,0
3YUKY.B,D,19940223,000000,5.817,5.817,5.817,5.817,0,0
3YUKY.B,D,19940224,000000,6.062,6.062,6.062,6.062,0,0
3YUKY.B,D,19940225,000000,5.975,5.975,5.975,5.975,0,0
3YUKY.B,D,19940228,000000,5.87,5.87,5.87,5.87,0,0
3YUKY.B,D,19940301,000000,5.949,5.949,5.949,5.949,0,0
3YUKY.B,D,19940302,000000,5.97,5.97,5.97,5.97,0,0
3YUKY.B,D,19940303,000000,5.966,5.966,5.966,5.966,0,0
3YUKY.B,D,19940304,000000,5.915,5.915,5.915,5.915,0,0
3YUKY.B,D,19940307,000000,5.844,5.844,5.844,5.844,0,0
3YUKY.B,D,19940308,000000,5.889,5.889,5.889,5.889,0,0
3YUKY.B,D,19940309,000000,5.945,5.945,5.945,5.945,0,0
3YUKY.B,D,19940310,000000,5.893,5.893,5.893,5.893,0,0
3YUKY.B,D,19940311,000000,6.047,6.047,6.047,6.047,0,0
3YUKY.B,D,19940314,000000,6,6,6,6,0,0
3YUKY.B,D,19940315,000000,5.948,5.948,5.948,5.948,0,0
3YUKY.B,D,19940316,000000,6.09,6.09,6.09,6.09,0,0
3YUKY.B,D,19940317,000000,6.086,6.086,6.086,6.086,0,0
3YUKY.B,D,19940318,000000,6.12,6.12,6.12,6.12,0,0
3YUKY.B,D,19940321,000000,6.122,6.122,6.122,6.122,0,0
3YUKY.B,D,19940322,000000,6.069,6.069,6.069,6.069,0,0
3YUKY.B,D,19940323,000000,6.164,6.164,6.164,6.164,0,0
3YUKY.B,D,19940324,000000,6.419,6.419,6.419,6.419,0,0
3YUKY.B,D,19940325,000000,6.628,6.628,6.628,6.628,0,0
3YUKY.B,D,19940328,000000,6.631,6.631,6.631,6.631,0,0
3YUKY.B,D,19940329,000000,6.829,6.829,6.829,6.829,0,0
3YUKY.B,D,19940330,000000,6.789,6.789,6.789,6.789,0,0
3YUKY.B,D,19940331,000000,6.685,6.685,6.685,6.685,0,0
3YUKY.B,D,19940405,000000,6.755,6.755,6.755,6.755,0,0
3YUKY.B,D,19940406,000000,6.626,6.626,6.626,6.626,0,0
3YUKY.B,D,19940407,000000,6.61,6.61,6.61,6.61,0,0
3YUKY.B,D,19940408,000000,6.645,6.645,6.645,6.645,0,0
3YUKY.B,D,19940411,000000,6.595,6.595,6.595,6.595,0,0
3YUKY.B,D,19940412,000000,6.604,6.604,6.604,6.604,0,0
3YUKY.B,D,19940413,000000,6.6,6.6,6.6,6.6,0,0
3YUKY.B,D,19940414,000000,6.597,6.597,6.597,6.597,0,0
3YUKY.B,D,19940415,000000,6.594,6.594,6.594,6.594,0,0
3YUKY.B,D,19940418,000000,6.686,6.686,6.686,6.686,0,0
3YUKY.B,D,19940419,000000,6.695,6.695,6.695,6.695,0,0
3YUKY.B,D,19940420,000000,6.833,6.833,6.833,6.833,0,0
3YUKY.B,D,19940421,000000,6.907,6.907,6.907,6.907,0,0
3YUKY.B,D,19940422,000000,6.827,6.827,6.827,6.827,0,0
3YUKY.B,D,19940425,000000,6.959,6.959,6.959,6.959,0,0
3YUKY.B,D,19940426,000000,6.93,6.93,6.93,6.93,0,0
3YUKY.B,D,19940427,000000,6.914,6.914,6.914,6.914,0,0
3YUKY.B,D,19940428,000000,6.924,6.924,6.924,6.924,0,0
3YUKY.B,D,19940429,000000,6.921,6.921,6.921,6.921,0,0
3YUKY.B,D,19940503,000000,7.013,7.013,7.013,7.013,0,0
3YUKY.B,D,19940504,000000,7.181,7.181,7.181,7.181,0,0
3YUKY.B,D,19940505,000000,7.125,7.125,7.125,7.125,0,0
3YUKY.B,D,19940506,000000,7.162,7.162,7.162,7.162,0,0
3YUKY.B,D,19940509,000000,7.237,7.237,7.237,7.237,0,0
3YUKY.B,D,19940510,000000,7.181,7.181,7.181,7.181,0,0
3YUKY.B,D,19940511,000000,7.085,7.085,7.085,7.085,0,0
3YUKY.B,D,19940512,000000,7.029,7.029,7.029,7.029,0,0
3YUKY.B,D,19940513,000000,6.933,6.933,6.933,6.933,0,0
3YUKY.B,D,19940516,000000,6.924,6.924,6.924,6.924,0,0
3YUKY.B,D,19940517,000000,6.908,6.908,6.908,6.908,0,0
3YUKY.B,D,19940518,000000,6.905,6.905,6.905,6.905,0,0
3YUKY.B,D,19940519,000000,7.139,7.139,7.139,7.139,0,0
3YUKY.B,D,19940520,000000,7.114,7.114,7.114,7.114,0,0
3YUKY.B,D,19940523,000000,7.195,7.195,7.195,7.195,0,0
3YUKY.B,D,19940524,000000,7.323,7.323,7.323,7.323,0,0
3YUKY.B,D,19940525,000000,7.458,7.458,7.458,7.458,0,0
3YUKY.B,D,19940526,000000,7.502,7.502,7.502,7.502,0,0
3YUKY.B,D,19940527,000000,7.597,7.597,7.597,7.597,0,0
3YUKY.B,D,19940531,000000,7.833,7.833,7.833,7.833,0,0
3YUKY.B,D,19940601,000000,8.06,8.06,8.06,8.06,0,0
3YUKY.B,D,19940602,000000,7.899,7.899,7.899,7.899,0,0
3YUKY.B,D,19940603,000000,7.581,7.581,7.581,7.581,0,0
3YUKY.B,D,19940606,000000,7.62,7.62,7.62,7.62,0,0
3YUKY.B,D,19940607,000000,7.762,7.762,7.762,7.762,0,0
3YUKY.B,D,19940608,000000,7.674,7.674,7.674,7.674,0,0
3YUKY.B,D,19940609,000000,7.729,7.729,7.729,7.729,0,0
3YUKY.B,D,19940610,000000,7.694,7.694,7.694,7.694,0,0
3YUKY.B,D,19940613,000000,7.846,7.846,7.846,7.846,0,0
3YUKY.B,D,19940614,000000,7.835,7.835,7.835,7.835,0,0
3YUKY.B,D,19940615,000000,7.679,7.679,7.679,7.679,0,0
3YUKY.B,D,19940616,000000,7.844,7.844,7.844,7.844,0,0
3YUKY.B,D,19940617,000000,7.833,7.833,7.833,7.833,0,0
3YUKY.B,D,19940620,000000,8.04,8.04,8.04,8.04,0,0
3YUKY.B,D,19940621,000000,8.086,8.086,8.086,8.086,0,0
3YUKY.B,D,19940622,000000,7.861,7.861,7.861,7.861,0,0
3YUKY.B,D,19940623,000000,7.808,7.808,7.808,7.808,0,0
3YUKY.B,D,19940624,000000,7.938,7.938,7.938,7.938,0,0
3YUKY.B,D,19940627,000000,7.848,7.848,7.848,7.848,0,0
3YUKY.B,D,19940628,000000,7.868,7.868,7.868,7.868,0,0
3YUKY.B,D,19940629,000000,7.804,7.804,7.804,7.804,0,0
3YUKY.B,D,19940630,000000,7.903,7.903,7.903,7.903,0,0
3YUKY.B,D,19940701,000000,7.924,7.924,7.924,7.924,0,0
3YUKY.B,D,19940704,000000,7.854,7.854,7.854,7.854,0,0
3YUKY.B,D,19940705,000000,7.864,7.864,7.864,7.864,0,0
3YUKY.B,D,19940706,000000,7.921,7.921,7.921,7.921,0,0
3YUKY.B,D,19940707,000000,7.877,7.877,7.877,7.877,0,0
3YUKY.B,D,19940708,000000,7.862,7.862,7.862,7.862,0,0
3YUKY.B,D,19940711,000000,7.738,7.738,7.738,7.738,0,0
3YUKY.B,D,19940712,000000,7.659,7.659,7.659,7.659,0,0
3YUKY.B,D,19940713,000000,7.526,7.526,7.526,7.526,0,0
3YUKY.B,D,19940714,000000,7.436,7.436,7.436,7.436,0,0
3YUKY.B,D,19940715,000000,7.467,7.467,7.467,7.467,0,0
3YUKY.B,D,19940718,000000,7.443,7.443,7.443,7.443,0,0
3YUKY.B,D,19940719,000000,7.453,7.453,7.453,7.453,0,0
3YUKY.B,D,19940720,000000,7.531,7.531,7.531,7.531,0,0
3YUKY.B,D,19940722,000000,7.583,7.583,7.583,7.583,0,0
3YUKY.B,D,19940725,000000,7.62,7.62,7.62,7.62,0,0
3YUKY.B,D,19940726,000000,7.593,7.593,7.593,7.593,0,0
3YUKY.B,D,19940727,000000,7.89,7.89,7.89,7.89,0,0
3YUKY.B,D,19940728,000000,7.912,7.912,7.912,7.912,0,0
3YUKY.B,D,19940729,000000,8.013,8.013,8.013,8.013,0,0
3YUKY.B,D,19940801,000000,8,8,8,8,0,0
3YUKY.B,D,19940802,000000,7.859,7.859,7.859,7.859,0,0
3YUKY.B,D,19940803,000000,7.825,7.825,7.825,7.825,0,0
3YUKY.B,D,19940804,000000,7.961,7.961,7.961,7.961,0,0
3YUKY.B,D,19940805,000000,7.893,7.893,7.893,7.893,0,0
3YUKY.B,D,19940808,000000,7.854,7.854,7.854,7.854,0,0
3YUKY.B,D,19940809,000000,7.89,7.89,7.89,7.89,0,0
3YUKY.B,D,19940810,000000,7.852,7.852,7.852,7.852,0,0
3YUKY.B,D,19940811,000000,8.048,8.048,8.048,8.048,0,0
3YUKY.B,D,19940812,000000,8.095,8.095,8.095,8.095,0,0
3YUKY.B,D,19940815,000000,8.093,8.093,8.093,8.093,0,0
3YUKY.B,D,19940816,000000,8.081,8.081,8.081,8.081,0,0
3YUKY.B,D,19940817,000000,8.032,8.032,8.032,8.032,0,0
3YUKY.B,D,19940818,000000,8.162,8.162,8.162,8.162,0,0
3YUKY.B,D,19940819,000000,8.124,8.124,8.124,8.124,0,0
3YUKY.B,D,19940822,000000,8.159,8.159,8.159,8.159,0,0
3YUKY.B,D,19940823,000000,8.181,8.181,8.181,8.181,0,0
3YUKY.B,D,19940825,000000,8.108,8.108,8.108,8.108,0,0
3YUKY.B,D,19940826,000000,8.074,8.074,8.074,8.074,0,0
3YUKY.B,D,19940830,000000,8.105,8.105,8.105,8.105,0,0
3YUKY.B,D,19940831,000000,8.021,8.021,8.021,8.021,0,0
3YUKY.B,D,19940901,000000,7.965,7.965,7.965,7.965,0,0
3YUKY.B,D,19940902,000000,8.032,8.032,8.032,8.032,0,0
3YUKY.B,D,19940905,000000,8.056,8.056,8.056,8.056,0,0
3YUKY.B,D,19940906,000000,8.151,8.151,8.151,8.151,0,0
3YUKY.B,D,19940907,000000,8.135,8.135,8.135,8.135,0,0
3YUKY.B,D,19940908,000000,7.944,7.944,7.944,7.944,0,0
3YUKY.B,D,19940909,000000,8.099,8.099,8.099,8.099,0,0
3YUKY.B,D,19940912,000000,8.204,8.204,8.204,8.204,0,0
3YUKY.B,D,19940913,000000,8.169,8.169,8.169,8.169,0,0
3YUKY.B,D,19940914,000000,8.311,8.311,8.311,8.311,0,0
3YUKY.B,D,19940915,000000,8.226,8.226,8.226,8.226,0,0
3YUKY.B,D,19940916,000000,8.372,8.372,8.372,8.372,0,0
3YUKY.B,D,19940919,000000,8.444,8.444,8.444,8.444,0,0
3YUKY.B,D,19940920,000000,8.553,8.553,8.553,8.553,0,0
3YUKY.B,D,19940921,000000,8.541,8.541,8.541,8.541,0,0
3YUKY.B,D,19940922,000000,8.443,8.443,8.443,8.443,0,0
3YUKY.B,D,19940923,000000,8.431,8.431,8.431,8.431,0,0
3YUKY.B,D,19940926,000000,8.441,8.441,8.441,8.441,0,0
3YUKY.B,D,19940927,000000,8.414,8.414,8.414,8.414,0,0
3YUKY.B,D,19940928,000000,8.354,8.354,8.354,8.354,0,0
3YUKY.B,D,19940929,000000,8.377,8.377,8.377,8.377,0,0
3YUKY.B,D,19940930,000000,8.365,8.365,8.365,8.365,0,0
3YUKY.B,D,19941003,000000,8.45,8.45,8.45,8.45,0,0
3YUKY.B,D,19941004,000000,8.438,8.438,8.438,8.438,0,0
3YUKY.B,D,19941005,000000,8.45,8.45,8.45,8.45,0,0
3YUKY.B,D,19941006,000000,8.339,8.339,8.339,8.339,0,0
3YUKY.B,D,19941007,000000,8.299,8.299,8.299,8.299,0,0
3YUKY.B,D,19941010,000000,8.2,8.2,8.2,8.2,0,0
3YUKY.B,D,19941011,000000,8.199,8.199,8.199,8.199,0,0
3YUKY.B,D,19941012,000000,8.03,8.03,8.03,8.03,0,0
3YUKY.B,D,19941013,000000,8.002,8.002,8.002,8.002,0,0
3YUKY.B,D,19941014,000000,8.04,8.04,8.04,8.04,0,0
3YUKY.B,D,19941017,000000,8.026,8.026,8.026,8.026,0,0
3YUKY.B,D,19941018,000000,8.026,8.026,8.026,8.026,0,0
3YUKY.B,D,19941019,000000,8.147,8.147,8.147,8.147,0,0
3YUKY.B,D,19941020,000000,8.158,8.158,8.158,8.158,0,0
3YUKY.B,D,19941021,000000,8.205,8.205,8.205,8.205,0,0
3YUKY.B,D,19941024,000000,8.267,8.267,8.267,8.267,0,0
3YUKY.B,D,19941025,000000,8.367,8.367,8.367,8.367,0,0
3YUKY.B,D,19941026,000000,8.454,8.454,8.454,8.454,0,0
3YUKY.B,D,19941027,000000,8.354,8.354,8.354,8.354,0,0
3YUKY.B,D,19941028,000000,8.253,8.253,8.253,8.253,0,0
3YUKY.B,D,19941031,000000,8.328,8.328,8.328,8.328,0,0
3YUKY.B,D,19941101,000000,8.228,8.228,8.228,8.228,0,0
3YUKY.B,D,19941102,000000,8.299,8.299,8.299,8.299,0,0
3YUKY.B,D,19941103,000000,8.239,8.239,8.239,8.239,0,0
3YUKY.B,D,19941104,000000,8.174,8.174,8.174,8.174,0,0
3YUKY.B,D,19941107,000000,8.224,8.224,8.224,8.224,0,0
3YUKY.B,D,19941108,000000,8.224,8.224,8.224,8.224,0,0
3YUKY.B,D,19941109,000000,8.147,8.147,8.147,8.147,0,0
3YUKY.B,D,19941110,000000,8.146,8.146,8.146,8.146,0,0
3YUKY.B,D,19941111,000000,8.194,8.194,8.194,8.194,0,0
3YUKY.B,D,19941114,000000,8.181,8.181,8.181,8.181,0,0
3YUKY.B,D,19941115,000000,8.132,8.132,8.132,8.132,0,0
3YUKY.B,D,19941116,000000,8.066,8.066,8.066,8.066,0,0
3YUKY.B,D,19941117,000000,8.078,8.078,8.078,8.078,0,0
3YUKY.B,D,19941118,000000,8.005,8.005,8.005,8.005,0,0
3YUKY.B,D,19941121,000000,8.063,8.063,8.063,8.063,0,0
3YUKY.B,D,19941122,000000,8.051,8.051,8.051,8.051,0,0
3YUKY.B,D,19941123,000000,7.949,7.949,7.949,7.949,0,0
3YUKY.B,D,19941124,000000,7.96,7.96,7.96,7.96,0,0
3YUKY.B,D,19941125,000000,7.984,7.984,7.984,7.984,0,0
3YUKY.B,D,19941128,000000,7.982,7.982,7.982,7.982,0,0
3YUKY.B,D,19941129,000000,8.099,8.099,8.099,8.099,0,0
3YUKY.B,D,19941130,000000,8.111,8.111,8.111,8.111,0,0
3YUKY.B,D,19941201,000000,8.147,8.147,8.147,8.147,0,0
3YUKY.B,D,19941202,000000,8.171,8.171,8.171,8.171,0,0
3YUKY.B,D,19941205,000000,8.211,8.211,8.211,8.211,0,0
3YUKY.B,D,19941206,000000,8.285,8.285,8.285,8.285,0,0
3YUKY.B,D,19941207,000000,8.222,8.222,8.222,8.222,0,0
3YUKY.B,D,19941208,000000,8.181,8.181,8.181,8.181,0,0
3YUKY.B,D,19941209,000000,8.143,8.143,8.143,8.143,0,0
3YUKY.B,D,19941212,000000,8.195,8.195,8.195,8.195,0,0
3YUKY.B,D,19941213,000000,8.257,8.257,8.257,8.257,0,0
3YUKY.B,D,19941214,000000,8.219,8.219,8.219,8.219,0,0
3YUKY.B,D,19941215,000000,8.177,8.177,8.177,8.177,0,0
3YUKY.B,D,19941216,000000,8.193,8.193,8.193,8.193,0,0
3YUKY.B,D,19941219,000000,8.175,8.175,8.175,8.175,0,0
3YUKY.B,D,19941220,000000,8.192,8.192,8.192,8.192,0,0
3YUKY.B,D,19941221,000000,8.162,8.162,8.162,8.162,0,0
3YUKY.B,D,19941222,000000,8.174,8.174,8.174,8.174,0,0
3YUKY.B,D,19941223,000000,8.148,8.148,8.148,8.148,0,0
3YUKY.B,D,19941228,000000,8.188,8.188,8.188,8.188,0,0
3YUKY.B,D,19941229,000000,8.424,8.424,8.424,8.424,0,0
3YUKY.B,D,19941230,000000,8.382,8.382,8.382,8.382,0,0
3YUKY.B,D,19950103,000000,8.41,8.41,8.41,8.41,0,0
3YUKY.B,D,19950104,000000,8.41,8.41,8.41,8.41,0,0
3YUKY.B,D,19950105,000000,8.41,8.41,8.41,8.41,0,0
3YUKY.B,D,19950106,000000,8.354,8.354,8.354,8.354,0,0
3YUKY.B,D,19950109,000000,8.435,8.435,8.435,8.435,0,0
3YUKY.B,D,19950110,000000,8.434,8.434,8.434,8.434,0,0
3YUKY.B,D,19950111,000000,8.366,8.366,8.366,8.366,0,0
3YUKY.B,D,19950112,000000,8.352,8.352,8.352,8.352,0,0
3YUKY.B,D,19950113,000000,8.258,8.258,8.258,8.258,0,0
3YUKY.B,D,19950116,000000,8.313,8.313,8.313,8.313,0,0
3YUKY.B,D,19950117,000000,8.299,8.299,8.299,8.299,0,0
3YUKY.B,D,19950118,000000,8.351,8.351,8.351,8.351,0,0
3YUKY.B,D,19950119,000000,8.364,8.364,8.364,8.364,0,0
3YUKY.B,D,19950120,000000,8.376,8.376,8.376,8.376,0,0
3YUKY.B,D,19950123,000000,8.406,8.406,8.406,8.406,0,0
3YUKY.B,D,19950124,000000,8.375,8.375,8.375,8.375,0,0
3YUKY.B,D,19950125,000000,8.405,8.405,8.405,8.405,0,0
3YUKY.B,D,19950126,000000,8.36,8.36,8.36,8.36,0,0
3YUKY.B,D,19950127,000000,8.334,8.334,8.334,8.334,0,0
3YUKY.B,D,19950130,000000,8.345,8.345,8.345,8.345,0,0
3YUKY.B,D,19950131,000000,8.222,8.222,8.222,8.222,0,0
3YUKY.B,D,19950201,000000,8.391,8.391,8.391,8.391,0,0
3YUKY.B,D,19950202,000000,8.418,8.418,8.418,8.418,0,0
3YUKY.B,D,19950203,000000,8.381,8.381,8.381,8.381,0,0
3YUKY.B,D,19950206,000000,8.422,8.422,8.422,8.422,0,0
3YUKY.B,D,19950207,000000,8.314,8.314,8.314,8.314,0,0
3YUKY.B,D,19950208,000000,8.341,8.341,8.341,8.341,0,0
3YUKY.B,D,19950209,000000,8.331,8.331,8.331,8.331,0,0
3YUKY.B,D,19950210,000000,8.471,8.471,8.471,8.471,0,0
3YUKY.B,D,19950213,000000,8.569,8.569,8.569,8.569,0,0
3YUKY.B,D,19950214,000000,8.559,8.559,8.559,8.559,0,0
3YUKY.B,D,19950215,000000,8.404,8.404,8.404,8.404,0,0
3YUKY.B,D,19950216,000000,8.405,8.405,8.405,8.405,0,0
3YUKY.B,D,19950217,000000,8.433,8.433,8.433,8.433,0,0
3YUKY.B,D,19950220,000000,8.482,8.482,8.482,8.482,0,0
3YUKY.B,D,19950221,000000,8.505,8.505,8.505,8.505,0,0
