<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
4YDEP.B,D,20240321,000000,99.161,99.161,99.028,99.028,0,0
4YDEP.B,D,20240322,000000,99.163,99.282,99.163,99.282,0,0
4YDEP.B,D,20240325,000000,99.282,99.3,99.096,99.096,0,0
4YDEP.B,D,20240326,000000,99.127,99.139,99.127,99.139,0,0
4YDEP.B,D,20240327,000000,99.224,99.336,99.224,99.336,0,0
4YDEP.B,D,20240328,000000,99.221,99.221,99.221,99.221,0,0
4YDEP.B,D,20240402,000000,99.112,99.119,99.112,99.119,0,0
4YDEP.B,D,20240403,000000,99.118,99.141,99.118,99.141,0,0
4YDEP.B,D,20240404,000000,99.181,99.245,99.181,99.245,0,0
4YDEP.B,D,20240405,000000,99.278,99.278,99.155,99.155,0,0
4YDEP.B,D,20240408,000000,99.155,99.155,98.979,98.979,0,0
4YDEP.B,D,20240409,000000,98.966,99.084,98.966,99.084,0,0
4YDEP.B,D,20240410,000000,99.109,99.109,98.823,98.823,0,0
4YDEP.B,D,20240411,000000,98.767,98.767,98.732,98.732,0,0
4YDEP.B,D,20240412,000000,99.035,99.035,99.035,99.035,0,0
4YDEP.B,D,20240415,000000,99.035,99.094,98.915,98.915,0,0
4YDEP.B,D,20240416,000000,98.981,98.981,98.77,98.77,0,0
4YDEP.B,D,20240417,000000,98.769,98.772,98.769,98.772,0,0
4YDEP.B,D,20240418,000000,98.854,98.854,98.721,98.721,0,0
4YDEP.B,D,20240419,000000,98.698,98.698,98.513,98.513,0,0
4YDEP.B,D,20240422,000000,98.513,98.669,98.513,98.669,0,0
4YDEP.B,D,20240423,000000,98.706,98.706,98.683,98.683,0,0
4YDEP.B,D,20240424,000000,98.574,98.574,98.384,98.384,0,0
4YDEP.B,D,20240425,000000,98.473,98.473,98.21,98.21,0,0
4YDEP.B,D,20240426,000000,98.295,98.388,98.295,98.388,0,0
4YDEP.B,D,20240429,000000,98.388,98.506,98.388,98.506,0,0
4YDEP.B,D,20240430,000000,98.445,98.445,98.261,98.261,0,0
4YDEP.B,D,20240502,000000,98.266,98.41,98.266,98.39,0,0
4YDEP.B,D,20240503,000000,98.433,98.607,98.433,98.607,0,0
4YDEP.B,D,20240506,000000,98.607,98.711,98.607,98.711,0,0
4YDEP.B,D,20240507,000000,98.766,98.766,98.753,98.753,0,0
4YDEP.B,D,20240508,000000,98.741,98.741,98.652,98.652,0,0
4YDEP.B,D,20240509,000000,98.557,98.582,98.557,98.582,0,0
4YDEP.B,D,20240510,000000,98.644,98.644,98.519,98.519,0,0
4YDEP.B,D,20240513,000000,98.519,98.534,98.494,98.534,0,0
4YDEP.B,D,20240514,000000,98.593,98.593,98.459,98.459,0,0
4YDEP.B,D,20240515,000000,98.521,98.716,98.521,98.716,0,0
4YDEP.B,D,20240516,000000,98.716,98.837,98.707,98.707,0,0
4YDEP.B,D,20240517,000000,98.582,98.582,98.458,98.458,0,0
4YDEP.B,D,20240520,000000,98.458,98.458,98.414,98.431,0,0
4YDEP.B,D,20240521,000000,98.431,98.491,98.431,98.491,0,0
4YDEP.B,D,20240522,000000,98.364,98.387,98.364,98.387,0,0
4YDEP.B,D,20240523,000000,98.275,98.275,98.024,98.024,0,0
4YDEP.B,D,20240524,000000,98.13,98.13,98.071,98.071,0,0
4YDEP.B,D,20240527,000000,98.071,98.222,98.071,98.222,0,0
4YDEP.B,D,20240528,000000,98.277,98.277,98.242,98.242,0,0
4YDEP.B,D,20240529,000000,98.133,98.133,98.035,98.035,0,0
4YDEP.B,D,20240530,000000,98.013,98.013,97.98,97.98,0,0
4YDEP.B,D,20240531,000000,98.012,98.064,98.012,98.064,0,0
4YDEP.B,D,20240603,000000,98.064,98.271,98.027,98.271,0,0
4YDEP.B,D,20240604,000000,98.356,98.373,98.356,98.373,0,0
4YDEP.B,D,20240605,000000,98.353,98.413,98.353,98.413,0,0
4YDEP.B,D,20240606,000000,98.395,98.395,98.268,98.268,0,0
4YDEP.B,D,20240607,000000,98.209,98.209,97.999,97.999,0,0
4YDEP.B,D,20240610,000000,97.999,97.999,97.922,97.922,0,0
4YDEP.B,D,20240611,000000,97.965,98.209,97.965,98.209,0,0
4YDEP.B,D,20240612,000000,98.22,98.489,98.22,98.489,0,0
4YDEP.B,D,20240613,000000,98.364,98.561,98.364,98.561,0,0
4YDEP.B,D,20240614,000000,98.99,99.225,98.99,99.225,0,0
4YDEP.B,D,20240617,000000,99.225,99.225,98.965,98.965,0,0
4YDEP.B,D,20240618,000000,98.878,98.999,98.878,98.999,0,0
