<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
6MBRY.B,D,20160307,000000,14.047,14.06,14.047,14.06,0,0
6MBRY.B,D,20160308,000000,14.04,14.055,14.03,14.03,0,0
6MBRY.B,D,20160309,000000,14.005,14.005,13.823,13.855,0,0
6MBRY.B,D,20160310,000000,13.88,13.88,13.826,13.835,0,0
6MBRY.B,D,20160311,000000,13.835,13.84,13.8,13.82,0,0
6MBRY.B,D,20160314,000000,13.795,13.875,13.795,13.835,0,0
6MBRY.B,D,20160315,000000,13.84,13.845,13.83,13.845,0,0
6MBRY.B,D,20160316,000000,13.84,13.85,13.797,13.8,0,0
6MBRY.B,D,20160317,000000,13.78,13.811,13.78,13.795,0,0
6MBRY.B,D,20160318,000000,13.77,13.81,13.77,13.81,0,0
6MBRY.B,D,20160321,000000,13.8,13.835,13.78,13.815,0,0
6MBRY.B,D,20160322,000000,13.805,13.835,13.796,13.805,0,0
6MBRY.B,D,20160323,000000,13.82,13.82,13.795,13.817,0,0
6MBRY.B,D,20160324,000000,13.83,13.838,13.825,13.825,0,0
6MBRY.B,D,20160328,000000,13.84,13.87,13.83,13.84,0,0
6MBRY.B,D,20160329,000000,13.86,13.87,13.85,13.855,0,0
6MBRY.B,D,20160330,000000,13.855,13.865,13.832,13.865,0,0
6MBRY.B,D,20160331,000000,13.91,13.91,13.9,13.908,0,0
6MBRY.B,D,20160401,000000,13.94,13.96,13.85,13.94,0,0
6MBRY.B,D,20160404,000000,13.845,13.87,13.845,13.87,0,0
6MBRY.B,D,20160405,000000,13.87,13.92,13.865,13.865,0,0
6MBRY.B,D,20160406,000000,13.865,13.89,13.85,13.85,0,0
6MBRY.B,D,20160407,000000,13.895,13.93,13.895,13.908,0,0
6MBRY.B,D,20160408,000000,13.89,13.89,13.855,13.855,0,0
6MBRY.B,D,20160411,000000,13.825,13.86,13.825,13.86,0,0
6MBRY.B,D,20160412,000000,13.815,13.828,13.81,13.82,0,0
6MBRY.B,D,20160413,000000,13.83,13.835,13.805,13.82,0,0
6MBRY.B,D,20160414,000000,13.815,13.845,13.815,13.845,0,0
6MBRY.B,D,20160415,000000,13.81,13.81,13.805,13.805,0,0
6MBRY.B,D,20160418,000000,13.805,13.805,13.716,13.716,0,0
6MBRY.B,D,20160419,000000,13.745,13.79,13.738,13.79,0,0
6MBRY.B,D,20160420,000000,13.71,13.88,13.71,13.86,0,0
6MBRY.B,D,20160422,000000,13.86,13.9,13.855,13.855,0,0
6MBRY.B,D,20160425,000000,13.875,13.875,13.857,13.86,0,0
6MBRY.B,D,20160426,000000,13.855,13.885,13.85,13.87,0,0
6MBRY.B,D,20160427,000000,13.885,13.96,13.885,13.9,0,0
6MBRY.B,D,20160428,000000,13.895,13.975,13.895,13.975,0,0
6MBRY.B,D,20160429,000000,13.99,13.996,13.955,13.955,0,0
6MBRY.B,D,20160502,000000,14,14,13.985,13.99,0,0
6MBRY.B,D,20160503,000000,13.985,14.005,13.975,13.98,0,0
6MBRY.B,D,20160504,000000,13.99,14,13.99,13.99,0,0
6MBRY.B,D,20160505,000000,14.015,14.02,14.01,14.02,0,0
6MBRY.B,D,20160506,000000,14.03,14.03,14.01,14.01,0,0
6MBRY.B,D,20160509,000000,14.035,14.04,14.02,14.03,0,0
6MBRY.B,D,20160510,000000,13.985,14.005,13.983,14,0,0
6MBRY.B,D,20160511,000000,13.93,13.95,13.93,13.94,0,0
6MBRY.B,D,20160512,000000,13.955,13.955,13.925,13.925,0,0
6MBRY.B,D,20160513,000000,13.96,13.97,13.93,13.93,0,0
6MBRY.B,D,20160516,000000,13.93,13.95,13.92,13.935,0,0
6MBRY.B,D,20160517,000000,13.95,13.98,13.95,13.98,0,0
6MBRY.B,D,20160518,000000,14.005,14.01,14,14.01,0,0
6MBRY.B,D,20160519,000000,14.015,14.02,14.005,14.005,0,0
6MBRY.B,D,20160520,000000,14.01,14.02,14.01,14.02,0,0
6MBRY.B,D,20160523,000000,14.025,14.03,14.015,14.015,0,0
6MBRY.B,D,20160524,000000,14.01,14.02,14.005,14.01,0,0
6MBRY.B,D,20160525,000000,14.01,14.03,14,14.03,0,0
6MBRY.B,D,20160527,000000,14.01,14.015,14.003,14.015,0,0
6MBRY.B,D,20160530,000000,14.01,14.01,13.98,13.98,0,0
6MBRY.B,D,20160531,000000,14,14.015,13.995,13.995,0,0
6MBRY.B,D,20160601,000000,13.995,13.995,13.97,13.97,0,0
6MBRY.B,D,20160602,000000,13.97,13.97,13.955,13.955,0,0
6MBRY.B,D,20160603,000000,13.94,13.976,13.94,13.955,0,0
6MBRY.B,D,20160606,000000,13.965,13.965,13.925,13.925,0,0
6MBRY.B,D,20160607,000000,13.965,13.965,13.945,13.953,0,0
6MBRY.B,D,20160608,000000,13.98,13.98,13.95,13.963,0,0
6MBRY.B,D,20160609,000000,13.995,14.03,13.995,14.03,0,0
6MBRY.B,D,20160610,000000,14.03,14.05,14.018,14.05,0,0
6MBRY.B,D,20160613,000000,14.04,14.04,13.98,13.98,0,0
6MBRY.B,D,20160614,000000,14.02,14.032,14.005,14.025,0,0
6MBRY.B,D,20160615,000000,14.05,14.065,14.025,14.065,0,0
6MBRY.B,D,20160616,000000,14.02,14.038,14.02,14.035,0,0
