<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
6MDEY.B,D,20051019,000000,2.151,2.151,2.151,2.151,0,0
6MDEY.B,D,20051020,000000,2.132,2.132,2.132,2.132,0,0
6MDEY.B,D,20051021,000000,2.141,2.141,2.141,2.141,0,0
6MDEY.B,D,20051024,000000,2.139,2.139,2.139,2.139,0,0
6MDEY.B,D,20051025,000000,2.138,2.138,2.138,2.138,0,0
6MDEY.B,D,20051026,000000,2.178,2.178,2.178,2.178,0,0
6MDEY.B,D,20051027,000000,2.202,2.202,2.202,2.202,0,0
6MDEY.B,D,20051028,000000,2.231,2.231,2.231,2.231,0,0
6MDEY.B,D,20051031,000000,2.242,2.242,2.242,2.242,0,0
6MDEY.B,D,20051101,000000,2.24,2.24,2.24,2.24,0,0
6MDEY.B,D,20051102,000000,2.236,2.236,2.236,2.236,0,0
6MDEY.B,D,20051103,000000,2.262,2.262,2.262,2.262,0,0
6MDEY.B,D,20051104,000000,2.244,2.244,2.244,2.244,0,0
6MDEY.B,D,20051107,000000,2.29,2.29,2.29,2.29,0,0
6MDEY.B,D,20051108,000000,2.293,2.293,2.293,2.293,0,0
6MDEY.B,D,20051109,000000,2.301,2.301,2.301,2.301,0,0
6MDEY.B,D,20051110,000000,2.357,2.357,2.357,2.357,0,0
6MDEY.B,D,20051111,000000,2.313,2.313,2.313,2.313,0,0
6MDEY.B,D,20051114,000000,2.321,2.321,2.321,2.321,0,0
6MDEY.B,D,20051115,000000,2.414,2.414,2.414,2.414,0,0
6MDEY.B,D,20051116,000000,2.398,2.398,2.398,2.398,0,0
6MDEY.B,D,20051117,000000,2.406,2.406,2.406,2.406,0,0
6MDEY.B,D,20051118,000000,2.388,2.388,2.388,2.388,0,0
6MDEY.B,D,20051121,000000,2.484,2.484,2.484,2.484,0,0
6MDEY.B,D,20051122,000000,2.462,2.462,2.462,2.462,0,0
6MDEY.B,D,20051123,000000,2.459,2.459,2.459,2.459,0,0
6MDEY.B,D,20051124,000000,2.503,2.503,2.503,2.503,0,0
6MDEY.B,D,20051125,000000,2.452,2.452,2.452,2.452,0,0
6MDEY.B,D,20051128,000000,2.467,2.467,2.467,2.467,0,0
6MDEY.B,D,20051129,000000,2.477,2.477,2.477,2.477,0,0
6MDEY.B,D,20051130,000000,2.485,2.485,2.485,2.485,0,0
6MDEY.B,D,20051201,000000,2.511,2.511,2.511,2.511,0,0
6MDEY.B,D,20051202,000000,2.451,2.451,2.451,2.451,0,0
6MDEY.B,D,20051205,000000,2.428,2.428,2.428,2.428,0,0
6MDEY.B,D,20051206,000000,2.46,2.46,2.46,2.46,0,0
6MDEY.B,D,20051207,000000,2.459,2.459,2.459,2.459,0,0
6MDEY.B,D,20051208,000000,2.497,2.497,2.497,2.497,0,0
6MDEY.B,D,20051209,000000,2.472,2.472,2.472,2.472,0,0
6MDEY.B,D,20051212,000000,2.492,2.492,2.492,2.492,0,0
6MDEY.B,D,20051213,000000,2.485,2.485,2.485,2.485,0,0
6MDEY.B,D,20051214,000000,2.487,2.487,2.487,2.487,0,0
6MDEY.B,D,20051215,000000,2.512,2.512,2.512,2.512,0,0
6MDEY.B,D,20051216,000000,2.497,2.497,2.497,2.497,0,0
6MDEY.B,D,20051219,000000,2.501,2.501,2.501,2.501,0,0
6MDEY.B,D,20051220,000000,2.509,2.509,2.509,2.509,0,0
6MDEY.B,D,20051221,000000,2.517,2.517,2.517,2.517,0,0
6MDEY.B,D,20051222,000000,2.563,2.563,2.563,2.563,0,0
6MDEY.B,D,20051223,000000,2.519,2.519,2.519,2.519,0,0
6MDEY.B,D,20051226,000000,2.508,2.508,2.508,2.508,0,0
6MDEY.B,D,20051227,000000,2.514,2.514,2.514,2.514,0,0
6MDEY.B,D,20051228,000000,2.521,2.521,2.521,2.521,0,0
6MDEY.B,D,20051229,000000,2.545,2.545,2.545,2.545,0,0
6MDEY.B,D,20051230,000000,2.513,2.513,2.513,2.513,0,0
6MDEY.B,D,20060102,000000,2.517,2.517,2.517,2.517,0,0
6MDEY.B,D,20060103,000000,2.514,2.514,2.514,2.514,0,0
6MDEY.B,D,20060104,000000,2.514,2.514,2.514,2.514,0,0
6MDEY.B,D,20060105,000000,2.522,2.522,2.522,2.522,0,0
6MDEY.B,D,20060106,000000,2.491,2.491,2.491,2.491,0,0
6MDEY.B,D,20060109,000000,2.481,2.481,2.481,2.481,0,0
6MDEY.B,D,20060110,000000,2.49,2.49,2.49,2.49,0,0
6MDEY.B,D,20060111,000000,2.504,2.504,2.504,2.504,0,0
6MDEY.B,D,20060112,000000,2.547,2.547,2.547,2.547,0,0
6MDEY.B,D,20060113,000000,2.494,2.494,2.494,2.494,0,0
6MDEY.B,D,20060116,000000,2.499,2.499,2.499,2.499,0,0
6MDEY.B,D,20060117,000000,2.52,2.52,2.52,2.52,0,0
6MDEY.B,D,20060118,000000,2.528,2.528,2.528,2.528,0,0
6MDEY.B,D,20060119,000000,2.53,2.53,2.53,2.53,0,0
6MDEY.B,D,20060120,000000,2.546,2.546,2.546,2.546,0,0
6MDEY.B,D,20060123,000000,2.541,2.541,2.541,2.541,0,0
6MDEY.B,D,20060124,000000,2.556,2.556,2.556,2.556,0,0
6MDEY.B,D,20060125,000000,2.556,2.556,2.556,2.556,0,0
6MDEY.B,D,20060126,000000,2.588,2.588,2.588,2.588,0,0
6MDEY.B,D,20060127,000000,2.558,2.558,2.558,2.558,0,0
6MDEY.B,D,20060130,000000,2.565,2.565,2.565,2.565,0,0
6MDEY.B,D,20060131,000000,2.579,2.579,2.579,2.579,0,0
6MDEY.B,D,20060201,000000,2.588,2.588,2.588,2.588,0,0
6MDEY.B,D,20060202,000000,2.612,2.612,2.612,2.612,0,0
6MDEY.B,D,20060203,000000,2.571,2.571,2.571,2.571,0,0
6MDEY.B,D,20060206,000000,2.567,2.567,2.567,2.567,0,0
6MDEY.B,D,20060207,000000,2.566,2.566,2.566,2.566,0,0
6MDEY.B,D,20060208,000000,2.564,2.564,2.564,2.564,0,0
6MDEY.B,D,20060209,000000,2.601,2.601,2.601,2.601,0,0
6MDEY.B,D,20060210,000000,2.564,2.564,2.564,2.564,0,0
6MDEY.B,D,20060213,000000,2.618,2.618,2.618,2.618,0,0
6MDEY.B,D,20060214,000000,2.618,2.618,2.618,2.618,0,0
6MDEY.B,D,20060215,000000,2.612,2.612,2.612,2.612,0,0
6MDEY.B,D,20060216,000000,2.635,2.635,2.635,2.635,0,0
6MDEY.B,D,20060217,000000,2.621,2.621,2.621,2.621,0,0
6MDEY.B,D,20060220,000000,2.604,2.604,2.604,2.604,0,0
6MDEY.B,D,20060221,000000,2.589,2.589,2.589,2.589,0,0
6MDEY.B,D,20060222,000000,2.598,2.598,2.598,2.598,0,0
6MDEY.B,D,20060223,000000,2.646,2.646,2.646,2.646,0,0
6MDEY.B,D,20060224,000000,2.629,2.629,2.629,2.629,0,0
6MDEY.B,D,20060227,000000,2.629,2.629,2.629,2.629,0,0
6MDEY.B,D,20060228,000000,2.636,2.636,2.636,2.636,0,0
6MDEY.B,D,20060301,000000,2.654,2.654,2.654,2.654,0,0
6MDEY.B,D,20060302,000000,2.687,2.687,2.687,2.687,0,0
6MDEY.B,D,20060303,000000,2.672,2.672,2.672,2.672,0,0
6MDEY.B,D,20060306,000000,2.675,2.675,2.675,2.675,0,0
6MDEY.B,D,20060307,000000,2.668,2.668,2.668,2.668,0,0
6MDEY.B,D,20060308,000000,2.667,2.667,2.667,2.667,0,0
6MDEY.B,D,20060309,000000,2.701,2.701,2.701,2.701,0,0
6MDEY.B,D,20060310,000000,2.669,2.669,2.669,2.669,0,0
6MDEY.B,D,20060313,000000,2.669,2.669,2.669,2.669,0,0
6MDEY.B,D,20060314,000000,2.672,2.672,2.672,2.672,0,0
6MDEY.B,D,20060315,000000,2.712,2.712,2.712,2.712,0,0
6MDEY.B,D,20060316,000000,2.748,2.748,2.748,2.748,0,0
6MDEY.B,D,20060317,000000,2.52,2.52,2.52,2.52,0,0
6MDEY.B,D,20060320,000000,2.739,2.739,2.739,2.739,0,0
6MDEY.B,D,20060321,000000,2.74,2.74,2.74,2.74,0,0
6MDEY.B,D,20060322,000000,2.743,2.743,2.743,2.743,0,0
6MDEY.B,D,20060323,000000,2.776,2.776,2.776,2.776,0,0
6MDEY.B,D,20060324,000000,2.744,2.744,2.744,2.744,0,0
6MDEY.B,D,20060327,000000,2.745,2.745,2.745,2.745,0,0
6MDEY.B,D,20060328,000000,2.746,2.746,2.746,2.746,0,0
6MDEY.B,D,20060329,000000,2.781,2.781,2.781,2.781,0,0
6MDEY.B,D,20060330,000000,2.832,2.832,2.832,2.832,0,0
6MDEY.B,D,20060331,000000,2.799,2.799,2.799,2.799,0,0
6MDEY.B,D,20060403,000000,2.805,2.805,2.805,2.805,0,0
6MDEY.B,D,20060404,000000,2.811,2.811,2.811,2.811,0,0
6MDEY.B,D,20060405,000000,2.815,2.815,2.815,2.815,0,0
6MDEY.B,D,20060406,000000,2.841,2.841,2.841,2.841,0,0
6MDEY.B,D,20060407,000000,2.714,2.714,2.714,2.714,0,0
6MDEY.B,D,20060410,000000,2.775,2.775,2.775,2.775,0,0
6MDEY.B,D,20060411,000000,2.776,2.776,2.776,2.776,0,0
6MDEY.B,D,20060412,000000,2.836,2.836,2.836,2.836,0,0
6MDEY.B,D,20060413,000000,2.778,2.778,2.778,2.778,0,0
6MDEY.B,D,20060418,000000,2.769,2.769,2.769,2.769,0,0
6MDEY.B,D,20060419,000000,2.772,2.772,2.772,2.772,0,0
6MDEY.B,D,20060420,000000,2.808,2.808,2.808,2.808,0,0
6MDEY.B,D,20060421,000000,2.786,2.786,2.786,2.786,0,0
6MDEY.B,D,20060424,000000,2.783,2.783,2.783,2.783,0,0
6MDEY.B,D,20060425,000000,2.789,2.789,2.789,2.789,0,0
6MDEY.B,D,20060426,000000,2.82,2.82,2.82,2.82,0,0
6MDEY.B,D,20060427,000000,2.895,2.895,2.895,2.895,0,0
6MDEY.B,D,20060428,000000,2.851,2.851,2.851,2.851,0,0
6MDEY.B,D,20060502,000000,2.848,2.848,2.848,2.848,0,0
6MDEY.B,D,20060503,000000,2.868,2.868,2.868,2.868,0,0
6MDEY.B,D,20060504,000000,2.882,2.882,2.882,2.882,0,0
6MDEY.B,D,20060505,000000,2.859,2.859,2.859,2.859,0,0
6MDEY.B,D,20060508,000000,2.86,2.86,2.86,2.86,0,0
6MDEY.B,D,20060509,000000,2.874,2.874,2.874,2.874,0,0
6MDEY.B,D,20060510,000000,2.882,2.882,2.882,2.882,0,0
6MDEY.B,D,20060511,000000,2.912,2.912,2.912,2.912,0,0
6MDEY.B,D,20060512,000000,2.883,2.883,2.883,2.883,0,0
6MDEY.B,D,20060515,000000,2.882,2.882,2.882,2.882,0,0
6MDEY.B,D,20060516,000000,2.906,2.906,2.906,2.906,0,0
6MDEY.B,D,20060517,000000,2.91,2.91,2.91,2.91,0,0
6MDEY.B,D,20060518,000000,2.951,2.951,2.951,2.951,0,0
6MDEY.B,D,20060519,000000,2.923,2.923,2.923,2.923,0,0
6MDEY.B,D,20060522,000000,2.929,2.929,2.929,2.929,0,0
6MDEY.B,D,20060523,000000,2.906,2.906,2.906,2.906,0,0
6MDEY.B,D,20060524,000000,2.914,2.914,2.914,2.914,0,0
6MDEY.B,D,20060525,000000,2.933,2.933,2.933,2.933,0,0
6MDEY.B,D,20060526,000000,2.898,2.898,2.898,2.898,0,0
6MDEY.B,D,20060529,000000,2.902,2.902,2.902,2.902,0,0
6MDEY.B,D,20060530,000000,2.901,2.901,2.901,2.901,0,0
6MDEY.B,D,20060531,000000,2.901,2.901,2.901,2.901,0,0
6MDEY.B,D,20060601,000000,2.961,2.961,2.961,2.961,0,0
6MDEY.B,D,20060602,000000,2.936,2.936,2.936,2.936,0,0
6MDEY.B,D,20060605,000000,2.899,2.899,2.899,2.899,0,0
6MDEY.B,D,20060606,000000,2.924,2.924,2.924,2.924,0,0
6MDEY.B,D,20060607,000000,2.931,2.931,2.931,2.931,0,0
6MDEY.B,D,20060608,000000,2.964,2.964,2.964,2.964,0,0
6MDEY.B,D,20060609,000000,2.871,2.871,2.871,2.871,0,0
6MDEY.B,D,20060612,000000,2.878,2.878,2.878,2.878,0,0
6MDEY.B,D,20060613,000000,2.957,2.957,2.957,2.957,0,0
6MDEY.B,D,20060614,000000,2.959,2.959,2.959,2.959,0,0
6MDEY.B,D,20060615,000000,2.984,2.984,2.984,2.984,0,0
6MDEY.B,D,20060616,000000,2.97,2.97,2.97,2.97,0,0
6MDEY.B,D,20060619,000000,2.97,2.97,2.97,2.97,0,0
6MDEY.B,D,20060620,000000,2.989,2.989,2.989,2.989,0,0
6MDEY.B,D,20060621,000000,2.995,2.995,2.995,2.995,0,0
6MDEY.B,D,20060622,000000,3.02,3.02,3.02,3.02,0,0
6MDEY.B,D,20060623,000000,2.994,2.994,2.994,2.994,0,0
6MDEY.B,D,20060626,000000,2.999,2.999,2.999,2.999,0,0
6MDEY.B,D,20060627,000000,3.023,3.023,3.023,3.023,0,0
6MDEY.B,D,20060628,000000,3.032,3.032,3.032,3.032,0,0
6MDEY.B,D,20060629,000000,3.063,3.063,3.063,3.063,0,0
6MDEY.B,D,20060630,000000,3.023,3.023,3.023,3.023,0,0
