<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
8YDEY.B,D,19920102,000000,8.175,8.175,8.175,8.175,0,0
8YDEY.B,D,19920103,000000,8.195,8.195,8.195,8.195,0,0
8YDEY.B,D,19920106,000000,8.153,8.153,8.153,8.153,0,0
8YDEY.B,D,19920107,000000,8.117,8.117,8.117,8.117,0,0
8YDEY.B,D,19920108,000000,8.124,8.124,8.124,8.124,0,0
8YDEY.B,D,19920109,000000,8.07,8.07,8.07,8.07,0,0
8YDEY.B,D,19920110,000000,8.037,8.037,8.037,8.037,0,0
8YDEY.B,D,19920113,000000,8.047,8.047,8.047,8.047,0,0
8YDEY.B,D,19920114,000000,8.007,8.007,8.007,8.007,0,0
8YDEY.B,D,19920115,000000,7.98,7.98,7.98,7.98,0,0
8YDEY.B,D,19920116,000000,7.976,7.976,7.976,7.976,0,0
8YDEY.B,D,19920117,000000,7.96,7.96,7.96,7.96,0,0
8YDEY.B,D,19920120,000000,7.995,7.995,7.995,7.995,0,0
8YDEY.B,D,19920121,000000,7.932,7.932,7.932,7.932,0,0
8YDEY.B,D,19920122,000000,7.877,7.877,7.877,7.877,0,0
8YDEY.B,D,19920123,000000,7.918,7.918,7.918,7.918,0,0
8YDEY.B,D,19920124,000000,7.931,7.931,7.931,7.931,0,0
8YDEY.B,D,19920127,000000,7.941,7.941,7.941,7.941,0,0
8YDEY.B,D,19920128,000000,7.934,7.934,7.934,7.934,0,0
8YDEY.B,D,19920129,000000,7.908,7.908,7.908,7.908,0,0
8YDEY.B,D,19920130,000000,7.919,7.919,7.919,7.919,0,0
8YDEY.B,D,19920131,000000,7.924,7.924,7.924,7.924,0,0
8YDEY.B,D,19920203,000000,7.929,7.929,7.929,7.929,0,0
8YDEY.B,D,19920204,000000,7.956,7.956,7.956,7.956,0,0
8YDEY.B,D,19920205,000000,7.942,7.942,7.942,7.942,0,0
8YDEY.B,D,19920206,000000,7.953,7.953,7.953,7.953,0,0
8YDEY.B,D,19920207,000000,7.923,7.923,7.923,7.923,0,0
8YDEY.B,D,19920210,000000,7.914,7.914,7.914,7.914,0,0
8YDEY.B,D,19920211,000000,7.896,7.896,7.896,7.896,0,0
8YDEY.B,D,19920212,000000,7.914,7.914,7.914,7.914,0,0
8YDEY.B,D,19920213,000000,7.903,7.903,7.903,7.903,0,0
8YDEY.B,D,19920214,000000,7.921,7.921,7.921,7.921,0,0
8YDEY.B,D,19920217,000000,7.95,7.95,7.95,7.95,0,0
8YDEY.B,D,19920218,000000,7.95,7.95,7.95,7.95,0,0
8YDEY.B,D,19920219,000000,7.983,7.983,7.983,7.983,0,0
8YDEY.B,D,19920220,000000,7.97,7.97,7.97,7.97,0,0
8YDEY.B,D,19920221,000000,7.918,7.918,7.918,7.918,0,0
8YDEY.B,D,19920224,000000,7.923,7.923,7.923,7.923,0,0
8YDEY.B,D,19920225,000000,7.9,7.9,7.9,7.9,0,0
8YDEY.B,D,19920226,000000,7.879,7.879,7.879,7.879,0,0
8YDEY.B,D,19920227,000000,7.849,7.849,7.849,7.849,0,0
8YDEY.B,D,19920228,000000,7.858,7.858,7.858,7.858,0,0
8YDEY.B,D,19920302,000000,7.858,7.858,7.858,7.858,0,0
8YDEY.B,D,19920303,000000,7.873,7.873,7.873,7.873,0,0
8YDEY.B,D,19920304,000000,7.871,7.871,7.871,7.871,0,0
8YDEY.B,D,19920305,000000,7.908,7.908,7.908,7.908,0,0
8YDEY.B,D,19920306,000000,7.939,7.939,7.939,7.939,0,0
8YDEY.B,D,19920309,000000,7.936,7.936,7.936,7.936,0,0
8YDEY.B,D,19920310,000000,7.908,7.908,7.908,7.908,0,0
8YDEY.B,D,19920311,000000,7.925,7.925,7.925,7.925,0,0
8YDEY.B,D,19920312,000000,7.948,7.948,7.948,7.948,0,0
8YDEY.B,D,19920313,000000,7.935,7.935,7.935,7.935,0,0
8YDEY.B,D,19920316,000000,7.956,7.956,7.956,7.956,0,0
8YDEY.B,D,19920317,000000,7.951,7.951,7.951,7.951,0,0
8YDEY.B,D,19920318,000000,7.94,7.94,7.94,7.94,0,0
8YDEY.B,D,19920319,000000,7.965,7.965,7.965,7.965,0,0
8YDEY.B,D,19920320,000000,7.968,7.968,7.968,7.968,0,0
8YDEY.B,D,19920323,000000,8.018,8.018,8.018,8.018,0,0
8YDEY.B,D,19920324,000000,8.06,8.06,8.06,8.06,0,0
8YDEY.B,D,19920325,000000,8.039,8.039,8.039,8.039,0,0
8YDEY.B,D,19920326,000000,8.039,8.039,8.039,8.039,0,0
8YDEY.B,D,19920327,000000,8.062,8.062,8.062,8.062,0,0
8YDEY.B,D,19920330,000000,8.028,8.028,8.028,8.028,0,0
8YDEY.B,D,19920331,000000,8.026,8.026,8.026,8.026,0,0
8YDEY.B,D,19920401,000000,8.03,8.03,8.03,8.03,0,0
8YDEY.B,D,19920402,000000,8.067,8.067,8.067,8.067,0,0
8YDEY.B,D,19920403,000000,8.056,8.056,8.056,8.056,0,0
8YDEY.B,D,19920406,000000,7.991,7.991,7.991,7.991,0,0
8YDEY.B,D,19920407,000000,7.978,7.978,7.978,7.978,0,0
8YDEY.B,D,19920408,000000,7.946,7.946,7.946,7.946,0,0
8YDEY.B,D,19920409,000000,7.95,7.95,7.95,7.95,0,0
8YDEY.B,D,19920410,000000,7.918,7.918,7.918,7.918,0,0
8YDEY.B,D,19920413,000000,7.916,7.916,7.916,7.916,0,0
8YDEY.B,D,19920415,000000,7.901,7.901,7.901,7.901,0,0
8YDEY.B,D,19920416,000000,7.908,7.908,7.908,7.908,0,0
8YDEY.B,D,19920421,000000,7.931,7.931,7.931,7.931,0,0
8YDEY.B,D,19920422,000000,7.931,7.931,7.931,7.931,0,0
8YDEY.B,D,19920423,000000,7.926,7.926,7.926,7.926,0,0
8YDEY.B,D,19920424,000000,7.981,7.981,7.981,7.981,0,0
8YDEY.B,D,19920427,000000,7.983,7.983,7.983,7.983,0,0
8YDEY.B,D,19920428,000000,7.99,7.99,7.99,7.99,0,0
8YDEY.B,D,19920429,000000,7.99,7.99,7.99,7.99,0,0
8YDEY.B,D,19920430,000000,8.025,8.025,8.025,8.025,0,0
8YDEY.B,D,19920501,000000,8.02,8.02,8.02,8.02,0,0
8YDEY.B,D,19920504,000000,8.025,8.025,8.025,8.025,0,0
8YDEY.B,D,19920505,000000,8.088,8.088,8.088,8.088,0,0
8YDEY.B,D,19920506,000000,8.052,8.052,8.052,8.052,0,0
8YDEY.B,D,19920507,000000,8.016,8.016,8.016,8.016,0,0
8YDEY.B,D,19920508,000000,8.034,8.034,8.034,8.034,0,0
8YDEY.B,D,19920511,000000,8.065,8.065,8.065,8.065,0,0
8YDEY.B,D,19920512,000000,8.07,8.07,8.07,8.07,0,0
8YDEY.B,D,19920513,000000,8.054,8.054,8.054,8.054,0,0
8YDEY.B,D,19920514,000000,8.061,8.061,8.061,8.061,0,0
8YDEY.B,D,19920515,000000,8.097,8.097,8.097,8.097,0,0
8YDEY.B,D,19920518,000000,8.054,8.054,8.054,8.054,0,0
8YDEY.B,D,19920519,000000,8.05,8.05,8.05,8.05,0,0
8YDEY.B,D,19920520,000000,8.036,8.036,8.036,8.036,0,0
8YDEY.B,D,19920521,000000,8.04,8.04,8.04,8.04,0,0
8YDEY.B,D,19920522,000000,8.085,8.085,8.085,8.085,0,0
