<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENJ.V,D,20171101,000000,0.03521,0.03706,0.007951,0.02345,0,0
ENJ.V,D,20171102,000000,0.02345,0.02452,0.0163,0.01819,0,0
ENJ.V,D,20171103,000000,0.01819,0.02575,0.01767,0.02203,0,0
ENJ.V,D,20171104,000000,0.02201,0.02408,0.01915,0.01922,0,0
ENJ.V,D,20171105,000000,0.01922,0.02062,0.01759,0.0201,0,0
ENJ.V,D,20171106,000000,0.0201,0.0215,0.0167,0.01782,0,0
ENJ.V,D,20171107,000000,0.01782,0.02067,0.0169,0.01747,0,0
ENJ.V,D,20171108,000000,0.01747,0.02166,0.01747,0.02092,0,0
ENJ.V,D,20171109,000000,0.02092,0.02495,0.01847,0.02289,0,0
ENJ.V,D,20171110,000000,0.02303,0.02303,0.01779,0.0195,0,0
ENJ.V,D,20171111,000000,0.0195,0.02149,0.01839,0.01915,0,0
ENJ.V,D,20171112,000000,0.01915,0.0194,0.01634,0.01857,0,0
ENJ.V,D,20171113,000000,0.01857,0.02544,0.01857,0.02394,0,0
ENJ.V,D,20171114,000000,0.02394,0.03028,0.02388,0.02857,0,0
ENJ.V,D,20171115,000000,0.02843,0.03277,0.02236,0.02498,0,0
ENJ.V,D,20171116,000000,0.02505,0.02733,0.01971,0.0216,0,0
ENJ.V,D,20171117,000000,0.02168,0.02168,0.01863,0.01925,0,0
ENJ.V,D,20171118,000000,0.01925,0.0214,0.01925,0.02078,0,0
ENJ.V,D,20171119,000000,0.02078,0.02654,0.02059,0.02381,0,0
ENJ.V,D,20171120,000000,0.02381,0.02581,0.02251,0.02284,0,0
ENJ.V,D,20171121,000000,0.02284,0.02438,0.02138,0.02155,0,0
ENJ.V,D,20171122,000000,0.02155,0.02372,0.01976,0.02281,0,0
ENJ.V,D,20171123,000000,0.02281,0.02797,0.02067,0.02396,0,0
ENJ.V,D,20171124,000000,0.02396,0.02583,0.02124,0.02395,0,0
ENJ.V,D,20171125,000000,0.02395,0.02556,0.02197,0.02294,0,0
ENJ.V,D,20171126,000000,0.02294,0.02544,0.02294,0.02423,0,0
ENJ.V,D,20171127,000000,0.02423,0.02852,0.02317,0.02774,0,0
ENJ.V,D,20171128,000000,0.02774,0.02873,0.02407,0.02556,0,0
ENJ.V,D,20171129,000000,0.02556,0.02627,0.02046,0.02154,0,0
ENJ.V,D,20171130,000000,0.02157,0.02298,0.02019,0.02278,0,0
ENJ.V,D,20171201,000000,0.02278,0.02628,0.02278,0.02444,0,0
ENJ.V,D,20171202,000000,0.02444,0.02794,0.02423,0.02706,0,0
ENJ.V,D,20171203,000000,0.02706,0.02857,0.02362,0.02519,0,0
ENJ.V,D,20171204,000000,0.0253,0.02743,0.02441,0.02662,0,0
ENJ.V,D,20171205,000000,0.02662,0.0287,0.0259,0.02742,0,0
ENJ.V,D,20171206,000000,0.02742,0.03891,0.02742,0.03644,0,0
ENJ.V,D,20171207,000000,0.03644,0.06218,0.03644,0.05156,0,0
ENJ.V,D,20171208,000000,0.05162,0.05162,0.03659,0.04124,0,0
ENJ.V,D,20171209,000000,0.0414,0.0423,0.03518,0.03963,0,0
ENJ.V,D,20171210,000000,0.03962,0.05045,0.03946,0.04322,0,0
ENJ.V,D,20171211,000000,0.04322,0.05087,0.04322,0.04668,0,0
ENJ.V,D,20171212,000000,0.04669,0.05176,0.04356,0.04766,0,0
ENJ.V,D,20171213,000000,0.04766,0.04805,0.04169,0.04739,0,0
ENJ.V,D,20171214,000000,0.04739,0.05418,0.04479,0.05385,0,0
ENJ.V,D,20171215,000000,0.05385,0.05986,0.05123,0.05933,0,0
ENJ.V,D,20171216,000000,0.05929,0.1105,0.05929,0.08783,0,0
ENJ.V,D,20171217,000000,0.08783,0.1512,0.08217,0.1155,0,0
ENJ.V,D,20171218,000000,0.1155,0.1322,0.1059,0.1212,0,0
ENJ.V,D,20171219,000000,0.1212,0.1316,0.1055,0.1277,0,0
ENJ.V,D,20171220,000000,0.1277,0.1277,0.08873,0.1068,0,0
ENJ.V,D,20171221,000000,0.1068,0.1152,0.09723,0.1041,0,0
ENJ.V,D,20171222,000000,0.1041,0.1041,0.07762,0.09388,0,0
ENJ.V,D,20171223,000000,0.09388,0.1802,0.09388,0.1555,0,0
ENJ.V,D,20171224,000000,0.1553,0.172,0.134,0.14,0,0
ENJ.V,D,20171225,000000,0.1401,0.1677,0.1385,0.1477,0,0
ENJ.V,D,20171226,000000,0.1477,0.1716,0.115,0.1481,0,0
ENJ.V,D,20171227,000000,0.1481,0.1825,0.1255,0.1565,0,0
ENJ.V,D,20171228,000000,0.1565,0.1652,0.1387,0.1496,0,0
ENJ.V,D,20171229,000000,0.1496,0.1721,0.149,0.1654,0,0
ENJ.V,D,20171230,000000,0.1654,0.1654,0.1306,0.1565,0,0
ENJ.V,D,20171231,000000,0.1565,0.2212,0.1558,0.1695,0,0
ENJ.V,D,20180101,000000,0.1695,0.199,0.1615,0.1776,0,0
ENJ.V,D,20180102,000000,0.1776,0.2157,0.1263,0.1945,0,0
ENJ.V,D,20180103,000000,0.1945,0.2414,0.1667,0.2242,0,0
ENJ.V,D,20180104,000000,0.224,0.4083,0.2169,0.3338,0,0
ENJ.V,D,20180105,000000,0.3337,0.5285,0.3337,0.364,0,0
ENJ.V,D,20180106,000000,0.3649,0.4643,0.3649,0.4475,0,0
ENJ.V,D,20180107,000000,0.4491,0.4774,0.2872,0.4266,0,0
ENJ.V,D,20180108,000000,0.4265,0.4481,0.3479,0.3843,0,0
ENJ.V,D,20180109,000000,0.382,0.4063,0.3446,0.3708,0,0
ENJ.V,D,20180110,000000,0.3708,0.4015,0.2993,0.3579,0,0
ENJ.V,D,20180111,000000,0.3576,0.3696,0.2682,0.3274,0,0
ENJ.V,D,20180112,000000,0.3278,0.4756,0.3197,0.4026,0,0
ENJ.V,D,20180113,000000,0.3986,0.4554,0.3565,0.3804,0,0
ENJ.V,D,20180114,000000,0.381,0.3869,0.3138,0.3219,0,0
ENJ.V,D,20180115,000000,0.3219,0.346,0.2733,0.2953,0,0
ENJ.V,D,20180116,000000,0.2953,0.2953,0.1537,0.1921,0,0
ENJ.V,D,20180117,000000,0.1921,0.2455,0.1677,0.2335,0,0
ENJ.V,D,20180118,000000,0.2334,0.2808,0.228,0.2404,0,0
ENJ.V,D,20180119,000000,0.2398,0.2647,0.2387,0.2471,0,0
ENJ.V,D,20180120,000000,0.2458,0.2811,0.2398,0.2556,0,0
ENJ.V,D,20180121,000000,0.2554,0.2554,0.2025,0.2158,0,0
ENJ.V,D,20180122,000000,0.2158,0.2158,0.1949,0.2008,0,0
ENJ.V,D,20180123,000000,0.2007,0.2366,0.1963,0.2218,0,0
ENJ.V,D,20180124,000000,0.2221,0.2647,0.2221,0.2346,0,0
ENJ.V,D,20180125,000000,0.2336,0.2987,0.2259,0.2963,0,0
ENJ.V,D,20180126,000000,0.2967,0.3199,0.2588,0.2764,0,0
ENJ.V,D,20180127,000000,0.2764,0.298,0.2704,0.28,0,0
ENJ.V,D,20180128,000000,0.28,0.2907,0.2577,0.2668,0,0
ENJ.V,D,20180129,000000,0.2668,0.2751,0.2478,0.2653,0,0
ENJ.V,D,20180130,000000,0.2663,0.2663,0.2176,0.2247,0,0
ENJ.V,D,20180131,000000,0.225,0.234,0.2046,0.2118,0,0
ENJ.V,D,20180201,000000,0.2118,0.2118,0.1714,0.1765,0,0
ENJ.V,D,20180202,000000,0.1764,0.1764,0.1465,0.172,0,0
ENJ.V,D,20180203,000000,0.172,0.1902,0.17,0.1808,0,0
ENJ.V,D,20180204,000000,0.1808,0.1808,0.1432,0.1461,0,0
ENJ.V,D,20180205,000000,0.1472,0.1472,0.09434,0.1031,0,0
ENJ.V,D,20180206,000000,0.1031,0.165,0.1031,0.1552,0,0
ENJ.V,D,20180207,000000,0.1552,0.1557,0.1285,0.132,0,0
ENJ.V,D,20180208,000000,0.1321,0.1662,0.1321,0.1517,0,0
ENJ.V,D,20180209,000000,0.1517,0.1667,0.1437,0.163,0,0
ENJ.V,D,20180210,000000,0.1631,0.1631,0.1458,0.1498,0,0
ENJ.V,D,20180211,000000,0.1498,0.1498,0.1303,0.1365,0,0
ENJ.V,D,20180212,000000,0.1365,0.1558,0.1365,0.1466,0,0
