<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HNT.V,D,20200402,000000,0.4554,0.4599,0.4551,0.4598,0,0
HNT.V,D,20200403,000000,0.4598,0.4599,0.455,0.4567,0,0
HNT.V,D,20200404,000000,0.4567,0.4599,0.4551,0.4552,0,0
HNT.V,D,20200405,000000,0.4552,0.4599,0.455,0.4579,0,0
HNT.V,D,20200406,000000,0.4579,0.4599,0.455,0.4595,0,0
HNT.V,D,20200407,000000,0.4595,0.4599,0.455,0.4561,0,0
HNT.V,D,20200408,000000,0.4561,0.4599,0.455,0.4563,0,0
HNT.V,D,20200409,000000,0.4563,0.4598,0.3657,0.3683,0,0
HNT.V,D,20200410,000000,0.3683,0.3736,0.3349,0.3418,0,0
HNT.V,D,20200411,000000,0.3418,0.3474,0.3255,0.3388,0,0
HNT.V,D,20200412,000000,0.3388,0.4583,0.326,0.3429,0,0
HNT.V,D,20200413,000000,0.3429,0.4599,0.3296,0.4564,0,0
HNT.V,D,20200414,000000,0.4564,0.4599,0.4478,0.4579,0,0
HNT.V,D,20200415,000000,0.4579,0.4597,0.313,0.313,0,0
HNT.V,D,20200416,000000,0.313,0.3196,0.3079,0.3179,0,0
HNT.V,D,20200417,000000,0.3179,0.3198,0.3102,0.3174,0,0
HNT.V,D,20200418,000000,0.3174,0.3198,0.3102,0.3134,0,0
HNT.V,D,20200419,000000,0.3134,0.3198,0.31,0.3166,0,0
HNT.V,D,20200420,000000,0.3166,0.3195,0.2764,0.2795,0,0
HNT.V,D,20200421,000000,0.2795,0.2877,0.2753,0.2819,0,0
HNT.V,D,20200422,000000,0.2819,0.2925,0.27,0.2761,0,0
HNT.V,D,20200423,000000,0.2761,0.2798,0.27,0.276,0,0
HNT.V,D,20200424,000000,0.276,0.2798,0.2701,0.2717,0,0
HNT.V,D,20200425,000000,0.2717,0.2798,0.27,0.2761,0,0
HNT.V,D,20200426,000000,0.2761,0.2798,0.27,0.2712,0,0
HNT.V,D,20200427,000000,0.2712,0.2798,0.27,0.2794,0,0
HNT.V,D,20200428,000000,0.2794,0.2798,0.27,0.2709,0,0
HNT.V,D,20200429,000000,0.2709,0.2798,0.27,0.2708,0,0
HNT.V,D,20200430,000000,0.2708,0.2798,0.2589,0.2706,0,0
HNT.V,D,20200501,000000,0.2706,0.2761,0.2593,0.2697,0,0
HNT.V,D,20200502,000000,0.2697,0.2744,0.2405,0.2421,0,0
HNT.V,D,20200503,000000,0.2421,0.2497,0.24,0.2411,0,0
HNT.V,D,20200504,000000,0.2411,0.2792,0.2384,0.2767,0,0
HNT.V,D,20200505,000000,0.2767,0.3566,0.2666,0.3449,0,0
HNT.V,D,20200506,000000,0.3449,0.3681,0.3417,0.3641,0,0
HNT.V,D,20200507,000000,0.3641,0.3907,0.3495,0.3829,0,0
HNT.V,D,20200508,000000,0.3829,0.3928,0.3458,0.3804,0,0
HNT.V,D,20200509,000000,0.3804,0.3921,0.37,0.3705,0,0
HNT.V,D,20200510,000000,0.3705,0.3762,0.3203,0.3392,0,0
HNT.V,D,20200511,000000,0.3392,0.3531,0.3296,0.3319,0,0
HNT.V,D,20200512,000000,0.3319,0.4581,0.3264,0.3373,0,0
HNT.V,D,20200513,000000,0.3373,0.3594,0.3341,0.3534,0,0
HNT.V,D,20200514,000000,0.3534,0.3676,0.3448,0.3616,0,0
HNT.V,D,20200515,000000,0.3616,0.55,0.3461,0.3544,0,0
HNT.V,D,20200516,000000,0.3544,0.55,0.3477,0.3507,0,0
HNT.V,D,20200517,000000,0.3507,0.3738,0.3507,0.3661,0,0
HNT.V,D,20200518,000000,0.3661,0.3773,0.2964,0.3067,0,0
HNT.V,D,20200519,000000,0.3067,0.3113,0.2952,0.3022,0,0
HNT.V,D,20200520,000000,0.3022,0.4595,0.2171,0.4567,0,0
HNT.V,D,20200521,000000,0.4567,0.4599,0.455,0.4564,0,0
HNT.V,D,20200522,000000,0.4564,0.4599,0.4426,0.4495,0,0
HNT.V,D,20200523,000000,0.4495,0.4573,0.2178,0.4451,0,0
HNT.V,D,20200524,000000,0.4451,0.4566,0.4303,0.4303,0,0
HNT.V,D,20200525,000000,0.4303,0.4414,0.4199,0.4357,0,0
HNT.V,D,20200526,000000,0.4357,0.4581,0.4238,0.4308,0,0
HNT.V,D,20200527,000000,0.4308,0.4539,0.4268,0.4504,0,0
HNT.V,D,20200528,000000,0.4504,0.4599,0.4405,0.4591,0,0
HNT.V,D,20200529,000000,0.4591,0.4598,0.44,0.4583,0,0
HNT.V,D,20200530,000000,0.4583,0.4599,0.455,0.4592,0,0
HNT.V,D,20200531,000000,0.4592,0.4599,0.2171,0.2313,0,0
HNT.V,D,20200601,000000,0.2313,0.3193,0.2093,0.2622,0,0
HNT.V,D,20200602,000000,0.2622,0.3442,0.2227,0.2627,0,0
HNT.V,D,20200603,000000,0.2627,0.2663,0.2091,0.2112,0,0
HNT.V,D,20200604,000000,0.2112,0.3393,0.2112,0.2477,0,0
HNT.V,D,20200605,000000,0.2477,0.3408,0.2246,0.287,0,0
HNT.V,D,20200606,000000,0.287,0.4442,0.2845,0.2917,0,0
HNT.V,D,20200607,000000,0.2917,0.2991,0.2808,0.2901,0,0
HNT.V,D,20200608,000000,0.2901,0.4456,0.278,0.2786,0,0
HNT.V,D,20200609,000000,0.2786,0.4444,0.2771,0.2871,0,0
HNT.V,D,20200610,000000,0.2871,0.2928,0.2787,0.2877,0,0
HNT.V,D,20200611,000000,0.2877,0.2934,0.2658,0.269,0,0
HNT.V,D,20200612,000000,0.269,0.4439,0.2663,0.273,0,0
HNT.V,D,20200613,000000,0.273,0.2803,0.2699,0.2786,0,0
HNT.V,D,20200614,000000,0.2786,0.2797,0.2671,0.2713,0,0
HNT.V,D,20200615,000000,0.2713,0.2785,0.2588,0.2767,0,0
HNT.V,D,20200616,000000,0.2767,0.2826,0.2694,0.2725,0,0
HNT.V,D,20200617,000000,0.2725,0.2787,0.2644,0.273,0,0
HNT.V,D,20200618,000000,0.273,0.2745,0.2488,0.2499,0,0
HNT.V,D,20200619,000000,0.2499,0.254,0.2197,0.2284,0,0
HNT.V,D,20200620,000000,0.2284,0.4435,0.2148,0.2226,0,0
HNT.V,D,20200621,000000,0.2226,0.4452,0.2149,0.2233,0,0
HNT.V,D,20200622,000000,0.2233,0.4334,0.2156,0.2235,0,0
HNT.V,D,20200623,000000,0.2235,0.3984,0.2204,0.271,0,0
HNT.V,D,20200624,000000,0.271,0.3978,0.2539,0.2601,0,0
HNT.V,D,20200625,000000,0.2601,0.2631,0.2485,0.259,0,0
HNT.V,D,20200626,000000,0.259,0.2648,0.2427,0.2516,0,0
HNT.V,D,20200627,000000,0.2516,0.2531,0.2395,0.2483,0,0
HNT.V,D,20200628,000000,0.2483,0.4485,0.24,0.245,0,0
HNT.V,D,20200629,000000,0.245,0.2534,0.2401,0.2446,0,0
HNT.V,D,20200630,000000,0.2446,0.2528,0.2423,0.2502,0,0
HNT.V,D,20200701,000000,0.2502,0.4594,0.2421,0.2455,0,0
HNT.V,D,20200702,000000,0.2455,0.2457,0.2128,0.2161,0,0
HNT.V,D,20200703,000000,0.2161,0.2241,0.2137,0.2205,0,0
HNT.V,D,20200704,000000,0.2205,0.2271,0.2149,0.2175,0,0
HNT.V,D,20200705,000000,0.2175,0.2244,0.2003,0.2031,0,0
HNT.V,D,20200706,000000,0.2031,0.2098,0.2,0.2089,0,0
HNT.V,D,20200707,000000,0.2089,0.2098,0.2,0.2079,0,0
HNT.V,D,20200708,000000,0.2079,0.2098,0.2,0.203,0,0
HNT.V,D,20200709,000000,0.203,0.2168,0.2001,0.2045,0,0
HNT.V,D,20200710,000000,0.2045,0.2098,0.2,0.2087,0,0
HNT.V,D,20200711,000000,0.2087,0.2098,0.2001,0.2053,0,0
HNT.V,D,20200712,000000,0.2053,0.2098,0.2,0.2089,0,0
HNT.V,D,20200713,000000,0.2089,0.2198,0.2,0.2089,0,0
HNT.V,D,20200714,000000,0.2089,0.2175,0.2069,0.2069,0,0
HNT.V,D,20200715,000000,0.2069,0.2069,0.2069,0.2069,0,0
