<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMX.V,D,20211124,000000,8.3545,8.499,7.665,7.88,0,0
IMX.V,D,20211125,000000,7.882,9.389,7.8225,9.185,0,0
IMX.V,D,20211126,000000,9.218,9.4975,7.2,8.0335,0,0
IMX.V,D,20211127,000000,8,8.4,7.664,7.8905,0,0
IMX.V,D,20211128,000000,7.882,7.9325,6.9255,7.575,0,0
IMX.V,D,20211129,000000,7.623,8.45,7.623,8.2415,0,0
IMX.V,D,20211130,000000,8.228,8.6715,7.92,8.2615,0,0
IMX.V,D,20211201,000000,8.26,8.337,7.252,7.473,0,0
IMX.V,D,20211202,000000,7.5115,7.5325,6.5,6.515,0,0
IMX.V,D,20211203,000000,6.563,7,5.8535,6.17,0,0
IMX.V,D,20211204,000000,6.162,6.265,5,5.756,0,0
IMX.V,D,20211205,000000,5.763,6.4695,5.377,5.4805,0,0
IMX.V,D,20211206,000000,5.4815,5.8455,4.3705,5.231,0,0
IMX.V,D,20211207,000000,5.21,5.5555,5.04,5.2675,0,0
IMX.V,D,20211208,000000,5.276,6.6805,5.1975,6.2175,0,0
IMX.V,D,20211209,000000,6.234,6.92,5.029,5.2195,0,0
IMX.V,D,20211210,000000,5.2365,5.604,4.6725,4.793,0,0
IMX.V,D,20211211,000000,4.787,5.13,4.7,4.86,0,0
IMX.V,D,20211212,000000,4.88,5.5345,4.834,5.522,0,0
IMX.V,D,20211213,000000,5.522,5.525,4.56,4.7855,0,0
IMX.V,D,20211214,000000,4.7855,5.1175,4.5075,4.793,0,0
IMX.V,D,20211215,000000,4.823,5.17789,4.54062,4.90404,0,0
IMX.V,D,20211216,000000,4.90134,5.4027,4.89718,4.98459,0,0
IMX.V,D,20211217,000000,4.97969,5.03151,4.58908,4.72669,0,0
IMX.V,D,20211218,000000,4.72579,4.82983,4.61258,4.65416,0,0
IMX.V,D,20211219,000000,4.65553,4.66903,4.41893,4.52186,0,0
