<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INJ.V,D,20220514,000000,2.08944,2.24505,1.90798,2.02096,1050704.206562472,0
INJ.V,D,20220515,000000,2.01717,2.20069,1.9942,2.18038,293976.5347423373,0
INJ.V,D,20220516,000000,2.18837,2.22932,1.95465,2.04833,449950.6385392692,0
INJ.V,D,20220517,000000,2.05133,2.48127,1.99221,2.28902,1075467.9079733207,0
INJ.V,D,20220518,000000,2.28802,2.7102,2.20213,2.50174,1396587.9865528098,0
INJ.V,D,20220519,000000,2.4995,2.70548,2.21456,2.30692,860361.1916917239,0
INJ.V,D,20220520,000000,2.31092,2.45354,2.18038,2.22133,533154.158934904,0
INJ.V,D,20220521,000000,2.21234,2.34794,2.12345,2.23309,459112.4979018354,0
INJ.V,D,20220522,000000,2.23209,2.32897,2.21012,2.23232,282588.92923457874,0
INJ.V,D,20220523,000000,2.23332,2.33866,2.20557,2.28026,296504.559457839,0
INJ.V,D,20220524,000000,2.27327,2.50224,2.14442,2.24208,933959.3816389506,0
INJ.V,D,20220525,000000,2.24208,2.31945,2.20857,2.2493,353521.59696576017,0
INJ.V,D,20220526,000000,2.24752,2.25951,1.92688,2.04895,254975.78459029377,0
INJ.V,D,20220527,000000,2.04495,2.06194,1.85895,1.93606,315150.4802918624,0
INJ.V,D,20220528,000000,1.9288,2.01982,1.89565,1.99067,227703.2142072063,0
INJ.V,D,20220529,000000,1.99163,2.31343,1.94104,2.07769,1179935.7581351711,0
INJ.V,D,20220530,000000,2.07665,2.22844,2.07272,2.21845,332207.1728189005,0
INJ.V,D,20220531,000000,2.22144,2.33936,2.1253,2.25397,515738.4269811102,0
INJ.V,D,20220601,000000,2.26024,2.27618,2.03896,2.05415,359547.4260507283,0
INJ.V,D,20220602,000000,2.05315,2.12209,2.04016,2.1121,324649.4563814023,0
INJ.V,D,20220603,000000,2.1121,2.14307,1.99702,2.04522,310973.8681656184,0
INJ.V,D,20220604,000000,2.04722,2.05244,1.98995,2.04045,668389.55521548,0
INJ.V,D,20220605,000000,2.04049,2.07411,1.98533,2.04607,583292.7648699597,0
INJ.V,D,20220606,000000,2.04807,2.11724,1.99954,2.04226,1842555.6394889005,0
INJ.V,D,20220607,000000,2.04328,2.06052,1.88853,2.01635,1831653.8401848972,0
INJ.V,D,20220608,000000,2.02338,2.03578,1.93165,1.95273,1466847.4578199545,0
INJ.V,D,20220609,000000,1.95373,2.32319,1.91358,2.01331,2368072.945232798,0
INJ.V,D,20220610,000000,2.01329,2.35597,1.95961,1.97247,5044040.000166418,0
INJ.V,D,20220611,000000,1.97549,2.17363,1.74483,1.79197,1813370.6265852116,0
INJ.V,D,20220612,000000,1.79495,1.92582,1.5548,1.61801,1093347.8395178406,0
INJ.V,D,20220613,000000,1.61002,1.61002,1.25821,1.34414,3522829.874373782,0
INJ.V,D,20220614,000000,1.34215,1.77895,1.2212,1.46524,10801289.3780945,0
INJ.V,D,20220615,000000,1.46522,1.5486,1.28446,1.51373,10220222.552151466,0
INJ.V,D,20220616,000000,1.50973,1.52786,1.37435,1.40503,1579625.2540236043,0
INJ.V,D,20220617,000000,1.33514,1.4055,1.32256,1.35257,3891104.3070781417,0
INJ.V,D,20220618,000000,1.35437,1.424,1.12841,1.20005,10502233.657588033,0
INJ.V,D,20220619,000000,1.20205,1.30743,1.16526,1.29631,3046166.3492349274,0
INJ.V,D,20220620,000000,1.29631,1.4173,1.24238,1.32354,1302568.4372013018,0
INJ.V,D,20220621,000000,1.32454,1.43671,1.30257,1.36963,822797.9155914425,0
INJ.V,D,20220622,000000,1.36264,1.42843,1.2947,1.30469,1242136.5634300227,0
INJ.V,D,20220623,000000,1.30469,1.38661,1.2947,1.34865,614334.1075976341,0
INJ.V,D,20220624,000000,1.34865,1.47876,1.34852,1.46284,2424675.2464945684,0
INJ.V,D,20220625,000000,1.45954,1.47977,1.38506,1.44898,1445865.7157710984,0
INJ.V,D,20220626,000000,1.44599,1.55808,1.42119,1.43111,1073597.8532956517,0
INJ.V,D,20220627,000000,1.43514,1.43515,1.33677,1.35278,486927.88748259214,0
INJ.V,D,20220628,000000,1.35281,1.4246,1.2864,1.30339,998816.6443731337,0
INJ.V,D,20220629,000000,1.2984,1.33434,1.25233,1.28146,684115.4925947482,0
INJ.V,D,20220630,000000,1.28245,1.28346,1.1635,1.18058,1672512.020696215,0
INJ.V,D,20220701,000000,1.18458,1.28159,1.18058,1.18569,1374278.8194582749,0
INJ.V,D,20220702,000000,1.18769,1.34252,1.16971,1.20455,1365556.7318765854,0
INJ.V,D,20220703,000000,1.20455,1.25936,1.16349,1.21442,903864.7845839526,0
INJ.V,D,20220704,000000,1.21742,1.23552,1.17835,1.22753,444617.66968010156,0
INJ.V,D,20220705,000000,1.22753,1.39133,1.20855,1.2676,1718768.5926197835,0
INJ.V,D,20220706,000000,1.26561,1.37735,1.24363,1.26061,1133603.4651731914,0
INJ.V,D,20220707,000000,1.26461,1.32907,1.25362,1.30522,394252.4716597735,0
INJ.V,D,20220708,000000,1.31021,1.34392,1.25712,1.27623,473256.26933329896,0
INJ.V,D,20220709,000000,1.27623,1.52309,1.26511,1.5061,3272148.169644495,0
INJ.V,D,20220710,000000,1.50794,1.54107,1.3292,1.39416,1757138.0951209276,0
INJ.V,D,20220711,000000,1.39017,1.40216,1.25687,1.26186,663439.0563216264,0
INJ.V,D,20220712,000000,1.25987,1.25987,1.16483,1.17283,929774.2656238019,0
INJ.V,D,20220713,000000,1.16988,1.23177,1.12288,1.20491,1409238.27459546,0
INJ.V,D,20220714,000000,1.20192,1.27224,1.19293,1.24725,1405877.0677134008,0
INJ.V,D,20220715,000000,1.24725,1.30935,1.23913,1.28561,1511781.5113430193,0
INJ.V,D,20220716,000000,1.28861,1.3456,1.23651,1.29461,1911872.6927730679,0
INJ.V,D,20220717,000000,1.29766,1.35769,1.27463,1.29366,1506509.5065159749,0
INJ.V,D,20220718,000000,1.29565,1.41659,1.26458,1.3227,2649644.608953784,0
INJ.V,D,20220719,000000,1.3237,1.44923,1.31863,1.42123,2025346.6121974161,0
INJ.V,D,20220720,000000,1.422,1.44116,1.29697,1.32907,1784919.688724165,0
INJ.V,D,20220721,000000,1.32816,1.34524,1.23712,1.33432,1200785.6040499944,0
INJ.V,D,20220722,000000,1.33432,1.37725,1.30012,1.31229,1082946.394755784,0
INJ.V,D,20220723,000000,1.3123,1.44199,1.30813,1.35526,2551246.2178385244,0
INJ.V,D,20220724,000000,1.35514,1.38986,1.33713,1.36027,947989.4252957837,0
INJ.V,D,20220725,000000,1.36027,1.37928,1.25516,1.2851,1174226.1863534593,0
INJ.V,D,20220726,000000,1.28512,1.28519,1.20704,1.22218,748745.6111165122,0
INJ.V,D,20220727,000000,1.22817,1.31829,1.22291,1.30229,753548.0742296504,0
INJ.V,D,20220728,000000,1.30031,1.52132,1.29632,1.43329,5055911.887273173,0
INJ.V,D,20220729,000000,1.43129,1.4841,1.38241,1.41558,2763223.113966505,0
INJ.V,D,20220730,000000,1.41657,1.53554,1.39454,1.44749,2654130.0925867334,0
INJ.V,D,20220731,000000,1.44153,1.53037,1.40653,1.47934,2311418.458804318,0
INJ.V,D,20220801,000000,1.47959,1.47959,1.36403,1.41442,1693992.177773509,0
INJ.V,D,20220802,000000,1.41142,1.45757,1.36241,1.42126,1162157.2015462148,0
INJ.V,D,20220803,000000,1.42328,1.49343,1.38635,1.46835,1117832.0002005664,0
INJ.V,D,20220804,000000,1.46635,1.71112,1.42218,1.53405,9380577.472702675,0
INJ.V,D,20220805,000000,1.53106,1.70022,1.51715,1.5923,4195282.849412624,0
INJ.V,D,20220806,000000,1.59232,1.60429,1.55031,1.56734,1440752.9366040854,0
INJ.V,D,20220807,000000,1.56736,1.61831,1.52915,1.5883,1247402.2878668527,0
INJ.V,D,20220808,000000,1.58729,1.65131,1.56127,1.60819,1419403.1441391832,0
INJ.V,D,20220809,000000,1.60824,1.62234,1.47632,1.5073,1931882.0178490118,0
INJ.V,D,20220810,000000,1.5073,2.02217,1.46335,1.80952,8443759.25247928,0
INJ.V,D,20220811,000000,1.80972,2.51105,1.78852,2.121,25947671.25321424,0
INJ.V,D,20220812,000000,2.11906,2.17609,1.83292,1.97791,9267951.062367573,0
INJ.V,D,20220813,000000,1.97691,2.0851,1.89566,1.91775,2447300.008999232,0
INJ.V,D,20220814,000000,1.91675,1.95278,1.8034,1.85758,1315080.3709678089,0
INJ.V,D,20220815,000000,1.85856,1.91352,1.73245,1.78243,2217629.06686023,0
INJ.V,D,20220816,000000,1.78245,2.14841,1.75028,1.90117,10368311.883249251,0
INJ.V,D,20220817,000000,1.90117,2.1892,1.86698,1.92615,12170594.134341633,0
INJ.V,D,20220818,000000,1.92713,1.97522,1.83907,1.87402,3122562.7509375056,0
INJ.V,D,20220819,000000,1.87419,1.87719,1.56016,1.639,4623687.684063403,0
INJ.V,D,20220820,000000,1.64108,1.74824,1.54688,1.603,3792408.679114323,0
INJ.V,D,20220821,000000,1.60295,1.92119,1.59492,1.80496,4950688.411345178,0
INJ.V,D,20220822,000000,1.80496,1.855,1.66088,1.73471,4674836.890073648,0
INJ.V,D,20220823,000000,1.73874,1.88891,1.7387,1.80004,3279529.7081447006,0
INJ.V,D,20220824,000000,1.796,1.87991,1.75607,1.80614,2122924.4546682024,0
INJ.V,D,20220825,000000,1.80416,1.84889,1.76298,1.78605,1685072.519547638,0
INJ.V,D,20220826,000000,1.78405,1.82416,1.60698,1.64216,1589968.855956664,0
INJ.V,D,20220827,000000,1.64716,1.65117,1.54803,1.54905,1078827.1347185744,0
INJ.V,D,20220828,000000,1.54805,1.61605,1.54603,1.561,768974.9715495552,0
INJ.V,D,20220829,000000,1.561,1.61018,1.475,1.59411,1547126.2690232757,0
INJ.V,D,20220830,000000,1.59316,1.63798,1.49203,1.53512,1655133.4245957746,0
INJ.V,D,20220831,000000,1.53512,1.59802,1.51918,1.57598,1086771.0512225388,0
INJ.V,D,20220901,000000,1.579,1.57902,1.47091,1.51591,975816.2644521402,0
INJ.V,D,20220902,000000,1.51691,1.57828,1.50802,1.5332,1124965.040797858,0
INJ.V,D,20220903,000000,1.53023,1.56,1.512,1.518,679869.5854697678,0
INJ.V,D,20220904,000000,1.51915,1.628,1.514,1.587,1305111.6449724694,0
INJ.V,D,20220905,000000,1.586,1.63016,1.532,1.59816,2269866.9747268213,0
INJ.V,D,20220906,000000,1.59616,1.655,1.45585,1.481,1883777.9004346598,0
INJ.V,D,20220907,000000,1.478,1.57824,1.43403,1.56811,2157338.111207017,0
INJ.V,D,20220908,000000,1.56811,1.60208,1.48704,1.52524,2754901.5701838243,0
INJ.V,D,20220909,000000,1.52324,1.73359,1.51721,1.72557,2655419.880941212,0
INJ.V,D,20220910,000000,1.7216,1.74066,1.60574,1.62332,2240956.427153165,0
INJ.V,D,20220911,000000,1.62731,2.06366,1.61461,1.88645,12632550.000118712,0
INJ.V,D,20220912,000000,1.88745,1.93729,1.75832,1.83537,6573367.12720624,0
