<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KCS.V,D,20171213,000000,0.4538,0.5081,0.4319,0.508,0,0
KCS.V,D,20171214,000000,0.5072,0.5594,0.4776,0.55,0,0
KCS.V,D,20171215,000000,0.588,0.5959,0.5061,0.559,0,0
KCS.V,D,20171216,000000,0.6142,0.6844,0.5819,0.6844,0,0
KCS.V,D,20171217,000000,0.6745,0.7561,0.6515,0.7436,0,0
KCS.V,D,20171218,000000,0.7399,0.8439,0.7001,0.8346,0,0
KCS.V,D,20171219,000000,0.7709,0.9489,0.7539,0.9286,0,0
KCS.V,D,20171220,000000,0.8723,0.8908,0.7433,0.8792,0,0
KCS.V,D,20171221,000000,0.8349,0.9379,0.8011,0.9218,0,0
KCS.V,D,20171222,000000,0.8058,0.8061,0.716,0.7856,0,0
KCS.V,D,20171223,000000,0.8277,0.852,0.782,0.852,0,0
KCS.V,D,20171224,000000,0.8161,0.935,0.8001,0.9347,0,0
KCS.V,D,20171225,000000,0.9376,1.3,0.8746,1.28,0,0
KCS.V,D,20171226,000000,1.46,1.66,1.11,1.61,0,0
KCS.V,D,20171227,000000,1.57,2.43,1.53,2.42,0,0
KCS.V,D,20171228,000000,2.26,2.99,1.76,2.81,0,0
KCS.V,D,20171229,000000,2.81,3.6,2.53,3.17,0,0
KCS.V,D,20171230,000000,2.76,2.91,2.26,2.84,0,0
KCS.V,D,20171231,000000,3.14,3.61,2.97,3.61,0,0
KCS.V,D,20180101,000000,3.51,3.75,3.25,3.74,0,0
KCS.V,D,20180102,000000,4.1,7.8,3.97,7.27,0,0
KCS.V,D,20180103,000000,7.46,8.34,6.44,7.96,0,0
KCS.V,D,20180104,000000,7.97,7.98,5.77,6.53,0,0
KCS.V,D,20180105,000000,7.26,8.44,6.26,7.44,0,0
KCS.V,D,20180106,000000,7.53,15.42,7.37,13.36,0,0
KCS.V,D,20180107,000000,12.63,21.08,12.46,18.01,0,0
KCS.V,D,20180108,000000,17.07,18.68,13.7,17.72,0,0
KCS.V,D,20180109,000000,17.12,17.36,15.92,16.36,0,0
KCS.V,D,20180110,000000,16.89,21.93,16.46,20.56,0,0
KCS.V,D,20180111,000000,18.34,19.42,15.42,18.92,0,0
KCS.V,D,20180112,000000,19.68,20.76,18.44,18.96,0,0
KCS.V,D,20180113,000000,19.51,20.23,14.06,17.52,0,0
KCS.V,D,20180114,000000,16.78,17.77,13.64,14.18,0,0
KCS.V,D,20180115,000000,14.18,15.68,10.63,13.48,0,0
KCS.V,D,20180116,000000,11.16,12.41,8.19,10.15,0,0
KCS.V,D,20180117,000000,10.04,11.39,8.37,11.39,0,0
KCS.V,D,20180118,000000,11.4,12.63,9.57,10.06,0,0
KCS.V,D,20180119,000000,10.31,10.77,9.12,9.33,0,0
KCS.V,D,20180120,000000,10.35,11.89,10.06,11.31,0,0
KCS.V,D,20180121,000000,10.22,10.32,9.29,9.47,0,0
KCS.V,D,20180122,000000,8.87,9.03,7.92,8.3,0,0
KCS.V,D,20180123,000000,8.33,8.47,7.65,7.88,0,0
KCS.V,D,20180124,000000,8.29,8.52,7.33,7.69,0,0
KCS.V,D,20180125,000000,7.64,8.44,7.04,7.46,0,0
KCS.V,D,20180126,000000,7.46,7.81,6,7.38,0,0
KCS.V,D,20180127,000000,7.46,10.03,7.39,10,0,0
KCS.V,D,20180128,000000,10,12.32,9.42,10.62,0,0
KCS.V,D,20180129,000000,10.56,10.9,9.25,9.33,0,0
KCS.V,D,20180130,000000,9.33,9.55,7.58,8.31,0,0
KCS.V,D,20180131,000000,8.31,8.37,7,8.06,0,0
KCS.V,D,20180201,000000,8.06,8.43,6.6,7.26,0,0
KCS.V,D,20180202,000000,7.24,7.3,5.07,6.65,0,0
KCS.V,D,20180203,000000,6.65,8.09,6.17,7.69,0,0
KCS.V,D,20180204,000000,7.69,7.87,5.79,6.39,0,0
KCS.V,D,20180205,000000,6.4,6.4,4.11,4.61,0,0
KCS.V,D,20180206,000000,4.6,5.92,3.53,5.57,0,0
KCS.V,D,20180207,000000,5.57,6.6,4.91,5.71,0,0
KCS.V,D,20180208,000000,5.71,6.27,5.21,5.74,0,0
KCS.V,D,20180209,000000,5.74,6,5.41,5.84,0,0
KCS.V,D,20180210,000000,5.84,6.48,5.29,5.65,0,0
KCS.V,D,20180211,000000,5.64,5.72,5.07,5.31,0,0
KCS.V,D,20180212,000000,5.31,5.87,5.14,5.87,0,0
KCS.V,D,20180213,000000,5.88,5.91,5.34,5.56,0,0
KCS.V,D,20180214,000000,5.56,5.91,5.41,5.71,0,0
KCS.V,D,20180215,000000,5.71,6.3,5.63,5.93,0,0
KCS.V,D,20180216,000000,5.96,6.05,5.72,5.94,0,0
KCS.V,D,20180217,000000,5.94,6.03,5.61,5.79,0,0
KCS.V,D,20180218,000000,5.8,5.92,5.38,5.48,0,0
KCS.V,D,20180219,000000,5.48,5.67,4.49,5.18,0,0
KCS.V,D,20180220,000000,5.18,5.36,4.4,4.47,0,0
KCS.V,D,20180221,000000,4.45,4.8,4.22,4.4,0,0
KCS.V,D,20180222,000000,4.4,4.49,3.95,4.19,0,0
KCS.V,D,20180223,000000,4.19,4.69,4.07,4.63,0,0
KCS.V,D,20180224,000000,4.63,4.83,4.24,4.41,0,0
KCS.V,D,20180225,000000,4.41,4.78,4.24,4.6,0,0
KCS.V,D,20180226,000000,4.6,4.84,4.36,4.73,0,0
KCS.V,D,20180227,000000,4.73,4.73,4.38,4.45,0,0
KCS.V,D,20180228,000000,4.45,4.57,4.12,4.24,0,0
KCS.V,D,20180301,000000,4.24,4.31,4.12,4.27,0,0
KCS.V,D,20180302,000000,4.27,4.36,4.1,4.16,0,0
KCS.V,D,20180303,000000,4.16,4.31,3.59,3.63,0,0
KCS.V,D,20180304,000000,3.63,4.09,3.63,3.84,0,0
KCS.V,D,20180305,000000,3.84,3.9,3.66,3.68,0,0
KCS.V,D,20180306,000000,3.68,3.75,3.22,3.26,0,0
KCS.V,D,20180307,000000,3.25,3.45,2.89,3.16,0,0
KCS.V,D,20180308,000000,3.15,3.35,3,3.05,0,0
KCS.V,D,20180309,000000,3.05,3.16,2.8,3.12,0,0
KCS.V,D,20180310,000000,3.13,3.4,3.04,3.11,0,0
KCS.V,D,20180311,000000,3.11,3.44,2,3.21,0,0
KCS.V,D,20180312,000000,3.21,3.51,3.09,3.32,0,0
KCS.V,D,20180313,000000,3.32,3.44,3.18,3.3,0,0
KCS.V,D,20180314,000000,3.3,3.39,2,2.73,0,0
KCS.V,D,20180315,000000,2.73,2.82,2.26,2.63,0,0
KCS.V,D,20180316,000000,2.63,2.68,2.27,2.43,0,0
KCS.V,D,20180317,000000,2.43,2.46,2.08,2.24,0,0
KCS.V,D,20180318,000000,2.24,2.26,1.85,2.2,0,0
KCS.V,D,20180319,000000,2.21,2.83,2.2,2.63,0,0
KCS.V,D,20180320,000000,2.63,3.21,2.63,3.16,0,0
KCS.V,D,20180321,000000,3.16,3.24,2,2.88,0,0
KCS.V,D,20180322,000000,2.87,3.11,2.72,2.74,0,0
KCS.V,D,20180323,000000,2.74,2.86,2.59,2.85,0,0
KCS.V,D,20180324,000000,2.85,3.04,2,2.92,0,0
KCS.V,D,20180325,000000,2.92,3.03,2,3.02,0,0
KCS.V,D,20180326,000000,3.02,3.07,2,2.58,0,0
KCS.V,D,20180327,000000,2.58,2.81,2.57,2.63,0,0
KCS.V,D,20180328,000000,2.63,2.65,2.51,2.59,0,0
KCS.V,D,20180329,000000,2.59,2.63,2.24,2.31,0,0
KCS.V,D,20180330,000000,2.31,2.4,2.13,2.27,0,0
KCS.V,D,20180331,000000,2.27,2.38,2.19,2.29,0,0
KCS.V,D,20180401,000000,2.29,2.33,2.09,2.25,0,0
KCS.V,D,20180402,000000,2.25,2.34,2.2,2.26,0,0
KCS.V,D,20180403,000000,2.26,2.48,2.26,2.47,0,0
KCS.V,D,20180404,000000,2.47,2.53,2.24,2.28,0,0
KCS.V,D,20180405,000000,2.28,2.31,2.16,2.2,0,0
KCS.V,D,20180406,000000,2.2,2.24,2.04,2.08,0,0
KCS.V,D,20180407,000000,2.08,2.29,2.06,2.25,0,0
KCS.V,D,20180408,000000,2.25,2.45,2.18,2.36,0,0
KCS.V,D,20180409,000000,2.36,2.59,2.25,2.29,0,0
KCS.V,D,20180410,000000,2.29,2.51,2.26,2.49,0,0
KCS.V,D,20180411,000000,2.49,2.67,2.44,2.67,0,0
KCS.V,D,20180412,000000,2.67,3.23,2,3,0,0
KCS.V,D,20180413,000000,3,3.44,2.96,3.13,0,0
KCS.V,D,20180414,000000,3.13,3.33,3.03,3.17,0,0
KCS.V,D,20180415,000000,3.17,3.37,3.06,3.23,0,0
KCS.V,D,20180416,000000,3.23,3.36,3.07,3.11,0,0
KCS.V,D,20180417,000000,3.12,3.21,3.05,3.06,0,0
KCS.V,D,20180418,000000,3.06,3.16,3.01,3.11,0,0
KCS.V,D,20180419,000000,3.11,3.35,3.06,3.25,0,0
KCS.V,D,20180420,000000,3.25,3.41,3.22,3.37,0,0
KCS.V,D,20180421,000000,3.37,3.66,3.31,3.49,0,0
KCS.V,D,20180422,000000,3.49,4.41,3.44,4.26,0,0
KCS.V,D,20180423,000000,4.26,4.57,4.05,4.55,0,0
KCS.V,D,20180424,000000,4.55,5.17,4.55,5.09,0,0
KCS.V,D,20180425,000000,5.09,5.19,3.81,4.33,0,0
KCS.V,D,20180426,000000,4.33,4.48,4.09,4.43,0,0
KCS.V,D,20180427,000000,4.43,4.58,4.21,4.26,0,0
KCS.V,D,20180428,000000,4.26,4.49,4.22,4.44,0,0
KCS.V,D,20180429,000000,4.44,4.54,4.23,4.28,0,0
KCS.V,D,20180430,000000,4.28,4.41,4.02,4.04,0,0
KCS.V,D,20180501,000000,4.04,4.1,3.89,4.07,0,0
KCS.V,D,20180502,000000,4.07,4.09,3.85,4.06,0,0
KCS.V,D,20180503,000000,4.07,4.47,3.95,4.3,0,0
KCS.V,D,20180504,000000,4.3,4.75,4.3,4.73,0,0
KCS.V,D,20180505,000000,4.73,4.88,4.6,4.71,0,0
KCS.V,D,20180506,000000,4.71,4.76,4.33,4.4,0,0
KCS.V,D,20180507,000000,4.4,4.46,4.1,4.31,0,0
KCS.V,D,20180508,000000,4.31,4.39,4.17,4.31,0,0
KCS.V,D,20180509,000000,4.31,4.33,4.12,4.19,0,0
KCS.V,D,20180510,000000,4.2,4.28,4.1,4.18,0,0
KCS.V,D,20180511,000000,4.18,4.19,3.61,3.72,0,0
KCS.V,D,20180512,000000,3.72,3.94,3.66,3.72,0,0
KCS.V,D,20180513,000000,3.71,4,3.68,3.86,0,0
KCS.V,D,20180514,000000,3.86,3.95,3.63,3.75,0,0
KCS.V,D,20180515,000000,3.75,3.8,3.63,3.72,0,0
KCS.V,D,20180516,000000,3.72,3.75,3.51,3.66,0,0
KCS.V,D,20180517,000000,3.66,3.76,3.59,3.64,0,0
KCS.V,D,20180518,000000,3.65,4.01,3.47,3.94,0,0
KCS.V,D,20180519,000000,3.94,4.51,3.87,3.88,0,0
KCS.V,D,20180520,000000,3.88,3.91,3.64,3.84,0,0
KCS.V,D,20180521,000000,3.84,3.97,3.72,3.77,0,0
KCS.V,D,20180522,000000,3.75,3.92,3.48,3.51,0,0
KCS.V,D,20180523,000000,3.51,3.54,3.02,3.19,0,0
