<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBOX.V,D,20220519,000000,1.024666,1.266859,1.022669,1.094904,8842392.7082785,0
MBOX.V,D,20220520,000000,1.095014,1.150079,1.028661,1.058728,2448840.9659695,0
MBOX.V,D,20220521,000000,1.059727,1.110554,1.00679,1.059621,2870044.8869318,0
MBOX.V,D,20220522,000000,1.057623,1.117545,1.05552,1.072604,1685601.2271803,0
MBOX.V,D,20220523,000000,1.072711,1.169829,1.052735,1.053734,5512427.9913585,0
MBOX.V,D,20220524,000000,1.053734,1.068823,0.94087,1.012682,7128588.3070716,0
MBOX.V,D,20220525,000000,1.010583,1.04075,0.98182,0.996902,1934009.5792267,0
MBOX.V,D,20220526,000000,0.996802,1.003794,0.860053,0.895104,2126482.6682961,0
MBOX.V,D,20220527,000000,0.895104,0.903096,0.832084,0.87912,1733109.1887066,0
MBOX.V,D,20220528,000000,0.876,0.944978,0.857935,0.913929,1702967.3448564,0
MBOX.V,D,20220529,000000,0.913929,0.936959,0.886997,0.906992,2410184.8258891,0
MBOX.V,D,20220530,000000,0.905993,1.037273,0.903033,1.021182,2487653.8735927,0
MBOX.V,D,20220531,000000,1.023283,1.09423,0.993105,1.02508,4812211.5947516,0
MBOX.V,D,20220601,000000,1.02618,1.0511,0.905,0.91118,2768872.4730364,0
MBOX.V,D,20220602,000000,0.91068,0.95374,0.90029,0.94954,2997720.4018538,0
MBOX.V,D,20220603,000000,0.95114,0.96024,0.88651,0.9138,1855050.9274653,0
MBOX.V,D,20220604,000000,0.9145,0.92918,0.89809,0.9213,2988670.6107403,0
MBOX.V,D,20220605,000000,0.9213,0.92716,0.89224,0.90915,2580295.2850583,0
MBOX.V,D,20220606,000000,0.91114,0.95121,0.89125,0.91823,7790460.5655388,0
MBOX.V,D,20220607,000000,0.91822,0.91823,0.8485,0.89427,7140206.358257,0
MBOX.V,D,20220608,000000,0.89529,0.90131,0.85244,0.86344,11015551.576382,0
MBOX.V,D,20220609,000000,0.86244,0.86527,0.783318,0.804324,11552922.483833,0
MBOX.V,D,20220610,000000,0.804316,0.819319,0.750204,0.762023,9196656.9865709,0
MBOX.V,D,20220611,000000,0.762023,0.797114,0.675155,0.69821,7636786.1412265,0
MBOX.V,D,20220612,000000,0.697204,0.740118,0.631109,0.687154,5793706.7991866,0
MBOX.V,D,20220613,000000,0.687154,0.687154,0.540515,0.577197,19035093.237448,0
MBOX.V,D,20220614,000000,0.579194,0.600237,0.525222,0.559328,18564344.608634,0
MBOX.V,D,20220615,000000,0.559322,0.603275,0.52106,0.601097,11249002.192836,0
MBOX.V,D,20220616,000000,0.601097,0.61732,0.548341,0.566962,3245161.2628933,0
MBOX.V,D,20220617,000000,0.535954,0.573707,0.533652,0.553934,3835784.2565816,0
MBOX.V,D,20220618,000000,0.555333,0.565332,0.471311,0.50218,11399566.416914,0
MBOX.V,D,20220619,000000,0.503184,0.556332,0.494287,0.549285,6680687.6365265,0
MBOX.V,D,20220620,000000,0.549285,0.569316,0.521374,0.553391,3663609.0040377,0
MBOX.V,D,20220621,000000,0.552336,0.61732,0.54934,0.573369,4492245.8296575,0
MBOX.V,D,20220622,000000,0.574367,0.580419,0.542403,0.548451,3525503.0767824,0
MBOX.V,D,20220623,000000,0.548451,0.637362,0.545399,0.600399,6895469.2920657,0
MBOX.V,D,20220624,000000,0.600399,0.638508,0.5994,0.637502,5848276.5307622,0
MBOX.V,D,20220625,000000,0.637362,0.654574,0.603577,0.646547,3877699.444268,0
MBOX.V,D,20220626,000000,0.647546,0.704556,0.625612,0.637604,5182106.6928101,0
MBOX.V,D,20220627,000000,0.637617,0.644668,0.589246,0.602657,2468214.9122666,0
MBOX.V,D,20220628,000000,0.602733,0.613129,0.568859,0.582483,1821787.1793695,0
MBOX.V,D,20220629,000000,0.582477,0.585103,0.548942,0.575403,1793922.2482016,0
MBOX.V,D,20220630,000000,0.575608,0.577201,0.522772,0.530063,2844139.7992191,0
MBOX.V,D,20220701,000000,0.529963,0.601756,0.526015,0.55409,2135494.6471416,0
MBOX.V,D,20220702,000000,0.554034,0.587853,0.542948,0.566719,3013987.782553,0
MBOX.V,D,20220703,000000,0.566619,0.580103,0.550783,0.566063,1658325.2168195,0
MBOX.V,D,20220704,000000,0.566106,0.587694,0.550284,0.579004,1445930.6532137,0
MBOX.V,D,20220705,000000,0.578006,0.602676,0.554889,0.576565,2083538.6306298,0
MBOX.V,D,20220706,000000,0.577664,0.618019,0.56592,0.593646,2103608.6358281,0
MBOX.V,D,20220707,000000,0.594745,0.62937,0.590849,0.613332,2177219.1129442,0
MBOX.V,D,20220708,000000,0.613232,0.631621,0.591985,0.608235,2282732.1846882,0
MBOX.V,D,20220709,000000,0.607235,0.624225,0.595383,0.617529,1495519.0785328,0
MBOX.V,D,20220710,000000,0.617467,0.618629,0.571657,0.578253,1586835.1088082,0
MBOX.V,D,20220711,000000,0.577853,0.607974,0.5708,0.582775,2051851.5506476,0
MBOX.V,D,20220712,000000,0.581976,0.581976,0.544555,0.545154,1253519.6547604,0
MBOX.V,D,20220713,000000,0.544971,0.567432,0.52662,0.553202,1472468.7192787,0
MBOX.V,D,20220714,000000,0.553302,0.608135,0.548161,0.570158,1347473.0183464,0
