<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ONE.V,D,20181203,000000,0.003609,0.003678,0.003155,0.003555,0,0
ONE.V,D,20181204,000000,0.003555,0.00467,0.003267,0.004398,0,0
ONE.V,D,20181205,000000,0.004398,0.004398,0.002962,0.003368,0,0
ONE.V,D,20181206,000000,0.003368,0.004665,0.002923,0.004542,0,0
ONE.V,D,20181207,000000,0.004542,0.00496,0.000937,0.002039,0,0
ONE.V,D,20181208,000000,0.002039,0.002678,0.001476,0.002087,0,0
ONE.V,D,20181209,000000,0.002087,0.00233,0.001888,0.002109,0,0
ONE.V,D,20181210,000000,0.002109,0.002417,0.001363,0.002336,0,0
ONE.V,D,20181211,000000,0.002336,0.002364,0.001322,0.001591,0,0
ONE.V,D,20181212,000000,0.001591,0.003198,0.001119,0.001119,0,0
ONE.V,D,20181213,000000,0.001119,0.001282,0.000657,0.00115,0,0
ONE.V,D,20181214,000000,0.00115,0.001917,0.000805,0.001012,0,0
ONE.V,D,20181215,000000,0.001012,0.001369,0.000927,0.00121,0,0
ONE.V,D,20181216,000000,0.00121,0.001551,0.000854,0.000856,0,0
ONE.V,D,20181217,000000,0.000856,0.001248,0.000764,0.000799,0,0
ONE.V,D,20181218,000000,0.000799,0.001024,0.000799,0.000846,0,0
ONE.V,D,20181219,000000,0.000846,0.000934,0.000805,0.000815,0,0
ONE.V,D,20181220,000000,0.000815,0.000991,0.000815,0.000887,0,0
ONE.V,D,20181221,000000,0.000887,0.001946,0.000834,0.001761,0,0
ONE.V,D,20181222,000000,0.001761,0.00191,0.001168,0.001179,0,0
ONE.V,D,20181223,000000,0.001179,0.001884,0.001122,0.001483,0,0
ONE.V,D,20181224,000000,0.001483,0.001483,0.000473,0.00048,0,0
ONE.V,D,20181225,000000,0.00048,0.000782,0.00048,0.000777,0,0
ONE.V,D,20181226,000000,0.000777,0.000788,0.000504,0.000575,0,0
ONE.V,D,20181227,000000,0.000575,0.000587,0.000298,0.000455,0,0
ONE.V,D,20181228,000000,0.000455,0.000612,0.000353,0.000523,0,0
ONE.V,D,20181229,000000,0.000523,0.00081,0.000243,0.00045,0,0
ONE.V,D,20181230,000000,0.00045,0.00057,0.000264,0.00055,0,0
ONE.V,D,20181231,000000,0.00055,0.00055,0.000376,0.00038,0,0
ONE.V,D,20190101,000000,0.00038,0.000428,0.000321,0.000358,0,0
ONE.V,D,20190102,000000,0.000358,0.000454,0.000354,0.000409,0,0
ONE.V,D,20190103,000000,0.000409,0.00056,0.000336,0.000448,0,0
ONE.V,D,20190104,000000,0.000448,0.000585,0.000448,0.000465,0,0
ONE.V,D,20190105,000000,0.000465,0.000586,0.000452,0.00047,0,0
ONE.V,D,20190106,000000,0.00047,0.00065,0.000358,0.000465,0,0
ONE.V,D,20190107,000000,0.000465,0.000567,0.000344,0.000455,0,0
ONE.V,D,20190108,000000,0.000455,0.000529,0.000347,0.000347,0,0
ONE.V,D,20190110,000000,0.000348,0.000512,0.000294,0.000512,0,0
ONE.V,D,20190111,000000,0.000512,0.000512,0.000388,0.000388,0,0
ONE.V,D,20190112,000000,0.000388,0.000388,0.000379,0.000379,0,0
ONE.V,D,20190114,000000,0.000351,0.001025,0.000351,0.000667,0,0
ONE.V,D,20190115,000000,0.000667,0.000667,0.000429,0.000504,0,0
ONE.V,D,20190116,000000,0.000504,0.000607,0.000474,0.000605,0,0
ONE.V,D,20190117,000000,0.000605,0.000908,0.000605,0.000777,0,0
ONE.V,D,20190118,000000,0.000777,0.000904,0.000375,0.000422,0,0
ONE.V,D,20190119,000000,0.000422,0.00114,0.000422,0.000708,0,0
ONE.V,D,20190120,000000,0.000708,0.000731,0.000593,0.000641,0,0
