<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ONG.V,D,20220514,000000,0.38185,0.39904,0.344909,0.377071,1235887.5876279,0
ONG.V,D,20220515,000000,0.376235,0.402376,0.369944,0.39942,997310.29199682,0
ONG.V,D,20220516,000000,0.400319,0.514533,0.400319,0.451113,2444996.2447581,0
ONG.V,D,20220517,000000,0.45301,0.453909,0.402776,0.425846,1487014.8906094,0
ONG.V,D,20220518,000000,0.424847,0.436432,0.380005,0.387396,901787.27359281,0
ONG.V,D,20220519,000000,0.387856,0.39934,0.349146,0.384615,1811421.3010194,0
ONG.V,D,20220520,000000,0.385814,0.393146,0.364226,0.375249,1092523.9082481,0
ONG.V,D,20220521,000000,0.375511,0.387895,0.365561,0.380405,772087.34196805,0
ONG.V,D,20220522,000000,0.381204,0.449515,0.377409,0.407669,3374307.8879128,0
ONG.V,D,20220523,000000,0.409508,0.49016,0.408169,0.423691,3981071.1900842,0
ONG.V,D,20220524,000000,0.42245,0.42245,0.377746,0.399081,1385233.6770263,0
ONG.V,D,20220525,000000,0.400079,0.415759,0.383877,0.404015,2438847.0052414,0
ONG.V,D,20220526,000000,0.404314,0.407451,0.369057,0.394805,2073695.8280545,0
ONG.V,D,20220527,000000,0.395904,0.42957,0.376323,0.393167,4489769.8081365,0
ONG.V,D,20220528,000000,0.391154,0.417045,0.385825,0.405525,1973384.3038335,0
ONG.V,D,20220529,000000,0.405617,0.409849,0.391612,0.406253,754324.10431629,0
ONG.V,D,20220530,000000,0.406049,0.435052,0.404055,0.435052,914158.27118471,0
ONG.V,D,20220531,000000,0.435751,0.440148,0.417865,0.429756,1013957.8671228,0
ONG.V,D,20220601,000000,0.429773,0.500549,0.409949,0.413527,1647617.1415662,0
ONG.V,D,20220602,000000,0.412628,0.447897,0.407933,0.436407,1255491.4339035,0
ONG.V,D,20220603,000000,0.436107,0.442701,0.413869,0.423531,907878.41036413,0
ONG.V,D,20220604,000000,0.423132,0.43228,0.414369,0.425976,3259493.4541076,0
ONG.V,D,20220605,000000,0.426673,0.509272,0.420459,0.460167,11188155.989423,0
ONG.V,D,20220606,000000,0.455971,0.736529,0.448573,0.554334,23187361.298071,0
ONG.V,D,20220607,000000,0.554928,0.556427,0.459323,0.486206,12267696.156948,0
ONG.V,D,20220608,000000,0.485116,0.489123,0.450207,0.459806,10240772.556636,0
ONG.V,D,20220609,000000,0.461,0.491916,0.444466,0.45182,8117375.8114268,0
ONG.V,D,20220610,000000,0.451916,0.453019,0.411288,0.42146,5361612.0850329,0
ONG.V,D,20220611,000000,0.419866,0.445809,0.396408,0.417224,4043523.8939408,0
ONG.V,D,20220612,000000,0.417228,0.44299,0.381131,0.399904,7298556.6880017,0
ONG.V,D,20220613,000000,0.397307,0.397307,0.31273,0.332238,15825627.548649,0
ONG.V,D,20220614,000000,0.332141,0.332634,0.286872,0.311026,28298912.975789,0
ONG.V,D,20220615,000000,0.309825,0.349587,0.295297,0.339091,12378423.266928,0
ONG.V,D,20220616,000000,0.340089,0.36586,0.328638,0.345151,2222505.2045108,0
ONG.V,D,20220617,000000,0.323566,0.346584,0.321053,0.345089,8907985.5797432,0
ONG.V,D,20220618,000000,0.345085,0.364651,0.308243,0.322776,17841929.562581,0
ONG.V,D,20220619,000000,0.322177,0.347448,0.313133,0.346249,9109032.8764621,0
ONG.V,D,20220620,000000,0.346249,0.353675,0.332501,0.348616,4317576.4366686,0
ONG.V,D,20220621,000000,0.349715,0.37445,0.346319,0.362237,3361767.4497676,0
ONG.V,D,20220622,000000,0.361338,0.367832,0.348351,0.35934,2194403.7937012,0
ONG.V,D,20220623,000000,0.35924,0.384177,0.357842,0.38178,1525589.4294269,0
