<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SC.V,D,20150825,000000,0.000106,0.000106,0.000033,0.000051,0,0
SC.V,D,20150826,000000,0.000051,0.000074,0.000031,0.000043,0,0
SC.V,D,20150827,000000,0.000043,0.000053,0.000038,0.00004,0,0
SC.V,D,20150828,000000,0.00004,0.000049,0.000035,0.000039,0,0
SC.V,D,20150829,000000,0.000039,0.000041,0.000034,0.000034,0,0
SC.V,D,20150830,000000,0.000034,0.000039,0.000027,0.00003,0,0
SC.V,D,20150831,000000,0.00003,0.000034,0.000028,0.00003,0,0
SC.V,D,20150901,000000,0.00003,0.000032,0.00003,0.00003,0,0
SC.V,D,20150902,000000,0.00003,0.000032,0.000027,0.000027,0,0
SC.V,D,20150903,000000,0.000027,0.000027,0.000023,0.000025,0,0
SC.V,D,20150904,000000,0.000025,0.000025,0.000023,0.000025,0,0
SC.V,D,20150905,000000,0.000025,0.000026,0.000023,0.000023,0,0
SC.V,D,20150906,000000,0.000023,0.000029,0.000023,0.000029,0,0
SC.V,D,20150907,000000,0.000029,0.00005,0.000026,0.000041,0,0
SC.V,D,20150908,000000,0.000041,0.000092,0.000039,0.000073,0,0
SC.V,D,20150909,000000,0.000073,0.000076,0.000045,0.000047,0,0
SC.V,D,20150910,000000,0.000047,0.000055,0.000038,0.000045,0,0
SC.V,D,20150911,000000,0.000045,0.000048,0.000038,0.000041,0,0
SC.V,D,20150912,000000,0.000041,0.000045,0.000031,0.000033,0,0
SC.V,D,20150913,000000,0.000033,0.000039,0.00003,0.000037,0,0
SC.V,D,20150914,000000,0.000037,0.000039,0.000034,0.000034,0,0
SC.V,D,20150915,000000,0.000034,0.000037,0.00003,0.000034,0,0
SC.V,D,20150916,000000,0.000034,0.000034,0.00003,0.00003,0,0
SC.V,D,20150917,000000,0.00003,0.000033,0.000028,0.00003,0,0
SC.V,D,20150918,000000,0.00003,0.000033,0.000028,0.00003,0,0
SC.V,D,20150919,000000,0.00003,0.00003,0.000025,0.000028,0,0
SC.V,D,20150920,000000,0.000028,0.000032,0.000028,0.000028,0,0
SC.V,D,20150921,000000,0.000028,0.000032,0.000027,0.000029,0,0
SC.V,D,20150922,000000,0.000029,0.000032,0.000029,0.00003,0,0
SC.V,D,20150923,000000,0.00003,0.000034,0.00003,0.00003,0,0
SC.V,D,20150924,000000,0.00003,0.000035,0.00003,0.000033,0,0
SC.V,D,20150925,000000,0.000033,0.000033,0.000031,0.000031,0,0
SC.V,D,20150926,000000,0.000031,0.000033,0.000028,0.000033,0,0
SC.V,D,20150927,000000,0.000033,0.000033,0.000028,0.00003,0,0
SC.V,D,20150928,000000,0.00003,0.000033,0.000029,0.000029,0,0
SC.V,D,20150929,000000,0.000029,0.000031,0.000028,0.000028,0,0
SC.V,D,20150930,000000,0.000028,0.000031,0.000024,0.000028,0,0
SC.V,D,20151001,000000,0.000028,0.000031,0.000026,0.000028,0,0
SC.V,D,20151002,000000,0.000028,0.000031,0.000026,0.000028,0,0
SC.V,D,20151003,000000,0.000028,0.000031,0.000026,0.000026,0,0
SC.V,D,20151004,000000,0.000026,0.000031,0.000026,0.000029,0,0
SC.V,D,20151005,000000,0.000029,0.000031,0.000026,0.000029,0,0
SC.V,D,20151006,000000,0.000029,0.00003,0.000025,0.000027,0,0
SC.V,D,20151007,000000,0.000027,0.000032,0.000024,0.000027,0,0
SC.V,D,20151008,000000,0.000027,0.000044,0.000024,0.000032,0,0
SC.V,D,20151009,000000,0.000032,0.000034,0.000027,0.000032,0,0
SC.V,D,20151010,000000,0.000032,0.000034,0.000027,0.000029,0,0
SC.V,D,20151011,000000,0.000029,0.000032,0.000029,0.00003,0,0
SC.V,D,20151012,000000,0.00003,0.000039,0.000029,0.000039,0,0
SC.V,D,20151013,000000,0.000039,0.000042,0.000032,0.000037,0,0
SC.V,D,20151014,000000,0.000037,0.00004,0.000035,0.000035,0,0
SC.V,D,20151015,000000,0.000035,0.000041,0.000033,0.000038,0,0
SC.V,D,20151016,000000,0.000038,0.00005,0.000037,0.000047,0,0
SC.V,D,20151017,000000,0.000047,0.000049,0.00004,0.000043,0,0
SC.V,D,20151018,000000,0.000043,0.000055,0.000042,0.000047,0,0
SC.V,D,20151019,000000,0.000047,0.000055,0.000042,0.00005,0,0
SC.V,D,20151020,000000,0.00005,0.000054,0.000038,0.00004,0,0
SC.V,D,20151021,000000,0.00004,0.000051,0.00004,0.000045,0,0
SC.V,D,20151022,000000,0.000045,0.000049,0.000038,0.000044,0,0
