<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SOL.V,D,20200410,000000,0.8198,1.33,0.7289,0.9496,0,0
SOL.V,D,20200411,000000,0.9496,1.051,0.7689,0.7973,0,0
SOL.V,D,20200412,000000,0.7973,0.9403,0.7797,0.883,0,0
SOL.V,D,20200413,000000,0.883,0.9301,0.7755,0.7772,0,0
SOL.V,D,20200414,000000,0.7772,0.8212,0.6302,0.6664,0,0
SOL.V,D,20200415,000000,0.6664,0.6723,0.5978,0.6382,0,0
SOL.V,D,20200416,000000,0.6382,0.8001,0.6382,0.6928,0,0
SOL.V,D,20200417,000000,0.6928,0.721,0.6536,0.6555,0,0
SOL.V,D,20200418,000000,0.6555,0.7288,0.6555,0.6786,0,0
SOL.V,D,20200419,000000,0.6786,0.6786,0.5928,0.6047,0,0
SOL.V,D,20200420,000000,0.6047,0.6047,0.5171,0.5331,0,0
SOL.V,D,20200421,000000,0.5331,0.5938,0.5145,0.5789,0,0
SOL.V,D,20200422,000000,0.5789,0.7143,0.5789,0.6917,0,0
SOL.V,D,20200423,000000,0.6917,0.7152,0.6099,0.6341,0,0
SOL.V,D,20200424,000000,0.6341,0.6642,0.6064,0.6229,0,0
SOL.V,D,20200425,000000,0.6229,0.6687,0.6208,0.6442,0,0
SOL.V,D,20200426,000000,0.6442,0.693,0.634,0.6346,0,0
SOL.V,D,20200427,000000,0.6346,0.6527,0.5676,0.5734,0,0
SOL.V,D,20200428,000000,0.5734,0.6995,0.566,0.6554,0,0
SOL.V,D,20200429,000000,0.6554,0.7906,0.6554,0.7469,0,0
SOL.V,D,20200430,000000,0.7469,0.7641,0.6821,0.6913,0,0
SOL.V,D,20200501,000000,0.6913,0.7398,0.6722,0.7248,0,0
SOL.V,D,20200502,000000,0.7248,0.7492,0.7053,0.7079,0,0
SOL.V,D,20200503,000000,0.7079,0.7089,0.6476,0.6808,0,0
SOL.V,D,20200504,000000,0.6808,0.7074,0.6318,0.6699,0,0
SOL.V,D,20200505,000000,0.6699,0.6756,0.6332,0.6445,0,0
SOL.V,D,20200506,000000,0.6445,0.6479,0.6086,0.6171,0,0
SOL.V,D,20200507,000000,0.6171,0.6494,0.58,0.6088,0,0
SOL.V,D,20200508,000000,0.6088,0.6255,0.5882,0.6052,0,0
SOL.V,D,20200509,000000,0.6052,0.6183,0.5793,0.6037,0,0
SOL.V,D,20200510,000000,0.6037,0.6201,0.5347,0.5413,0,0
SOL.V,D,20200511,000000,0.5413,0.5634,0.5177,0.5183,0,0
SOL.V,D,20200512,000000,0.5183,0.5581,0.5183,0.5367,0,0
SOL.V,D,20200513,000000,0.5367,0.5672,0.5177,0.5544,0,0
SOL.V,D,20200514,000000,0.5544,0.5897,0.5504,0.5722,0,0
SOL.V,D,20200515,000000,0.5717,0.5717,0.5423,0.5571,0,0
SOL.V,D,20200516,000000,0.5577,0.6005,0.5577,0.5986,0,0
SOL.V,D,20200517,000000,0.5986,0.6422,0.5958,0.6147,0,0
SOL.V,D,20200518,000000,0.6147,0.6878,0.6147,0.6532,0,0
SOL.V,D,20200519,000000,0.6532,0.6798,0.6189,0.6287,0,0
