<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TLOS.V,D,20220515,000000,0.362442,0.368447,0.338745,0.363513,1046164.4191458,0
TLOS.V,D,20220516,000000,0.364862,0.380761,0.34235,0.348372,1069138.1706964,0
TLOS.V,D,20220517,000000,0.348796,0.365731,0.347203,0.365731,849098.04881732,0
TLOS.V,D,20220518,000000,0.365491,0.373801,0.333842,0.335044,767979.27060713,0
TLOS.V,D,20220519,000000,0.336602,0.345659,0.31926,0.343107,1078323.3589767,0
TLOS.V,D,20220520,000000,0.341528,0.346069,0.305713,0.307331,1151957.3486348,0
TLOS.V,D,20220521,000000,0.30781,0.342744,0.304573,0.33816,1796114.1658441,0
TLOS.V,D,20220522,000000,0.337527,0.372832,0.332973,0.355113,1199010.5299995,0
TLOS.V,D,20220523,000000,0.355793,0.368794,0.323689,0.326498,3953995.8128532,0
TLOS.V,D,20220524,000000,0.326378,0.329837,0.300669,0.319195,811116.17630401,0
TLOS.V,D,20220525,000000,0.315258,0.319948,0.305064,0.310059,795098.26515584,0
TLOS.V,D,20220526,000000,0.309728,0.311057,0.287284,0.290909,692051.93052381,0
TLOS.V,D,20220527,000000,0.291079,0.292108,0.271129,0.275524,635649.74416789,0
TLOS.V,D,20220528,000000,0.275483,0.276509,0.271784,0.273982,323716.91716538,0
TLOS.V,D,20220529,000000,0.273974,0.28058,0.272597,0.27899,457537.22196047,0
TLOS.V,D,20220530,000000,0.278391,0.295593,0.278196,0.294464,1899725.7338367,0
TLOS.V,D,20220531,000000,0.294194,0.306685,0.288669,0.292066,3214677.9960539,0
TLOS.V,D,20220601,000000,0.292081,0.295484,0.259466,0.260465,4120340.1553519,0
TLOS.V,D,20220602,000000,0.260339,0.268858,0.258667,0.265861,1663449.545298,0
TLOS.V,D,20220603,000000,0.265761,0.269987,0.260526,0.261575,2321952.8340787,0
TLOS.V,D,20220604,000000,0.261772,0.261882,0.256297,0.257204,1632933.5913217,0
TLOS.V,D,20220605,000000,0.256805,0.262456,0.251686,0.259561,935730.05313908,0
TLOS.V,D,20220606,000000,0.259361,0.278965,0.258275,0.271769,4908534.8771914,0
TLOS.V,D,20220607,000000,0.271772,0.272779,0.257986,0.264486,3537773.4510006,0
TLOS.V,D,20220608,000000,0.265587,0.265695,0.258148,0.26153,5615765.341327,0
TLOS.V,D,20220609,000000,0.262329,0.271882,0.258795,0.264378,2276861.2706455,0
TLOS.V,D,20220610,000000,0.264775,0.269176,0.255649,0.256167,6458265.4750476,0
TLOS.V,D,20220611,000000,0.255974,0.259414,0.231213,0.233736,4541381.4546633,0
TLOS.V,D,20220612,000000,0.233733,0.234033,0.217895,0.221327,2637356.4672314,0
TLOS.V,D,20220613,000000,0.221125,0.221427,0.185338,0.191635,18753665.436932,0
TLOS.V,D,20220614,000000,0.191535,0.207696,0.182426,0.197663,20698437.84285,0
TLOS.V,D,20220615,000000,0.197471,0.198577,0.184268,0.197903,33128875.070979,0
TLOS.V,D,20220616,000000,0.197903,0.200239,0.188155,0.189354,4112467.2768957,0
TLOS.V,D,20220617,000000,0.183648,0.187473,0.183143,0.187175,22594395.07899,0
TLOS.V,D,20220618,000000,0.187275,0.189177,0.170444,0.175414,45605253.68556,0
TLOS.V,D,20220619,000000,0.175316,0.187955,0.174338,0.187456,11350962.427473,0
TLOS.V,D,20220620,000000,0.187456,0.19089,0.185839,0.19029,4288467.5537521,0
TLOS.V,D,20220621,000000,0.190091,0.20024,0.189672,0.196204,1462507.702632,0
TLOS.V,D,20220622,000000,0.196204,0.198302,0.186214,0.186713,3869347.9561931,0
TLOS.V,D,20220623,000000,0.186713,0.191109,0.184016,0.18961,1727423.6444774,0
TLOS.V,D,20220624,000000,0.18951,0.195567,0.188617,0.194748,3266073.5743018,0
TLOS.V,D,20220625,000000,0.194705,0.197462,0.190964,0.194564,1969848.8608918,0
TLOS.V,D,20220626,000000,0.194764,0.199067,0.194585,0.195081,4670720.1046513,0
TLOS.V,D,20220627,000000,0.194981,0.195884,0.188738,0.192928,1965856.5501741,0
