<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XYO.V,D,20220514,000000,0.0100629,0.0102216,0.0086318,0.00919618,110703597.50313,0
XYO.V,D,20220515,000000,0.00923612,0.01047636,0.00908726,0.01002695,41027893.536643,0
XYO.V,D,20220516,000000,0.01009787,0.01023873,0.00939777,0.00997701,17827307.967748,0
XYO.V,D,20220517,000000,0.00999599,0.01135522,0.00978628,0.01062723,54580193.089991,0
XYO.V,D,20220518,000000,0.01066718,0.0109058,0.00896743,0.00905821,53476290.035021,0
XYO.V,D,20220519,000000,0.00905821,0.00972027,0.00813267,0.00890198,89414710.731749,0
XYO.V,D,20220520,000000,0.00888111,0.00973221,0.00872864,0.00913811,71588117.301089,0
XYO.V,D,20220521,000000,0.00916898,0.00989712,0.00885847,0.00943772,75326178.430434,0
XYO.V,D,20220522,000000,0.00945769,0.00972831,0.00924889,0.00944865,45005918.373709,0
XYO.V,D,20220523,000000,0.00944865,0.01091907,0.00934783,0.00988812,163576818.78935,0
XYO.V,D,20220524,000000,0.00986716,0.01004893,0.00956946,0.00980723,36202996.149923,0
XYO.V,D,20220525,000000,0.00981624,0.0101578,0.00954662,0.00995804,35206781.06498,0
XYO.V,D,20220526,000000,0.00996902,0.0102587,0.00895014,0.00941058,42063467.245653,0
XYO.V,D,20220527,000000,0.00942057,0.00953046,0.00880031,0.00912087,23194540.272738,0
XYO.V,D,20220528,000000,0.0091195,0.00931974,0.00888807,0.00917925,31723287.089771,0
XYO.V,D,20220529,000000,0.00917906,0.00933981,0.009,0.00923039,22221182.235969,0
XYO.V,D,20220530,000000,0.00925962,0.00998301,0.0092401,0.00998201,34294818.904442,0
XYO.V,D,20220531,000000,0.00996202,0.0101219,0.00940247,0.0098621,43282336.968444,0
XYO.V,D,20220601,000000,0.00989267,0.00992305,0.00910997,0.00914176,18547740.280798,0
XYO.V,D,20220602,000000,0.00905094,0.00939154,0.00881206,0.00939154,15514167.545469,0
XYO.V,D,20220603,000000,0.00935158,0.00951143,0.00881162,0.00908209,13580485.26364,0
XYO.V,D,20220604,000000,0.00905212,0.00924121,0.00894069,0.00910317,10426845.078746,0
XYO.V,D,20220605,000000,0.00913086,0.00925259,0.00890278,0.00901152,17512848.871463,0
XYO.V,D,20220606,000000,0.00904149,0.00936,0.00891,0.00928,51911523.614074,0
XYO.V,D,20220607,000000,0.00926,0.00933,0.00885,0.00899,111765301.6695,0
XYO.V,D,20220608,000000,0.00897,0.00929,0.00867358,0.00890621,199517000.02458,0
XYO.V,D,20220609,000000,0.00894418,0.00894427,0.00860311,0.00865273,119163374.70217,0
XYO.V,D,20220610,000000,0.00862683,0.00881168,0.00795124,0.00804952,429560283.80205,0
XYO.V,D,20220611,000000,0.0080397,0.0083409,0.00763098,0.00785112,80866074.619599,0
XYO.V,D,20220612,000000,0.00783106,0.00793103,0.0071315,0.00733097,51130789.148708,0
XYO.V,D,20220613,000000,0.00733097,0.00733097,0.00591,0.00661,627404923.79269,0
XYO.V,D,20220614,000000,0.00664,0.00691,0.006,0.00632,1231350976.3874,0
XYO.V,D,20220615,000000,0.00628,0.00686,0.00597,0.00673,594786688.24751,0
XYO.V,D,20220616,000000,0.00671259,0.00701457,0.0064083,0.00662438,122448114.27386,0
XYO.V,D,20220617,000000,0.00629836,0.00685,0.00629823,0.00673,520659726.20149,0
XYO.V,D,20220618,000000,0.00668,0.00681,0.00577,0.00605,475848291.01643,0
XYO.V,D,20220619,000000,0.00607608,0.00670327,0.00591452,0.00658009,133067293.36739,0
XYO.V,D,20220620,000000,0.00661605,0.00672991,0.00622452,0.00636999,70127119.088882,0
XYO.V,D,20220621,000000,0.00635437,0.00683852,0.00634501,0.00655378,95585311.624107,0
XYO.V,D,20220622,000000,0.00652,0.00683216,0.00628907,0.00646952,78390165.526377,0
XYO.V,D,20220623,000000,0.00643156,0.00677454,0.00621678,0.00668331,99374410.700469,0
XYO.V,D,20220624,000000,0.0066923,0.00721,0.00662437,0.00708,330411123.75586,0
XYO.V,D,20220625,000000,0.00714,0.00719,0.00666,0.00698,174878934.88336,0
XYO.V,D,20220626,000000,0.00696,0.00738,0.0068,0.00716,153888947.16089,0
XYO.V,D,20220627,000000,0.00715,0.00747,0.00686,0.00703759,92784596.634984,0
XYO.V,D,20220628,000000,0.00705336,0.00719587,0.00676296,0.00679291,64611863.808492,0
XYO.V,D,20220629,000000,0.00678358,0.00686747,0.00643111,0.00675375,82155604.90053,0
XYO.V,D,20220630,000000,0.00675389,0.0068746,0.00629544,0.00635636,148126107.76831,0
XYO.V,D,20220701,000000,0.00635936,0.00687237,0.0063284,0.00657676,147803688.85791,0
XYO.V,D,20220702,000000,0.00666,0.00667,0.00636,0.00646,147085944.51363,0
XYO.V,D,20220703,000000,0.00642728,0.00677518,0.0062958,0.00669928,170556260.12563,0
XYO.V,D,20220704,000000,0.00669429,0.00691899,0.00662138,0.00675189,128645263.13647,0
XYO.V,D,20220705,000000,0.00673391,0.00695065,0.00655778,0.00668164,60888648.536558,0
XYO.V,D,20220706,000000,0.00666366,0.00680451,0.00652082,0.00675157,60978346.177293,0
XYO.V,D,20220707,000000,0.00674257,0.00698231,0.0066297,0.00681691,58078188.432056,0
XYO.V,D,20220708,000000,0.00680192,0.00706005,0.00677525,0.00696882,61521282.371979,0
XYO.V,D,20220709,000000,0.00694683,0.00704577,0.00681922,0.0069968,47794755.016248,0
XYO.V,D,20220710,000000,0.00697481,0.0072839,0.00689586,0.00695582,114247775.24871,0
XYO.V,D,20220711,000000,0.00695582,0.00695582,0.00660737,0.00667399,96802798.846172,0
XYO.V,D,20220712,000000,0.00667699,0.00669197,0.00620779,0.00625574,71689210.732716,0
XYO.V,D,20220713,000000,0.00623401,0.00634365,0.00600593,0.00627135,41264831.861908,0
XYO.V,D,20220714,000000,0.00628371,0.00646212,0.00618843,0.00640515,59462175.739697,0
XYO.V,D,20220715,000000,0.00639952,0.00667999,0.00634419,0.00645306,55748974.625687,0
XYO.V,D,20220716,000000,0.00643307,0.00676065,0.00627574,0.00672598,68332154.866756,0
XYO.V,D,20220717,000000,0.00673265,0.00680957,0.00624931,0.00650131,97275110.96174,0
XYO.V,D,20220718,000000,0.00650124,0.00703516,0.00642094,0.00685342,95726788.360719,0
XYO.V,D,20220719,000000,0.00685094,0.00721635,0.00677444,0.00702112,90542769.78375,0
XYO.V,D,20220720,000000,0.007031,0.00739622,0.00685148,0.00699635,72070655.920998,0
XYO.V,D,20220721,000000,0.00699635,0.00700098,0.00663653,0.00676962,74520350.309987,0
XYO.V,D,20220722,000000,0.00677062,0.00685237,0.00662066,0.00665146,57979006.051051,0
XYO.V,D,20220723,000000,0.00665346,0.00683655,0.00649494,0.00680736,61236580.531215,0
XYO.V,D,20220724,000000,0.00679268,0.00694432,0.00676341,0.00689938,58606423.308378,0
XYO.V,D,20220725,000000,0.00688631,0.00693632,0.00655379,0.00670854,56791393.059803,0
XYO.V,D,20220726,000000,0.00671854,0.00671854,0.0062835,0.00634595,55815549.116273,0
XYO.V,D,20220727,000000,0.00633989,0.01215179,0.00618243,0.01154077,1015950059.4634,0
XYO.V,D,20220728,000000,0.01145875,0.01566953,0.00986,0.01163033,918966234.63692,0
XYO.V,D,20220729,000000,0.01168304,0.01374696,0.0110791,0.01145269,331554093.2547,0
XYO.V,D,20220730,000000,0.01144558,0.01164419,0.01014784,0.01035442,154018748.08134,0
XYO.V,D,20220731,000000,0.01031971,0.01069314,0.00978374,0.01006832,51055498.044366,0
XYO.V,D,20220801,000000,0.01006803,0.01009262,0.00897842,0.00921576,104761346.41705,0
XYO.V,D,20220802,000000,0.00925859,0.00942732,0.00866034,0.00923857,71776275.116492,0
