<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AUDEUR,D,19710104,000000,2.07878,2.07878,2.07878,2.07878,0,0
AUDEUR,D,19710105,000000,2.08059,2.08059,2.08059,2.08059,0,0
AUDEUR,D,19710106,000000,2.08143,2.08143,2.08143,2.08143,0,0
AUDEUR,D,19710107,000000,2.08086,2.08086,2.08086,2.08086,0,0
AUDEUR,D,19710108,000000,2.07764,2.07764,2.07764,2.07764,0,0
AUDEUR,D,19710111,000000,2.08241,2.08241,2.08241,2.08241,0,0
AUDEUR,D,19710112,000000,2.08299,2.08299,2.08299,2.08299,0,0
AUDEUR,D,19710113,000000,2.08395,2.08395,2.08395,2.08395,0,0
AUDEUR,D,19710114,000000,2.08783,2.08783,2.08783,2.08783,0,0
AUDEUR,D,19710115,000000,2.08598,2.08598,2.08598,2.08598,0,0
AUDEUR,D,19710118,000000,2.08451,2.08451,2.08451,2.08451,0,0
AUDEUR,D,19710119,000000,2.0873,2.0873,2.0873,2.0873,0,0
AUDEUR,D,19710120,000000,2.08506,2.08506,2.08506,2.08506,0,0
AUDEUR,D,19710121,000000,2.08521,2.08521,2.08521,2.08521,0,0
AUDEUR,D,19710122,000000,2.08616,2.08616,2.08616,2.08616,0,0
AUDEUR,D,19710125,000000,2.08911,2.08911,2.08911,2.08911,0,0
AUDEUR,D,19710126,000000,2.09039,2.09039,2.09039,2.09039,0,0
AUDEUR,D,19710127,000000,2.09028,2.09028,2.09028,2.09028,0,0
AUDEUR,D,19710128,000000,2.09156,2.09156,2.09156,2.09156,0,0
AUDEUR,D,19710129,000000,2.09202,2.09202,2.09202,2.09202,0,0
AUDEUR,D,19710201,000000,2.09352,2.09352,2.09352,2.09352,0,0
AUDEUR,D,19710202,000000,2.09351,2.09351,2.09351,2.09351,0,0
AUDEUR,D,19710203,000000,2.09273,2.09273,2.09273,2.09273,0,0
AUDEUR,D,19710204,000000,2.09121,2.09121,2.09121,2.09121,0,0
AUDEUR,D,19710205,000000,2.08956,2.08956,2.08956,2.08956,0,0
AUDEUR,D,19710208,000000,2.09272,2.09272,2.09272,2.09272,0,0
AUDEUR,D,19710209,000000,2.08958,2.08958,2.08958,2.08958,0,0
AUDEUR,D,19710210,000000,2.09107,2.09107,2.09107,2.09107,0,0
AUDEUR,D,19710211,000000,2.09174,2.09174,2.09174,2.09174,0,0
AUDEUR,D,19710216,000000,2.09333,2.09333,2.09333,2.09333,0,0
AUDEUR,D,19710217,000000,2.0931,2.0931,2.0931,2.0931,0,0
AUDEUR,D,19710218,000000,2.0932,2.0932,2.0932,2.0932,0,0
AUDEUR,D,19710219,000000,2.0932,2.0932,2.0932,2.0932,0,0
AUDEUR,D,19710222,000000,2.09321,2.09321,2.09321,2.09321,0,0
AUDEUR,D,19710223,000000,2.09321,2.09321,2.09321,2.09321,0,0
AUDEUR,D,19710224,000000,2.0931,2.0931,2.0931,2.0931,0,0
AUDEUR,D,19710225,000000,2.09249,2.09249,2.09249,2.09249,0,0
AUDEUR,D,19710226,000000,2.09399,2.09399,2.09399,2.09399,0,0
AUDEUR,D,19710301,000000,2.0922,2.0922,2.0922,2.0922,0,0
AUDEUR,D,19710302,000000,2.0933,2.0933,2.0933,2.0933,0,0
AUDEUR,D,19710303,000000,2.09288,2.09288,2.09288,2.09288,0,0
AUDEUR,D,19710304,000000,2.09316,2.09316,2.09316,2.09316,0,0
AUDEUR,D,19710305,000000,2.09341,2.09341,2.09341,2.09341,0,0
AUDEUR,D,19710308,000000,2.09333,2.09333,2.09333,2.09333,0,0
AUDEUR,D,19710309,000000,2.09309,2.09309,2.09309,2.09309,0,0
AUDEUR,D,19710310,000000,2.09355,2.09355,2.09355,2.09355,0,0
AUDEUR,D,19710311,000000,2.09343,2.09343,2.09343,2.09343,0,0
AUDEUR,D,19710312,000000,2.0949,2.0949,2.0949,2.0949,0,0
AUDEUR,D,19710315,000000,2.0949,2.0949,2.0949,2.0949,0,0
AUDEUR,D,19710316,000000,2.09453,2.09453,2.09453,2.09453,0,0
AUDEUR,D,19710317,000000,2.09356,2.09356,2.09356,2.09356,0,0
AUDEUR,D,19710318,000000,2.09354,2.09354,2.09354,2.09354,0,0
AUDEUR,D,19710319,000000,2.09332,2.09332,2.09332,2.09332,0,0
AUDEUR,D,19710322,000000,2.09344,2.09344,2.09344,2.09344,0,0
AUDEUR,D,19710323,000000,2.09333,2.09333,2.09333,2.09333,0,0
AUDEUR,D,19710324,000000,2.09334,2.09334,2.09334,2.09334,0,0
AUDEUR,D,19710325,000000,2.0933,2.0933,2.0933,2.0933,0,0
AUDEUR,D,19710326,000000,2.09332,2.09332,2.09332,2.09332,0,0
AUDEUR,D,19710329,000000,2.09412,2.09412,2.09412,2.09412,0,0
AUDEUR,D,19710330,000000,2.09227,2.09227,2.09227,2.09227,0,0
AUDEUR,D,19710331,000000,2.091,2.091,2.091,2.091,0,0
AUDEUR,D,19710401,000000,2.08888,2.08888,2.08888,2.08888,0,0
AUDEUR,D,19710402,000000,2.0869,2.0869,2.0869,2.0869,0,0
AUDEUR,D,19710405,000000,2.09073,2.09073,2.09073,2.09073,0,0
AUDEUR,D,19710406,000000,2.09309,2.09309,2.09309,2.09309,0,0
AUDEUR,D,19710407,000000,2.09268,2.09268,2.09268,2.09268,0,0
AUDEUR,D,19710408,000000,2.09188,2.09188,2.09188,2.09188,0,0
AUDEUR,D,19710409,000000,2.09211,2.09211,2.09211,2.09211,0,0
AUDEUR,D,19710412,000000,2.09302,2.09302,2.09302,2.09302,0,0
AUDEUR,D,19710413,000000,2.09402,2.09402,2.09402,2.09402,0,0
AUDEUR,D,19710414,000000,2.0944,2.0944,2.0944,2.0944,0,0
AUDEUR,D,19710415,000000,2.09477,2.09477,2.09477,2.09477,0,0
AUDEUR,D,19710416,000000,2.09612,2.09612,2.09612,2.09612,0,0
AUDEUR,D,19710419,000000,2.1003,2.1003,2.1003,2.1003,0,0
AUDEUR,D,19710420,000000,2.09884,2.09884,2.09884,2.09884,0,0
AUDEUR,D,19710421,000000,2.09694,2.09694,2.09694,2.09694,0,0
AUDEUR,D,19710422,000000,2.096,2.096,2.096,2.096,0,0
AUDEUR,D,19710423,000000,2.09781,2.09781,2.09781,2.09781,0,0
AUDEUR,D,19710426,000000,2.09714,2.09714,2.09714,2.09714,0,0
AUDEUR,D,19710427,000000,2.09601,2.09601,2.09601,2.09601,0,0
AUDEUR,D,19710428,000000,2.0939,2.0939,2.0939,2.0939,0,0
AUDEUR,D,19710429,000000,2.09434,2.09434,2.09434,2.09434,0,0
AUDEUR,D,19710430,000000,2.09434,2.09434,2.09434,2.09434,0,0
AUDEUR,D,19710503,000000,2.09298,2.09298,2.09298,2.09298,0,0
AUDEUR,D,19710504,000000,2.09241,2.09241,2.09241,2.09241,0,0
AUDEUR,D,19710505,000000,2.06432,2.06432,2.06432,2.06432,0,0
AUDEUR,D,19710506,000000,2.06475,2.06475,2.06475,2.06475,0,0
AUDEUR,D,19710507,000000,2.0579,2.0579,2.0579,2.0579,0,0
AUDEUR,D,19710510,000000,2.03865,2.03865,2.03865,2.03865,0,0
AUDEUR,D,19710511,000000,2.05639,2.05639,2.05639,2.05639,0,0
AUDEUR,D,19710512,000000,2.05204,2.05204,2.05204,2.05204,0,0
AUDEUR,D,19710513,000000,2.04271,2.04271,2.04271,2.04271,0,0
AUDEUR,D,19710514,000000,2.04485,2.04485,2.04485,2.04485,0,0
AUDEUR,D,19710517,000000,2.04497,2.04497,2.04497,2.04497,0,0
AUDEUR,D,19710518,000000,2.04441,2.04441,2.04441,2.04441,0,0
AUDEUR,D,19710519,000000,2.03621,2.03621,2.03621,2.03621,0,0
AUDEUR,D,19710520,000000,2.02203,2.02203,2.02203,2.02203,0,0
AUDEUR,D,19710521,000000,2.01911,2.01911,2.01911,2.01911,0,0
AUDEUR,D,19710524,000000,2.02294,2.02294,2.02294,2.02294,0,0
AUDEUR,D,19710525,000000,2.03935,2.03935,2.03935,2.03935,0,0
AUDEUR,D,19710526,000000,2.0452,2.0452,2.0452,2.0452,0,0
AUDEUR,D,19710527,000000,2.04396,2.04396,2.04396,2.04396,0,0
AUDEUR,D,19710528,000000,2.04484,2.04484,2.04484,2.04484,0,0
AUDEUR,D,19710601,000000,2.05491,2.05491,2.05491,2.05491,0,0
AUDEUR,D,19710602,000000,2.04505,2.04505,2.04505,2.04505,0,0
AUDEUR,D,19710603,000000,2.03339,2.03339,2.03339,2.03339,0,0
AUDEUR,D,19710604,000000,2.0326,2.0326,2.0326,2.0326,0,0
AUDEUR,D,19710607,000000,2.03092,2.03092,2.03092,2.03092,0,0
AUDEUR,D,19710608,000000,2.02822,2.02822,2.02822,2.02822,0,0
AUDEUR,D,19710609,000000,2.0253,2.0253,2.0253,2.0253,0,0
AUDEUR,D,19710610,000000,2.02372,2.02372,2.02372,2.02372,0,0
AUDEUR,D,19710611,000000,2.02271,2.02271,2.02271,2.02271,0,0
AUDEUR,D,19710614,000000,2.02203,2.02203,2.02203,2.02203,0,0
AUDEUR,D,19710615,000000,2.02124,2.02124,2.02124,2.02124,0,0
AUDEUR,D,19710616,000000,2.02069,2.02069,2.02069,2.02069,0,0
AUDEUR,D,19710617,000000,2.0199,2.0199,2.0199,2.0199,0,0
AUDEUR,D,19710618,000000,2.02046,2.02046,2.02046,2.02046,0,0
AUDEUR,D,19710621,000000,2.02046,2.02046,2.02046,2.02046,0,0
AUDEUR,D,19710622,000000,2.019,2.019,2.019,2.019,0,0
AUDEUR,D,19710623,000000,2.01551,2.01551,2.01551,2.01551,0,0
AUDEUR,D,19710624,000000,2.01619,2.01619,2.01619,2.01619,0,0
AUDEUR,D,19710625,000000,2.01866,2.01866,2.01866,2.01866,0,0
AUDEUR,D,19710628,000000,2.01877,2.01877,2.01877,2.01877,0,0
AUDEUR,D,19710629,000000,2.01742,2.01742,2.01742,2.01742,0,0
AUDEUR,D,19710630,000000,2.01664,2.01664,2.01664,2.01664,0,0
AUDEUR,D,19710701,000000,2.01709,2.01709,2.01709,2.01709,0,0
AUDEUR,D,19710702,000000,2.01821,2.01821,2.01821,2.01821,0,0
AUDEUR,D,19710706,000000,2.01787,2.01787,2.01787,2.01787,0,0
AUDEUR,D,19710707,000000,2.01742,2.01742,2.01742,2.01742,0,0
AUDEUR,D,19710708,000000,2.01776,2.01776,2.01776,2.01776,0,0
AUDEUR,D,19710709,000000,2.01764,2.01764,2.01764,2.01764,0,0
AUDEUR,D,19710712,000000,2.01753,2.01753,2.01753,2.01753,0,0
AUDEUR,D,19710713,000000,2.01697,2.01697,2.01697,2.01697,0,0
AUDEUR,D,19710714,000000,2.01135,2.01135,2.01135,2.01135,0,0
AUDEUR,D,19710715,000000,2.00831,2.00831,2.00831,2.00831,0,0
AUDEUR,D,19710716,000000,2.00269,2.00269,2.00269,2.00269,0,0
AUDEUR,D,19710719,000000,2.00179,2.00179,2.00179,2.00179,0,0
AUDEUR,D,19710720,000000,2.0028,2.0028,2.0028,2.0028,0,0
AUDEUR,D,19710721,000000,1.99977,1.99977,1.99977,1.99977,0,0
AUDEUR,D,19710722,000000,1.99775,1.99775,1.99775,1.99775,0,0
AUDEUR,D,19710723,000000,1.99752,1.99752,1.99752,1.99752,0,0
AUDEUR,D,19710726,000000,1.99617,1.99617,1.99617,1.99617,0,0
AUDEUR,D,19710727,000000,1.99404,1.99404,1.99404,1.99404,0,0
AUDEUR,D,19710728,000000,1.99584,1.99584,1.99584,1.99584,0,0
AUDEUR,D,19710729,000000,1.99415,1.99415,1.99415,1.99415,0,0
AUDEUR,D,19710730,000000,1.99449,1.99449,1.99449,1.99449,0,0
AUDEUR,D,19710802,000000,1.99415,1.99415,1.99415,1.99415,0,0
AUDEUR,D,19710803,000000,1.9937,1.9937,1.9937,1.9937,0,0
AUDEUR,D,19710804,000000,1.98987,1.98987,1.98987,1.98987,0,0
AUDEUR,D,19710805,000000,1.98527,1.98527,1.98527,1.98527,0,0
AUDEUR,D,19710806,000000,1.98662,1.98662,1.98662,1.98662,0,0
AUDEUR,D,19710809,000000,1.96604,1.96604,1.96604,1.96604,0,0
AUDEUR,D,19710810,000000,1.96503,1.96503,1.96503,1.96503,0,0
AUDEUR,D,19710811,000000,1.96367,1.96367,1.96367,1.96367,0,0
AUDEUR,D,19710812,000000,1.95242,1.95242,1.95242,1.95242,0,0
AUDEUR,D,19710813,000000,1.954,1.954,1.954,1.954,0,0
AUDEUR,D,19710816,000000,1.97238,1.97238,1.97238,1.97238,0,0
AUDEUR,D,19710817,000000,1.96547,1.96547,1.96547,1.96547,0,0
AUDEUR,D,19710818,000000,1.97645,1.97645,1.97645,1.97645,0,0
AUDEUR,D,19710819,000000,1.98053,1.98053,1.98053,1.98053,0,0
AUDEUR,D,19710820,000000,1.98992,1.98992,1.98992,1.98992,0,0
AUDEUR,D,19710823,000000,1.98754,1.98754,1.98754,1.98754,0,0
AUDEUR,D,19710824,000000,1.98147,1.98147,1.98147,1.98147,0,0
AUDEUR,D,19710825,000000,1.98594,1.98594,1.98594,1.98594,0,0
AUDEUR,D,19710826,000000,2.00045,2.00045,2.00045,2.00045,0,0
AUDEUR,D,19710827,000000,2.0016,2.0016,2.0016,2.0016,0,0
AUDEUR,D,19710830,000000,1.99965,1.99965,1.99965,1.99965,0,0
AUDEUR,D,19710831,000000,1.98768,1.98768,1.98768,1.98768,0,0
AUDEUR,D,19710901,000000,1.9871,1.9871,1.9871,1.9871,0,0
AUDEUR,D,19710902,000000,1.98583,1.98583,1.98583,1.98583,0,0
AUDEUR,D,19710903,000000,1.98628,1.98628,1.98628,1.98628,0,0
AUDEUR,D,19710907,000000,1.98674,1.98674,1.98674,1.98674,0,0
AUDEUR,D,19710908,000000,1.98754,1.98754,1.98754,1.98754,0,0
AUDEUR,D,19710909,000000,1.98811,1.98811,1.98811,1.98811,0,0
AUDEUR,D,19710910,000000,1.98422,1.98422,1.98422,1.98422,0,0
AUDEUR,D,19710913,000000,1.98444,1.98444,1.98444,1.98444,0,0
AUDEUR,D,19710914,000000,1.98154,1.98154,1.98154,1.98154,0,0
AUDEUR,D,19710915,000000,1.98277,1.98277,1.98277,1.98277,0,0
AUDEUR,D,19710916,000000,1.98311,1.98311,1.98311,1.98311,0,0
AUDEUR,D,19710917,000000,1.98299,1.98299,1.98299,1.98299,0,0
AUDEUR,D,19710920,000000,1.96722,1.96722,1.96722,1.96722,0,0
AUDEUR,D,19710921,000000,1.97287,1.97287,1.97287,1.97287,0,0
AUDEUR,D,19710922,000000,1.96699,1.96699,1.96699,1.96699,0,0
AUDEUR,D,19710923,000000,1.95745,1.95745,1.95745,1.95745,0,0
AUDEUR,D,19710924,000000,1.96076,1.96076,1.96076,1.96076,0,0
AUDEUR,D,19710927,000000,1.95906,1.95906,1.95906,1.95906,0,0
AUDEUR,D,19710928,000000,1.95761,1.95761,1.95761,1.95761,0,0
AUDEUR,D,19710929,000000,1.96132,1.96132,1.96132,1.96132,0,0
AUDEUR,D,19710930,000000,1.96373,1.96373,1.96373,1.96373,0,0
AUDEUR,D,19711001,000000,1.96957,1.96957,1.96957,1.96957,0,0
AUDEUR,D,19711004,000000,1.97154,1.97154,1.97154,1.97154,0,0
AUDEUR,D,19711005,000000,1.97118,1.97118,1.97118,1.97118,0,0
AUDEUR,D,19711006,000000,1.96726,1.96726,1.96726,1.96726,0,0
AUDEUR,D,19711007,000000,1.9669,1.9669,1.9669,1.9669,0,0
AUDEUR,D,19711008,000000,1.96759,1.96759,1.96759,1.96759,0,0
AUDEUR,D,19711012,000000,1.97291,1.97291,1.97291,1.97291,0,0
AUDEUR,D,19711013,000000,1.97431,1.97431,1.97431,1.97431,0,0
AUDEUR,D,19711014,000000,1.98067,1.98067,1.98067,1.98067,0,0
AUDEUR,D,19711015,000000,1.97859,1.97859,1.97859,1.97859,0,0
