<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURAUD,D,19710104,000000,0.481051,0.481051,0.481051,0.481051,0,0
EURAUD,D,19710105,000000,0.480631,0.480631,0.480631,0.480631,0,0
EURAUD,D,19710106,000000,0.480438,0.480438,0.480438,0.480438,0,0
EURAUD,D,19710107,000000,0.480569,0.480569,0.480569,0.480569,0,0
EURAUD,D,19710108,000000,0.481314,0.481314,0.481314,0.481314,0,0
EURAUD,D,19710111,000000,0.480212,0.480212,0.480212,0.480212,0,0
EURAUD,D,19710112,000000,0.480077,0.480077,0.480077,0.480077,0,0
EURAUD,D,19710113,000000,0.479856,0.479856,0.479856,0.479856,0,0
EURAUD,D,19710114,000000,0.478964,0.478964,0.478964,0.478964,0,0
EURAUD,D,19710115,000000,0.479388,0.479388,0.479388,0.479388,0,0
EURAUD,D,19710118,000000,0.479727,0.479727,0.479727,0.479727,0,0
EURAUD,D,19710119,000000,0.479086,0.479086,0.479086,0.479086,0,0
EURAUD,D,19710120,000000,0.4796,0.4796,0.4796,0.4796,0,0
EURAUD,D,19710121,000000,0.479566,0.479566,0.479566,0.479566,0,0
EURAUD,D,19710122,000000,0.479349,0.479349,0.479349,0.479349,0,0
EURAUD,D,19710125,000000,0.478671,0.478671,0.478671,0.478671,0,0
EURAUD,D,19710126,000000,0.478377,0.478377,0.478377,0.478377,0,0
EURAUD,D,19710127,000000,0.478403,0.478403,0.478403,0.478403,0,0
EURAUD,D,19710128,000000,0.478111,0.478111,0.478111,0.478111,0,0
EURAUD,D,19710129,000000,0.478006,0.478006,0.478006,0.478006,0,0
EURAUD,D,19710201,000000,0.477663,0.477663,0.477663,0.477663,0,0
EURAUD,D,19710202,000000,0.477665,0.477665,0.477665,0.477665,0,0
EURAUD,D,19710203,000000,0.477842,0.477842,0.477842,0.477842,0,0
EURAUD,D,19710204,000000,0.47819,0.47819,0.47819,0.47819,0,0
EURAUD,D,19710205,000000,0.478569,0.478569,0.478569,0.478569,0,0
EURAUD,D,19710208,000000,0.477845,0.477845,0.477845,0.477845,0,0
EURAUD,D,19710209,000000,0.478564,0.478564,0.478564,0.478564,0,0
EURAUD,D,19710210,000000,0.478223,0.478223,0.478223,0.478223,0,0
EURAUD,D,19710211,000000,0.478069,0.478069,0.478069,0.478069,0,0
EURAUD,D,19710216,000000,0.477707,0.477707,0.477707,0.477707,0,0
EURAUD,D,19710217,000000,0.477758,0.477758,0.477758,0.477758,0,0
EURAUD,D,19710218,000000,0.477735,0.477735,0.477735,0.477735,0,0
EURAUD,D,19710219,000000,0.477735,0.477735,0.477735,0.477735,0,0
EURAUD,D,19710222,000000,0.477733,0.477733,0.477733,0.477733,0,0
EURAUD,D,19710223,000000,0.477733,0.477733,0.477733,0.477733,0,0
EURAUD,D,19710224,000000,0.477758,0.477758,0.477758,0.477758,0,0
