<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPYCAD,D,19840102,000000,0.005325,0.005325,0.005325,0.005325,0,0
JPYCAD,D,19840109,000000,0.005339,0.005339,0.005339,0.005339,0,0
JPYCAD,D,19840116,000000,0.005351,0.005351,0.005351,0.005351,0,0
JPYCAD,D,19840123,000000,0.005335,0.005335,0.005335,0.005335,0,0
JPYCAD,D,19840130,000000,0.005323,0.005323,0.005323,0.005323,0,0
JPYCAD,D,19840206,000000,0.00532,0.00532,0.00532,0.00532,0,0
JPYCAD,D,19840213,000000,0.005331,0.005331,0.005331,0.005331,0,0
JPYCAD,D,19840220,000000,0.00532,0.00532,0.00532,0.00532,0,0
JPYCAD,D,19840301,000000,0.005346,0.005346,0.005346,0.005346,0,0
JPYCAD,D,19840305,000000,0.005375,0.005375,0.005375,0.005375,0,0
JPYCAD,D,19840312,000000,0.00562,0.00562,0.00562,0.00562,0,0
JPYCAD,D,19840319,000000,0.00565,0.00565,0.00565,0.00565,0,0
JPYCAD,D,19840326,000000,0.00566,0.00566,0.00566,0.00566,0,0
JPYCAD,D,19840402,000000,0.005715,0.005715,0.005715,0.005715,0,0
JPYCAD,D,19840409,000000,0.005671,0.005671,0.005671,0.005671,0,0
JPYCAD,D,19840416,000000,0.005679,0.005679,0.005679,0.005679,0,0
JPYCAD,D,19840424,000000,0.005698,0.005698,0.005698,0.005698,0,0
JPYCAD,D,19840502,000000,0.005676,0.005676,0.005676,0.005676,0,0
JPYCAD,D,19840507,000000,0.005704,0.005704,0.005704,0.005704,0,0
JPYCAD,D,19840514,000000,0.005659,0.005659,0.005659,0.005659,0,0
JPYCAD,D,19840521,000000,0.005602,0.005602,0.005602,0.005602,0,0
JPYCAD,D,19840528,000000,0.00555,0.00555,0.00555,0.00555,0,0
JPYCAD,D,19840604,000000,0.005585,0.005585,0.005585,0.005585,0,0
JPYCAD,D,19840611,000000,0.005666,0.005666,0.005666,0.005666,0,0
JPYCAD,D,19840618,000000,0.005611,0.005611,0.005611,0.005611,0,0
JPYCAD,D,19840625,000000,0.00558,0.00558,0.00558,0.00558,0,0
JPYCAD,D,19840702,000000,0.005547,0.005547,0.005547,0.005547,0,0
JPYCAD,D,19840709,000000,0.005499,0.005499,0.005499,0.005499,0,0
