<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPYCHF,D,19710104,000000,0.012071,0.012071,0.012071,0.012071,0,0
JPYCHF,D,19710105,000000,0.012051,0.012051,0.012051,0.012051,0,0
JPYCHF,D,19710106,000000,0.012047,0.012047,0.012047,0.012047,0,0
JPYCHF,D,19710107,000000,0.012044,0.012044,0.012044,0.012044,0,0
JPYCHF,D,19710108,000000,0.012048,0.012048,0.012048,0.012048,0,0
JPYCHF,D,19710111,000000,0.012042,0.012042,0.012042,0.012042,0,0
JPYCHF,D,19710112,000000,0.012038,0.012038,0.012038,0.012038,0,0
JPYCHF,D,19710113,000000,0.012023,0.012023,0.012023,0.012023,0,0
JPYCHF,D,19710114,000000,0.012025,0.012025,0.012025,0.012025,0,0
JPYCHF,D,19710115,000000,0.012019,0.012019,0.012019,0.012019,0,0
JPYCHF,D,19710118,000000,0.01201,0.01201,0.01201,0.01201,0,0
JPYCHF,D,19710119,000000,0.012001,0.012001,0.012001,0.012001,0,0
JPYCHF,D,19710120,000000,0.012,0.012,0.012,0.012,0,0
JPYCHF,D,19710121,000000,0.012007,0.012007,0.012007,0.012007,0,0
JPYCHF,D,19710122,000000,0.012014,0.012014,0.012014,0.012014,0,0
JPYCHF,D,19710125,000000,0.012021,0.012021,0.012021,0.012021,0,0
JPYCHF,D,19710126,000000,0.012015,0.012015,0.012015,0.012015,0,0
JPYCHF,D,19710127,000000,0.01201,0.01201,0.01201,0.01201,0,0
JPYCHF,D,19710128,000000,0.012011,0.012011,0.012011,0.012011,0,0
JPYCHF,D,19710129,000000,0.01201,0.01201,0.01201,0.01201,0,0
JPYCHF,D,19710201,000000,0.012013,0.012013,0.012013,0.012013,0,0
JPYCHF,D,19710202,000000,0.012018,0.012018,0.012018,0.012018,0,0
JPYCHF,D,19710203,000000,0.012017,0.012017,0.012017,0.012017,0,0
JPYCHF,D,19710204,000000,0.012018,0.012018,0.012018,0.012018,0,0
JPYCHF,D,19710205,000000,0.012019,0.012019,0.012019,0.012019,0,0
JPYCHF,D,19710208,000000,0.012022,0.012022,0.012022,0.012022,0,0
JPYCHF,D,19710209,000000,0.012019,0.012019,0.012019,0.012019,0,0
JPYCHF,D,19710210,000000,0.012021,0.012021,0.012021,0.012021,0,0
JPYCHF,D,19710211,000000,0.012019,0.012019,0.012019,0.012019,0,0
JPYCHF,D,19710216,000000,0.012018,0.012018,0.012018,0.012018,0,0
JPYCHF,D,19710217,000000,0.012018,0.012018,0.012018,0.012018,0,0
JPYCHF,D,19710218,000000,0.012018,0.012018,0.012018,0.012018,0,0
JPYCHF,D,19710219,000000,0.012015,0.012015,0.012015,0.012015,0,0
JPYCHF,D,19710222,000000,0.012013,0.012013,0.012013,0.012013,0,0
JPYCHF,D,19710223,000000,0.012014,0.012014,0.012014,0.012014,0,0
JPYCHF,D,19710224,000000,0.012029,0.012029,0.012029,0.012029,0,0
JPYCHF,D,19710225,000000,0.012046,0.012046,0.012046,0.012046,0,0
JPYCHF,D,19710226,000000,0.012046,0.012046,0.012046,0.012046,0,0
JPYCHF,D,19710301,000000,0.012044,0.012044,0.012044,0.012044,0,0
JPYCHF,D,19710302,000000,0.012041,0.012041,0.012041,0.012041,0,0
JPYCHF,D,19710303,000000,0.012039,0.012039,0.012039,0.012039,0,0
JPYCHF,D,19710304,000000,0.012049,0.012049,0.012049,0.012049,0,0
JPYCHF,D,19710305,000000,0.012044,0.012044,0.012044,0.012044,0,0
JPYCHF,D,19710308,000000,0.012032,0.012032,0.012032,0.012032,0,0
JPYCHF,D,19710309,000000,0.012033,0.012033,0.012033,0.012033,0,0
JPYCHF,D,19710310,000000,0.012036,0.012036,0.012036,0.012036,0,0
JPYCHF,D,19710311,000000,0.012029,0.012029,0.012029,0.012029,0,0
JPYCHF,D,19710312,000000,0.012028,0.012028,0.012028,0.012028,0,0
JPYCHF,D,19710315,000000,0.012028,0.012028,0.012028,0.012028,0,0
JPYCHF,D,19710316,000000,0.012029,0.012029,0.012029,0.012029,0,0
JPYCHF,D,19710317,000000,0.012026,0.012026,0.012026,0.012026,0,0
JPYCHF,D,19710318,000000,0.012021,0.012021,0.012021,0.012021,0,0
JPYCHF,D,19710319,000000,0.012018,0.012018,0.012018,0.012018,0,0
JPYCHF,D,19710322,000000,0.012022,0.012022,0.012022,0.012022,0,0
JPYCHF,D,19710323,000000,0.012019,0.012019,0.012019,0.012019,0,0
JPYCHF,D,19710324,000000,0.012018,0.012018,0.012018,0.012018,0,0
JPYCHF,D,19710325,000000,0.01202,0.01202,0.01202,0.01202,0,0
JPYCHF,D,19710326,000000,0.012018,0.012018,0.012018,0.012018,0,0
JPYCHF,D,19710329,000000,0.012021,0.012021,0.012021,0.012021,0,0
JPYCHF,D,19710330,000000,0.012017,0.012017,0.012017,0.012017,0,0
JPYCHF,D,19710331,000000,0.012018,0.012018,0.012018,0.012018,0,0
