<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAGJPY,D,19840109,000000,1864.6,1864.6,1864.6,1864.6,0,0
XAGJPY,D,19840116,000000,1904.3,1904.3,1904.3,1904.3,0,0
XAGJPY,D,19840123,000000,1903.2,1903.2,1903.2,1903.2,0,0
XAGJPY,D,19840130,000000,1969.8,1969.8,1969.8,1969.8,0,0
XAGJPY,D,19840206,000000,2067.8,2067.8,2067.8,2067.8,0,0
XAGJPY,D,19840213,000000,2052.4,2052.4,2052.4,2052.4,0,0
XAGJPY,D,19840220,000000,2043.7,2043.7,2043.7,2043.7,0,0
XAGJPY,D,19840301,000000,2289.1,2289.1,2289.1,2289.1,0,0
XAGJPY,D,19840305,000000,2378.5,2378.5,2378.5,2378.5,0,0
XAGJPY,D,19840312,000000,2183.7,2183.7,2183.7,2183.7,0,0
XAGJPY,D,19840319,000000,2166.7,2166.7,2166.7,2166.7,0,0
XAGJPY,D,19840326,000000,2158.5,2158.5,2158.5,2158.5,0,0
XAGJPY,D,19840402,000000,2106.9,2106.9,2106.9,2106.9,0,0
XAGJPY,D,19840409,000000,2090.2,2090.2,2090.2,2090.2,0,0
XAGJPY,D,19840416,000000,2066.1,2066.1,2066.1,2066.1,0,0
XAGJPY,D,19840424,000000,2088.7,2088.7,2088.7,2088.7,0,0
XAGJPY,D,19840502,000000,2074,2074,2074,2074,0,0
XAGJPY,D,19840507,000000,1987.5,1987.5,1987.5,1987.5,0,0
XAGJPY,D,19840514,000000,2043.6,2043.6,2043.6,2043.6,0,0
XAGJPY,D,19840521,000000,2122.2,2122.2,2122.2,2122.2,0,0
XAGJPY,D,19840528,000000,2144,2144,2144,2144,0,0
XAGJPY,D,19840604,000000,2196.9,2196.9,2196.9,2196.9,0,0
XAGJPY,D,19840611,000000,1985.4,1985.4,1985.4,1985.4,0,0
XAGJPY,D,19840618,000000,2006.5,2006.5,2006.5,2006.5,0,0
XAGJPY,D,19840625,000000,1942.8,1942.8,1942.8,1942.8,0,0
XAGJPY,D,19840702,000000,2008.9,2008.9,2008.9,2008.9,0,0
XAGJPY,D,19840709,000000,1863.6,1863.6,1863.6,1863.6,0,0
XAGJPY,D,19840716,000000,1828.6,1828.6,1828.6,1828.6,0,0
XAGJPY,D,19840723,000000,1760.8,1760.8,1760.8,1760.8,0,0
XAGJPY,D,19840730,000000,1768.2,1768.2,1768.2,1768.2,0,0
XAGJPY,D,19840806,000000,1866.6,1866.6,1866.6,1866.6,0,0
XAGJPY,D,19840813,000000,1923.4,1923.4,1923.4,1923.4,0,0
XAGJPY,D,19840820,000000,1814.8,1814.8,1814.8,1814.8,0,0
XAGJPY,D,19840827,000000,1843.1,1843.1,1843.1,1843.1,0,0
XAGJPY,D,19840901,000000,1837.7,1837.7,1837.7,1837.7,0,0
XAGJPY,D,19840910,000000,1803.8,1803.8,1803.8,1803.8,0,0
XAGJPY,D,19840917,000000,1762.2,1762.2,1762.2,1762.2,0,0
XAGJPY,D,19840924,000000,1917.7,1917.7,1917.7,1917.7,0,0
XAGJPY,D,19841001,000000,1890.1,1890.1,1890.1,1890.1,0,0
XAGJPY,D,19841008,000000,1818.6,1818.6,1818.6,1818.6,0,0
XAGJPY,D,19841015,000000,1835.8,1835.8,1835.8,1835.8,0,0
XAGJPY,D,19841022,000000,1821.1,1821.1,1821.1,1821.1,0,0
XAGJPY,D,19841029,000000,1775.8,1775.8,1775.8,1775.8,0,0
XAGJPY,D,19841105,000000,1903.1,1903.1,1903.1,1903.1,0,0
XAGJPY,D,19841112,000000,1881.5,1881.5,1881.5,1881.5,0,0
XAGJPY,D,19841119,000000,1812.7,1812.7,1812.7,1812.7,0,0
XAGJPY,D,19841126,000000,1796.9,1796.9,1796.9,1796.9,0,0
XAGJPY,D,19841201,000000,1814.9,1814.9,1814.9,1814.9,0,0
XAGJPY,D,19841210,000000,1708.6,1708.6,1708.6,1708.6,0,0
XAGJPY,D,19841217,000000,1609.6,1609.6,1609.6,1609.6,0,0
XAGJPY,D,19841224,000000,1610.2,1610.2,1610.2,1610.2,0,0
XAGJPY,D,19850101,000000,1617.8,1617.8,1617.8,1617.8,0,0
XAGJPY,D,19850107,000000,1542.5,1542.5,1542.5,1542.5,0,0
XAGJPY,D,19850114,000000,1536.6,1536.6,1536.6,1536.6,0,0
XAGJPY,D,19850121,000000,1610.7,1610.7,1610.7,1610.7,0,0
XAGJPY,D,19850128,000000,1609.1,1609.1,1609.1,1609.1,0,0
XAGJPY,D,19850204,000000,1574.6,1574.6,1574.6,1574.6,0,0
XAGJPY,D,19850211,000000,1641.4,1641.4,1641.4,1641.4,0,0
XAGJPY,D,19850218,000000,1657.1,1657.1,1657.1,1657.1,0,0
XAGJPY,D,19850225,000000,1443.5,1443.5,1443.5,1443.5,0,0
XAGJPY,D,19850304,000000,1506.4,1506.4,1506.4,1506.4,0,0
