<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARSIDR,D,19960806,000000,2451.9,2451.9,2451.9,2451.9,0,0
ARSIDR,D,19960807,000000,2467.4,2467.4,2467.4,2467.4,0,0
ARSIDR,D,19960808,000000,2461.7,2461.7,2461.7,2461.7,0,0
ARSIDR,D,19960809,000000,2461.1,2461.1,2461.1,2461.1,0,0
ARSIDR,D,19960812,000000,2463.9,2463.9,2463.9,2463.9,0,0
ARSIDR,D,19960813,000000,2453.6,2453.6,2453.6,2453.6,0,0
ARSIDR,D,19960814,000000,2457.7,2457.7,2457.7,2457.7,0,0
ARSIDR,D,19960816,000000,2455.2,2455.2,2455.2,2455.2,0,0
ARSIDR,D,19960819,000000,2449.7,2449.7,2449.7,2449.7,0,0
ARSIDR,D,19960820,000000,2451.6,2451.6,2451.6,2451.6,0,0
ARSIDR,D,19960821,000000,2453.8,2453.8,2453.8,2453.8,0,0
ARSIDR,D,19960822,000000,2460.9,2460.9,2460.9,2460.9,0,0
ARSIDR,D,19960823,000000,2454.1,2454.1,2454.1,2454.1,0,0
ARSIDR,D,19960826,000000,2463.2,2463.2,2463.2,2463.2,0,0
ARSIDR,D,19960827,000000,2458.3,2458.3,2458.3,2458.3,0,0
ARSIDR,D,19960828,000000,2453.4,2453.4,2453.4,2453.4,0,0
ARSIDR,D,19960829,000000,2454.7,2454.7,2454.7,2454.7,0,0
ARSIDR,D,19960830,000000,2456,2456,2456,2456,0,0
ARSIDR,D,19960902,000000,2461.2,2461.2,2461.2,2461.2,0,0
ARSIDR,D,19960903,000000,2460.7,2460.7,2460.7,2460.7,0,0
ARSIDR,D,19960904,000000,2459.9,2459.9,2459.9,2459.9,0,0
ARSIDR,D,19960905,000000,2465.8,2465.8,2465.8,2465.8,0,0
ARSIDR,D,19960906,000000,2474.5,2474.5,2474.5,2474.5,0,0
ARSIDR,D,19960909,000000,2472.2,2472.2,2472.2,2472.2,0,0
ARSIDR,D,19960910,000000,2468.6,2468.6,2468.6,2468.6,0,0
ARSIDR,D,19960911,000000,2450.8,2450.8,2450.8,2450.8,0,0
ARSIDR,D,19960912,000000,2435,2435,2435,2435,0,0
ARSIDR,D,19960913,000000,2434.5,2434.5,2434.5,2434.5,0,0
ARSIDR,D,19960916,000000,2431.6,2431.6,2431.6,2431.6,0,0
ARSIDR,D,19960917,000000,2436,2436,2436,2436,0,0
ARSIDR,D,19960918,000000,2432.7,2432.7,2432.7,2432.7,0,0
ARSIDR,D,19960919,000000,2437.2,2437.2,2437.2,2437.2,0,0
ARSIDR,D,19960920,000000,2426.9,2426.9,2426.9,2426.9,0,0
ARSIDR,D,19960923,000000,2436.6,2436.6,2436.6,2436.6,0,0
ARSIDR,D,19960924,000000,2419,2419,2419,2419,0,0
ARSIDR,D,19960925,000000,2432.3,2432.3,2432.3,2432.3,0,0
ARSIDR,D,19960926,000000,2429,2429,2429,2429,0,0
ARSIDR,D,19960927,000000,2434.8,2434.8,2434.8,2434.8,0,0
ARSIDR,D,19960930,000000,2429.2,2429.2,2429.2,2429.2,0,0
ARSIDR,D,19961001,000000,2446.9,2446.9,2446.9,2446.9,0,0
ARSIDR,D,19961002,000000,2452.4,2452.4,2452.4,2452.4,0,0
ARSIDR,D,19961003,000000,2444.2,2444.2,2444.2,2444.2,0,0
ARSIDR,D,19961004,000000,2438,2438,2438,2438,0,0
ARSIDR,D,19961007,000000,2447.8,2447.8,2447.8,2447.8,0,0
ARSIDR,D,19961008,000000,2435.8,2435.8,2435.8,2435.8,0,0
ARSIDR,D,19961009,000000,2431.4,2431.4,2431.4,2431.4,0,0
ARSIDR,D,19961010,000000,2438.9,2438.9,2438.9,2438.9,0,0
ARSIDR,D,19961011,000000,2445,2445,2445,2445,0,0
ARSIDR,D,19961014,000000,2445.3,2445.3,2445.3,2445.3,0,0
ARSIDR,D,19961015,000000,2451.9,2451.9,2451.9,2451.9,0,0
ARSIDR,D,19961016,000000,2434.8,2434.8,2434.8,2434.8,0,0
ARSIDR,D,19961017,000000,2445.4,2445.4,2445.4,2445.4,0,0
ARSIDR,D,19961018,000000,2439,2439,2439,2439,0,0
ARSIDR,D,19961021,000000,2431.9,2431.9,2431.9,2431.9,0,0
ARSIDR,D,19961022,000000,2436.8,2436.8,2436.8,2436.8,0,0
ARSIDR,D,19961023,000000,2440.6,2440.6,2440.6,2440.6,0,0
ARSIDR,D,19961024,000000,2442.3,2442.3,2442.3,2442.3,0,0
ARSIDR,D,19961025,000000,2439.8,2439.8,2439.8,2439.8,0,0
ARSIDR,D,19961028,000000,2441.7,2441.7,2441.7,2441.7,0,0
ARSIDR,D,19961029,000000,2445.1,2445.1,2445.1,2445.1,0,0
ARSIDR,D,19961030,000000,2453.6,2453.6,2453.6,2453.6,0,0
ARSIDR,D,19961031,000000,2455.4,2455.4,2455.4,2455.4,0,0
ARSIDR,D,19961104,000000,2438.6,2438.6,2438.6,2438.6,0,0
ARSIDR,D,19961105,000000,2456.3,2456.3,2456.3,2456.3,0,0
ARSIDR,D,19961106,000000,2446.2,2446.2,2446.2,2446.2,0,0
ARSIDR,D,19961107,000000,2452.5,2452.5,2452.5,2452.5,0,0
ARSIDR,D,19961108,000000,2444.6,2444.6,2444.6,2444.6,0,0
ARSIDR,D,19961112,000000,2461,2461,2461,2461,0,0
ARSIDR,D,19961113,000000,2451.1,2451.1,2451.1,2451.1,0,0
ARSIDR,D,19961114,000000,2453.4,2453.4,2453.4,2453.4,0,0
ARSIDR,D,19961115,000000,2459.5,2459.5,2459.5,2459.5,0,0
ARSIDR,D,19961118,000000,2449,2449,2449,2449,0,0
ARSIDR,D,19961119,000000,2456.7,2456.7,2456.7,2456.7,0,0
