<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARSPLN,D,19960806,000000,2.8554,2.8554,2.8554,2.8554,0,0
ARSPLN,D,19960807,000000,2.8628,2.8628,2.8628,2.8628,0,0
ARSPLN,D,19960808,000000,2.859,2.859,2.859,2.859,0,0
ARSPLN,D,19960809,000000,2.8548,2.8548,2.8548,2.8548,0,0
ARSPLN,D,19960812,000000,2.8577,2.8577,2.8577,2.8577,0,0
ARSPLN,D,19960813,000000,2.8586,2.8586,2.8586,2.8586,0,0
ARSPLN,D,19960814,000000,2.8731,2.8731,2.8731,2.8731,0,0
ARSPLN,D,19960815,000000,2.8688,2.8688,2.8688,2.8688,0,0
ARSPLN,D,19960816,000000,2.8836,2.8836,2.8836,2.8836,0,0
ARSPLN,D,19960819,000000,2.8732,2.8732,2.8732,2.8732,0,0
ARSPLN,D,19960820,000000,2.8767,2.8767,2.8767,2.8767,0,0
ARSPLN,D,19960821,000000,2.87,2.87,2.87,2.87,0,0
ARSPLN,D,19960822,000000,2.8816,2.8816,2.8816,2.8816,0,0
ARSPLN,D,19960823,000000,2.8709,2.8709,2.8709,2.8709,0,0
ARSPLN,D,19960826,000000,2.8708,2.8708,2.8708,2.8708,0,0
ARSPLN,D,19960827,000000,2.8699,2.8699,2.8699,2.8699,0,0
ARSPLN,D,19960828,000000,2.8738,2.8738,2.8738,2.8738,0,0
ARSPLN,D,19960829,000000,2.8771,2.8771,2.8771,2.8771,0,0
ARSPLN,D,19960830,000000,2.8779,2.8779,2.8779,2.8779,0,0
ARSPLN,D,19960902,000000,2.8851,2.8851,2.8851,2.8851,0,0
ARSPLN,D,19960903,000000,2.8878,2.8878,2.8878,2.8878,0,0
ARSPLN,D,19960904,000000,2.8857,2.8857,2.8857,2.8857,0,0
ARSPLN,D,19960905,000000,2.8935,2.8935,2.8935,2.8935,0,0
ARSPLN,D,19960906,000000,2.8972,2.8972,2.8972,2.8972,0,0
ARSPLN,D,19960909,000000,2.9093,2.9093,2.9093,2.9093,0,0
ARSPLN,D,19960910,000000,2.9234,2.9234,2.9234,2.9234,0,0
ARSPLN,D,19960911,000000,2.9242,2.9242,2.9242,2.9242,0,0
ARSPLN,D,19960912,000000,2.9273,2.9273,2.9273,2.9273,0,0
ARSPLN,D,19960913,000000,2.9277,2.9277,2.9277,2.9277,0,0
ARSPLN,D,19960916,000000,2.9246,2.9246,2.9246,2.9246,0,0
ARSPLN,D,19960917,000000,2.9263,2.9263,2.9263,2.9263,0,0
ARSPLN,D,19960918,000000,2.9197,2.9197,2.9197,2.9197,0,0
ARSPLN,D,19960919,000000,2.9311,2.9311,2.9311,2.9311,0,0
ARSPLN,D,19960920,000000,2.9324,2.9324,2.9324,2.9324,0,0
ARSPLN,D,19960923,000000,2.9303,2.9303,2.9303,2.9303,0,0
ARSPLN,D,19960924,000000,2.9203,2.9203,2.9203,2.9203,0,0
ARSPLN,D,19960925,000000,2.9306,2.9306,2.9306,2.9306,0,0
ARSPLN,D,19960926,000000,2.947,2.947,2.947,2.947,0,0
ARSPLN,D,19960927,000000,2.9427,2.9427,2.9427,2.9427,0,0
ARSPLN,D,19960930,000000,2.9488,2.9488,2.9488,2.9488,0,0
ARSPLN,D,19961001,000000,2.9491,2.9491,2.9491,2.9491,0,0
ARSPLN,D,19961002,000000,2.9611,2.9611,2.9611,2.9611,0,0
ARSPLN,D,19961003,000000,2.9557,2.9557,2.9557,2.9557,0,0
ARSPLN,D,19961004,000000,2.9607,2.9607,2.9607,2.9607,0,0
ARSPLN,D,19961007,000000,2.9578,2.9578,2.9578,2.9578,0,0
ARSPLN,D,19961008,000000,2.9516,2.9516,2.9516,2.9516,0,0
ARSPLN,D,19961009,000000,2.9498,2.9498,2.9498,2.9498,0,0
ARSPLN,D,19961010,000000,2.9482,2.9482,2.9482,2.9482,0,0
ARSPLN,D,19961011,000000,2.9583,2.9583,2.9583,2.9583,0,0
ARSPLN,D,19961014,000000,2.9587,2.9587,2.9587,2.9587,0,0
ARSPLN,D,19961015,000000,2.9703,2.9703,2.9703,2.9703,0,0
ARSPLN,D,19961016,000000,2.9719,2.9719,2.9719,2.9719,0,0
ARSPLN,D,19961017,000000,2.9771,2.9771,2.9771,2.9771,0,0
ARSPLN,D,19961018,000000,2.9808,2.9808,2.9808,2.9808,0,0
ARSPLN,D,19961021,000000,2.9703,2.9703,2.9703,2.9703,0,0
ARSPLN,D,19961022,000000,2.9616,2.9616,2.9616,2.9616,0,0
ARSPLN,D,19961023,000000,2.9584,2.9584,2.9584,2.9584,0,0
ARSPLN,D,19961024,000000,2.9612,2.9612,2.9612,2.9612,0,0
ARSPLN,D,19961025,000000,2.9639,2.9639,2.9639,2.9639,0,0
ARSPLN,D,19961028,000000,2.9585,2.9585,2.9585,2.9585,0,0
ARSPLN,D,19961029,000000,2.9516,2.9516,2.9516,2.9516,0,0
ARSPLN,D,19961030,000000,2.9546,2.9546,2.9546,2.9546,0,0
ARSPLN,D,19961031,000000,2.9579,2.9579,2.9579,2.9579,0,0
ARSPLN,D,19961101,000000,2.9549,2.9549,2.9549,2.9549,0,0
ARSPLN,D,19961104,000000,2.9505,2.9505,2.9505,2.9505,0,0
ARSPLN,D,19961105,000000,2.9582,2.9582,2.9582,2.9582,0,0
ARSPLN,D,19961106,000000,2.9582,2.9582,2.9582,2.9582,0,0
ARSPLN,D,19961107,000000,2.9567,2.9567,2.9567,2.9567,0,0
ARSPLN,D,19961108,000000,2.9468,2.9468,2.9468,2.9468,0,0
ARSPLN,D,19961112,000000,2.9468,2.9468,2.9468,2.9468,0,0
ARSPLN,D,19961113,000000,2.946,2.946,2.946,2.946,0,0
ARSPLN,D,19961114,000000,2.9525,2.9525,2.9525,2.9525,0,0
ARSPLN,D,19961115,000000,2.9551,2.9551,2.9551,2.9551,0,0
ARSPLN,D,19961118,000000,2.9519,2.9519,2.9519,2.9519,0,0
ARSPLN,D,19961119,000000,2.953,2.953,2.953,2.953,0,0
ARSPLN,D,19961120,000000,2.9477,2.9477,2.9477,2.9477,0,0
ARSPLN,D,19961121,000000,2.9497,2.9497,2.9497,2.9497,0,0
