<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARSXPD,D,19960806,000000,0.0081189,0.0081189,0.0081189,0.0081189,0,0
ARSXPD,D,19960807,000000,0.0080687,0.0080687,0.0080687,0.0080687,0,0
ARSXPD,D,19960808,000000,0.0080626,0.0080626,0.0080626,0.0080626,0,0
ARSXPD,D,19960809,000000,0.0080484,0.0080484,0.0080484,0.0080484,0,0
ARSXPD,D,19960812,000000,0.0081185,0.0081185,0.0081185,0.0081185,0,0
ARSXPD,D,19960813,000000,0.0080432,0.0080432,0.0080432,0.0080432,0,0
ARSXPD,D,19960814,000000,0.0081691,0.0081691,0.0081691,0.0081691,0,0
ARSXPD,D,19960815,000000,0.0082459,0.0082459,0.0082459,0.0082459,0,0
ARSXPD,D,19960816,000000,0.0084241,0.0084241,0.0084241,0.0084241,0,0
ARSXPD,D,19960819,000000,0.0083304,0.0083304,0.0083304,0.0083304,0,0
ARSXPD,D,19960820,000000,0.0082263,0.0082263,0.0082263,0.0082263,0,0
ARSXPD,D,19960821,000000,0.0083309,0.0083309,0.0083309,0.0083309,0,0
ARSXPD,D,19960822,000000,0.0083621,0.0083621,0.0083621,0.0083621,0,0
ARSXPD,D,19960823,000000,0.0082973,0.0082973,0.0082973,0.0082973,0,0
ARSXPD,D,19960826,000000,0.0083234,0.0083234,0.0083234,0.0083234,0,0
ARSXPD,D,19960827,000000,0.0082327,0.0082327,0.0082327,0.0082327,0,0
ARSXPD,D,19960828,000000,0.0082203,0.0082203,0.0082203,0.0082203,0,0
ARSXPD,D,19960829,000000,0.008265,0.008265,0.008265,0.008265,0,0
ARSXPD,D,19960830,000000,0.0083297,0.0083297,0.0083297,0.0083297,0,0
ARSXPD,D,19960903,000000,0.0082982,0.0082982,0.0082982,0.0082982,0,0
ARSXPD,D,19960904,000000,0.0083305,0.0083305,0.0083305,0.0083305,0,0
ARSXPD,D,19960905,000000,0.0083169,0.0083169,0.0083169,0.0083169,0,0
ARSXPD,D,19960906,000000,0.0083158,0.0083158,0.0083158,0.0083158,0,0
ARSXPD,D,19960909,000000,0.0083626,0.0083626,0.0083626,0.0083626,0,0
ARSXPD,D,19960910,000000,0.0085057,0.0085057,0.0085057,0.0085057,0,0
ARSXPD,D,19960911,000000,0.0085252,0.0085252,0.0085252,0.0085252,0,0
ARSXPD,D,19960912,000000,0.0085195,0.0085195,0.0085195,0.0085195,0,0
ARSXPD,D,19960913,000000,0.0084985,0.0084985,0.0084985,0.0084985,0,0
ARSXPD,D,19960916,000000,0.0085739,0.0085739,0.0085739,0.0085739,0,0
ARSXPD,D,19960917,000000,0.0086016,0.0086016,0.0086016,0.0086016,0,0
ARSXPD,D,19960918,000000,0.0086027,0.0086027,0.0086027,0.0086027,0,0
ARSXPD,D,19960919,000000,0.0086514,0.0086514,0.0086514,0.0086514,0,0
ARSXPD,D,19960920,000000,0.0087246,0.0087246,0.0087246,0.0087246,0,0
ARSXPD,D,19960923,000000,0.0088501,0.0088501,0.0088501,0.0088501,0,0
ARSXPD,D,19960924,000000,0.0088412,0.0088412,0.0088412,0.0088412,0,0
ARSXPD,D,19960925,000000,0.0087454,0.0087454,0.0087454,0.0087454,0,0
ARSXPD,D,19960926,000000,0.0088497,0.0088497,0.0088497,0.0088497,0,0
ARSXPD,D,19960927,000000,0.0087814,0.0087814,0.0087814,0.0087814,0,0
ARSXPD,D,19960930,000000,0.008797,0.008797,0.008797,0.008797,0,0
ARSXPD,D,19961001,000000,0.0087458,0.0087458,0.0087458,0.0087458,0,0
ARSXPD,D,19961002,000000,0.0086102,0.0086102,0.0086102,0.0086102,0,0
ARSXPD,D,19961003,000000,0.0086958,0.0086958,0.0086958,0.0086958,0,0
ARSXPD,D,19961004,000000,0.0086673,0.0086673,0.0086673,0.0086673,0,0
ARSXPD,D,19961007,000000,0.0087977,0.0087977,0.0087977,0.0087977,0,0
ARSXPD,D,19961008,000000,0.0087976,0.0087976,0.0087976,0.0087976,0,0
ARSXPD,D,19961009,000000,0.008966,0.008966,0.008966,0.008966,0,0
ARSXPD,D,19961010,000000,0.0089286,0.0089286,0.0089286,0.0089286,0,0
ARSXPD,D,19961011,000000,0.0089267,0.0089267,0.0089267,0.0089267,0,0
