<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AUD_I,D,19710104,000000,100,100,100,100,0,0
AUD_I,D,19710105,000000,100.018,100.018,100.018,100.018,0,0
AUD_I,D,19710106,000000,100.073,100.073,100.073,100.073,0,0
AUD_I,D,19710107,000000,100.052,100.052,100.052,100.052,0,0
AUD_I,D,19710108,000000,99.908,99.908,99.908,99.908,0,0
AUD_I,D,19710111,000000,100.148,100.148,100.148,100.148,0,0
AUD_I,D,19710112,000000,100.172,100.172,100.172,100.172,0,0
AUD_I,D,19710113,000000,100.253,100.253,100.253,100.253,0,0
AUD_I,D,19710114,000000,100.42,100.42,100.42,100.42,0,0
AUD_I,D,19710115,000000,100.35,100.35,100.35,100.35,0,0
AUD_I,D,19710118,000000,100.298,100.298,100.298,100.298,0,0
AUD_I,D,19710119,000000,100.395,100.395,100.395,100.395,0,0
AUD_I,D,19710120,000000,100.379,100.379,100.379,100.379,0,0
AUD_I,D,19710121,000000,100.402,100.402,100.402,100.402,0,0
AUD_I,D,19710122,000000,100.416,100.416,100.416,100.416,0,0
AUD_I,D,19710125,000000,100.541,100.541,100.541,100.541,0,0
AUD_I,D,19710126,000000,100.578,100.578,100.578,100.578,0,0
AUD_I,D,19710127,000000,100.57,100.57,100.57,100.57,0,0
AUD_I,D,19710128,000000,100.615,100.615,100.615,100.615,0,0
AUD_I,D,19710129,000000,100.612,100.612,100.612,100.612,0,0
AUD_I,D,19710201,000000,100.652,100.652,100.652,100.652,0,0
AUD_I,D,19710202,000000,100.642,100.642,100.642,100.642,0,0
AUD_I,D,19710203,000000,100.636,100.636,100.636,100.636,0,0
AUD_I,D,19710204,000000,100.579,100.579,100.579,100.579,0,0
AUD_I,D,19710205,000000,100.51,100.51,100.51,100.51,0,0
AUD_I,D,19710208,000000,100.631,100.631,100.631,100.631,0,0
AUD_I,D,19710209,000000,100.526,100.526,100.526,100.526,0,0
AUD_I,D,19710210,000000,100.558,100.558,100.558,100.558,0,0
AUD_I,D,19710211,000000,100.562,100.562,100.562,100.562,0,0
AUD_I,D,19710216,000000,100.661,100.661,100.661,100.661,0,0
AUD_I,D,19710217,000000,100.663,100.663,100.663,100.663,0,0
AUD_I,D,19710218,000000,100.654,100.654,100.654,100.654,0,0
AUD_I,D,19710219,000000,100.658,100.658,100.658,100.658,0,0
