<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGNBTC,D,20100719,000000,8.1998,8.1998,8.1998,8.1998,0,0
BGNBTC,D,20100720,000000,8.8527,8.8527,8.8527,8.8527,0,0
BGNBTC,D,20100721,000000,8.3023,8.3023,8.3023,8.3023,0,0
BGNBTC,D,20100722,000000,13.1044,13.1044,13.1044,13.1044,0,0
BGNBTC,D,20100723,000000,10.4919,10.4919,10.4919,10.4919,0,0
BGNBTC,D,20100726,000000,11.9357,11.9357,11.9357,11.9357,0,0
BGNBTC,D,20100727,000000,11.0927,11.0927,11.0927,11.0927,0,0
BGNBTC,D,20100728,000000,11.2917,11.2917,11.2917,11.2917,0,0
BGNBTC,D,20100729,000000,9.5507,9.5507,9.5507,9.5507,0,0
BGNBTC,D,20100730,000000,10.6557,10.6557,10.6557,10.6557,0,0
BGNBTC,D,20100802,000000,11.245,11.245,11.245,11.245,0,0
BGNBTC,D,20100803,000000,11.2405,11.2405,11.2405,11.2405,0,0
BGNBTC,D,20100804,000000,11.9173,11.9173,11.9173,11.9173,0,0
BGNBTC,D,20100805,000000,11.0335,11.0335,11.0335,11.0335,0,0
BGNBTC,D,20100806,000000,10.8857,10.8857,10.8857,10.8857,0,0
BGNBTC,D,20100809,000000,9.5866,9.5866,9.5866,9.5866,0,0
BGNBTC,D,20100810,000000,9.5469,9.5469,9.5469,9.5469,0,0
BGNBTC,D,20100811,000000,9.8275,9.8275,9.8275,9.8275,0,0
BGNBTC,D,20100812,000000,9.4237,9.4237,9.4237,9.4237,0,0
BGNBTC,D,20100813,000000,10.1476,10.1476,10.1476,10.1476,0,0
BGNBTC,D,20100816,000000,10.0937,10.0937,10.0937,10.0937,0,0
BGNBTC,D,20100817,000000,9.4675,9.4675,9.4675,9.4675,0,0
BGNBTC,D,20100818,000000,9.7393,9.7393,9.7393,9.7393,0,0
BGNBTC,D,20100819,000000,9.803,9.803,9.803,9.803,0,0
BGNBTC,D,20100820,000000,9.9199,9.9199,9.9199,9.9199,0,0
BGNBTC,D,20100823,000000,9.9211,9.9211,9.9211,9.9211,0,0
BGNBTC,D,20100824,000000,9.9781,9.9781,9.9781,9.9781,0,0
BGNBTC,D,20100825,000000,9.9824,9.9824,9.9824,9.9824,0,0
BGNBTC,D,20100826,000000,10.179,10.179,10.179,10.179,0,0
BGNBTC,D,20100827,000000,10.0623,10.0623,10.0623,10.0623,0,0
BGNBTC,D,20100830,000000,9.9384,9.9384,9.9384,9.9384,0,0
BGNBTC,D,20100831,000000,10.8456,10.8456,10.8456,10.8456,0,0
BGNBTC,D,20100901,000000,10.4698,10.4698,10.4698,10.4698,0,0
BGNBTC,D,20100902,000000,10.3406,10.3406,10.3406,10.3406,0,0
BGNBTC,D,20100903,000000,10.9104,10.9104,10.9104,10.9104,0,0
BGNBTC,D,20100906,000000,10.7024,10.7024,10.7024,10.7024,0,0
BGNBTC,D,20100907,000000,10.6937,10.6937,10.6937,10.6937,0,0
BGNBTC,D,20100908,000000,10.5485,10.5485,10.5485,10.5485,0,0
BGNBTC,D,20100909,000000,10.6319,10.6319,10.6319,10.6319,0,0
BGNBTC,D,20100910,000000,10.5032,10.5032,10.5032,10.5032,0,0
BGNBTC,D,20100913,000000,10.6019,10.6019,10.6019,10.6019,0,0
BGNBTC,D,20100914,000000,10.8053,10.8053,10.8053,10.8053,0,0
BGNBTC,D,20100915,000000,10.9997,10.9997,10.9997,10.9997,0,0
BGNBTC,D,20100916,000000,10.7578,10.7578,10.7578,10.7578,0,0
BGNBTC,D,20100917,000000,11.3044,11.3044,11.3044,11.3044,0,0
BGNBTC,D,20100920,000000,10.801,10.801,10.801,10.801,0,0
BGNBTC,D,20100921,000000,10.6995,10.6995,10.6995,10.6995,0,0
BGNBTC,D,20100922,000000,10.9804,10.9804,10.9804,10.9804,0,0
BGNBTC,D,20100923,000000,11.0068,11.0068,11.0068,11.0068,0,0
BGNBTC,D,20100924,000000,11.1408,11.1408,11.1408,11.1408,0,0
BGNBTC,D,20100927,000000,11.1015,11.1015,11.1015,11.1015,0,0
BGNBTC,D,20100928,000000,11.2422,11.2422,11.2422,11.2422,0,0
BGNBTC,D,20100929,000000,11.2543,11.2543,11.2543,11.2543,0,0
BGNBTC,D,20100930,000000,11.3036,11.3036,11.3036,11.3036,0,0
BGNBTC,D,20101001,000000,11.373,11.373,11.373,11.373,0,0
BGNBTC,D,20101004,000000,11.4012,11.4012,11.4012,11.4012,0,0
BGNBTC,D,20101005,000000,11.5935,11.5935,11.5935,11.5935,0,0
BGNBTC,D,20101006,000000,11.272,11.272,11.272,11.272,0,0
BGNBTC,D,20101007,000000,10.5549,10.5549,10.5549,10.5549,0,0
BGNBTC,D,20101008,000000,8.2453,8.2453,8.2453,8.2453,0,0
