<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGNIDR,D,19951023,000000,33146,33146,33146,33146,0,0
BGNIDR,D,19951024,000000,33151,33151,33151,33151,0,0
BGNIDR,D,19951025,000000,33095,33095,33095,33095,0,0
BGNIDR,D,19951026,000000,33076,33076,33076,33076,0,0
BGNIDR,D,19951027,000000,33173,33173,33173,33173,0,0
BGNIDR,D,19951030,000000,33076,33076,33076,33076,0,0
BGNIDR,D,19951031,000000,33049,33049,33049,33049,0,0
BGNIDR,D,19951102,000000,33127,33127,33127,33127,0,0
BGNIDR,D,19951103,000000,33169,33169,33169,33169,0,0
BGNIDR,D,19951106,000000,33177,33177,33177,33177,0,0
BGNIDR,D,19951107,000000,33101,33101,33101,33101,0,0
BGNIDR,D,19951108,000000,33130,33130,33130,33130,0,0
BGNIDR,D,19951109,000000,33154,33154,33154,33154,0,0
BGNIDR,D,19951110,000000,33150,33150,33150,33150,0,0
BGNIDR,D,19951113,000000,33032,33032,33032,33032,0,0
BGNIDR,D,19951114,000000,33092,33092,33092,33092,0,0
BGNIDR,D,19951115,000000,33116,33116,33116,33116,0,0
BGNIDR,D,19951116,000000,33156,33156,33156,33156,0,0
BGNIDR,D,19951117,000000,33007,33007,33007,33007,0,0
BGNIDR,D,19951120,000000,32973,32973,32973,32973,0,0
BGNIDR,D,19951121,000000,32950,32950,32950,32950,0,0
BGNIDR,D,19951122,000000,32955,32955,32955,32955,0,0
BGNIDR,D,19951123,000000,32924,32924,32924,32924,0,0
BGNIDR,D,19951124,000000,32874,32874,32874,32874,0,0
BGNIDR,D,19951127,000000,32968,32968,32968,32968,0,0
BGNIDR,D,19951128,000000,32836,32836,32836,32836,0,0
BGNIDR,D,19951129,000000,32893,32893,32893,32893,0,0
BGNIDR,D,19951130,000000,32861,32861,32861,32861,0,0
BGNIDR,D,19951201,000000,32802,32802,32802,32802,0,0
BGNIDR,D,19951204,000000,32779,32779,32779,32779,0,0
BGNIDR,D,19951205,000000,32790,32790,32790,32790,0,0
BGNIDR,D,19951206,000000,32733,32733,32733,32733,0,0
BGNIDR,D,19951207,000000,32757,32757,32757,32757,0,0
BGNIDR,D,19951208,000000,32634,32634,32634,32634,0,0
BGNIDR,D,19951211,000000,32831,32831,32831,32831,0,0
BGNIDR,D,19951212,000000,32790,32790,32790,32790,0,0
BGNIDR,D,19951213,000000,32747,32747,32747,32747,0,0
BGNIDR,D,19951214,000000,32830,32830,32830,32830,0,0
BGNIDR,D,19951215,000000,32819,32819,32819,32819,0,0
BGNIDR,D,19951218,000000,32866,32866,32866,32866,0,0
BGNIDR,D,19951219,000000,32704,32704,32704,32704,0,0
BGNIDR,D,19951220,000000,32676,32676,32676,32676,0,0
BGNIDR,D,19951221,000000,32579,32579,32579,32579,0,0
BGNIDR,D,19951222,000000,32542,32542,32542,32542,0,0
BGNIDR,D,19951227,000000,32713,32713,32713,32713,0,0
BGNIDR,D,19951228,000000,32462,32462,32462,32462,0,0
BGNIDR,D,19951229,000000,32574,32574,32574,32574,0,0
BGNIDR,D,19960102,000000,32359,32359,32359,32359,0,0
BGNIDR,D,19960103,000000,32223,32223,32223,32223,0,0
BGNIDR,D,19960104,000000,32052,32052,32052,32052,0,0
BGNIDR,D,19960105,000000,32098,32098,32098,32098,0,0
BGNIDR,D,19960108,000000,31820,31820,31820,31820,0,0
BGNIDR,D,19960109,000000,31719,31719,31719,31719,0,0
BGNIDR,D,19960110,000000,31943,31943,31943,31943,0,0
BGNIDR,D,19960111,000000,31877,31877,31877,31877,0,0
BGNIDR,D,19960112,000000,31781,31781,31781,31781,0,0
BGNIDR,D,19960115,000000,31730,31730,31730,31730,0,0
BGNIDR,D,19960116,000000,31708,31708,31708,31708,0,0
BGNIDR,D,19960117,000000,31730,31730,31730,31730,0,0
BGNIDR,D,19960118,000000,31616,31616,31616,31616,0,0
BGNIDR,D,19960119,000000,31601,31601,31601,31601,0,0
BGNIDR,D,19960122,000000,31613,31613,31613,31613,0,0
BGNIDR,D,19960123,000000,31626,31626,31626,31626,0,0
BGNIDR,D,19960124,000000,31627,31627,31627,31627,0,0
BGNIDR,D,19960125,000000,31469,31469,31469,31469,0,0
BGNIDR,D,19960126,000000,31320,31320,31320,31320,0,0
BGNIDR,D,19960129,000000,31250,31250,31250,31250,0,0
BGNIDR,D,19960130,000000,31273,31273,31273,31273,0,0
BGNIDR,D,19960131,000000,31200,31200,31200,31200,0,0
BGNIDR,D,19960201,000000,31123,31123,31123,31123,0,0
BGNIDR,D,19960202,000000,31313,31313,31313,31313,0,0
BGNIDR,D,19960205,000000,31331,31331,31331,31331,0,0
BGNIDR,D,19960206,000000,31293,31293,31293,31293,0,0
BGNIDR,D,19960207,000000,31288,31288,31288,31288,0,0
BGNIDR,D,19960208,000000,31294,31294,31294,31294,0,0
BGNIDR,D,19960209,000000,31297,31297,31297,31297,0,0
BGNIDR,D,19960212,000000,31229,31229,31229,31229,0,0
BGNIDR,D,19960213,000000,31195,31195,31195,31195,0,0
BGNIDR,D,19960214,000000,31153,31153,31153,31153,0,0
BGNIDR,D,19960215,000000,31065,31065,31065,31065,0,0
BGNIDR,D,19960216,000000,31074,31074,31074,31074,0,0
BGNIDR,D,19960219,000000,30779,30779,30779,30779,0,0
BGNIDR,D,19960220,000000,30772,30772,30772,30772,0,0
BGNIDR,D,19960221,000000,30862,30862,30862,30862,0,0
BGNIDR,D,19960222,000000,30880,30880,30880,30880,0,0
BGNIDR,D,19960223,000000,30703,30703,30703,30703,0,0
BGNIDR,D,19960226,000000,30750,30750,30750,30750,0,0
BGNIDR,D,19960227,000000,30983,30983,30983,30983,0,0
BGNIDR,D,19960228,000000,30551,30551,30551,30551,0,0
BGNIDR,D,19960229,000000,30195,30195,30195,30195,0,0
BGNIDR,D,19960301,000000,30095,30095,30095,30095,0,0
BGNIDR,D,19960304,000000,29988,29988,29988,29988,0,0
