<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRLSEK,D,19950103,000000,8.8581,8.8581,8.8581,8.8581,0,0
BRLSEK,D,19950104,000000,8.8386,8.8386,8.8386,8.8386,0,0
BRLSEK,D,19950105,000000,8.8499,8.8499,8.8499,8.8499,0,0
BRLSEK,D,19950106,000000,8.8634,8.8634,8.8634,8.8634,0,0
BRLSEK,D,19950109,000000,8.8872,8.8872,8.8872,8.8872,0,0
BRLSEK,D,19950110,000000,8.88,8.88,8.88,8.88,0,0
BRLSEK,D,19950111,000000,8.8023,8.8023,8.8023,8.8023,0,0
BRLSEK,D,19950112,000000,8.8601,8.8601,8.8601,8.8601,0,0
BRLSEK,D,19950113,000000,8.8573,8.8573,8.8573,8.8573,0,0
BRLSEK,D,19950116,000000,8.8248,8.8248,8.8248,8.8248,0,0
BRLSEK,D,19950117,000000,8.831,8.831,8.831,8.831,0,0
BRLSEK,D,19950118,000000,8.7985,8.7985,8.7985,8.7985,0,0
BRLSEK,D,19950119,000000,8.7607,8.7607,8.7607,8.7607,0,0
BRLSEK,D,19950120,000000,8.8369,8.8369,8.8369,8.8369,0,0
BRLSEK,D,19950123,000000,8.7601,8.7601,8.7601,8.7601,0,0
BRLSEK,D,19950124,000000,8.7599,8.7599,8.7599,8.7599,0,0
BRLSEK,D,19950125,000000,8.7292,8.7292,8.7292,8.7292,0,0
BRLSEK,D,19950126,000000,8.816,8.816,8.816,8.816,0,0
BRLSEK,D,19950127,000000,8.8719,8.8719,8.8719,8.8719,0,0
BRLSEK,D,19950130,000000,8.8179,8.8179,8.8179,8.8179,0,0
BRLSEK,D,19950131,000000,8.8452,8.8452,8.8452,8.8452,0,0
BRLSEK,D,19950201,000000,8.8343,8.8343,8.8343,8.8343,0,0
BRLSEK,D,19950202,000000,8.8936,8.8936,8.8936,8.8936,0,0
BRLSEK,D,19950203,000000,8.8701,8.8701,8.8701,8.8701,0,0
BRLSEK,D,19950206,000000,8.9291,8.9291,8.9291,8.9291,0,0
BRLSEK,D,19950207,000000,8.9415,8.9415,8.9415,8.9415,0,0
BRLSEK,D,19950208,000000,8.9264,8.9264,8.9264,8.9264,0,0
BRLSEK,D,19950209,000000,8.9756,8.9756,8.9756,8.9756,0,0
BRLSEK,D,19950210,000000,8.9425,8.9425,8.9425,8.9425,0,0
BRLSEK,D,19950213,000000,8.9283,8.9283,8.9283,8.9283,0,0
BRLSEK,D,19950214,000000,8.8841,8.8841,8.8841,8.8841,0,0
BRLSEK,D,19950215,000000,8.8609,8.8609,8.8609,8.8609,0,0
BRLSEK,D,19950216,000000,8.7236,8.7236,8.7236,8.7236,0,0
BRLSEK,D,19950217,000000,8.6911,8.6911,8.6911,8.6911,0,0
BRLSEK,D,19950220,000000,8.735,8.735,8.735,8.735,0,0
BRLSEK,D,19950221,000000,8.6618,8.6618,8.6618,8.6618,0,0
BRLSEK,D,19950222,000000,8.6168,8.6168,8.6168,8.6168,0,0
BRLSEK,D,19950223,000000,8.6616,8.6616,8.6616,8.6616,0,0
BRLSEK,D,19950224,000000,8.5377,8.5377,8.5377,8.5377,0,0
BRLSEK,D,19950227,000000,8.5326,8.5326,8.5326,8.5326,0,0
BRLSEK,D,19950228,000000,8.623,8.623,8.623,8.623,0,0
BRLSEK,D,19950301,000000,8.6433,8.6433,8.6433,8.6433,0,0
BRLSEK,D,19950302,000000,8.5938,8.5938,8.5938,8.5938,0,0
BRLSEK,D,19950303,000000,8.5386,8.5386,8.5386,8.5386,0,0
BRLSEK,D,19950306,000000,8.4944,8.4944,8.4944,8.4944,0,0
BRLSEK,D,19950307,000000,8.1565,8.1565,8.1565,8.1565,0,0
BRLSEK,D,19950308,000000,8.1406,8.1406,8.1406,8.1406,0,0
BRLSEK,D,19950309,000000,7.9572,7.9572,7.9572,7.9572,0,0
BRLSEK,D,19950310,000000,8.1267,8.1267,8.1267,8.1267,0,0
BRLSEK,D,19950313,000000,8.1719,8.1719,8.1719,8.1719,0,0
BRLSEK,D,19950314,000000,8.2568,8.2568,8.2568,8.2568,0,0
BRLSEK,D,19950315,000000,8.192,8.192,8.192,8.192,0,0
BRLSEK,D,19950316,000000,8.057,8.057,8.057,8.057,0,0
BRLSEK,D,19950317,000000,8.0633,8.0633,8.0633,8.0633,0,0
BRLSEK,D,19950320,000000,7.9531,7.9531,7.9531,7.9531,0,0
BRLSEK,D,19950321,000000,8.1165,8.1165,8.1165,8.1165,0,0
BRLSEK,D,19950322,000000,7.9833,7.9833,7.9833,7.9833,0,0
BRLSEK,D,19950323,000000,8.0009,8.0009,8.0009,8.0009,0,0
BRLSEK,D,19950324,000000,8.0621,8.0621,8.0621,8.0621,0,0
BRLSEK,D,19950327,000000,8.0615,8.0615,8.0615,8.0615,0,0
BRLSEK,D,19950328,000000,8.0177,8.0177,8.0177,8.0177,0,0
BRLSEK,D,19950329,000000,8.067,8.067,8.067,8.067,0,0
BRLSEK,D,19950330,000000,8.1211,8.1211,8.1211,8.1211,0,0
BRLSEK,D,19950331,000000,8.245,8.245,8.245,8.245,0,0
BRLSEK,D,19950403,000000,8.2009,8.2009,8.2009,8.2009,0,0
BRLSEK,D,19950404,000000,8.2135,8.2135,8.2135,8.2135,0,0
BRLSEK,D,19950405,000000,8.2265,8.2265,8.2265,8.2265,0,0
BRLSEK,D,19950406,000000,8.2248,8.2248,8.2248,8.2248,0,0
BRLSEK,D,19950407,000000,8.2474,8.2474,8.2474,8.2474,0,0
BRLSEK,D,19950410,000000,8.1451,8.1451,8.1451,8.1451,0,0
BRLSEK,D,19950411,000000,8.137,8.137,8.137,8.137,0,0
BRLSEK,D,19950412,000000,8.1022,8.1022,8.1022,8.1022,0,0
BRLSEK,D,19950413,000000,8.0788,8.0788,8.0788,8.0788,0,0
BRLSEK,D,19950414,000000,8.0773,8.0773,8.0773,8.0773,0,0
BRLSEK,D,19950418,000000,8.0652,8.0652,8.0652,8.0652,0,0
BRLSEK,D,19950419,000000,7.9556,7.9556,7.9556,7.9556,0,0
BRLSEK,D,19950420,000000,7.952,7.952,7.952,7.952,0,0
BRLSEK,D,19950421,000000,8.0648,8.0648,8.0648,8.0648,0,0
BRLSEK,D,19950424,000000,8.1414,8.1414,8.1414,8.1414,0,0
BRLSEK,D,19950425,000000,8.0495,8.0495,8.0495,8.0495,0,0
BRLSEK,D,19950426,000000,8.0421,8.0421,8.0421,8.0421,0,0
BRLSEK,D,19950427,000000,8.0515,8.0515,8.0515,8.0515,0,0
BRLSEK,D,19950428,000000,7.8679,7.8679,7.8679,7.8679,0,0
BRLSEK,D,19950504,000000,8.0756,8.0756,8.0756,8.0756,0,0
BRLSEK,D,19950505,000000,8.0313,8.0313,8.0313,8.0313,0,0
BRLSEK,D,19950509,000000,7.9795,7.9795,7.9795,7.9795,0,0
BRLSEK,D,19950510,000000,8.0457,8.0457,8.0457,8.0457,0,0
BRLSEK,D,19950511,000000,7.9669,7.9669,7.9669,7.9669,0,0
BRLSEK,D,19950512,000000,8.0609,8.0609,8.0609,8.0609,0,0
BRLSEK,D,19950515,000000,8.2686,8.2686,8.2686,8.2686,0,0
BRLSEK,D,19950516,000000,8.2653,8.2653,8.2653,8.2653,0,0
BRLSEK,D,19950517,000000,8.2647,8.2647,8.2647,8.2647,0,0
BRLSEK,D,19950518,000000,8.3813,8.3813,8.3813,8.3813,0,0
BRLSEK,D,19950519,000000,8.2718,8.2718,8.2718,8.2718,0,0
BRLSEK,D,19950522,000000,8.313,8.313,8.313,8.313,0,0
BRLSEK,D,19950523,000000,8.311,8.311,8.311,8.311,0,0
BRLSEK,D,19950524,000000,8.3377,8.3377,8.3377,8.3377,0,0
BRLSEK,D,19950525,000000,8.2243,8.2243,8.2243,8.2243,0,0
BRLSEK,D,19950526,000000,8.1007,8.1007,8.1007,8.1007,0,0
BRLSEK,D,19950529,000000,8.1026,8.1026,8.1026,8.1026,0,0
BRLSEK,D,19950530,000000,8.0078,8.0078,8.0078,8.0078,0,0
BRLSEK,D,19950531,000000,7.9765,7.9765,7.9765,7.9765,0,0
BRLSEK,D,19950601,000000,8.1015,8.1015,8.1015,8.1015,0,0
BRLSEK,D,19950602,000000,8.0891,8.0891,8.0891,8.0891,0,0
BRLSEK,D,19950605,000000,8.0352,8.0352,8.0352,8.0352,0,0
BRLSEK,D,19950606,000000,7.9476,7.9476,7.9476,7.9476,0,0
BRLSEK,D,19950607,000000,7.9278,7.9278,7.9278,7.9278,0,0
BRLSEK,D,19950608,000000,7.9531,7.9531,7.9531,7.9531,0,0
BRLSEK,D,19950609,000000,7.8486,7.8486,7.8486,7.8486,0,0
BRLSEK,D,19950612,000000,7.8975,7.8975,7.8975,7.8975,0,0
BRLSEK,D,19950613,000000,7.878,7.878,7.878,7.878,0,0
BRLSEK,D,19950614,000000,8.0041,8.0041,8.0041,8.0041,0,0
BRLSEK,D,19950616,000000,8.0036,8.0036,8.0036,8.0036,0,0
BRLSEK,D,19950619,000000,7.9559,7.9559,7.9559,7.9559,0,0
BRLSEK,D,19950620,000000,7.9259,7.9259,7.9259,7.9259,0,0
BRLSEK,D,19950621,000000,7.9076,7.9076,7.9076,7.9076,0,0
BRLSEK,D,19950622,000000,7.8573,7.8573,7.8573,7.8573,0,0
BRLSEK,D,19950623,000000,7.9196,7.9196,7.9196,7.9196,0,0
BRLSEK,D,19950626,000000,7.884,7.884,7.884,7.884,0,0
BRLSEK,D,19950627,000000,7.8689,7.8689,7.8689,7.8689,0,0
BRLSEK,D,19950628,000000,7.9124,7.9124,7.9124,7.9124,0,0
BRLSEK,D,19950629,000000,7.9081,7.9081,7.9081,7.9081,0,0
BRLSEK,D,19950630,000000,7.9095,7.9095,7.9095,7.9095,0,0
BRLSEK,D,19950703,000000,7.8993,7.8993,7.8993,7.8993,0,0
BRLSEK,D,19950704,000000,7.8644,7.8644,7.8644,7.8644,0,0
BRLSEK,D,19950705,000000,7.8496,7.8496,7.8496,7.8496,0,0
BRLSEK,D,19950706,000000,7.8323,7.8323,7.8323,7.8323,0,0
BRLSEK,D,19950707,000000,7.8251,7.8251,7.8251,7.8251,0,0
BRLSEK,D,19950710,000000,7.8298,7.8298,7.8298,7.8298,0,0
BRLSEK,D,19950711,000000,7.8547,7.8547,7.8547,7.8547,0,0
BRLSEK,D,19950712,000000,7.816,7.816,7.816,7.816,0,0
BRLSEK,D,19950713,000000,7.8021,7.8021,7.8021,7.8021,0,0
BRLSEK,D,19950714,000000,7.7565,7.7565,7.7565,7.7565,0,0
BRLSEK,D,19950717,000000,7.7362,7.7362,7.7362,7.7362,0,0
BRLSEK,D,19950718,000000,7.7542,7.7542,7.7542,7.7542,0,0
BRLSEK,D,19950719,000000,7.7155,7.7155,7.7155,7.7155,0,0
BRLSEK,D,19950720,000000,7.7076,7.7076,7.7076,7.7076,0,0
BRLSEK,D,19950721,000000,7.6709,7.6709,7.6709,7.6709,0,0
BRLSEK,D,19950724,000000,7.6463,7.6463,7.6463,7.6463,0,0
BRLSEK,D,19950725,000000,7.6038,7.6038,7.6038,7.6038,0,0
BRLSEK,D,19950726,000000,7.6015,7.6015,7.6015,7.6015,0,0
BRLSEK,D,19950727,000000,7.5618,7.5618,7.5618,7.5618,0,0
BRLSEK,D,19950728,000000,7.5331,7.5331,7.5331,7.5331,0,0
BRLSEK,D,19950731,000000,7.5255,7.5255,7.5255,7.5255,0,0
BRLSEK,D,19950801,000000,7.5824,7.5824,7.5824,7.5824,0,0
BRLSEK,D,19950802,000000,7.5674,7.5674,7.5674,7.5674,0,0
BRLSEK,D,19950803,000000,7.5674,7.5674,7.5674,7.5674,0,0
BRLSEK,D,19950804,000000,7.5526,7.5526,7.5526,7.5526,0,0
BRLSEK,D,19950807,000000,7.5704,7.5704,7.5704,7.5704,0,0
BRLSEK,D,19950808,000000,7.6416,7.6416,7.6416,7.6416,0,0
BRLSEK,D,19950809,000000,7.6485,7.6485,7.6485,7.6485,0,0
BRLSEK,D,19950810,000000,7.6149,7.6149,7.6149,7.6149,0,0
BRLSEK,D,19950811,000000,7.6463,7.6463,7.6463,7.6463,0,0
BRLSEK,D,19950816,000000,7.7617,7.7617,7.7617,7.7617,0,0
BRLSEK,D,19950817,000000,7.7986,7.7986,7.7986,7.7986,0,0
BRLSEK,D,19950818,000000,7.8002,7.8002,7.8002,7.8002,0,0
BRLSEK,D,19950821,000000,7.8173,7.8173,7.8173,7.8173,0,0
BRLSEK,D,19950822,000000,7.8024,7.8024,7.8024,7.8024,0,0
BRLSEK,D,19950823,000000,7.7499,7.7499,7.7499,7.7499,0,0
BRLSEK,D,19950824,000000,7.7033,7.7033,7.7033,7.7033,0,0
BRLSEK,D,19950825,000000,7.7103,7.7103,7.7103,7.7103,0,0
BRLSEK,D,19950828,000000,7.6915,7.6915,7.6915,7.6915,0,0
BRLSEK,D,19950829,000000,7.6969,7.6969,7.6969,7.6969,0,0
BRLSEK,D,19950830,000000,7.7187,7.7187,7.7187,7.7187,0,0
BRLSEK,D,19950831,000000,7.6781,7.6781,7.6781,7.6781,0,0
BRLSEK,D,19950901,000000,7.7217,7.7217,7.7217,7.7217,0,0
BRLSEK,D,19950904,000000,7.6794,7.6794,7.6794,7.6794,0,0
BRLSEK,D,19950905,000000,7.6961,7.6961,7.6961,7.6961,0,0
BRLSEK,D,19950906,000000,7.6863,7.6863,7.6863,7.6863,0,0
BRLSEK,D,19950907,000000,7.6858,7.6858,7.6858,7.6858,0,0
BRLSEK,D,19950908,000000,7.6152,7.6152,7.6152,7.6152,0,0
BRLSEK,D,19950911,000000,7.4983,7.4983,7.4983,7.4983,0,0
BRLSEK,D,19950912,000000,7.4839,7.4839,7.4839,7.4839,0,0
BRLSEK,D,19950913,000000,7.4689,7.4689,7.4689,7.4689,0,0
BRLSEK,D,19950914,000000,7.5224,7.5224,7.5224,7.5224,0,0
BRLSEK,D,19950915,000000,7.5027,7.5027,7.5027,7.5027,0,0
BRLSEK,D,19950918,000000,7.534,7.534,7.534,7.534,0,0
BRLSEK,D,19950919,000000,7.5455,7.5455,7.5455,7.5455,0,0
BRLSEK,D,19950920,000000,7.4425,7.4425,7.4425,7.4425,0,0
BRLSEK,D,19950921,000000,7.4039,7.4039,7.4039,7.4039,0,0
BRLSEK,D,19950922,000000,7.4121,7.4121,7.4121,7.4121,0,0
BRLSEK,D,19950925,000000,7.342,7.342,7.342,7.342,0,0
