<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRLXAG,D,19950103,000000,0.24967,0.24967,0.24967,0.24967,0,0
BRLXAG,D,19950104,000000,0.25671,0.25671,0.25671,0.25671,0,0
BRLXAG,D,19950105,000000,0.25239,0.25239,0.25239,0.25239,0,0
BRLXAG,D,19950106,000000,0.25712,0.25712,0.25712,0.25712,0,0
BRLXAG,D,19950109,000000,0.25371,0.25371,0.25371,0.25371,0,0
BRLXAG,D,19950110,000000,0.25227,0.25227,0.25227,0.25227,0,0
BRLXAG,D,19950111,000000,0.24843,0.24843,0.24843,0.24843,0,0
BRLXAG,D,19950112,000000,0.24451,0.24451,0.24451,0.24451,0,0
BRLXAG,D,19950113,000000,0.24546,0.24546,0.24546,0.24546,0,0
BRLXAG,D,19950116,000000,0.24495,0.24495,0.24495,0.24495,0,0
BRLXAG,D,19950117,000000,0.24272,0.24272,0.24272,0.24272,0,0
BRLXAG,D,19950118,000000,0.24222,0.24222,0.24222,0.24222,0,0
BRLXAG,D,19950119,000000,0.24165,0.24165,0.24165,0.24165,0,0
BRLXAG,D,19950120,000000,0.24017,0.24017,0.24017,0.24017,0,0
BRLXAG,D,19950123,000000,0.24459,0.24459,0.24459,0.24459,0,0
BRLXAG,D,19950124,000000,0.24329,0.24329,0.24329,0.24329,0,0
BRLXAG,D,19950125,000000,0.24635,0.24635,0.24635,0.24635,0,0
BRLXAG,D,19950126,000000,0.24706,0.24706,0.24706,0.24706,0,0
BRLXAG,D,19950127,000000,0.25371,0.25371,0.25371,0.25371,0,0
BRLXAG,D,19950130,000000,0.25043,0.25043,0.25043,0.25043,0,0
BRLXAG,D,19950131,000000,0.25516,0.25516,0.25516,0.25516,0,0
BRLXAG,D,19950201,000000,0.25377,0.25377,0.25377,0.25377,0,0
BRLXAG,D,19950202,000000,0.25306,0.25306,0.25306,0.25306,0,0
BRLXAG,D,19950203,000000,0.25577,0.25577,0.25577,0.25577,0,0
BRLXAG,D,19950206,000000,0.25397,0.25397,0.25397,0.25397,0,0
BRLXAG,D,19950207,000000,0.25614,0.25614,0.25614,0.25614,0,0
BRLXAG,D,19950208,000000,0.25373,0.25373,0.25373,0.25373,0,0
BRLXAG,D,19950209,000000,0.25273,0.25273,0.25273,0.25273,0,0
BRLXAG,D,19950210,000000,0.2519,0.2519,0.2519,0.2519,0,0
BRLXAG,D,19950213,000000,0.25411,0.25411,0.25411,0.25411,0,0
BRLXAG,D,19950214,000000,0.2519,0.2519,0.2519,0.2519,0,0
BRLXAG,D,19950215,000000,0.25236,0.25236,0.25236,0.25236,0,0
BRLXAG,D,19950216,000000,0.25049,0.25049,0.25049,0.25049,0,0
BRLXAG,D,19950217,000000,0.24664,0.24664,0.24664,0.24664,0,0
BRLXAG,D,19950220,000000,0.24876,0.24876,0.24876,0.24876,0,0
BRLXAG,D,19950221,000000,0.25056,0.25056,0.25056,0.25056,0,0
BRLXAG,D,19950222,000000,0.24415,0.24415,0.24415,0.24415,0,0
BRLXAG,D,19950223,000000,0.24546,0.24546,0.24546,0.24546,0,0
BRLXAG,D,19950224,000000,0.2532,0.2532,0.2532,0.2532,0,0
BRLXAG,D,19950227,000000,0.26171,0.26171,0.26171,0.26171,0,0
BRLXAG,D,19950228,000000,0.25998,0.25998,0.25998,0.25998,0,0
BRLXAG,D,19950301,000000,0.26797,0.26797,0.26797,0.26797,0,0
BRLXAG,D,19950302,000000,0.26495,0.26495,0.26495,0.26495,0,0
BRLXAG,D,19950303,000000,0.26458,0.26458,0.26458,0.26458,0,0
BRLXAG,D,19950306,000000,0.25775,0.25775,0.25775,0.25775,0,0
BRLXAG,D,19950307,000000,0.24038,0.24038,0.24038,0.24038,0,0
BRLXAG,D,19950308,000000,0.24722,0.24722,0.24722,0.24722,0,0
BRLXAG,D,19950309,000000,0.244,0.244,0.244,0.244,0,0
BRLXAG,D,19950310,000000,0.24701,0.24701,0.24701,0.24701,0,0
BRLXAG,D,19950313,000000,0.24099,0.24099,0.24099,0.24099,0,0
BRLXAG,D,19950314,000000,0.24151,0.24151,0.24151,0.24151,0,0
BRLXAG,D,19950315,000000,0.23788,0.23788,0.23788,0.23788,0,0
BRLXAG,D,19950316,000000,0.23517,0.23517,0.23517,0.23517,0,0
BRLXAG,D,19950317,000000,0.23543,0.23543,0.23543,0.23543,0,0
BRLXAG,D,19950320,000000,0.23354,0.23354,0.23354,0.23354,0,0
BRLXAG,D,19950321,000000,0.24209,0.24209,0.24209,0.24209,0,0
BRLXAG,D,19950322,000000,0.23737,0.23737,0.23737,0.23737,0,0
BRLXAG,D,19950323,000000,0.23482,0.23482,0.23482,0.23482,0,0
BRLXAG,D,19950324,000000,0.23812,0.23812,0.23812,0.23812,0,0
BRLXAG,D,19950327,000000,0.23786,0.23786,0.23786,0.23786,0,0
BRLXAG,D,19950328,000000,0.23184,0.23184,0.23184,0.23184,0,0
BRLXAG,D,19950329,000000,0.23188,0.23188,0.23188,0.23188,0,0
BRLXAG,D,19950330,000000,0.21403,0.21403,0.21403,0.21403,0,0
BRLXAG,D,19950331,000000,0.21004,0.21004,0.21004,0.21004,0,0
BRLXAG,D,19950403,000000,0.20911,0.20911,0.20911,0.20911,0,0
BRLXAG,D,19950404,000000,0.21027,0.21027,0.21027,0.21027,0,0
BRLXAG,D,19950405,000000,0.2047,0.2047,0.2047,0.2047,0,0
BRLXAG,D,19950406,000000,0.20615,0.20615,0.20615,0.20615,0,0
BRLXAG,D,19950407,000000,0.20714,0.20714,0.20714,0.20714,0,0
BRLXAG,D,19950410,000000,0.21228,0.21228,0.21228,0.21228,0,0
BRLXAG,D,19950411,000000,0.20784,0.20784,0.20784,0.20784,0,0
BRLXAG,D,19950412,000000,0.20724,0.20724,0.20724,0.20724,0,0
BRLXAG,D,19950413,000000,0.20525,0.20525,0.20525,0.20525,0,0
BRLXAG,D,19950414,000000,0.20186,0.20186,0.20186,0.20186,0,0
BRLXAG,D,19950418,000000,0.18304,0.18304,0.18304,0.18304,0,0
BRLXAG,D,19950419,000000,0.19016,0.19016,0.19016,0.19016,0,0
BRLXAG,D,19950420,000000,0.19145,0.19145,0.19145,0.19145,0,0
BRLXAG,D,19950421,000000,0.1939,0.1939,0.1939,0.1939,0,0
BRLXAG,D,19950424,000000,0.19352,0.19352,0.19352,0.19352,0,0
BRLXAG,D,19950425,000000,0.19015,0.19015,0.19015,0.19015,0,0
BRLXAG,D,19950426,000000,0.19508,0.19508,0.19508,0.19508,0,0
BRLXAG,D,19950427,000000,0.18673,0.18673,0.18673,0.18673,0,0
BRLXAG,D,19950428,000000,0.19148,0.19148,0.19148,0.19148,0,0
BRLXAG,D,19950504,000000,0.18214,0.18214,0.18214,0.18214,0,0
BRLXAG,D,19950505,000000,0.18375,0.18375,0.18375,0.18375,0,0
BRLXAG,D,19950509,000000,0.2027,0.2027,0.2027,0.2027,0,0
BRLXAG,D,19950510,000000,0.20638,0.20638,0.20638,0.20638,0,0
BRLXAG,D,19950511,000000,0.20939,0.20939,0.20939,0.20939,0,0
BRLXAG,D,19950512,000000,0.20979,0.20979,0.20979,0.20979,0,0
BRLXAG,D,19950515,000000,0.20716,0.20716,0.20716,0.20716,0,0
BRLXAG,D,19950516,000000,0.20769,0.20769,0.20769,0.20769,0,0
BRLXAG,D,19950517,000000,0.20924,0.20924,0.20924,0.20924,0,0
BRLXAG,D,19950518,000000,0.20769,0.20769,0.20769,0.20769,0,0
BRLXAG,D,19950519,000000,0.20861,0.20861,0.20861,0.20861,0,0
BRLXAG,D,19950522,000000,0.21264,0.21264,0.21264,0.21264,0,0
BRLXAG,D,19950523,000000,0.20792,0.20792,0.20792,0.20792,0,0
BRLXAG,D,19950524,000000,0.20415,0.20415,0.20415,0.20415,0,0
BRLXAG,D,19950525,000000,0.20449,0.20449,0.20449,0.20449,0,0
BRLXAG,D,19950526,000000,0.2047,0.2047,0.2047,0.2047,0,0
BRLXAG,D,19950529,000000,0.20358,0.20358,0.20358,0.20358,0,0
BRLXAG,D,19950530,000000,0.20842,0.20842,0.20842,0.20842,0,0
BRLXAG,D,19950531,000000,0.2078,0.2078,0.2078,0.2078,0,0
BRLXAG,D,19950601,000000,0.20585,0.20585,0.20585,0.20585,0,0
BRLXAG,D,19950602,000000,0.21151,0.21151,0.21151,0.21151,0,0
BRLXAG,D,19950605,000000,0.20816,0.20816,0.20816,0.20816,0,0
BRLXAG,D,19950606,000000,0.20819,0.20819,0.20819,0.20819,0,0
BRLXAG,D,19950607,000000,0.20479,0.20479,0.20479,0.20479,0,0
BRLXAG,D,19950608,000000,0.20672,0.20672,0.20672,0.20672,0,0
BRLXAG,D,19950609,000000,0.19988,0.19988,0.19988,0.19988,0,0
BRLXAG,D,19950612,000000,0.20263,0.20263,0.20263,0.20263,0,0
BRLXAG,D,19950613,000000,0.20383,0.20383,0.20383,0.20383,0,0
BRLXAG,D,19950614,000000,0.20764,0.20764,0.20764,0.20764,0,0
BRLXAG,D,19950616,000000,0.20297,0.20297,0.20297,0.20297,0,0
BRLXAG,D,19950619,000000,0.19973,0.19973,0.19973,0.19973,0,0
BRLXAG,D,19950620,000000,0.1998,0.1998,0.1998,0.1998,0,0
BRLXAG,D,19950621,000000,0.19929,0.19929,0.19929,0.19929,0,0
BRLXAG,D,19950622,000000,0.20263,0.20263,0.20263,0.20263,0,0
BRLXAG,D,19950623,000000,0.20301,0.20301,0.20301,0.20301,0,0
BRLXAG,D,19950626,000000,0.20553,0.20553,0.20553,0.20553,0,0
BRLXAG,D,19950627,000000,0.20415,0.20415,0.20415,0.20415,0,0
BRLXAG,D,19950628,000000,0.20766,0.20766,0.20766,0.20766,0,0
BRLXAG,D,19950629,000000,0.20492,0.20492,0.20492,0.20492,0,0
BRLXAG,D,19950630,000000,0.21543,0.21543,0.21543,0.21543,0,0
BRLXAG,D,19950703,000000,0.21397,0.21397,0.21397,0.21397,0,0
BRLXAG,D,19950704,000000,0.21439,0.21439,0.21439,0.21439,0,0
BRLXAG,D,19950705,000000,0.21411,0.21411,0.21411,0.21411,0,0
BRLXAG,D,19950706,000000,0.21156,0.21156,0.21156,0.21156,0,0
BRLXAG,D,19950707,000000,0.20951,0.20951,0.20951,0.20951,0,0
BRLXAG,D,19950710,000000,0.20992,0.20992,0.20992,0.20992,0,0
BRLXAG,D,19950711,000000,0.20967,0.20967,0.20967,0.20967,0,0
BRLXAG,D,19950712,000000,0.20651,0.20651,0.20651,0.20651,0,0
BRLXAG,D,19950713,000000,0.20768,0.20768,0.20768,0.20768,0,0
BRLXAG,D,19950714,000000,0.2062,0.2062,0.2062,0.2062,0,0
BRLXAG,D,19950717,000000,0.2012,0.2012,0.2012,0.2012,0,0
BRLXAG,D,19950718,000000,0.20255,0.20255,0.20255,0.20255,0,0
BRLXAG,D,19950719,000000,0.20701,0.20701,0.20701,0.20701,0,0
BRLXAG,D,19950720,000000,0.21003,0.21003,0.21003,0.21003,0,0
BRLXAG,D,19950721,000000,0.20605,0.20605,0.20605,0.20605,0,0
BRLXAG,D,19950724,000000,0.20687,0.20687,0.20687,0.20687,0,0
BRLXAG,D,19950725,000000,0.20718,0.20718,0.20718,0.20718,0,0
BRLXAG,D,19950726,000000,0.20563,0.20563,0.20563,0.20563,0,0
BRLXAG,D,19950727,000000,0.20953,0.20953,0.20953,0.20953,0,0
BRLXAG,D,19950728,000000,0.21066,0.21066,0.21066,0.21066,0,0
BRLXAG,D,19950731,000000,0.21214,0.21214,0.21214,0.21214,0,0
BRLXAG,D,19950801,000000,0.20716,0.20716,0.20716,0.20716,0,0
BRLXAG,D,19950802,000000,0.20923,0.20923,0.20923,0.20923,0,0
BRLXAG,D,19950803,000000,0.20725,0.20725,0.20725,0.20725,0,0
BRLXAG,D,19950804,000000,0.20665,0.20665,0.20665,0.20665,0,0
BRLXAG,D,19950807,000000,0.20566,0.20566,0.20566,0.20566,0,0
BRLXAG,D,19950808,000000,0.20254,0.20254,0.20254,0.20254,0,0
BRLXAG,D,19950809,000000,0.20268,0.20268,0.20268,0.20268,0,0
BRLXAG,D,19950810,000000,0.20137,0.20137,0.20137,0.20137,0,0
BRLXAG,D,19950811,000000,0.20324,0.20324,0.20324,0.20324,0,0
BRLXAG,D,19950816,000000,0.19744,0.19744,0.19744,0.19744,0,0
BRLXAG,D,19950817,000000,0.18874,0.18874,0.18874,0.18874,0,0
BRLXAG,D,19950818,000000,0.18606,0.18606,0.18606,0.18606,0,0
BRLXAG,D,19950821,000000,0.18317,0.18317,0.18317,0.18317,0,0
BRLXAG,D,19950822,000000,0.1876,0.1876,0.1876,0.1876,0,0
BRLXAG,D,19950823,000000,0.18737,0.18737,0.18737,0.18737,0,0
BRLXAG,D,19950824,000000,0.18867,0.18867,0.18867,0.18867,0,0
BRLXAG,D,19950825,000000,0.18823,0.18823,0.18823,0.18823,0,0
BRLXAG,D,19950828,000000,0.1877,0.1877,0.1877,0.1877,0,0
BRLXAG,D,19950829,000000,0.19234,0.19234,0.19234,0.19234,0,0
BRLXAG,D,19950830,000000,0.19989,0.19989,0.19989,0.19989,0,0
BRLXAG,D,19950831,000000,0.19712,0.19712,0.19712,0.19712,0,0
BRLXAG,D,19950901,000000,0.19832,0.19832,0.19832,0.19832,0,0
BRLXAG,D,19950904,000000,0.19869,0.19869,0.19869,0.19869,0,0
BRLXAG,D,19950905,000000,0.20124,0.20124,0.20124,0.20124,0,0
BRLXAG,D,19950906,000000,0.19778,0.19778,0.19778,0.19778,0,0
BRLXAG,D,19950907,000000,0.19387,0.19387,0.19387,0.19387,0,0
BRLXAG,D,19950908,000000,0.19545,0.19545,0.19545,0.19545,0,0
BRLXAG,D,19950911,000000,0.19078,0.19078,0.19078,0.19078,0,0
BRLXAG,D,19950912,000000,0.19045,0.19045,0.19045,0.19045,0,0
BRLXAG,D,19950913,000000,0.19345,0.19345,0.19345,0.19345,0,0
