<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRLXAU,D,19950103,000000,0.0031188,0.0031188,0.0031188,0.0031188,0,0
BRLXAU,D,19950104,000000,0.0031617,0.0031617,0.0031617,0.0031617,0,0
BRLXAU,D,19950105,000000,0.0031604,0.0031604,0.0031604,0.0031604,0,0
BRLXAU,D,19950106,000000,0.0032028,0.0032028,0.0032028,0.0032028,0,0
BRLXAU,D,19950109,000000,0.0031757,0.0031757,0.0031757,0.0031757,0,0
BRLXAU,D,19950110,000000,0.0031526,0.0031526,0.0031526,0.0031526,0,0
BRLXAU,D,19950111,000000,0.0031228,0.0031228,0.0031228,0.0031228,0,0
BRLXAU,D,19950112,000000,0.0031143,0.0031143,0.0031143,0.0031143,0,0
BRLXAU,D,19950113,000000,0.0031201,0.0031201,0.0031201,0.0031201,0,0
BRLXAU,D,19950116,000000,0.0031271,0.0031271,0.0031271,0.0031271,0,0
BRLXAU,D,19950117,000000,0.0031098,0.0031098,0.0031098,0.0031098,0,0
BRLXAU,D,19950118,000000,0.0030939,0.0030939,0.0030939,0.0030939,0,0
BRLXAU,D,19950119,000000,0.003079,0.003079,0.003079,0.003079,0,0
BRLXAU,D,19950120,000000,0.0030654,0.0030654,0.0030654,0.0030654,0,0
BRLXAU,D,19950123,000000,0.0030887,0.0030887,0.0030887,0.0030887,0,0
BRLXAU,D,19950124,000000,0.0030814,0.0030814,0.0030814,0.0030814,0,0
BRLXAU,D,19950125,000000,0.0030875,0.0030875,0.0030875,0.0030875,0,0
BRLXAU,D,19950126,000000,0.0031029,0.0031029,0.0031029,0.0031029,0,0
BRLXAU,D,19950127,000000,0.0031449,0.0031449,0.0031449,0.0031449,0,0
BRLXAU,D,19950130,000000,0.0031387,0.0031387,0.0031387,0.0031387,0,0
BRLXAU,D,19950131,000000,0.0031721,0.0031721,0.0031721,0.0031721,0,0
BRLXAU,D,19950201,000000,0.0031595,0.0031595,0.0031595,0.0031595,0,0
BRLXAU,D,19950202,000000,0.0031678,0.0031678,0.0031678,0.0031678,0,0
BRLXAU,D,19950203,000000,0.0031725,0.0031725,0.0031725,0.0031725,0,0
BRLXAU,D,19950206,000000,0.0031864,0.0031864,0.0031864,0.0031864,0,0
BRLXAU,D,19950207,000000,0.0031962,0.0031962,0.0031962,0.0031962,0,0
BRLXAU,D,19950208,000000,0.0031902,0.0031902,0.0031902,0.0031902,0,0
BRLXAU,D,19950209,000000,0.0031945,0.0031945,0.0031945,0.0031945,0,0
BRLXAU,D,19950210,000000,0.0031911,0.0031911,0.0031911,0.0031911,0,0
BRLXAU,D,19950213,000000,0.0032034,0.0032034,0.0032034,0.0032034,0,0
BRLXAU,D,19950214,000000,0.0031898,0.0031898,0.0031898,0.0031898,0,0
BRLXAU,D,19950215,000000,0.0031805,0.0031805,0.0031805,0.0031805,0,0
BRLXAU,D,19950216,000000,0.0031495,0.0031495,0.0031495,0.0031495,0,0
BRLXAU,D,19950217,000000,0.0031107,0.0031107,0.0031107,0.0031107,0,0
BRLXAU,D,19950220,000000,0.0031357,0.0031357,0.0031357,0.0031357,0,0
BRLXAU,D,19950221,000000,0.0031411,0.0031411,0.0031411,0.0031411,0,0
BRLXAU,D,19950222,000000,0.0031086,0.0031086,0.0031086,0.0031086,0,0
BRLXAU,D,19950223,000000,0.0031151,0.0031151,0.0031151,0.0031151,0,0
BRLXAU,D,19950224,000000,0.0031146,0.0031146,0.0031146,0.0031146,0,0
BRLXAU,D,19950227,000000,0.0031244,0.0031244,0.0031244,0.0031244,0,0
BRLXAU,D,19950228,000000,0.0031203,0.0031203,0.0031203,0.0031203,0,0
BRLXAU,D,19950301,000000,0.0031324,0.0031324,0.0031324,0.0031324,0,0
BRLXAU,D,19950302,000000,0.0031183,0.0031183,0.0031183,0.0031183,0,0
BRLXAU,D,19950303,000000,0.0030928,0.0030928,0.0030928,0.0030928,0,0
BRLXAU,D,19950306,000000,0.0030496,0.0030496,0.0030496,0.0030496,0,0
BRLXAU,D,19950307,000000,0.0029382,0.0029382,0.0029382,0.0029382,0,0
BRLXAU,D,19950308,000000,0.0029629,0.0029629,0.0029629,0.0029629,0,0
BRLXAU,D,19950309,000000,0.0029512,0.0029512,0.0029512,0.0029512,0,0
BRLXAU,D,19950310,000000,0.0029711,0.0029711,0.0029711,0.0029711,0,0
BRLXAU,D,19950313,000000,0.0029498,0.0029498,0.0029498,0.0029498,0,0
BRLXAU,D,19950314,000000,0.0029444,0.0029444,0.0029444,0.0029444,0,0
BRLXAU,D,19950315,000000,0.0029258,0.0029258,0.0029258,0.0029258,0,0
BRLXAU,D,19950316,000000,0.0028956,0.0028956,0.0028956,0.0028956,0,0
BRLXAU,D,19950317,000000,0.0029064,0.0029064,0.0029064,0.0029064,0,0
BRLXAU,D,19950320,000000,0.0028631,0.0028631,0.0028631,0.0028631,0,0
BRLXAU,D,19950321,000000,0.0029174,0.0029174,0.0029174,0.0029174,0,0
BRLXAU,D,19950322,000000,0.0028868,0.0028868,0.0028868,0.0028868,0,0
BRLXAU,D,19950323,000000,0.0028706,0.0028706,0.0028706,0.0028706,0,0
BRLXAU,D,19950324,000000,0.0028821,0.0028821,0.0028821,0.0028821,0,0
BRLXAU,D,19950327,000000,0.0028794,0.0028794,0.0028794,0.0028794,0,0
BRLXAU,D,19950328,000000,0.0028737,0.0028737,0.0028737,0.0028737,0,0
BRLXAU,D,19950329,000000,0.0028902,0.0028902,0.0028902,0.0028902,0,0
BRLXAU,D,19950330,000000,0.0028759,0.0028759,0.0028759,0.0028759,0,0
BRLXAU,D,19950331,000000,0.0028454,0.0028454,0.0028454,0.0028454,0,0
BRLXAU,D,19950403,000000,0.002823,0.002823,0.002823,0.002823,0,0
BRLXAU,D,19950404,000000,0.0028405,0.0028405,0.0028405,0.0028405,0,0
BRLXAU,D,19950405,000000,0.0028231,0.0028231,0.0028231,0.0028231,0,0
BRLXAU,D,19950406,000000,0.0028423,0.0028423,0.0028423,0.0028423,0,0
BRLXAU,D,19950407,000000,0.0028347,0.0028347,0.0028347,0.0028347,0,0
