<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTCCAD,D,20100719,000000,0.0852,0.0852,0.0852,0.0852,0,0
BTCCAD,D,20100720,000000,0.07848,0.07848,0.07848,0.07848,0,0
BTCCAD,D,20100721,000000,0.0826,0.0826,0.0826,0.0826,0,0
BTCCAD,D,20100722,000000,0.05236,0.05236,0.05236,0.05236,0,0
BTCCAD,D,20100723,000000,0.06501,0.06501,0.06501,0.06501,0,0
BTCCAD,D,20100726,000000,0.05776,0.05776,0.05776,0.05776,0,0
BTCCAD,D,20100727,000000,0.06214,0.06214,0.06214,0.06214,0,0
BTCCAD,D,20100728,000000,0.061,0.061,0.061,0.061,0,0
BTCCAD,D,20100729,000000,0.07251,0.07251,0.07251,0.07251,0,0
BTCCAD,D,20100730,000000,0.06447,0.06447,0.06447,0.06447,0,0
BTCCAD,D,20100802,000000,0.06137,0.06137,0.06137,0.06137,0,0
BTCCAD,D,20100803,000000,0.06142,0.06142,0.06142,0.06142,0,0
BTCCAD,D,20100804,000000,0.05804,0.05804,0.05804,0.05804,0,0
BTCCAD,D,20100805,000000,0.06198,0.06198,0.06198,0.06198,0,0
BTCCAD,D,20100806,000000,0.0641,0.0641,0.0641,0.0641,0,0
BTCCAD,D,20100809,000000,0.0729,0.0729,0.0729,0.0729,0,0
BTCCAD,D,20100810,000000,0.07253,0.07253,0.07253,0.07253,0,0
BTCCAD,D,20100811,000000,0.07011,0.07011,0.07011,0.07011,0,0
BTCCAD,D,20100812,000000,0.07297,0.07297,0.07297,0.07297,0,0
BTCCAD,D,20100813,000000,0.06702,0.06702,0.06702,0.06702,0,0
BTCCAD,D,20100816,000000,0.06834,0.06834,0.06834,0.06834,0,0
BTCCAD,D,20100817,000000,0.07228,0.07228,0.07228,0.07228,0,0
BTCCAD,D,20100818,000000,0.06995,0.06995,0.06995,0.06995,0,0
BTCCAD,D,20100819,000000,0.06929,0.06929,0.06929,0.06929,0,0
BTCCAD,D,20100820,000000,0.06871,0.06871,0.06871,0.06871,0,0
BTCCAD,D,20100823,000000,0.06824,0.06824,0.06824,0.06824,0,0
BTCCAD,D,20100824,000000,0.06884,0.06884,0.06884,0.06884,0,0
BTCCAD,D,20100825,000000,0.06886,0.06886,0.06886,0.06886,0,0
BTCCAD,D,20100826,000000,0.06754,0.06754,0.06754,0.06754,0,0
BTCCAD,D,20100827,000000,0.0687,0.0687,0.0687,0.0687,0,0
BTCCAD,D,20100830,000000,0.0686,0.0686,0.0686,0.0686,0,0
BTCCAD,D,20100831,000000,0.064,0.064,0.064,0.064,0,0
BTCCAD,D,20100901,000000,0.0661,0.0661,0.0661,0.0661,0,0
BTCCAD,D,20100902,000000,0.06677,0.06677,0.06677,0.06677,0,0
BTCCAD,D,20100903,000000,0.06325,0.06325,0.06325,0.06325,0,0
BTCCAD,D,20100906,000000,0.06375,0.06375,0.06375,0.06375,0,0
