<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTCCLP,D,20100719,000000,43.08,43.08,43.08,43.08,0,0
BTCCLP,D,20100720,000000,39.761,39.761,39.761,39.761,0,0
BTCCLP,D,20100721,000000,41.473,41.473,41.473,41.473,0,0
BTCCLP,D,20100722,000000,25.97,25.97,25.97,25.97,0,0
BTCCLP,D,20100723,000000,32.855,32.855,32.855,32.855,0,0
BTCCLP,D,20100726,000000,28.68,28.68,28.68,28.68,0,0
BTCCLP,D,20100727,000000,31.157,31.157,31.157,31.157,0,0
BTCCLP,D,20100728,000000,30.808,30.808,30.808,30.808,0,0
BTCCLP,D,20100729,000000,36.623,36.623,36.623,36.623,0,0
BTCCLP,D,20100730,000000,32.608,32.608,32.608,32.608,0,0
BTCCLP,D,20100802,000000,30.958,30.958,30.958,30.958,0,0
BTCCLP,D,20100803,000000,31.074,31.074,31.074,31.074,0,0
BTCCLP,D,20100804,000000,29.303,29.303,29.303,29.303,0,0
BTCCLP,D,20100805,000000,31.483,31.483,31.483,31.483,0,0
BTCCLP,D,20100806,000000,31.89,31.89,31.89,31.89,0,0
BTCCLP,D,20100809,000000,36.295,36.295,36.295,36.295,0,0
BTCCLP,D,20100810,000000,36.208,36.208,36.208,36.208,0,0
BTCCLP,D,20100811,000000,34.812,34.812,34.812,34.812,0,0
BTCCLP,D,20100812,000000,35.437,35.437,35.437,35.437,0,0
BTCCLP,D,20100813,000000,33.079,33.079,33.079,33.079,0,0
BTCCLP,D,20100816,000000,32.843,32.843,32.843,32.843,0,0
BTCCLP,D,20100817,000000,34.976,34.976,34.976,34.976,0,0
BTCCLP,D,20100818,000000,33.786,33.786,33.786,33.786,0,0
BTCCLP,D,20100819,000000,33.784,33.784,33.784,33.784,0,0
BTCCLP,D,20100820,000000,33.315,33.315,33.315,33.315,0,0
BTCCLP,D,20100823,000000,32.965,32.965,32.965,32.965,0,0
BTCCLP,D,20100824,000000,32.692,32.692,32.692,32.692,0,0
BTCCLP,D,20100825,000000,32.91,32.91,32.91,32.91,0,0
BTCCLP,D,20100826,000000,32.131,32.131,32.131,32.131,0,0
BTCCLP,D,20100827,000000,32.33,32.33,32.33,32.33,0,0
BTCCLP,D,20100830,000000,32.709,32.709,32.709,32.709,0,0
BTCCLP,D,20100831,000000,30.075,30.075,30.075,30.075,0,0
BTCCLP,D,20100901,000000,31.074,31.074,31.074,31.074,0,0
BTCCLP,D,20100902,000000,31.497,31.497,31.497,31.497,0,0
BTCCLP,D,20100903,000000,29.776,29.776,29.776,29.776,0,0
BTCCLP,D,20100906,000000,30.522,30.522,30.522,30.522,0,0
BTCCLP,D,20100907,000000,30.389,30.389,30.389,30.389,0,0
BTCCLP,D,20100908,000000,30.599,30.599,30.599,30.599,0,0
BTCCLP,D,20100909,000000,30.246,30.246,30.246,30.246,0,0
BTCCLP,D,20100910,000000,30.775,30.775,30.775,30.775,0,0
BTCCLP,D,20100913,000000,30.609,30.609,30.609,30.609,0,0
BTCCLP,D,20100914,000000,30.137,30.137,30.137,30.137,0,0
BTCCLP,D,20100915,000000,29.817,29.817,29.817,29.817,0,0
BTCCLP,D,20100916,000000,30.802,30.802,30.802,30.802,0,0
BTCCLP,D,20100917,000000,29.534,29.534,29.534,29.534,0,0
BTCCLP,D,20100920,000000,30.799,30.799,30.799,30.799,0,0
BTCCLP,D,20100921,000000,31.234,31.234,31.234,31.234,0,0
BTCCLP,D,20100922,000000,30.626,30.626,30.626,30.626,0,0
BTCCLP,D,20100923,000000,30.373,30.373,30.373,30.373,0,0
BTCCLP,D,20100924,000000,29.856,29.856,29.856,29.856,0,0
BTCCLP,D,20100927,000000,30.068,30.068,30.068,30.068,0,0
BTCCLP,D,20100928,000000,29.62,29.62,29.62,29.62,0,0
BTCCLP,D,20100929,000000,29.965,29.965,29.965,29.965,0,0
BTCCLP,D,20100930,000000,29.825,29.825,29.825,29.825,0,0
BTCCLP,D,20101001,000000,29.6,29.6,29.6,29.6,0,0
BTCCLP,D,20101004,000000,29.82,29.82,29.82,29.82,0,0
BTCCLP,D,20101005,000000,29.358,29.358,29.358,29.358,0,0
BTCCLP,D,20101006,000000,30.29,30.29,30.29,30.29,0,0
BTCCLP,D,20101007,000000,32.681,32.681,32.681,32.681,0,0
BTCCLP,D,20101008,000000,41.625,41.625,41.625,41.625,0,0
BTCCLP,D,20101011,000000,45.741,45.741,45.741,45.741,0,0
BTCCLP,D,20101012,000000,44.778,44.778,44.778,44.778,0,0
BTCCLP,D,20101013,000000,49.588,49.588,49.588,49.588,0,0
BTCCLP,D,20101014,000000,49.028,49.028,49.028,49.028,0,0
BTCCLP,D,20101015,000000,50.54,50.54,50.54,50.54,0,0
BTCCLP,D,20101018,000000,48.813,48.813,48.813,48.813,0,0
BTCCLP,D,20101019,000000,47.843,47.843,47.843,47.843,0,0
BTCCLP,D,20101020,000000,47.267,47.267,47.267,47.267,0,0
BTCCLP,D,20101021,000000,52.36,52.36,52.36,52.36,0,0
BTCCLP,D,20101022,000000,49.702,49.702,49.702,49.702,0,0
BTCCLP,D,20101025,000000,64.26,64.26,64.26,64.26,0,0
BTCCLP,D,20101026,000000,74.09,74.09,74.09,74.09,0,0
BTCCLP,D,20101027,000000,93.6,93.6,93.6,93.6,0,0
BTCCLP,D,20101028,000000,84.38,84.38,84.38,84.38,0,0
BTCCLP,D,20101029,000000,91.83,91.83,91.83,91.83,0,0
BTCCLP,D,20101102,000000,93.76,93.76,93.76,93.76,0,0
BTCCLP,D,20101103,000000,94.03,94.03,94.03,94.03,0,0
BTCCLP,D,20101104,000000,110.74,110.74,110.74,110.74,0,0
BTCCLP,D,20101105,000000,125.2,125.2,125.2,125.2,0,0
