<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTCGBP,D,20100719,000000,0.05307,0.05307,0.05307,0.05307,0,0
BTCGBP,D,20100720,000000,0.04889,0.04889,0.04889,0.04889,0,0
BTCGBP,D,20100721,000000,0.05216,0.05216,0.05216,0.05216,0,0
BTCGBP,D,20100722,000000,0.0331,0.0331,0.0331,0.0331,0,0
BTCGBP,D,20100723,000000,0.04067,0.04067,0.04067,0.04067,0,0
BTCGBP,D,20100726,000000,0.03616,0.03616,0.03616,0.03616,0,0
BTCGBP,D,20100727,000000,0.03856,0.03856,0.03856,0.03856,0,0
BTCGBP,D,20100728,000000,0.03774,0.03774,0.03774,0.03774,0,0
BTCGBP,D,20100729,000000,0.04483,0.04483,0.04483,0.04483,0,0
BTCGBP,D,20100730,000000,0.03995,0.03995,0.03995,0.03995,0,0
BTCGBP,D,20100802,000000,0.03776,0.03776,0.03776,0.03776,0,0
BTCGBP,D,20100803,000000,0.03766,0.03766,0.03766,0.03766,0,0
BTCGBP,D,20100804,000000,0.0359,0.0359,0.0359,0.0359,0,0
BTCGBP,D,20100805,000000,0.03844,0.03844,0.03844,0.03844,0,0
BTCGBP,D,20100806,000000,0.03903,0.03903,0.03903,0.03903,0,0
BTCGBP,D,20100809,000000,0.0446,0.0446,0.0446,0.0446,0,0
BTCGBP,D,20100810,000000,0.04433,0.04433,0.04433,0.04433,0,0
BTCGBP,D,20100811,000000,0.0428,0.0428,0.0428,0.0428,0,0
BTCGBP,D,20100812,000000,0.04494,0.04494,0.04494,0.04494,0,0
BTCGBP,D,20100813,000000,0.04136,0.04136,0.04136,0.04136,0,0
BTCGBP,D,20100816,000000,0.04177,0.04177,0.04177,0.04177,0,0
BTCGBP,D,20100817,000000,0.04495,0.04495,0.04495,0.04495,0,0
BTCGBP,D,20100818,000000,0.04354,0.04354,0.04354,0.04354,0,0
BTCGBP,D,20100819,000000,0.04272,0.04272,0.04272,0.04272,0,0
BTCGBP,D,20100820,000000,0.04216,0.04216,0.04216,0.04216,0,0
BTCGBP,D,20100823,000000,0.04185,0.04185,0.04185,0.04185,0,0
BTCGBP,D,20100824,000000,0.04205,0.04205,0.04205,0.04205,0,0
BTCGBP,D,20100825,000000,0.04192,0.04192,0.04192,0.04192,0,0
BTCGBP,D,20100826,000000,0.04119,0.04119,0.04119,0.04119,0,0
BTCGBP,D,20100827,000000,0.04189,0.04189,0.04189,0.04189,0,0
BTCGBP,D,20100830,000000,0.042,0.042,0.042,0.042,0,0
BTCGBP,D,20100831,000000,0.03913,0.03913,0.03913,0.03913,0,0
BTCGBP,D,20100901,000000,0.0407,0.0407,0.0407,0.0407,0,0
BTCGBP,D,20100902,000000,0.0412,0.0412,0.0412,0.0412,0,0
BTCGBP,D,20100903,000000,0.03942,0.03942,0.03942,0.03942,0,0
BTCGBP,D,20100906,000000,0.03996,0.03996,0.03996,0.03996,0,0
BTCGBP,D,20100907,000000,0.0398,0.0398,0.0398,0.0398,0,0
BTCGBP,D,20100908,000000,0.04001,0.04001,0.04001,0.04001,0,0
BTCGBP,D,20100909,000000,0.03959,0.03959,0.03959,0.03959,0,0
BTCGBP,D,20100910,000000,0.04022,0.04022,0.04022,0.04022,0,0
BTCGBP,D,20100913,000000,0.04027,0.04027,0.04027,0.04027,0,0
BTCGBP,D,20100914,000000,0.0398,0.0398,0.0398,0.0398,0,0
BTCGBP,D,20100915,000000,0.03866,0.03866,0.03866,0.03866,0,0
BTCGBP,D,20100916,000000,0.03962,0.03962,0.03962,0.03962,0,0
BTCGBP,D,20100917,000000,0.03774,0.03774,0.03774,0.03774,0,0
BTCGBP,D,20100920,000000,0.03992,0.03992,0.03992,0.03992,0,0
BTCGBP,D,20100921,000000,0.04032,0.04032,0.04032,0.04032,0,0
BTCGBP,D,20100922,000000,0.03976,0.03976,0.03976,0.03976,0,0
BTCGBP,D,20100923,000000,0.03964,0.03964,0.03964,0.03964,0,0
BTCGBP,D,20100924,000000,0.03932,0.03932,0.03932,0.03932,0,0
BTCGBP,D,20100927,000000,0.03927,0.03927,0.03927,0.03927,0,0
BTCGBP,D,20100928,000000,0.03918,0.03918,0.03918,0.03918,0,0
BTCGBP,D,20100929,000000,0.03919,0.03919,0.03919,0.03919,0,0
BTCGBP,D,20100930,000000,0.03937,0.03937,0.03937,0.03937,0,0
BTCGBP,D,20101001,000000,0.03917,0.03917,0.03917,0.03917,0,0
BTCGBP,D,20101004,000000,0.0387,0.0387,0.0387,0.0387,0,0
BTCGBP,D,20101005,000000,0.03862,0.03862,0.03862,0.03862,0,0
BTCGBP,D,20101006,000000,0.0395,0.0395,0.0395,0.0395,0,0
BTCGBP,D,20101007,000000,0.04221,0.04221,0.04221,0.04221,0,0
BTCGBP,D,20101008,000000,0.05445,0.05445,0.05445,0.05445,0,0
BTCGBP,D,20101011,000000,0.05977,0.05977,0.05977,0.05977,0,0
BTCGBP,D,20101012,000000,0.06011,0.06011,0.06011,0.06011,0,0
BTCGBP,D,20101013,000000,0.06612,0.06612,0.06612,0.06612,0,0
BTCGBP,D,20101014,000000,0.06382,0.06382,0.06382,0.06382,0,0
BTCGBP,D,20101015,000000,0.06554,0.06554,0.06554,0.06554,0,0
