<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTCHUF,D,20100719,000000,18.09,18.09,18.09,18.09,0,0
BTCHUF,D,20100720,000000,16.582,16.582,16.582,16.582,0,0
BTCHUF,D,20100721,000000,17.647,17.647,17.647,17.647,0,0
BTCHUF,D,20100722,000000,11.112,11.112,11.112,11.112,0,0
BTCHUF,D,20100723,000000,14.044,14.044,14.044,14.044,0,0
BTCHUF,D,20100726,000000,12.329,12.329,12.329,12.329,0,0
BTCHUF,D,20100727,000000,13.041,13.041,13.041,13.041,0,0
BTCHUF,D,20100728,000000,12.799,12.799,12.799,12.799,0,0
BTCHUF,D,20100729,000000,15.216,15.216,15.216,15.216,0,0
BTCHUF,D,20100730,000000,13.615,13.615,13.615,13.615,0,0
BTCHUF,D,20100802,000000,12.789,12.789,12.789,12.789,0,0
BTCHUF,D,20100803,000000,12.753,12.753,12.753,12.753,0,0
BTCHUF,D,20100804,000000,12.155,12.155,12.155,12.155,0,0
BTCHUF,D,20100805,000000,12.954,12.954,12.954,12.954,0,0
BTCHUF,D,20100806,000000,13.138,13.138,13.138,13.138,0,0
BTCHUF,D,20100809,000000,14.907,14.907,14.907,14.907,0,0
BTCHUF,D,20100810,000000,14.922,14.922,14.922,14.922,0,0
BTCHUF,D,20100811,000000,14.619,14.619,14.619,14.619,0,0
BTCHUF,D,20100812,000000,15.24,15.24,15.24,15.24,0,0
BTCHUF,D,20100813,000000,14.138,14.138,14.138,14.138,0,0
BTCHUF,D,20100816,000000,14.255,14.255,14.255,14.255,0,0
BTCHUF,D,20100817,000000,15.117,15.117,15.117,15.117,0,0
BTCHUF,D,20100818,000000,14.599,14.599,14.599,14.599,0,0
BTCHUF,D,20100819,000000,14.452,14.452,14.452,14.452,0,0
BTCHUF,D,20100820,000000,14.344,14.344,14.344,14.344,0,0
BTCHUF,D,20100823,000000,14.467,14.467,14.467,14.467,0,0
BTCHUF,D,20100824,000000,14.468,14.468,14.468,14.468,0,0
BTCHUF,D,20100825,000000,14.537,14.537,14.537,14.537,0,0
BTCHUF,D,20100826,000000,14.288,14.288,14.288,14.288,0,0
BTCHUF,D,20100827,000000,14.431,14.431,14.431,14.431,0,0
BTCHUF,D,20100830,000000,14.611,14.611,14.611,14.611,0,0
