<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTCNOK,D,20100719,000000,0.5086,0.5086,0.5086,0.5086,0,0
BTCNOK,D,20100720,000000,0.46984,0.46984,0.46984,0.46984,0,0
BTCNOK,D,20100721,000000,0.49521,0.49521,0.49521,0.49521,0,0
BTCNOK,D,20100722,000000,0.31201,0.31201,0.31201,0.31201,0,0
BTCNOK,D,20100723,000000,0.38812,0.38812,0.38812,0.38812,0,0
BTCNOK,D,20100726,000000,0.34453,0.34453,0.34453,0.34453,0,0
BTCNOK,D,20100727,000000,0.36953,0.36953,0.36953,0.36953,0,0
BTCNOK,D,20100728,000000,0.36252,0.36252,0.36252,0.36252,0,0
BTCNOK,D,20100729,000000,0.42666,0.42666,0.42666,0.42666,0,0
BTCNOK,D,20100730,000000,0.37985,0.37985,0.37985,0.37985,0,0
BTCNOK,D,20100802,000000,0.35789,0.35789,0.35789,0.35789,0,0
BTCNOK,D,20100803,000000,0.35726,0.35726,0.35726,0.35726,0,0
BTCNOK,D,20100804,000000,0.34141,0.34141,0.34141,0.34141,0,0
BTCNOK,D,20100805,000000,0.36598,0.36598,0.36598,0.36598,0,0
BTCNOK,D,20100806,000000,0.37078,0.37078,0.37078,0.37078,0,0
BTCNOK,D,20100809,000000,0.42386,0.42386,0.42386,0.42386,0,0
BTCNOK,D,20100810,000000,0.42425,0.42425,0.42425,0.42425,0,0
BTCNOK,D,20100811,000000,0.4139,0.4139,0.4139,0.4139,0,0
BTCNOK,D,20100812,000000,0.43164,0.43164,0.43164,0.43164,0,0
BTCNOK,D,20100813,000000,0.39962,0.39962,0.39962,0.39962,0,0
BTCNOK,D,20100816,000000,0.4024,0.4024,0.4024,0.4024,0,0
BTCNOK,D,20100817,000000,0.42922,0.42922,0.42922,0.42922,0,0
BTCNOK,D,20100818,000000,0.41828,0.41828,0.41828,0.41828,0,0
BTCNOK,D,20100819,000000,0.41243,0.41243,0.41243,0.41243,0,0
BTCNOK,D,20100820,000000,0.40838,0.40838,0.40838,0.40838,0,0
BTCNOK,D,20100823,000000,0.40515,0.40515,0.40515,0.40515,0,0
BTCNOK,D,20100824,000000,0.40879,0.40879,0.40879,0.40879,0,0
BTCNOK,D,20100825,000000,0.41035,0.41035,0.41035,0.41035,0,0
BTCNOK,D,20100826,000000,0.40297,0.40297,0.40297,0.40297,0,0
BTCNOK,D,20100827,000000,0.40588,0.40588,0.40588,0.40588,0,0
BTCNOK,D,20100830,000000,0.40906,0.40906,0.40906,0.40906,0,0
BTCNOK,D,20100831,000000,0.37788,0.37788,0.37788,0.37788,0,0
BTCNOK,D,20100901,000000,0.38914,0.38914,0.38914,0.38914,0,0
BTCNOK,D,20100902,000000,0.38986,0.38986,0.38986,0.38986,0,0
BTCNOK,D,20100903,000000,0.37163,0.37163,0.37163,0.37163,0,0
BTCNOK,D,20100906,000000,0.37605,0.37605,0.37605,0.37605,0,0
BTCNOK,D,20100907,000000,0.37798,0.37798,0.37798,0.37798,0,0
BTCNOK,D,20100908,000000,0.38317,0.38317,0.38317,0.38317,0,0
BTCNOK,D,20100909,000000,0.3784,0.3784,0.3784,0.3784,0,0
BTCNOK,D,20100910,000000,0.38224,0.38224,0.38224,0.38224,0,0
BTCNOK,D,20100913,000000,0.38002,0.38002,0.38002,0.38002,0,0
BTCNOK,D,20100914,000000,0.37354,0.37354,0.37354,0.37354,0,0
BTCNOK,D,20100915,000000,0.36761,0.36761,0.36761,0.36761,0,0
BTCNOK,D,20100916,000000,0.37702,0.37702,0.37702,0.37702,0,0
BTCNOK,D,20100917,000000,0.3593,0.3593,0.3593,0.3593,0,0
BTCNOK,D,20100920,000000,0.37537,0.37537,0.37537,0.37537,0,0
BTCNOK,D,20100921,000000,0.37841,0.37841,0.37841,0.37841,0,0
BTCNOK,D,20100922,000000,0.36654,0.36654,0.36654,0.36654,0,0
BTCNOK,D,20100923,000000,0.36914,0.36914,0.36914,0.36914,0,0
BTCNOK,D,20100924,000000,0.36682,0.36682,0.36682,0.36682,0,0
BTCNOK,D,20100927,000000,0.36651,0.36651,0.36651,0.36651,0,0
BTCNOK,D,20100928,000000,0.36221,0.36221,0.36221,0.36221,0,0
BTCNOK,D,20100929,000000,0.36113,0.36113,0.36113,0.36113,0,0
BTCNOK,D,20100930,000000,0.36398,0.36398,0.36398,0.36398,0,0
BTCNOK,D,20101001,000000,0.36193,0.36193,0.36193,0.36193,0,0
BTCNOK,D,20101004,000000,0.3598,0.3598,0.3598,0.3598,0,0
BTCNOK,D,20101005,000000,0.35718,0.35718,0.35718,0.35718,0,0
BTCNOK,D,20101006,000000,0.36275,0.36275,0.36275,0.36275,0,0
BTCNOK,D,20101007,000000,0.39045,0.39045,0.39045,0.39045,0,0
BTCNOK,D,20101008,000000,0.5056,0.5056,0.5056,0.5056,0,0
BTCNOK,D,20101011,000000,0.5554,0.5554,0.5554,0.5554,0,0
BTCNOK,D,20101012,000000,0.5572,0.5572,0.5572,0.5572,0,0
BTCNOK,D,20101013,000000,0.6085,0.6085,0.6085,0.6085,0,0
BTCNOK,D,20101014,000000,0.5853,0.5853,0.5853,0.5853,0,0
BTCNOK,D,20101015,000000,0.6079,0.6079,0.6079,0.6079,0,0
BTCNOK,D,20101018,000000,0.5954,0.5954,0.5954,0.5954,0,0
BTCNOK,D,20101019,000000,0.5728,0.5728,0.5728,0.5728,0,0
BTCNOK,D,20101020,000000,0.5776,0.5776,0.5776,0.5776,0,0
BTCNOK,D,20101021,000000,0.6244,0.6244,0.6244,0.6244,0,0
BTCNOK,D,20101022,000000,0.5956,0.5956,0.5956,0.5956,0,0
BTCNOK,D,20101025,000000,0.7636,0.7636,0.7636,0.7636,0,0
